"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001578","GO:0001578","microtubule bundle formation","15/423","140/21468",0.107142857142857,5.43768996960486,7.46839546273345,1.18729925273868e-07,0.000369406162043266,0.00034528325099434,"ENSG00000004838/ENSG00000101222/ENSG00000104237/ENSG00000107954/ENSG00000122735/ENSG00000129295/ENSG00000160188/ENSG00000160345/ENSG00000160401/ENSG00000166246/ENSG00000167646/ENSG00000168502/ENSG00000171368/ENSG00000181378/ENSG00000243710",15
"GO:0035082","GO:0035082","axoneme assembly","13/423","108/21468",0.12037037037037,6.1090097189388,7.54621855566044,2.1224140306996e-07,0.000369406162043266,0.00034528325099434,"ENSG00000004838/ENSG00000101222/ENSG00000104237/ENSG00000107954/ENSG00000122735/ENSG00000129295/ENSG00000160188/ENSG00000160345/ENSG00000160401/ENSG00000166246/ENSG00000167646/ENSG00000181378/ENSG00000243710",13
"GO:0098739","GO:0098739","import across plasma membrane","16/423","225/21468",0.0711111111111111,3.60901497241923,5.57752213748467,1.08940913527984e-05,0.0126407773330304,0.0118153110075438,"ENSG00000003989/ENSG00000092068/ENSG00000110436/ENSG00000115902/ENSG00000132326/ENSG00000132681/ENSG00000133195/ENSG00000141424/ENSG00000144191/ENSG00000157388/ENSG00000162989/ENSG00000164756/ENSG00000179841/ENSG00000187486/ENSG00000196557/ENSG00000197496",16
"GO:0009410","GO:0009410","response to xenobiotic stimulus","25/423","493/21468",0.050709939148073,2.57361932300433,5.01133633673114,1.7708259475486e-05,0.0130288771714371,0.0121780672029853,"ENSG00000091262/ENSG00000108576/ENSG00000110092/ENSG00000110436/ENSG00000126562/ENSG00000129159/ENSG00000134215/ENSG00000134240/ENSG00000135638/ENSG00000156006/ENSG00000164742/ENSG00000165140/ENSG00000165731/ENSG00000166743/ENSG00000167972/ENSG00000169344/ENSG00000171428/ENSG00000183044/ENSG00000186115/ENSG00000187486/ENSG00000197408/ENSG00000198077/ENSG00000198246/ENSG00000213366/ENSG00000255974",25
"GO:0017158","GO:0017158","regulation of calcium ion-dependent exocytosis","7/423","44/21468",0.159090909090909,8.07414571244358,6.6593441013549,2.24055837237792e-05,0.0130288771714371,0.0121780672029853,"ENSG00000007516/ENSG00000011347/ENSG00000019505/ENSG00000067715/ENSG00000103528/ENSG00000150594/ENSG00000170743",7
"GO:0042403","GO:0042403","thyroid hormone metabolic process","6/423","30/21468",0.2,10.1503546099291,7.1102982114422,2.24571281323248e-05,0.0130288771714371,0.0121780672029853,"ENSG00000105707/ENSG00000107485/ENSG00000115705/ENSG00000135346/ENSG00000176928/ENSG00000211452",6
"GO:0048483","GO:0048483","autonomic nervous system development","7/423","46/21468",0.152173913043478,7.72309589885908,6.47142036486741,3.0252398736781e-05,0.0150440857146764,0.0140616788714872,"ENSG00000001617/ENSG00000107485/ENSG00000108576/ENSG00000120094/ENSG00000139352/ENSG00000165731/ENSG00000173917",7
"GO:0042445","GO:0042445","hormone metabolic process","17/423","279/21468",0.0609318996415771,3.09240194209309,4.98739059980496,4.27301118422744e-05,0.0169963052217817,0.0158864148053425,"ENSG00000042445/ENSG00000091831/ENSG00000100867/ENSG00000105707/ENSG00000107485/ENSG00000115705/ENSG00000124302/ENSG00000129514/ENSG00000132196/ENSG00000135346/ENSG00000140479/ENSG00000164756/ENSG00000170786/ENSG00000176928/ENSG00000196557/ENSG00000211452/ENSG00000231852",17
"GO:0021604","GO:0021604","cranial nerve structural organization","4/423","11/21468",0.363636363636364,18.4551901998711,8.20952111515691,4.39433343855315e-05,0.0169963052217817,0.0158864148053425,"ENSG00000001617/ENSG00000075891/ENSG00000120094/ENSG00000173917",4
"GO:0006590","GO:0006590","thyroid hormone generation","5/423","24/21468",0.208333333333333,10.5732860520095,6.65265733362627,9.04888194734659e-05,0.0269641530331809,0.0252033435720413,"ENSG00000105707/ENSG00000107485/ENSG00000115705/ENSG00000135346/ENSG00000211452",5
