"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","GO:0007059","chromosome segregation","98/331","493/21468",0.198782961460446,12.8926665155071,33.4294873898293,1.31017687169697e-81,3.4195616351291e-78,2.96513713068262e-78,"ENSG00000000460/ENSG00000011332/ENSG00000012048/ENSG00000013810/ENSG00000066279/ENSG00000071539/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000087586/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000094804/ENSG00000100162/ENSG00000101057/ENSG00000101447/ENSG00000102384/ENSG00000104147/ENSG00000105173/ENSG00000109805/ENSG00000112742/ENSG00000113810/ENSG00000114346/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000118193/ENSG00000120334/ENSG00000121152/ENSG00000121211/ENSG00000121621/ENSG00000121957/ENSG00000122952/ENSG00000123219/ENSG00000123473/ENSG00000123485/ENSG00000126787/ENSG00000128944/ENSG00000129810/ENSG00000130695/ENSG00000131747/ENSG00000134057/ENSG00000134222/ENSG00000134690/ENSG00000135476/ENSG00000136492/ENSG00000137807/ENSG00000137812/ENSG00000138092/ENSG00000138160/ENSG00000138778/ENSG00000139734/ENSG00000142945/ENSG00000143228/ENSG00000144554/ENSG00000146670/ENSG00000146918/ENSG00000148773/ENSG00000149636/ENSG00000151725/ENSG00000152253/ENSG00000153044/ENSG00000154839/ENSG00000156970/ENSG00000157456/ENSG00000159055/ENSG00000161800/ENSG00000161888/ENSG00000163535/ENSG00000163808/ENSG00000164109/ENSG00000164611/ENSG00000164754/ENSG00000164934/ENSG00000165480/ENSG00000166451/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000170312/ENSG00000171320/ENSG00000174442/ENSG00000175063/ENSG00000175305/ENSG00000175643/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000180198/ENSG00000184445/ENSG00000184661/ENSG00000186185/ENSG00000198901/ENSG00000203760/ENSG00000226650/ENSG00000237649/ENSG00000276043",98
"GO:0098813","GO:0098813","nuclear chromosome segregation","78/331","373/21468",0.20911528150134,13.5628001911504,30.6287381379281,4.9537743267858e-66,6.46467549645547e-63,5.60558673820498e-63,"ENSG00000011332/ENSG00000013810/ENSG00000066279/ENSG00000071539/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000087586/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000094804/ENSG00000101057/ENSG00000101447/ENSG00000102384/ENSG00000105173/ENSG00000109805/ENSG00000112742/ENSG00000113810/ENSG00000114346/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000118193/ENSG00000121152/ENSG00000121211/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000126787/ENSG00000128944/ENSG00000129810/ENSG00000131747/ENSG00000134057/ENSG00000134222/ENSG00000134690/ENSG00000135476/ENSG00000136492/ENSG00000137807/ENSG00000137812/ENSG00000138160/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000144554/ENSG00000146670/ENSG00000146918/ENSG00000149636/ENSG00000152253/ENSG00000154839/ENSG00000156970/ENSG00000157456/ENSG00000161800/ENSG00000161888/ENSG00000163808/ENSG00000164109/ENSG00000164611/ENSG00000164754/ENSG00000164934/ENSG00000165480/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000170312/ENSG00000174442/ENSG00000175063/ENSG00000175305/ENSG00000175643/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000180198/ENSG00000184445/ENSG00000186185/ENSG00000198901/ENSG00000226650/ENSG00000237649/ENSG00000276043",78
"GO:0140014","GO:0140014","mitotic nuclear division","69/331","313/21468",0.220447284345048,14.2977713000589,29.6566788863869,7.072197403611e-60,6.15281174114157e-57,5.33516646237321e-57,"ENSG00000011426/ENSG00000071539/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000087586/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000101057/ENSG00000102384/ENSG00000109805/ENSG00000112742/ENSG00000113810/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000118193/ENSG00000121152/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000126787/ENSG00000127564/ENSG00000128944/ENSG00000130695/ENSG00000134057/ENSG00000134222/ENSG00000134690/ENSG00000135476/ENSG00000137807/ENSG00000137812/ENSG00000138160/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000146670/ENSG00000146918/ENSG00000148773/ENSG00000149554/ENSG00000152253/ENSG00000154839/ENSG00000156509/ENSG00000156970/ENSG00000158402/ENSG00000161800/ENSG00000161888/ENSG00000163808/ENSG00000164109/ENSG00000164754/ENSG00000165480/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000170312/ENSG00000172167/ENSG00000174442/ENSG00000175063/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000180198/ENSG00000184445/ENSG00000184661/ENSG00000186185/ENSG00000198901/ENSG00000226650/ENSG00000237649/ENSG00000276043",69
"GO:0000819","GO:0000819","sister chromatid segregation","64/331","257/21468",0.249027237354086,16.1514100650076,30.5785609492258,4.04056533316675e-59,2.63646887989131e-56,2.28610933323908e-56,"ENSG00000011332/ENSG00000013810/ENSG00000071539/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000094804/ENSG00000101057/ENSG00000102384/ENSG00000109805/ENSG00000112742/ENSG00000113810/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000118193/ENSG00000121152/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000126787/ENSG00000128944/ENSG00000131747/ENSG00000134057/ENSG00000134222/ENSG00000134690/ENSG00000135476/ENSG00000137807/ENSG00000137812/ENSG00000138160/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000146670/ENSG00000146918/ENSG00000152253/ENSG00000154839/ENSG00000156970/ENSG00000161800/ENSG00000161888/ENSG00000163808/ENSG00000164109/ENSG00000164754/ENSG00000165480/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000170312/ENSG00000174442/ENSG00000175063/ENSG00000175643/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000180198/ENSG00000184445/ENSG00000186185/ENSG00000198901/ENSG00000226650/ENSG00000237649/ENSG00000276043",64
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","59/331","214/21468",0.275700934579439,17.8814128808199,31.0579897106782,2.5184722417421e-57,1.31464251018937e-54,1.13994006731484e-54,"ENSG00000071539/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000101057/ENSG00000102384/ENSG00000109805/ENSG00000112742/ENSG00000113810/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000118193/ENSG00000121152/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000126787/ENSG00000128944/ENSG00000134057/ENSG00000134222/ENSG00000134690/ENSG00000135476/ENSG00000137807/ENSG00000137812/ENSG00000138160/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000146670/ENSG00000146918/ENSG00000152253/ENSG00000154839/ENSG00000156970/ENSG00000161800/ENSG00000161888/ENSG00000163808/ENSG00000164109/ENSG00000164754/ENSG00000165480/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000170312/ENSG00000174442/ENSG00000175063/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000180198/ENSG00000184445/ENSG00000186185/ENSG00000198901/ENSG00000226650/ENSG00000237649/ENSG00000276043",59
"GO:0006260","GO:0006260","DNA replication","59/331","298/21468",0.197986577181208,12.8410146191123,25.7581472552243,3.87935054367052e-48,1.68751748649667e-45,1.46326380155993e-45,"ENSG00000006634/ENSG00000012048/ENSG00000049541/ENSG00000051180/ENSG00000051341/ENSG00000065328/ENSG00000073111/ENSG00000076003/ENSG00000085840/ENSG00000091651/ENSG00000093009/ENSG00000094804/ENSG00000097046/ENSG00000100479/ENSG00000101003/ENSG00000104738/ENSG00000104889/ENSG00000105173/ENSG00000105486/ENSG00000111602/ENSG00000129173/ENSG00000131153/ENSG00000132646/ENSG00000136982/ENSG00000137309/ENSG00000138346/ENSG00000138376/ENSG00000139618/ENSG00000140451/ENSG00000140534/ENSG00000143476/ENSG00000143799/ENSG00000145386/ENSG00000147536/ENSG00000149554/ENSG00000154920/ENSG00000159147/ENSG00000159259/ENSG00000160949/ENSG00000163918/ENSG00000164045/ENSG00000165891/ENSG00000166803/ENSG00000167513/ENSG00000167670/ENSG00000167900/ENSG00000168496/ENSG00000170312/ENSG00000171320/ENSG00000174371/ENSG00000175305/ENSG00000175643/ENSG00000175792/ENSG00000178295/ENSG00000178966/ENSG00000183763/ENSG00000189057/ENSG00000197299/ENSG00000198554",59
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","61/331","406/21468",0.150246305418719,9.74467578467995,22.2605005790448,2.58155704223595e-42,9.62551982890831e-40,8.34638742978539e-40,"ENSG00000011332/ENSG00000011426/ENSG00000012048/ENSG00000071539/ENSG00000075218/ENSG00000080986/ENSG00000085840/ENSG00000087586/ENSG00000089685/ENSG00000092853/ENSG00000094804/ENSG00000097046/ENSG00000101224/ENSG00000101412/ENSG00000105173/ENSG00000106462/ENSG00000112742/ENSG00000117399/ENSG00000117724/ENSG00000118193/ENSG00000122952/ENSG00000123080/ENSG00000123473/ENSG00000126787/ENSG00000127564/ENSG00000134057/ENSG00000134690/ENSG00000135476/ENSG00000137812/ENSG00000138376/ENSG00000138778/ENSG00000140534/ENSG00000143228/ENSG00000143476/ENSG00000146670/ENSG00000149554/ENSG00000152253/ENSG00000154839/ENSG00000156970/ENSG00000158402/ENSG00000159147/ENSG00000161888/ENSG00000164045/ENSG00000164109/ENSG00000164362/ENSG00000164754/ENSG00000165480/ENSG00000165891/ENSG00000166851/ENSG00000169679/ENSG00000170312/ENSG00000171848/ENSG00000172167/ENSG00000174442/ENSG00000175063/ENSG00000175305/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000184445/ENSG00000197299",61
"GO:0010948","GO:0010948","negative regulation of cell cycle process","59/331","373/21468",0.158176943699732,10.2590411702291,22.5740076333471,3.1335959297828e-42,1.02233567209164e-39,8.86477795925398e-40,"ENSG00000012048/ENSG00000051180/ENSG00000071539/ENSG00000075218/ENSG00000080986/ENSG00000085840/ENSG00000089685/ENSG00000092470/ENSG00000092853/ENSG00000093009/ENSG00000094804/ENSG00000101412/ENSG00000106462/ENSG00000111602/ENSG00000112742/ENSG00000113648/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000122952/ENSG00000127564/ENSG00000129173/ENSG00000134057/ENSG00000134690/ENSG00000135476/ENSG00000136492/ENSG00000137812/ENSG00000138346/ENSG00000138376/ENSG00000139618/ENSG00000140534/ENSG00000143228/ENSG00000143476/ENSG00000143493/ENSG00000144554/ENSG00000149554/ENSG00000152253/ENSG00000154839/ENSG00000154920/ENSG00000156509/ENSG00000156970/ENSG00000159147/ENSG00000161888/ENSG00000162063/ENSG00000164109/ENSG00000164754/ENSG00000165480/ENSG00000165891/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000170312/ENSG00000172167/ENSG00000174442/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000184445/ENSG00000197299",59
"GO:0006261","GO:0006261","DNA-templated DNA replication","44/331","166/21468",0.265060240963855,17.1912787100062,26.206136801143,6.73453094273859e-42,1.95301397339419e-39,1.69347854115649e-39,"ENSG00000006634/ENSG00000012048/ENSG00000049541/ENSG00000051180/ENSG00000051341/ENSG00000065328/ENSG00000073111/ENSG00000076003/ENSG00000085840/ENSG00000091651/ENSG00000093009/ENSG00000094804/ENSG00000097046/ENSG00000100479/ENSG00000101003/ENSG00000104738/ENSG00000105173/ENSG00000105486/ENSG00000111602/ENSG00000129173/ENSG00000131153/ENSG00000132646/ENSG00000136982/ENSG00000137309/ENSG00000138346/ENSG00000138376/ENSG00000139618/ENSG00000140534/ENSG00000143799/ENSG00000147536/ENSG00000154920/ENSG00000159147/ENSG00000160949/ENSG00000163918/ENSG00000165891/ENSG00000167513/ENSG00000167900/ENSG00000168496/ENSG00000174371/ENSG00000175305/ENSG00000178295/ENSG00000183763/ENSG00000197299/ENSG00000198554",44
"GO:0000075","GO:0000075","cell cycle checkpoint signaling","49/331","233/21468",0.210300429184549,13.639666506749,24.2753468877582,2.66497036583548e-41,6.95557265483059e-39,6.03124872268029e-39,"ENSG00000012048/ENSG00000051180/ENSG00000071539/ENSG00000075218/ENSG00000080986/ENSG00000085840/ENSG00000089685/ENSG00000092470/ENSG00000092853/ENSG00000093009/ENSG00000094804/ENSG00000101412/ENSG00000111602/ENSG00000112742/ENSG00000117399/ENSG00000117724/ENSG00000122952/ENSG00000134057/ENSG00000134690/ENSG00000136492/ENSG00000137812/ENSG00000138346/ENSG00000138376/ENSG00000139618/ENSG00000140534/ENSG00000143228/ENSG00000143476/ENSG00000143493/ENSG00000144554/ENSG00000149554/ENSG00000152253/ENSG00000154839/ENSG00000154920/ENSG00000156970/ENSG00000159147/ENSG00000161888/ENSG00000164109/ENSG00000165480/ENSG00000165891/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000170312/ENSG00000174442/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000184445/ENSG00000197299",49
