"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","55/392","394/21468",0.139593908629442,7.64490313892054,18.1550686093984,2.02380898561867e-32,3.68583080561241e-29,3.00903628543708e-29,"ENSG00000019144/ENSG00000038295/ENSG00000049192/ENSG00000060718/ENSG00000077942/ENSG00000078098/ENSG00000091986/ENSG00000095587/ENSG00000099953/ENSG00000101680/ENSG00000105664/ENSG00000105971/ENSG00000106624/ENSG00000106823/ENSG00000108821/ENSG00000111799/ENSG00000122176/ENSG00000122707/ENSG00000123342/ENSG00000123384/ENSG00000123500/ENSG00000129038/ENSG00000130635/ENSG00000133110/ENSG00000134853/ENSG00000137573/ENSG00000137675/ENSG00000137745/ENSG00000138316/ENSG00000138738/ENSG00000140092/ENSG00000142871/ENSG00000143196/ENSG00000144810/ENSG00000144824/ENSG00000149380/ENSG00000149968/ENSG00000154736/ENSG00000157227/ENSG00000162733/ENSG00000162745/ENSG00000164692/ENSG00000167749/ENSG00000168542/ENSG00000171502/ENSG00000173376/ENSG00000178031/ENSG00000185070/ENSG00000185585/ENSG00000196562/ENSG00000196569/ENSG00000197635/ENSG00000197859/ENSG00000204262/ENSG00000225614",55
"GO:0043062","GO:0043062","extracellular structure organization","55/392","395/21468",0.139240506329114,7.62554895375872,18.1255773149694,2.31434441647098e-32,3.68583080561241e-29,3.00903628543708e-29,"ENSG00000019144/ENSG00000038295/ENSG00000049192/ENSG00000060718/ENSG00000077942/ENSG00000078098/ENSG00000091986/ENSG00000095587/ENSG00000099953/ENSG00000101680/ENSG00000105664/ENSG00000105971/ENSG00000106624/ENSG00000106823/ENSG00000108821/ENSG00000111799/ENSG00000122176/ENSG00000122707/ENSG00000123342/ENSG00000123384/ENSG00000123500/ENSG00000129038/ENSG00000130635/ENSG00000133110/ENSG00000134853/ENSG00000137573/ENSG00000137675/ENSG00000137745/ENSG00000138316/ENSG00000138738/ENSG00000140092/ENSG00000142871/ENSG00000143196/ENSG00000144810/ENSG00000144824/ENSG00000149380/ENSG00000149968/ENSG00000154736/ENSG00000157227/ENSG00000162733/ENSG00000162745/ENSG00000164692/ENSG00000167749/ENSG00000168542/ENSG00000171502/ENSG00000173376/ENSG00000178031/ENSG00000185070/ENSG00000185585/ENSG00000196562/ENSG00000196569/ENSG00000197635/ENSG00000197859/ENSG00000204262/ENSG00000225614",55
"GO:0045229","GO:0045229","external encapsulating structure organization","55/392","397/21468",0.138539042821159,7.58713309001182,18.0669039119362,3.02282460821138e-32,3.68583080561241e-29,3.00903628543708e-29,"ENSG00000019144/ENSG00000038295/ENSG00000049192/ENSG00000060718/ENSG00000077942/ENSG00000078098/ENSG00000091986/ENSG00000095587/ENSG00000099953/ENSG00000101680/ENSG00000105664/ENSG00000105971/ENSG00000106624/ENSG00000106823/ENSG00000108821/ENSG00000111799/ENSG00000122176/ENSG00000122707/ENSG00000123342/ENSG00000123384/ENSG00000123500/ENSG00000129038/ENSG00000130635/ENSG00000133110/ENSG00000134853/ENSG00000137573/ENSG00000137675/ENSG00000137745/ENSG00000138316/ENSG00000138738/ENSG00000140092/ENSG00000142871/ENSG00000143196/ENSG00000144810/ENSG00000144824/ENSG00000149380/ENSG00000149968/ENSG00000154736/ENSG00000157227/ENSG00000162733/ENSG00000162745/ENSG00000164692/ENSG00000167749/ENSG00000168542/ENSG00000171502/ENSG00000173376/ENSG00000178031/ENSG00000185070/ENSG00000185585/ENSG00000196562/ENSG00000196569/ENSG00000197635/ENSG00000197859/ENSG00000204262/ENSG00000225614",55
"GO:0030199","GO:0030199","collagen fibril organization","18/392","92/21468",0.195652173913043,10.7149511978705,12.735204795985,5.90984076176026e-14,5.40454937662976e-11,4.41216269502996e-11,"ENSG00000038295/ENSG00000060718/ENSG00000095587/ENSG00000099953/ENSG00000105664/ENSG00000106624/ENSG00000108821/ENSG00000111799/ENSG00000122176/ENSG00000129038/ENSG00000130635/ENSG00000138316/ENSG00000143196/ENSG00000149380/ENSG00000162733/ENSG00000164692/ENSG00000168542/ENSG00000204262",18
"GO:0031589","GO:0031589","cell-substrate adhesion","32/392","410/21468",0.0780487804878049,4.27436535589846,9.12946064969355,5.65927395017299e-12,4.14032482194656e-09,3.38007583087174e-09,"ENSG00000073712/ENSG00000077942/ENSG00000086289/ENSG00000091986/ENSG00000099250/ENSG00000106823/ENSG00000108821/ENSG00000109743/ENSG00000111859/ENSG00000112276/ENSG00000115414/ENSG00000122861/ENSG00000133110/ENSG00000140092/ENSG00000140937/ENSG00000140945/ENSG00000142871/ENSG00000144810/ENSG00000144824/ENSG00000151422/ENSG00000152818/ENSG00000153071/ENSG00000157227/ENSG00000163520/ENSG00000164741/ENSG00000165124/ENSG00000166086/ENSG00000168542/ENSG00000173376/ENSG00000197702/ENSG00000213949/ENSG00000243244",32
"GO:0051216","GO:0051216","cartilage development","23/392","222/21468",0.103603603603604,5.67388306674021,9.5466358757553,2.16722362768661e-11,1.32128400501294e-08,1.07866902311349e-08,"ENSG00000005073/ENSG00000060718/ENSG00000083782/ENSG00000104415/ENSG00000105664/ENSG00000106809/ENSG00000108821/ENSG00000109705/ENSG00000124813/ENSG00000137573/ENSG00000137745/ENSG00000142871/ENSG00000148516/ENSG00000149948/ENSG00000159899/ENSG00000160801/ENSG00000163513/ENSG00000164107/ENSG00000168542/ENSG00000178573/ENSG00000182492/ENSG00000183682/ENSG00000196562",23
"GO:0061448","GO:0061448","connective tissue development","26/392","305/21468",0.0852459016393443,4.66851789896286,8.8000788351777,8.58346303623995e-11,4.48547254093796e-08,3.6618473133553e-08,"ENSG00000005073/ENSG00000060718/ENSG00000083782/ENSG00000104415/ENSG00000105664/ENSG00000106809/ENSG00000107796/ENSG00000108821/ENSG00000109705/ENSG00000124813/ENSG00000130635/ENSG00000137573/ENSG00000137745/ENSG00000142871/ENSG00000148516/ENSG00000149948/ENSG00000150347/ENSG00000159899/ENSG00000160801/ENSG00000163513/ENSG00000164107/ENSG00000168542/ENSG00000178573/ENSG00000182492/ENSG00000183682/ENSG00000196562",26
"GO:0001667","GO:0001667","ameboidal-type cell migration","22/392","249/21468",0.0883534136546185,4.83870174575855,8.30914244197942,1.27422677746366e-09,5.82640193995259e-07,4.75655443113737e-07,"ENSG00000075213/ENSG00000079308/ENSG00000099250/ENSG00000107796/ENSG00000111961/ENSG00000112902/ENSG00000115414/ENSG00000122691/ENSG00000131016/ENSG00000140285/ENSG00000146122/ENSG00000150347/ENSG00000151422/ENSG00000153993/ENSG00000162733/ENSG00000163513/ENSG00000164107/ENSG00000166025/ENSG00000169554/ENSG00000170558/ENSG00000174807/ENSG00000197256",22
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","21/392","244/21468",0.0860655737704918,4.7134074941452,7.9558854402223,4.86890146650193e-09,1.97893795160712e-06,1.61556414742292e-06,"ENSG00000073712/ENSG00000077942/ENSG00000091986/ENSG00000099250/ENSG00000106823/ENSG00000108821/ENSG00000109743/ENSG00000111859/ENSG00000115414/ENSG00000122861/ENSG00000133110/ENSG00000140945/ENSG00000142871/ENSG00000144810/ENSG00000144824/ENSG00000152818/ENSG00000153071/ENSG00000157227/ENSG00000163520/ENSG00000164741/ENSG00000173376",21
"GO:0007156","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","19/392","206/21468",0.0922330097087379,5.05116901129384,7.96794874822295,8.57696332452717e-09,3.13745318411204e-06,2.56135210017722e-06,"ENSG00000081818/ENSG00000081853/ENSG00000107736/ENSG00000118946/ENSG00000134115/ENSG00000140937/ENSG00000140945/ENSG00000162614/ENSG00000170558/ENSG00000173482/ENSG00000175065/ENSG00000177707/ENSG00000189184/ENSG00000196159/ENSG00000240184/ENSG00000253305/ENSG00000254122/ENSG00000254245/ENSG00000261934",19
