"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045095","GO:0045095","keratin filament","13/539","138/22654",0.0942028985507246,3.95931811459762,5.44376474885086,2.66252052466231e-05,0.0054826867388625,0.0050873728486555,"ENSG00000128422/ENSG00000135443/ENSG00000170423/ENSG00000170442/ENSG00000170454/ENSG00000170484/ENSG00000170486/ENSG00000186081/ENSG00000186442/ENSG00000186832/ENSG00000188581/ENSG00000205420/ENSG00000205426",13
"GO:0045111","GO:0045111","intermediate filament cytoskeleton","22/539","347/22654",0.0634005763688761,2.66470622831265,4.87860359405451,3.35661725938848e-05,0.0054826867388625,0.0050873728486555,"ENSG00000026025/ENSG00000105143/ENSG00000128422/ENSG00000131737/ENSG00000132688/ENSG00000135443/ENSG00000143546/ENSG00000148798/ENSG00000169991/ENSG00000170423/ENSG00000170442/ENSG00000170454/ENSG00000170484/ENSG00000170486/ENSG00000171346/ENSG00000182253/ENSG00000186081/ENSG00000186442/ENSG00000186832/ENSG00000188581/ENSG00000205420/ENSG00000205426",22
"GO:0005882","GO:0005882","intermediate filament","20/539","308/22654",0.0649350649350649,2.72920029877358,4.77017746239651,5.43568385536114e-05,0.0054826867388625,0.0050873728486555,"ENSG00000026025/ENSG00000128422/ENSG00000131737/ENSG00000132688/ENSG00000135443/ENSG00000148798/ENSG00000169991/ENSG00000170423/ENSG00000170442/ENSG00000170454/ENSG00000170484/ENSG00000170486/ENSG00000171346/ENSG00000182253/ENSG00000186081/ENSG00000186442/ENSG00000186832/ENSG00000188581/ENSG00000205420/ENSG00000205426",20
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","26/539","468/22654",0.0555555555555556,2.33498247783962,4.55588508234478,6.33836617209538e-05,0.0054826867388625,0.0050873728486555,"ENSG00000019169/ENSG00000050767/ENSG00000058085/ENSG00000090530/ENSG00000092758/ENSG00000104332/ENSG00000106278/ENSG00000112280/ENSG00000116996/ENSG00000130287/ENSG00000135046/ENSG00000138131/ENSG00000142910/ENSG00000143546/ENSG00000145192/ENSG00000154188/ENSG00000156140/ENSG00000157766/ENSG00000159166/ENSG00000163220/ENSG00000167772/ENSG00000169436/ENSG00000183798/ENSG00000186652/ENSG00000187689/ENSG00000213420",26
"GO:0097060","GO:0097060","synaptic membrane","26/539","494/22654",0.0526315789473684,2.21208866321648,4.25232802750844,0.000151447768864157,0.00960999078289575,0.00891708910490783,"ENSG00000011677/ENSG00000067842/ENSG00000082556/ENSG00000102287/ENSG00000103546/ENSG00000105143/ENSG00000107282/ENSG00000109846/ENSG00000116396/ENSG00000117016/ENSG00000117971/ENSG00000132164/ENSG00000136099/ENSG00000136928/ENSG00000146648/ENSG00000149970/ENSG00000166736/ENSG00000168135/ENSG00000176204/ENSG00000178750/ENSG00000181418/ENSG00000185920/ENSG00000186297/ENSG00000198947/ENSG00000268089/ENSG00000273079",26
"GO:0001533","GO:0001533","cornified envelope","8/539","66/22654",0.121212121212121,5.09450722437735,5.20054062376846,0.000166647239009753,0.00960999078289575,0.00891708910490783,"ENSG00000128422/ENSG00000135046/ENSG00000163207/ENSG00000169035/ENSG00000169469/ENSG00000170454/ENSG00000186832/ENSG00000244094",8
"GO:1902710","GO:1902710","GABA receptor complex","5/539","27/22654",0.185185185185185,7.78327492613207,5.5058146402183,0.000391635673481203,0.0193579918606423,0.0179622376559048,"ENSG00000011677/ENSG00000102287/ENSG00000136928/ENSG00000186297/ENSG00000268089",5
"GO:0034702","GO:0034702","monoatomic ion channel complex","21/539","395/22654",0.0531645569620253,2.23448956107184,3.86408719722305,0.00055973418114061,0.0242085033343314,0.022463016479985,"ENSG00000011677/ENSG00000026559/ENSG00000102287/ENSG00000116396/ENSG00000117971/ENSG00000124134/ENSG00000136295/ENSG00000140015/ENSG00000145936/ENSG00000148408/ENSG00000164626/ENSG00000164794/ENSG00000166736/ENSG00000168135/ENSG00000183873/ENSG00000183960/ENSG00000186297/ENSG00000198515/ENSG00000198838/ENSG00000268089/ENSG00000273079",21
"GO:1902711","GO:1902711","GABA-A receptor complex","4/539","19/22654",0.210526315789474,8.84835465286593,5.34292335348412,0.000924355843075874,0.0355363468560281,0.0329740973260984,"ENSG00000011677/ENSG00000102287/ENSG00000186297/ENSG00000268089",4
"GO:0043195","GO:0043195","terminal bouton","6/539","50/22654",0.12,5.04356215213358,4.46858732137426,0.00115364144382838,0.0399159939564618,0.0370379621439636,"ENSG00000101188/ENSG00000109255/ENSG00000110680/ENSG00000171867/ENSG00000172137/ENSG00000187714",6
