"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098687","GO:0098687","chromosomal region","76/345","451/22654",0.168514412416851,11.0652913011344,26.8498057555118,4.40484090462607e-57,1.67824438466253e-54,1.3863657162981e-54,"ENSG00000000460/ENSG00000051180/ENSG00000073111/ENSG00000076003/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000085840/ENSG00000087586/ENSG00000089685/ENSG00000100162/ENSG00000102384/ENSG00000104147/ENSG00000104738/ENSG00000106462/ENSG00000109805/ENSG00000111247/ENSG00000112742/ENSG00000113648/ENSG00000113810/ENSG00000115163/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000119969/ENSG00000120334/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000123485/ENSG00000124635/ENSG00000128944/ENSG00000129810/ENSG00000131747/ENSG00000132646/ENSG00000134057/ENSG00000134690/ENSG00000136982/ENSG00000137812/ENSG00000138092/ENSG00000138346/ENSG00000138778/ENSG00000139618/ENSG00000140451/ENSG00000142945/ENSG00000143228/ENSG00000143799/ENSG00000146670/ENSG00000149554/ENSG00000149636/ENSG00000151725/ENSG00000152253/ENSG00000153044/ENSG00000154839/ENSG00000156970/ENSG00000159055/ENSG00000161888/ENSG00000163535/ENSG00000164109/ENSG00000164362/ENSG00000164754/ENSG00000165480/ENSG00000166451/ENSG00000166851/ENSG00000167513/ENSG00000168496/ENSG00000169679/ENSG00000170312/ENSG00000171320/ENSG00000172167/ENSG00000174442/ENSG00000178999/ENSG00000184445/ENSG00000186871/ENSG00000197299/ENSG00000203760",76
"GO:0000793","GO:0000793","condensed chromosome","62/345","301/22654",0.205980066445183,13.5254273195628,27.20446867957,5.88302212497646e-52,1.12071571480802e-49,9.25801902825244e-50,"ENSG00000000460/ENSG00000012048/ENSG00000051180/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000087586/ENSG00000089685/ENSG00000100162/ENSG00000102384/ENSG00000109805/ENSG00000112742/ENSG00000113648/ENSG00000113810/ENSG00000115163/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000120334/ENSG00000121152/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000123485/ENSG00000128944/ENSG00000129810/ENSG00000131747/ENSG00000134057/ENSG00000137812/ENSG00000138092/ENSG00000138778/ENSG00000139618/ENSG00000142945/ENSG00000143228/ENSG00000144554/ENSG00000146918/ENSG00000148773/ENSG00000149554/ENSG00000149636/ENSG00000151725/ENSG00000152253/ENSG00000153044/ENSG00000154839/ENSG00000156970/ENSG00000161888/ENSG00000163535/ENSG00000164104/ENSG00000164109/ENSG00000164754/ENSG00000165480/ENSG00000166451/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000172167/ENSG00000174442/ENSG00000178999/ENSG00000180198/ENSG00000184445/ENSG00000186871/ENSG00000197299/ENSG00000203760",62
"GO:0000775","GO:0000775","chromosome, centromeric region","60/345","283/22654",0.212014134275618,13.9216469503764,27.2019944750037,4.66384349389891e-51,5.92308123725161e-49,4.89294457780973e-49,"ENSG00000000460/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000087586/ENSG00000089685/ENSG00000100162/ENSG00000102384/ENSG00000104147/ENSG00000106462/ENSG00000109805/ENSG00000112742/ENSG00000113648/ENSG00000113810/ENSG00000115163/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000119969/ENSG00000120334/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000123485/ENSG00000124635/ENSG00000128944/ENSG00000129810/ENSG00000131747/ENSG00000134057/ENSG00000134690/ENSG00000136982/ENSG00000137812/ENSG00000138092/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000146670/ENSG00000149636/ENSG00000151725/ENSG00000152253/ENSG00000153044/ENSG00000154839/ENSG00000156970/ENSG00000159055/ENSG00000161888/ENSG00000163535/ENSG00000164109/ENSG00000164754/ENSG00000165480/ENSG00000166451/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000171320/ENSG00000172167/ENSG00000174442/ENSG00000178999/ENSG00000184445/ENSG00000186871/ENSG00000203760",60
"GO:0000779","GO:0000779","condensed chromosome, centromeric region","47/345","200/22654",0.235,15.4309855072464,25.4915643327462,3.13416001723394e-42,2.98528741641533e-40,2.46608906619197e-40,"ENSG00000000460/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000087586/ENSG00000089685/ENSG00000100162/ENSG00000102384/ENSG00000109805/ENSG00000112742/ENSG00000115163/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000120334/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000123485/ENSG00000128944/ENSG00000129810/ENSG00000134057/ENSG00000137812/ENSG00000138092/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000149636/ENSG00000151725/ENSG00000152253/ENSG00000153044/ENSG00000154839/ENSG00000156970/ENSG00000161888/ENSG00000163535/ENSG00000164109/ENSG00000165480/ENSG00000166451/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000172167/ENSG00000174442/ENSG00000178999/ENSG00000184445/ENSG00000186871/ENSG00000203760",47
"GO:0000776","GO:0000776","kinetochore","45/345","188/22654",0.23936170212766,15.7173913043478,25.1987642030281,7.74642764224214e-41,5.90277786338851e-39,4.87617234743242e-39,"ENSG00000000460/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000087586/ENSG00000089685/ENSG00000100162/ENSG00000102384/ENSG00000112742/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000120334/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000123485/ENSG00000128944/ENSG00000129810/ENSG00000134057/ENSG00000137812/ENSG00000138092/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000149636/ENSG00000151725/ENSG00000152253/ENSG00000153044/ENSG00000154839/ENSG00000156970/ENSG00000161888/ENSG00000163535/ENSG00000164109/ENSG00000165480/ENSG00000166451/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000172167/ENSG00000174442/ENSG00000178999/ENSG00000184445/ENSG00000186871/ENSG00000203760",45
"GO:0005819","GO:0005819","spindle","60/345","476/22654",0.126050420168067,8.27694556083303,19.9537152829853,2.51627583070188e-37,1.5978351524957e-35,1.31994118136818e-35,"ENSG00000000460/ENSG00000013810/ENSG00000066279/ENSG00000072571/ENSG00000075702/ENSG00000076382/ENSG00000079616/ENSG00000087586/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000094804/ENSG00000097046/ENSG00000101224/ENSG00000101447/ENSG00000112742/ENSG00000112984/ENSG00000114346/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000118193/ENSG00000121621/ENSG00000121957/ENSG00000126787/ENSG00000127423/ENSG00000128944/ENSG00000129810/ENSG00000130695/ENSG00000134057/ENSG00000134222/ENSG00000134690/ENSG00000135476/ENSG00000136108/ENSG00000137807/ENSG00000138160/ENSG00000138778/ENSG00000139734/ENSG00000142945/ENSG00000149636/ENSG00000154839/ENSG00000156970/ENSG00000161800/ENSG00000163808/ENSG00000164087/ENSG00000164109/ENSG00000164754/ENSG00000165480/ENSG00000166851/ENSG00000169607/ENSG00000170312/ENSG00000171241/ENSG00000174442/ENSG00000177602/ENSG00000178999/ENSG00000184445/ENSG00000186185/ENSG00000198901/ENSG00000237649/ENSG00000276043",60
"GO:0000922","GO:0000922","spindle pole","33/345","191/22654",0.172774869109948,11.3450489414978,17.8545008352491,3.05538496096819e-25,1.6630023858984e-23,1.37377459147291e-23,"ENSG00000013810/ENSG00000066279/ENSG00000075702/ENSG00000076382/ENSG00000087586/ENSG00000088325/ENSG00000094804/ENSG00000101224/ENSG00000101447/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121957/ENSG00000126787/ENSG00000127423/ENSG00000128944/ENSG00000129810/ENSG00000130695/ENSG00000134057/ENSG00000134222/ENSG00000136108/ENSG00000138160/ENSG00000139734/ENSG00000149636/ENSG00000163808/ENSG00000164087/ENSG00000164109/ENSG00000164754/ENSG00000166851/ENSG00000169607/ENSG00000178999/ENSG00000184445/ENSG00000198901",33
"GO:0000228","GO:0000228","nuclear chromosome","35/345","254/22654",0.137795275590551,9.04815702385028,16.0406383926303,2.73860886636524e-23,1.30426247260645e-21,1.07742638295159e-21,"ENSG00000012048/ENSG00000051180/ENSG00000065328/ENSG00000073111/ENSG00000076003/ENSG00000085840/ENSG00000089685/ENSG00000091651/ENSG00000093009/ENSG00000100479/ENSG00000101003/ENSG00000104738/ENSG00000109805/ENSG00000111602/ENSG00000113648/ENSG00000113810/ENSG00000117650/ENSG00000121152/ENSG00000131153/ENSG00000131747/ENSG00000132646/ENSG00000139618/ENSG00000143799/ENSG00000146918/ENSG00000147536/ENSG00000149554/ENSG00000154920/ENSG00000160949/ENSG00000164105/ENSG00000164754/ENSG00000166851/ENSG00000175792/ENSG00000180198/ENSG00000197299/ENSG00000198554",35
"GO:0072686","GO:0072686","mitotic spindle","31/345","211/22654",0.146919431279621,9.6472834672711,15.693247606415,1.3749530186021e-21,5.82063444541554e-20,4.80831523464359e-20,"ENSG00000013810/ENSG00000066279/ENSG00000075702/ENSG00000076382/ENSG00000079616/ENSG00000087586/ENSG00000088325/ENSG00000094804/ENSG00000097046/ENSG00000101447/ENSG00000114346/ENSG00000121621/ENSG00000121957/ENSG00000126787/ENSG00000128944/ENSG00000135476/ENSG00000136108/ENSG00000137807/ENSG00000138160/ENSG00000138778/ENSG00000154839/ENSG00000161800/ENSG00000164109/ENSG00000165480/ENSG00000166851/ENSG00000169607/ENSG00000170312/ENSG00000178999/ENSG00000186185/ENSG00000198901/ENSG00000237649",31
"GO:0000940","GO:0000940","outer kinetochore","14/345","22/22654",0.636363636363636,41.7860342555995,23.800918166546,7.9471628816585e-21,3.02786905791189e-19,2.50126494906936e-19,"ENSG00000080986/ENSG00000117724/ENSG00000122952/ENSG00000134057/ENSG00000137812/ENSG00000143228/ENSG00000149636/ENSG00000152253/ENSG00000154839/ENSG00000156970/ENSG00000161888/ENSG00000165480/ENSG00000166851/ENSG00000169679",14
