"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005930","GO:0005930","axoneme","17/49","193/22654",0.0880829015544041,40.7230622819076,25.8027193454499,1.64015146226411e-23,6.01413467756003e-22,3.4015529990913e-22,"ENSG00000007174/ENSG00000115423/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000158486/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000167858/ENSG00000170788/ENSG00000179902/ENSG00000186471/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000215187",17
"GO:0097014","GO:0097014","ciliary plasm","17/49","194/22654",0.0876288659793814,40.5131495897328,25.7333474857256,1.79526408285374e-23,6.01413467756003e-22,3.4015529990913e-22,"ENSG00000007174/ENSG00000115423/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000158486/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000167858/ENSG00000170788/ENSG00000179902/ENSG00000186471/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000215187",17
"GO:0031514","GO:0031514","motile cilium","19/49","332/22654",0.0572289156626506,26.458446029014,21.7567002216419,1.07702588384401e-22,2.40535780725161e-21,1.36045374801348e-21,"ENSG00000007174/ENSG00000115423/ENSG00000118492/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000158486/ENSG00000159625/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000165164/ENSG00000167858/ENSG00000170788/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000215187",19
"GO:0032838","GO:0032838","plasma membrane bounded cell projection cytoplasm","17/49","285/22654",0.0596491228070175,27.5773720014321,21.0217964848988,1.38908304198292e-20,2.32671409532138e-19,1.31597340819434e-19,"ENSG00000007174/ENSG00000115423/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000158486/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000167858/ENSG00000170788/ENSG00000179902/ENSG00000186471/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000215187",17
"GO:0099568","GO:0099568","cytoplasmic region","17/49","321/22654",0.0529595015576324,24.484582618094,19.7296997490104,1.0567255527518e-19,1.41601224068742e-18,8.00886734717157e-19,"ENSG00000007174/ENSG00000115423/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000158486/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000167858/ENSG00000170788/ENSG00000179902/ENSG00000186471/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000215187",17
"GO:0005879","GO:0005879","axonemal microtubule","10/49","57/22654",0.175438596491228,81.109917651271,28.1940176419188,3.36699038119923e-17,3.75980592567248e-16,2.12652024075741e-16,"ENSG00000151023/ENSG00000157330/ENSG00000163060/ENSG00000163263/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000215187",10
"GO:0097729","GO:0097729","9+2 motile cilium","14/49","242/22654",0.0578512396694215,26.7461629279811,18.747291668997,8.36792793626526e-17,8.00930245328247e-16,4.53000610083533e-16,"ENSG00000007174/ENSG00000115423/ENSG00000118492/ENSG00000151023/ENSG00000157330/ENSG00000158486/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085",14
"GO:0097649","GO:0097649","A axonemal microtubule","9/49","45/22654",0.2,92.465306122449,28.5943756986104,3.97625497317272e-16,3.33011354003215e-15,1.88348919781866e-15,"ENSG00000151023/ENSG00000157330/ENSG00000163060/ENSG00000163263/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085",9
"GO:0160110","GO:0160110","axonemal microtubule doublet inner sheath","9/49","46/22654",0.195652173913043,90.455190771961,28.2756134991985,4.93558646596795e-16,3.67426992466503e-15,2.07814166988124e-15,"ENSG00000151023/ENSG00000157330/ENSG00000163060/ENSG00000163263/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085",9
"GO:0097545","GO:0097545","axonemal doublet microtubule","9/49","49/22654",0.183673469387755,84.9171178675552,27.3782062429119,9.15990440142608e-16,6.13713594895547e-15,3.47112166790883e-15,"ENSG00000151023/ENSG00000157330/ENSG00000163060/ENSG00000163263/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085",9
