"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","42/675","468/22654",0.0897435897435897,3.01192782526116,7.70737701743066,2.44434382504671e-10,9.41072372642984e-08,7.30730154013965e-08,"ENSG00000034971/ENSG00000054803/ENSG00000065618/ENSG00000090006/ENSG00000092009/ENSG00000100448/ENSG00000101280/ENSG00000109610/ENSG00000110799/ENSG00000116147/ENSG00000116194/ENSG00000116690/ENSG00000117525/ENSG00000123243/ENSG00000132561/ENSG00000134917/ENSG00000136999/ENSG00000138722/ENSG00000148357/ENSG00000151914/ENSG00000152583/ENSG00000154175/ENSG00000154734/ENSG00000163638/ENSG00000163815/ENSG00000164318/ENSG00000164946/ENSG00000166482/ENSG00000168477/ENSG00000171819/ENSG00000173269/ENSG00000175899/ENSG00000176435/ENSG00000181092/ENSG00000187151/ENSG00000187955/ENSG00000188517/ENSG00000197565/ENSG00000197915/ENSG00000205221/ENSG00000266524/ENSG00000271447",42
"GO:0001518","GO:0001518","voltage-gated sodium channel complex","8/675","15/22654",0.533333333333333,17.8994567901235,11.4736220352922,3.18930440541949e-09,6.13941098043252e-07,4.76717079546913e-07,"ENSG00000007314/ENSG00000136546/ENSG00000149575/ENSG00000153253/ENSG00000166257/ENSG00000168356/ENSG00000169432/ENSG00000177098",8
"GO:0016324","GO:0016324","apical plasma membrane","38/675","448/22654",0.0848214285714286,2.8467328042328,6.91860740675998,8.39191315882117e-09,1.07696218871538e-06,8.36246784949197e-07,"ENSG00000004846/ENSG00000015413/ENSG00000016602/ENSG00000067113/ENSG00000085563/ENSG00000091513/ENSG00000105974/ENSG00000107611/ENSG00000112782/ENSG00000116183/ENSG00000118777/ENSG00000119147/ENSG00000120156/ENSG00000129244/ENSG00000130037/ENSG00000132874/ENSG00000133116/ENSG00000135218/ENSG00000146477/ENSG00000148204/ENSG00000153303/ENSG00000158352/ENSG00000158445/ENSG00000161649/ENSG00000164220/ENSG00000167434/ENSG00000168060/ENSG00000168065/ENSG00000169252/ENSG00000174059/ENSG00000180509/ENSG00000180914/ENSG00000197891/ENSG00000240583/ENSG00000241186/ENSG00000266964/ENSG00000273777/ENSG00000277494",38
"GO:0034706","GO:0034706","sodium channel complex","9/675","25/22654",0.36,12.0821333333333,9.71564143853092,2.33914291748706e-08,2.25142505808129e-06,1.74820154885875e-06,"ENSG00000007314/ENSG00000136546/ENSG00000149575/ENSG00000153253/ENSG00000166257/ENSG00000168356/ENSG00000169432/ENSG00000171189/ENSG00000177098",9
"GO:0005901","GO:0005901","caveola","13/675","94/22654",0.138297872340426,4.64148148148148,6.19987979367309,4.26777156289607e-06,0.000328618410342998,0.000255167815549997,"ENSG00000003436/ENSG00000018625/ENSG00000067113/ENSG00000078549/ENSG00000079435/ENSG00000095637/ENSG00000102468/ENSG00000105974/ENSG00000120907/ENSG00000130037/ENSG00000135218/ENSG00000168497/ENSG00000266964",13
"GO:0045178","GO:0045178","basal part of cell","27/675","346/22654",0.0780346820809249,2.61895953757225,5.31807564518107,5.86641446995197e-06,0.000376428261821918,0.000292291527976554,"ENSG00000013297/ENSG00000069702/ENSG00000091513/ENSG00000105974/ENSG00000116678/ENSG00000120156/ENSG00000139155/ENSG00000141338/ENSG00000141469/ENSG00000144668/ENSG00000146477/ENSG00000150672/ENSG00000151914/ENSG00000152779/ENSG00000153253/ENSG00000153822/ENSG00000158352/ENSG00000161649/ENSG00000162407/ENSG00000164007/ENSG00000165269/ENSG00000168065/ENSG00000174059/ENSG00000186847/ENSG00000240583/ENSG00000259916/ENSG00000277494",27
"GO:0034702","GO:0034702","monoatomic ion channel complex","29/675","395/22654",0.0734177215189873,2.46400750117206,5.14398637284566,8.71517269720691e-06,0.00047933449834638,0.000372196849023573,"ENSG00000007314/ENSG00000100433/ENSG00000104888/ENSG00000109158/ENSG00000112782/ENSG00000118729/ENSG00000120049/ENSG00000130037/ENSG00000136546/ENSG00000137672/ENSG00000149575/ENSG00000150672/ENSG00000151834/ENSG00000152578/ENSG00000153253/ENSG00000153822/ENSG00000155970/ENSG00000158445/ENSG00000158966/ENSG00000163285/ENSG00000166257/ENSG00000168356/ENSG00000169282/ENSG00000169432/ENSG00000171189/ENSG00000171227/ENSG00000177098/ENSG00000180509/ENSG00000182132",29
"GO:0045121","GO:0045121","membrane raft","26/675","342/22654",0.0760233918128655,2.5514576564869,5.06634212365592,1.37713088671263e-05,0.000601789830682516,0.000467281782402829,"ENSG00000003436/ENSG00000018625/ENSG00000067113/ENSG00000078549/ENSG00000079435/ENSG00000089250/ENSG00000095637/ENSG00000102468/ENSG00000105974/ENSG00000108823/ENSG00000116147/ENSG00000118432/ENSG00000118777/ENSG00000120156/ENSG00000120907/ENSG00000128052/ENSG00000130037/ENSG00000135218/ENSG00000162407/ENSG00000168497/ENSG00000170989/ENSG00000180509/ENSG00000181856/ENSG00000241186/ENSG00000261371/ENSG00000266964",26
"GO:0098857","GO:0098857","membrane microdomain","26/675","344/22654",0.0755813953488372,2.53662360034453,5.03277737260561,1.52448904668812e-05,0.000601789830682516,0.000467281782402829,"ENSG00000003436/ENSG00000018625/ENSG00000067113/ENSG00000078549/ENSG00000079435/ENSG00000089250/ENSG00000095637/ENSG00000102468/ENSG00000105974/ENSG00000108823/ENSG00000116147/ENSG00000118432/ENSG00000118777/ENSG00000120156/ENSG00000120907/ENSG00000128052/ENSG00000130037/ENSG00000135218/ENSG00000162407/ENSG00000168497/ENSG00000170989/ENSG00000180509/ENSG00000181856/ENSG00000241186/ENSG00000261371/ENSG00000266964",26
"GO:0034703","GO:0034703","cation channel complex","21/675","245/22654",0.0857142857142857,2.87669841269841,5.17579509825687,1.56309046930524e-05,0.000601789830682516,0.000467281782402829,"ENSG00000007314/ENSG00000118729/ENSG00000120049/ENSG00000130037/ENSG00000136546/ENSG00000137672/ENSG00000149575/ENSG00000150672/ENSG00000153253/ENSG00000153822/ENSG00000155970/ENSG00000158445/ENSG00000158966/ENSG00000166257/ENSG00000168356/ENSG00000169282/ENSG00000169432/ENSG00000171189/ENSG00000177098/ENSG00000180509/ENSG00000182132",21
