"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005126","GO:0005126","cytokine receptor binding","30/288","333/21348",0.0900900900900901,6.67792792792793,12.211887102514,2.17397497932813e-16,1.09568338958138e-13,9.97740095775857e-14,"ENSG00000003402/ENSG00000035720/ENSG00000099985/ENSG00000102524/ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000111537/ENSG00000113302/ENSG00000115415/ENSG00000131142/ENSG00000138684/ENSG00000138755/ENSG00000150782/ENSG00000151651/ENSG00000156234/ENSG00000169194/ENSG00000169245/ENSG00000169248/ENSG00000171855/ENSG00000172156/ENSG00000172724/ENSG00000181374/ENSG00000182393/ENSG00000186074/ENSG00000197272/ENSG00000226979/ENSG00000227507/ENSG00000274736",30
"GO:0005125","GO:0005125","cytokine activity","28/288","293/21348",0.0955631399317406,7.08361774744027,12.2617820098913,5.01721414588346e-16,1.26433796476263e-13,1.15131861452905e-13,"ENSG00000099985/ENSG00000102524/ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000111537/ENSG00000113302/ENSG00000131142/ENSG00000138684/ENSG00000138755/ENSG00000150782/ENSG00000156234/ENSG00000169194/ENSG00000169245/ENSG00000169248/ENSG00000169884/ENSG00000171855/ENSG00000172156/ENSG00000172724/ENSG00000181374/ENSG00000182393/ENSG00000183709/ENSG00000197110/ENSG00000197272/ENSG00000226979/ENSG00000227507/ENSG00000274736",28
"GO:0008009","GO:0008009","chemokine activity","13/288","63/21348",0.206349206349206,15.2956349206349,13.2883904885058,2.14400507702952e-12,3.60192852940959e-10,3.27995162661358e-10,"ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000131142/ENSG00000138755/ENSG00000156234/ENSG00000169245/ENSG00000169248/ENSG00000172156/ENSG00000172724/ENSG00000181374/ENSG00000274736",13
"GO:0042379","GO:0042379","chemokine receptor binding","14/288","103/21348",0.135922330097087,10.0752427184466,10.7965246153975,1.13427917596296e-10,1.42919176171333e-08,1.3014361071575e-08,"ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000115415/ENSG00000131142/ENSG00000138755/ENSG00000156234/ENSG00000169245/ENSG00000169248/ENSG00000172156/ENSG00000172724/ENSG00000181374/ENSG00000274736",14
"GO:0140375","GO:0140375","immune receptor activity","22/288","347/21348",0.0634005763688761,4.69956772334294,8.12514681803193,2.23840189131278e-09,2.03470980566126e-07,1.85282680716021e-07,"ENSG00000100385/ENSG00000103522/ENSG00000104921/ENSG00000113302/ENSG00000117322/ENSG00000121966/ENSG00000124334/ENSG00000126353/ENSG00000147168/ENSG00000150045/ENSG00000150337/ENSG00000160683/ENSG00000162894/ENSG00000163606/ENSG00000179934/ENSG00000183813/ENSG00000186810/ENSG00000189013/ENSG00000203710/ENSG00000203747/ENSG00000232629/ENSG00000237541",22
"GO:0038187","GO:0038187","pattern recognition receptor activity","10/288","54/21348",0.185185185185185,13.7268518518519,10.9502675179871,2.42227357816817e-09,2.03470980566126e-07,1.85282680716021e-07,"ENSG00000090659/ENSG00000091592/ENSG00000104921/ENSG00000132514/ENSG00000163568/ENSG00000167207/ENSG00000172243/ENSG00000187912/ENSG00000198178/ENSG00000205846",10
"GO:0048020","GO:0048020","CCR chemokine receptor binding","11/288","78/21348",0.141025641025641,10.4535256410256,9.78121597251278,7.77342667203034e-09,5.59686720386184e-07,5.09656244963192e-07,"ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000115415/ENSG00000131142/ENSG00000156234/ENSG00000172156/ENSG00000172724/ENSG00000181374/ENSG00000274736",11
"GO:0004896","GO:0004896","cytokine receptor activity","11/288","103/21348",0.106796116504854,7.91626213592233,8.2280547984956,1.47929499540399e-07,9.31955847104511e-06,8.48648181573865e-06,"ENSG00000100385/ENSG00000103522/ENSG00000113302/ENSG00000121966/ENSG00000124334/ENSG00000126353/ENSG00000147168/ENSG00000160683/ENSG00000179934/ENSG00000183813/ENSG00000186810",11
"GO:0001664","GO:0001664","G protein-coupled receptor binding","19/288","352/21348",0.0539772727272727,4.00106534090909,6.63917301557046,3.53999051568551e-07,1.98239468878388e-05,1.80518814601039e-05,"ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000115415/ENSG00000125730/ENSG00000131142/ENSG00000138755/ENSG00000146374/ENSG00000156234/ENSG00000168081/ENSG00000169245/ENSG00000169248/ENSG00000169884/ENSG00000172156/ENSG00000172724/ENSG00000181374/ENSG00000188958/ENSG00000274736",19
"GO:0016493","GO:0016493","C-C chemokine receptor activity","6/288","23/21348",0.260869565217391,19.3369565217391,10.2892125512506,4.7630584237135e-07,2.4005814455516e-05,2.18599312919904e-05,"ENSG00000121966/ENSG00000126353/ENSG00000160683/ENSG00000179934/ENSG00000183813/ENSG00000186810",6
"GO:0019957","GO:0019957","C-C chemokine binding","6/288","24/21348",0.25,18.53125,10.0489260985524,6.27906484357247e-07,2.87695334650957e-05,2.61978207827521e-05,"ENSG00000121966/ENSG00000126353/ENSG00000160683/ENSG00000179934/ENSG00000183813/ENSG00000186810",6
"GO:0001637","GO:0001637","G protein-coupled chemoattractant receptor activity","6/288","26/21348",0.230769230769231,17.1057692307692,9.60925375381298,1.04994964427339e-06,4.07057400549069e-05,3.70670481702996e-05,"ENSG00000121966/ENSG00000126353/ENSG00000160683/ENSG00000179934/ENSG00000183813/ENSG00000186810",6
"GO:0004950","GO:0004950","chemokine receptor activity","6/288","26/21348",0.230769230769231,17.1057692307692,9.60925375381298,1.04994964427339e-06,4.07057400549069e-05,3.70670481702996e-05,"ENSG00000121966/ENSG00000126353/ENSG00000160683/ENSG00000179934/ENSG00000183813/ENSG00000186810",6
"GO:0019956","GO:0019956","chemokine binding","6/288","33/21348",0.181818181818182,13.4772727272727,8.3882130972442,4.66565774532027e-06,0.00016796367883153,0.000152949381726289,"ENSG00000121966/ENSG00000126353/ENSG00000160683/ENSG00000179934/ENSG00000183813/ENSG00000186810",6
"GO:0019955","GO:0019955","cytokine binding","11/288","161/21348",0.0683229813664596,5.06444099378882,6.05361104314936,1.23808543091716e-05,0.000415996704788167,0.000378810700266585,"ENSG00000100385/ENSG00000113302/ENSG00000121966/ENSG00000124334/ENSG00000126353/ENSG00000147168/ENSG00000160683/ENSG00000167634/ENSG00000179934/ENSG00000183813/ENSG00000186810",11
"GO:0019865","GO:0019865","immunoglobulin binding","6/288","40/21348",0.15,11.11875,7.49067583789277,1.49375089796761e-05,0.000470531532859796,0.000428470652311761,"ENSG00000104921/ENSG00000132465/ENSG00000150337/ENSG00000156738/ENSG00000162894/ENSG00000203747",6
