"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030280","GO:0030280","structural constituent of skin epidermis","11/517","38/21348",0.289473684210526,11.952967525196,10.6460992491081,1.00723065783409e-09,6.87938539300684e-07,5.94796209520974e-07,"ENSG00000135443/ENSG00000170423/ENSG00000170442/ENSG00000170454/ENSG00000170484/ENSG00000170486/ENSG00000180316/ENSG00000186081/ENSG00000186442/ENSG00000205420/ENSG00000205426",11
"GO:0001664","GO:0001664","G protein-coupled receptor binding","22/517","352/21348",0.0625,2.58075435203095,4.71114068025704,5.34939533463785e-05,0.0161253257999032,0.0139420633023745,"ENSG00000006210/ENSG00000019169/ENSG00000069482/ENSG00000078401/ENSG00000104332/ENSG00000108688/ENSG00000109255/ENSG00000109272/ENSG00000110148/ENSG00000110680/ENSG00000115009/ENSG00000127955/ENSG00000132688/ENSG00000148926/ENSG00000155760/ENSG00000163421/ENSG00000163734/ENSG00000167191/ENSG00000171867/ENSG00000175868/ENSG00000185920/ENSG00000197696",22
"GO:0001653","GO:0001653","peptide receptor activity","13/517","149/21348",0.087248322147651,3.60266379343918,5.02240989980652,7.08286638355925e-05,0.0161253257999032,0.0139420633023745,"ENSG00000069482/ENSG00000082556/ENSG00000101188/ENSG00000101292/ENSG00000101890/ENSG00000110148/ENSG00000113389/ENSG00000119900/ENSG00000171596/ENSG00000198049/ENSG00000204174/ENSG00000264717/ENSG00000288611",13
"GO:0005326","GO:0005326","neurotransmitter transmembrane transporter activity","5/517","21/21348",0.238095238095238,9.83144515059409,6.37874404702185,0.000120575605859779,0.0174822912233805,0.015115304579358,"ENSG00000072041/ENSG00000103546/ENSG00000164638/ENSG00000187714/ENSG00000268089",5
"GO:0019215","GO:0019215","intermediate filament binding","4/517","12/21348",0.333333333333333,13.7640232108317,6.96755401301424,0.000144191989790734,0.0174822912233805,0.015115304579358,"ENSG00000026025/ENSG00000132688/ENSG00000170484/ENSG00000182253",4
"GO:0015108","GO:0015108","chloride transmembrane transporter activity","12/517","142/21348",0.0845070422535211,3.48947067316861,4.68900229486465,0.000180423592203818,0.0174822912233805,0.015115304579358,"ENSG00000011677/ENSG00000073464/ENSG00000074803/ENSG00000102287/ENSG00000103546/ENSG00000132164/ENSG00000136295/ENSG00000153291/ENSG00000162399/ENSG00000174502/ENSG00000186297/ENSG00000268089",12
"GO:0008188","GO:0008188","neuropeptide receptor activity","7/517","50/21348",0.14,5.78088974854932,5.3319117977091,0.000190175487233094,0.0174822912233805,0.015115304579358,"ENSG00000069482/ENSG00000101188/ENSG00000101292/ENSG00000171596/ENSG00000204174/ENSG00000264717/ENSG00000288611",7
"GO:0022836","GO:0022836","gated channel activity","20/517","334/21348",0.0598802395209581,2.47257901990989,4.27322849078755,0.000204770614622319,0.0174822912233805,0.015115304579358,"ENSG00000011677/ENSG00000073464/ENSG00000102287/ENSG00000116396/ENSG00000117971/ENSG00000136295/ENSG00000140015/ENSG00000144481/ENSG00000145936/ENSG00000148408/ENSG00000164626/ENSG00000166736/ENSG00000168135/ENSG00000169427/ENSG00000183960/ENSG00000186297/ENSG00000198515/ENSG00000198838/ENSG00000268089/ENSG00000273079",20
"GO:0042923","GO:0042923","neuropeptide binding","6/517","37/21348",0.162162162162162,6.69601129175597,5.46296510192861,0.000240665635939044,0.0182638477051519,0.0157910434809127,"ENSG00000082556/ENSG00000171596/ENSG00000174948/ENSG00000204174/ENSG00000264717/ENSG00000288611",6
"GO:0046873","GO:0046873","metal ion transmembrane transporter activity","25/517","478/21348",0.0523012552301255,2.15962707282924,4.03951948015037,0.00028663485091717,0.0186982498975841,0.0161666304886255,"ENSG00000067842/ENSG00000072041/ENSG00000074803/ENSG00000100170/ENSG00000103546/ENSG00000105143/ENSG00000116396/ENSG00000119121/ENSG00000132164/ENSG00000140015/ENSG00000144481/ENSG00000145936/ENSG00000148408/ENSG00000164626/ENSG00000168135/ENSG00000169427/ENSG00000172548/ENSG00000183873/ENSG00000183960/ENSG00000186009/ENSG00000196660/ENSG00000197506/ENSG00000198515/ENSG00000198838/ENSG00000273079",25
"GO:0005216","GO:0005216","monoatomic ion channel activity","25/517","481/21348",0.051975051975052,2.1461574653064,4.00539595364515,0.000314701511228818,0.0186982498975841,0.0161666304886255,"ENSG00000011677/ENSG00000073464/ENSG00000102287/ENSG00000116396/ENSG00000117971/ENSG00000119121/ENSG00000136295/ENSG00000140015/ENSG00000144481/ENSG00000145936/ENSG00000148408/ENSG00000162399/ENSG00000163982/ENSG00000164626/ENSG00000166736/ENSG00000168135/ENSG00000169427/ENSG00000174502/ENSG00000183873/ENSG00000183960/ENSG00000186297/ENSG00000198515/ENSG00000198838/ENSG00000268089/ENSG00000273079",25
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","11/517","130/21348",0.0846153846153846,3.49394435351882,4.49329414450328,0.000328519763939983,0.0186982498975841,0.0161666304886255,"ENSG00000026025/ENSG00000104833/ENSG00000148798/ENSG00000171346/ENSG00000176014/ENSG00000182253/ENSG00000186081/ENSG00000186832/ENSG00000198947/ENSG00000205420/ENSG00000258947",11
"GO:0015293","GO:0015293","symporter activity","12/517","155/21348",0.0774193548387097,3.19680539090285,4.32434019805254,0.000405532389592917,0.0213060478532279,0.0184213498430467,"ENSG00000072041/ENSG00000074803/ENSG00000088386/ENSG00000100170/ENSG00000103546/ENSG00000105143/ENSG00000132164/ENSG00000146411/ENSG00000174358/ENSG00000186335/ENSG00000197106/ENSG00000197506",12
