"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022836","GO:0022836","gated channel activity","23/432","334/21348",0.0688622754491018,3.40294411177645,6.36111901677245,3.76813193691628e-07,0.000149516413725542,0.000127515047716907,"ENSG00000007402/ENSG00000011021/ENSG00000075461/ENSG00000099337/ENSG00000103534/ENSG00000108878/ENSG00000120251/ENSG00000124249/ENSG00000129159/ENSG00000143473/ENSG00000144191/ENSG00000146950/ENSG00000149403/ENSG00000152049/ENSG00000157388/ENSG00000162989/ENSG00000165548/ENSG00000166006/ENSG00000167608/ENSG00000170745/ENSG00000187486/ENSG00000188869/ENSG00000196557",23
"GO:0046873","GO:0046873","metal ion transmembrane transporter activity","28/432","478/21348",0.0585774058577406,2.89470013947001,6.020938521347,5.71716980990994e-07,0.000149516413725542,0.000127515047716907,"ENSG00000007402/ENSG00000050438/ENSG00000064270/ENSG00000075461/ENSG00000099337/ENSG00000108576/ENSG00000108878/ENSG00000110436/ENSG00000123191/ENSG00000124249/ENSG00000129159/ENSG00000132681/ENSG00000133195/ENSG00000141424/ENSG00000143473/ENSG00000144191/ENSG00000146950/ENSG00000149403/ENSG00000152049/ENSG00000157388/ENSG00000162975/ENSG00000162989/ENSG00000164756/ENSG00000166006/ENSG00000170482/ENSG00000170745/ENSG00000187486/ENSG00000196557",28
"GO:0005244","GO:0005244","voltage-gated monoatomic ion channel activity","16/432","180/21348",0.0888888888888889,4.39259259259259,6.56899650057475,8.46434637157829e-07,0.000149516413725542,0.000127515047716907,"ENSG00000007402/ENSG00000011021/ENSG00000075461/ENSG00000099337/ENSG00000108878/ENSG00000124249/ENSG00000129159/ENSG00000143473/ENSG00000152049/ENSG00000157388/ENSG00000162989/ENSG00000166006/ENSG00000167608/ENSG00000170745/ENSG00000187486/ENSG00000196557",16
"GO:0022832","GO:0022832","voltage-gated channel activity","16/432","182/21348",0.0879120879120879,4.34432234432234,6.51171539059822,9.81182869943497e-07,0.000149516413725542,0.000127515047716907,"ENSG00000007402/ENSG00000011021/ENSG00000075461/ENSG00000099337/ENSG00000108878/ENSG00000124249/ENSG00000129159/ENSG00000143473/ENSG00000152049/ENSG00000157388/ENSG00000162989/ENSG00000166006/ENSG00000167608/ENSG00000170745/ENSG00000187486/ENSG00000196557",16
"GO:0022843","GO:0022843","voltage-gated monoatomic cation channel activity","14/432","142/21348",0.0985915492957746,4.87206572769953,6.65316809646141,1.19231589892777e-06,0.000149516413725542,0.000127515047716907,"ENSG00000007402/ENSG00000075461/ENSG00000099337/ENSG00000108878/ENSG00000124249/ENSG00000129159/ENSG00000143473/ENSG00000152049/ENSG00000157388/ENSG00000162989/ENSG00000166006/ENSG00000170745/ENSG00000187486/ENSG00000196557",14
"GO:0005216","GO:0005216","monoatomic ion channel activity","27/432","481/21348",0.0561330561330561,2.77390852390852,5.6551578617984,2.05293859878773e-06,0.000214532083573317,0.000182963650558625,"ENSG00000007402/ENSG00000011021/ENSG00000075461/ENSG00000099337/ENSG00000103534/ENSG00000108576/ENSG00000108878/ENSG00000115902/ENSG00000120251/ENSG00000124249/ENSG00000129159/ENSG00000143473/ENSG00000144191/ENSG00000146950/ENSG00000149403/ENSG00000152049/ENSG00000157388/ENSG00000159212/ENSG00000162975/ENSG00000162989/ENSG00000165548/ENSG00000166006/ENSG00000167608/ENSG00000170745/ENSG00000187486/ENSG00000188869/ENSG00000196557",27
"GO:0005261","GO:0005261","monoatomic cation channel activity","21/432","353/21348",0.0594900849858357,2.93980169971671,5.28150542983323,1.18554990981578e-05,0.000944217627221069,0.00080527584089365,"ENSG00000007402/ENSG00000075461/ENSG00000099337/ENSG00000108576/ENSG00000108878/ENSG00000120251/ENSG00000124249/ENSG00000129159/ENSG00000143473/ENSG00000144191/ENSG00000146950/ENSG00000149403/ENSG00000152049/ENSG00000157388/ENSG00000162975/ENSG00000162989/ENSG00000165548/ENSG00000166006/ENSG00000170745/ENSG00000187486/ENSG00000196557",21
"GO:0008392","GO:0008392","arachidonate epoxygenase activity","5/432","16/21348",0.3125,15.4427083333333,8.30546259333514,1.20474338401412e-05,0.000944217627221069,0.00080527584089365,"ENSG00000186115/ENSG00000186160/ENSG00000197408/ENSG00000198077/ENSG00000255974",5
"GO:0008391","GO:0008391","arachidonate monooxygenase activity","5/432","18/21348",0.277777777777778,13.7268518518519,7.76305736506748,2.28541404066369e-05,0.00159217178166237,0.00135788343000837,"ENSG00000186115/ENSG00000186160/ENSG00000197408/ENSG00000198077/ENSG00000255974",5
"GO:0005267","GO:0005267","potassium channel activity","11/432","123/21348",0.0894308943089431,4.41937669376694,5.46571063225761,4.14676758558772e-05,0.0026000232761635,0.00221742940366164,"ENSG00000099337/ENSG00000124249/ENSG00000129159/ENSG00000143473/ENSG00000149403/ENSG00000152049/ENSG00000162975/ENSG00000162989/ENSG00000166006/ENSG00000170745/ENSG00000187486",11
