"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030098","GO:0030098","lymphocyte differentiation","39/259","484/21468",0.0805785123966942,6.67899422444877,13.9645013762918,4.36141080182447e-21,1.28181863465621e-17,1.02194741524855e-17,"ENSG00000049249/ENSG00000049768/ENSG00000089692/ENSG00000100060/ENSG00000102524/ENSG00000104951/ENSG00000105369/ENSG00000107738/ENSG00000111537/ENSG00000113302/ENSG00000117215/ENSG00000117322/ENSG00000121594/ENSG00000125245/ENSG00000126353/ENSG00000127951/ENSG00000134321/ENSG00000138684/ENSG00000147168/ENSG00000150782/ENSG00000151651/ENSG00000154822/ENSG00000156738/ENSG00000158714/ENSG00000160856/ENSG00000161405/ENSG00000163508/ENSG00000163599/ENSG00000167286/ENSG00000169884/ENSG00000171522/ENSG00000171855/ENSG00000172724/ENSG00000177455/ENSG00000180549/ENSG00000182393/ENSG00000196092/ENSG00000197272/ENSG00000203710",39
"GO:0070098","GO:0070098","chemokine-mediated signaling pathway","19/259","108/21468",0.175925925925926,14.5821535821536,15.6370690781959,4.61571403092143e-17,6.45629574073934e-14,5.14736996790379e-14,"ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000121966/ENSG00000126353/ENSG00000131142/ENSG00000138755/ENSG00000156234/ENSG00000160683/ENSG00000169245/ENSG00000169248/ENSG00000172156/ENSG00000172724/ENSG00000179934/ENSG00000181374/ENSG00000183813/ENSG00000186810/ENSG00000274736",19
"GO:0006959","GO:0006959","humoral immune response","32/259","418/21468",0.076555023923445,6.34549518760045,12.1962269674777,8.65478431327903e-17,6.45629574073934e-14,5.14736996790379e-14,"ENSG00000090382/ENSG00000102794/ENSG00000102970/ENSG00000104921/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000111537/ENSG00000117322/ENSG00000125730/ENSG00000126353/ENSG00000126759/ENSG00000131142/ENSG00000132465/ENSG00000138755/ENSG00000149131/ENSG00000155659/ENSG00000156234/ENSG00000156738/ENSG00000162894/ENSG00000167207/ENSG00000169245/ENSG00000169248/ENSG00000171855/ENSG00000172156/ENSG00000172724/ENSG00000181374/ENSG00000188389/ENSG00000197721/ENSG00000203710/ENSG00000226979/ENSG00000274736",32
"GO:0046651","GO:0046651","lymphocyte proliferation","31/259","389/21468",0.0796915167095116,6.60547289853202,12.3292744485973,8.78706463523558e-17,6.45629574073934e-14,5.14736996790379e-14,"ENSG00000013725/ENSG00000027869/ENSG00000049249/ENSG00000049768/ENSG00000090659/ENSG00000102524/ENSG00000102879/ENSG00000104951/ENSG00000105369/ENSG00000107738/ENSG00000113302/ENSG00000117215/ENSG00000117322/ENSG00000121594/ENSG00000131203/ENSG00000138684/ENSG00000150782/ENSG00000154822/ENSG00000155659/ENSG00000156738/ENSG00000160856/ENSG00000161405/ENSG00000163599/ENSG00000169194/ENSG00000170476/ENSG00000171855/ENSG00000172724/ENSG00000177455/ENSG00000197272/ENSG00000203710/ENSG00000203747",31
"GO:0032943","GO:0032943","mononuclear cell proliferation","31/259","397/21468",0.0780856423173804,6.47236513231475,12.161949928142,1.55782941329651e-16,9.15692129135688e-14,7.30048057683796e-14,"ENSG00000013725/ENSG00000027869/ENSG00000049249/ENSG00000049768/ENSG00000090659/ENSG00000102524/ENSG00000102879/ENSG00000104951/ENSG00000105369/ENSG00000107738/ENSG00000113302/ENSG00000117215/ENSG00000117322/ENSG00000121594/ENSG00000131203/ENSG00000138684/ENSG00000150782/ENSG00000154822/ENSG00000155659/ENSG00000156738/ENSG00000160856/ENSG00000161405/ENSG00000163599/ENSG00000169194/ENSG00000170476/ENSG00000171855/ENSG00000172724/ENSG00000177455/ENSG00000197272/ENSG00000203710/ENSG00000203747",31
"GO:1990868","GO:1990868","response to chemokine","19/259","117/21468",0.162393162393162,13.4604494604495,14.9345792834241,2.19996186163889e-16,9.23669701622386e-14,7.36408286317018e-14,"ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000121966/ENSG00000126353/ENSG00000131142/ENSG00000138755/ENSG00000156234/ENSG00000160683/ENSG00000169245/ENSG00000169248/ENSG00000172156/ENSG00000172724/ENSG00000179934/ENSG00000181374/ENSG00000183813/ENSG00000186810/ENSG00000274736",19
"GO:1990869","GO:1990869","cellular response to chemokine","19/259","117/21468",0.162393162393162,13.4604494604495,14.9345792834241,2.19996186163889e-16,9.23669701622386e-14,7.36408286317018e-14,"ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000121966/ENSG00000126353/ENSG00000131142/ENSG00000138755/ENSG00000156234/ENSG00000160683/ENSG00000169245/ENSG00000169248/ENSG00000172156/ENSG00000172724/ENSG00000179934/ENSG00000181374/ENSG00000183813/ENSG00000186810/ENSG00000274736",19
"GO:0030217","GO:0030217","T cell differentiation","29/259","369/21468",0.0785907859078591,6.51423548984525,11.807093983636,1.32874745623315e-15,4.88148596733653e-13,3.89183136523025e-13,"ENSG00000049249/ENSG00000049768/ENSG00000089692/ENSG00000104951/ENSG00000107738/ENSG00000111537/ENSG00000113302/ENSG00000117215/ENSG00000121594/ENSG00000125245/ENSG00000126353/ENSG00000127951/ENSG00000134321/ENSG00000138684/ENSG00000147168/ENSG00000150782/ENSG00000151651/ENSG00000161405/ENSG00000163508/ENSG00000163599/ENSG00000167286/ENSG00000169884/ENSG00000171522/ENSG00000171855/ENSG00000172724/ENSG00000180549/ENSG00000182393/ENSG00000197272/ENSG00000203710",29
"GO:0070661","GO:0070661","leukocyte proliferation","31/259","438/21468",0.0707762557077626,5.8665044692442,11.3712971791656,2.39301585071457e-15,7.81452620583347e-13,6.2302377587025e-13,"ENSG00000013725/ENSG00000027869/ENSG00000049249/ENSG00000049768/ENSG00000090659/ENSG00000102524/ENSG00000102879/ENSG00000104951/ENSG00000105369/ENSG00000107738/ENSG00000113302/ENSG00000117215/ENSG00000117322/ENSG00000121594/ENSG00000131203/ENSG00000138684/ENSG00000150782/ENSG00000154822/ENSG00000155659/ENSG00000156738/ENSG00000160856/ENSG00000161405/ENSG00000163599/ENSG00000169194/ENSG00000170476/ENSG00000171855/ENSG00000172724/ENSG00000177455/ENSG00000197272/ENSG00000203710/ENSG00000203747",31
"GO:0001906","GO:0001906","cell killing","31/259","471/21468",0.0658174097664544,5.45547549369205,10.8044173801541,1.7384416054638e-14,4.91932358058535e-12,3.92199791922888e-12,"ENSG00000035720/ENSG00000089692/ENSG00000090382/ENSG00000100453/ENSG00000102879/ENSG00000102970/ENSG00000104921/ENSG00000108702/ENSG00000111537/ENSG00000113302/ENSG00000125730/ENSG00000131142/ENSG00000138684/ENSG00000138755/ENSG00000150337/ENSG00000150782/ENSG00000154451/ENSG00000156234/ENSG00000158477/ENSG00000158485/ENSG00000169194/ENSG00000169245/ENSG00000169248/ENSG00000172156/ENSG00000172243/ENSG00000172724/ENSG00000181374/ENSG00000189013/ENSG00000197721/ENSG00000203710/ENSG00000203747",31
"GO:0050900","GO:0050900","leukocyte migration","31/259","472/21468",0.0656779661016949,5.44391728290033,10.788079742642,1.84118949936845e-14,4.91932358058535e-12,3.92199791922888e-12,"ENSG00000007908/ENSG00000035720/ENSG00000102879/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000121966/ENSG00000125245/ENSG00000126353/ENSG00000131142/ENSG00000136286/ENSG00000138755/ENSG00000151651/ENSG00000153898/ENSG00000154165/ENSG00000156234/ENSG00000158714/ENSG00000160683/ENSG00000163606/ENSG00000167207/ENSG00000169245/ENSG00000169248/ENSG00000171522/ENSG00000172156/ENSG00000172724/ENSG00000180549/ENSG00000181374/ENSG00000186810/ENSG00000188404/ENSG00000188822/ENSG00000274736",31
