"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003012","GO:0003012","muscle system process","42/471","489/21468",0.0858895705521472,3.91481380172717,9.76540732649925,4.82925829028117e-14,2.04422503427602e-10,1.54231259502243e-10,"ENSG00000006704/ENSG00000007314/ENSG00000017427/ENSG00000018625/ENSG00000034971/ENSG00000076555/ENSG00000100678/ENSG00000105974/ENSG00000111262/ENSG00000115353/ENSG00000118729/ENSG00000119508/ENSG00000120049/ENSG00000120907/ENSG00000121361/ENSG00000123358/ENSG00000124205/ENSG00000130037/ENSG00000130595/ENSG00000131730/ENSG00000132170/ENSG00000133392/ENSG00000134548/ENSG00000136160/ENSG00000136546/ENSG00000141052/ENSG00000145362/ENSG00000148180/ENSG00000149925/ENSG00000153253/ENSG00000163884/ENSG00000164530/ENSG00000166257/ENSG00000168356/ENSG00000174697/ENSG00000175084/ENSG00000177098/ENSG00000180509/ENSG00000182132/ENSG00000186439/ENSG00000187955/ENSG00000266964",42
"GO:0060047","GO:0060047","heart contraction","30/471","269/21468",0.111524163568773,5.08322875476523,10.0934508194566,3.03942350216162e-13,6.43293984232508e-10,4.85347942397809e-10,"ENSG00000007314/ENSG00000018625/ENSG00000043591/ENSG00000100678/ENSG00000102683/ENSG00000105974/ENSG00000116016/ENSG00000118729/ENSG00000120049/ENSG00000120907/ENSG00000121361/ENSG00000124205/ENSG00000129244/ENSG00000130037/ENSG00000134548/ENSG00000136160/ENSG00000136546/ENSG00000145362/ENSG00000148180/ENSG00000153253/ENSG00000166148/ENSG00000166257/ENSG00000168356/ENSG00000173641/ENSG00000175084/ENSG00000177098/ENSG00000180509/ENSG00000182132/ENSG00000186439/ENSG00000266964",30
"GO:0003015","GO:0003015","heart process","30/471","278/21468",0.107913669064748,4.91866379507859,9.84946024540387,7.1961248089224e-13,1.01537321053895e-09,7.66071672641073e-10,"ENSG00000007314/ENSG00000018625/ENSG00000043591/ENSG00000100678/ENSG00000102683/ENSG00000105974/ENSG00000116016/ENSG00000118729/ENSG00000120049/ENSG00000120907/ENSG00000121361/ENSG00000124205/ENSG00000129244/ENSG00000130037/ENSG00000134548/ENSG00000136160/ENSG00000136546/ENSG00000145362/ENSG00000148180/ENSG00000153253/ENSG00000166148/ENSG00000166257/ENSG00000168356/ENSG00000173641/ENSG00000175084/ENSG00000177098/ENSG00000180509/ENSG00000182132/ENSG00000186439/ENSG00000266964",30
"GO:0019216","GO:0019216","regulation of lipid metabolic process","33/471","375/21468",0.088,4.01100636942675,8.80999454170545,1.44202286233651e-11,1.52602069406762e-08,1.15134141166552e-08,"ENSG00000004799/ENSG00000009950/ENSG00000067113/ENSG00000069122/ENSG00000076555/ENSG00000084674/ENSG00000094963/ENSG00000101255/ENSG00000105974/ENSG00000113648/ENSG00000114771/ENSG00000114859/ENSG00000115361/ENSG00000118432/ENSG00000124253/ENSG00000130173/ENSG00000132170/ENSG00000138039/ENSG00000138135/ENSG00000145335/ENSG00000151468/ENSG00000153162/ENSG00000164849/ENSG00000166148/ENSG00000167910/ENSG00000170509/ENSG00000174697/ENSG00000176194/ENSG00000181092/ENSG00000182782/ENSG00000187288/ENSG00000196139/ENSG00000198848",33
"GO:0006936","GO:0006936","muscle contraction","32/471","378/21468",0.0846560846560847,3.85859198598052,8.39802744285888,8.09268955967885e-11,6.85127098122411e-08,5.1690989734875e-08,"ENSG00000007314/ENSG00000018625/ENSG00000100678/ENSG00000105974/ENSG00000111262/ENSG00000115353/ENSG00000118729/ENSG00000120049/ENSG00000120907/ENSG00000121361/ENSG00000123358/ENSG00000124205/ENSG00000130037/ENSG00000130595/ENSG00000131730/ENSG00000133392/ENSG00000134548/ENSG00000136160/ENSG00000136546/ENSG00000141052/ENSG00000145362/ENSG00000148180/ENSG00000149925/ENSG00000153253/ENSG00000166257/ENSG00000168356/ENSG00000175084/ENSG00000177098/ENSG00000180509/ENSG00000182132/ENSG00000186439/ENSG00000266964",32
"GO:0003018","GO:0003018","vascular process in circulatory system","28/471","303/21468",0.0924092409240924,4.21197788568666,8.43339091906675,1.70349969801945e-10,1.20181903695272e-07,9.06740014700177e-08,"ENSG00000018625/ENSG00000043591/ENSG00000085563/ENSG00000105974/ENSG00000109610/ENSG00000115353/ENSG00000118777/ENSG00000120156/ENSG00000120907/ENSG00000121361/ENSG00000124205/ENSG00000126895/ENSG00000129244/ENSG00000130037/ENSG00000135218/ENSG00000136160/ENSG00000139155/ENSG00000146477/ENSG00000152779/ENSG00000153162/ENSG00000165349/ENSG00000166148/ENSG00000169418/ENSG00000174697/ENSG00000179776/ENSG00000181856/ENSG00000186642/ENSG00000188778",28
"GO:0008016","GO:0008016","regulation of heart contraction","24/471","228/21468",0.105263157894737,4.79785450888367,8.6346750496134,2.49358164768819e-10,1.50790444495202e-07,1.13767319084e-07,"ENSG00000018625/ENSG00000043591/ENSG00000100678/ENSG00000105974/ENSG00000116016/ENSG00000118729/ENSG00000120049/ENSG00000120907/ENSG00000121361/ENSG00000124205/ENSG00000129244/ENSG00000130037/ENSG00000134548/ENSG00000136160/ENSG00000145362/ENSG00000166148/ENSG00000166257/ENSG00000173641/ENSG00000175084/ENSG00000177098/ENSG00000180509/ENSG00000182132/ENSG00000186439/ENSG00000266964",24
"GO:1903522","GO:1903522","regulation of blood circulation","27/471","290/21468",0.0931034482758621,4.24361959147815,8.32921263883319,3.07060190640648e-10,1.62473223372733e-07,1.2258166031628e-07,"ENSG00000018625/ENSG00000043591/ENSG00000100678/ENSG00000105974/ENSG00000115353/ENSG00000116016/ENSG00000118729/ENSG00000120049/ENSG00000120907/ENSG00000121361/ENSG00000124205/ENSG00000126895/ENSG00000129244/ENSG00000130037/ENSG00000134548/ENSG00000136160/ENSG00000145362/ENSG00000166148/ENSG00000166257/ENSG00000173641/ENSG00000174697/ENSG00000175084/ENSG00000177098/ENSG00000180509/ENSG00000182132/ENSG00000186439/ENSG00000266964",27
"GO:0006066","GO:0006066","alcohol metabolic process","31/471","395/21468",0.0784810126582278,3.57713456421833,7.74265605662919,1.03765573195703e-09,4.88044079263789e-07,3.68216080790366e-07,"ENSG00000017427/ENSG00000067113/ENSG00000074660/ENSG00000078549/ENSG00000079435/ENSG00000084674/ENSG00000114859/ENSG00000115361/ENSG00000124253/ENSG00000128918/ENSG00000135437/ENSG00000136160/ENSG00000138039/ENSG00000138135/ENSG00000138207/ENSG00000145335/ENSG00000151632/ENSG00000153162/ENSG00000162407/ENSG00000164849/ENSG00000165092/ENSG00000167910/ENSG00000174697/ENSG00000187134/ENSG00000187758/ENSG00000196139/ENSG00000196616/ENSG00000198075/ENSG00000198099/ENSG00000198848/ENSG00000248144",31
"GO:0008217","GO:0008217","regulation of blood pressure","22/471","208/21468",0.105769230769231,4.82092111709946,8.29345737215975,1.28196415073356e-09,5.42655425005518e-07,4.09418866665856e-07,"ENSG00000018625/ENSG00000043591/ENSG00000092009/ENSG00000100448/ENSG00000103647/ENSG00000115353/ENSG00000118432/ENSG00000120907/ENSG00000121361/ENSG00000124205/ENSG00000126895/ENSG00000132170/ENSG00000133116/ENSG00000134548/ENSG00000136160/ENSG00000139567/ENSG00000166148/ENSG00000169418/ENSG00000174697/ENSG00000181092/ENSG00000185897/ENSG00000188778",22
