"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098739","GO:0098739","import across plasma membrane","25/746","225/21468",0.111111111111111,3.19749776586238,6.28710963849472,3.27565716074711e-07,0.0014157390248749,0.00132681355311104,"ENSG00000003989/ENSG00000088386/ENSG00000092068/ENSG00000101188/ENSG00000105143/ENSG00000106688/ENSG00000110436/ENSG00000115902/ENSG00000130234/ENSG00000132326/ENSG00000132681/ENSG00000133195/ENSG00000141424/ENSG00000144191/ENSG00000148408/ENSG00000157388/ENSG00000162989/ENSG00000164626/ENSG00000164756/ENSG00000168135/ENSG00000169427/ENSG00000179841/ENSG00000187486/ENSG00000196557/ENSG00000197496",25
"GO:0007218","GO:0007218","neuropeptide signaling pathway","17/746","123/21468",0.138211382113821,3.97737526973125,6.28314829578021,1.25066565485441e-06,0.00198525603677716,0.0018605580334442,"ENSG00000069482/ENSG00000082556/ENSG00000092445/ENSG00000101188/ENSG00000101292/ENSG00000102109/ENSG00000109255/ENSG00000126010/ENSG00000163421/ENSG00000164128/ENSG00000171596/ENSG00000180269/ENSG00000182379/ENSG00000197696/ENSG00000204174/ENSG00000264717/ENSG00000288611",17
"GO:0015695","GO:0015695","organic cation transport","18/746","138/21468",0.130434782608696,3.75358433383844,6.15717865016762,1.45115497434801e-06,0.00198525603677716,0.0018605580334442,"ENSG00000003989/ENSG00000072041/ENSG00000092068/ENSG00000103546/ENSG00000106688/ENSG00000110436/ENSG00000115902/ENSG00000130234/ENSG00000150594/ENSG00000156398/ENSG00000164638/ENSG00000183780/ENSG00000186335/ENSG00000187714/ENSG00000197106/ENSG00000198246/ENSG00000204385/ENSG00000274286",18
"GO:0031424","GO:0031424","keratinization","14/746","89/21468",0.157303370786517,4.52679458987258,6.32587684745595,2.26479863534235e-06,0.00198525603677716,0.0018605580334442,"ENSG00000105141/ENSG00000135443/ENSG00000163207/ENSG00000169469/ENSG00000170423/ENSG00000170442/ENSG00000170454/ENSG00000170484/ENSG00000186081/ENSG00000186442/ENSG00000186832/ENSG00000205420/ENSG00000205426/ENSG00000244094",14
"GO:0006865","GO:0006865","amino acid transport","21/746","188/21468",0.111702127659574,3.21450573270207,5.78640968381929,2.59748222091634e-06,0.00198525603677716,0.0018605580334442,"ENSG00000003989/ENSG00000072041/ENSG00000092068/ENSG00000101188/ENSG00000103546/ENSG00000105143/ENSG00000106688/ENSG00000108576/ENSG00000110436/ENSG00000115902/ENSG00000130234/ENSG00000132164/ENSG00000132326/ENSG00000136295/ENSG00000144040/ENSG00000156398/ENSG00000164893/ENSG00000170893/ENSG00000183044/ENSG00000186335/ENSG00000197106",21
"GO:0015849","GO:0015849","organic acid transport","33/746","391/21468",0.0843989769820972,2.42878986307193,5.40992941126354,2.75602411398958e-06,0.00198525603677716,0.0018605580334442,"ENSG00000003989/ENSG00000069764/ENSG00000072041/ENSG00000091138/ENSG00000091262/ENSG00000092068/ENSG00000101188/ENSG00000105143/ENSG00000106688/ENSG00000108932/ENSG00000110436/ENSG00000115902/ENSG00000130234/ENSG00000132164/ENSG00000132326/ENSG00000136295/ENSG00000140284/ENSG00000144040/ENSG00000147872/ENSG00000156398/ENSG00000164638/ENSG00000164893/ENSG00000166426/ENSG00000169344/ENSG00000170482/ENSG00000170893/ENSG00000174502/ENSG00000183044/ENSG00000186335/ENSG00000187980/ENSG00000197106/ENSG00000197696/ENSG00000198049",33
"GO:0006836","GO:0006836","neurotransmitter transport","23/746","225/21468",0.102222222222222,2.94169794459339,5.55525837256437,4.0430788030408e-06,0.00249631236953462,0.00233951386978963,"ENSG00000007516/ENSG00000050438/ENSG00000067715/ENSG00000070748/ENSG00000072041/ENSG00000101098/ENSG00000103546/ENSG00000105143/ENSG00000106688/ENSG00000108576/ENSG00000110436/ENSG00000117016/ENSG00000117971/ENSG00000124493/ENSG00000132164/ENSG00000132326/ENSG00000164638/ENSG00000170743/ENSG00000178750/ENSG00000187714/ENSG00000197106/ENSG00000198246/ENSG00000268089",23
"GO:0015804","GO:0015804","neutral amino acid transport","11/746","60/21468",0.183333333333333,5.27587131367292,6.29290913042985,6.00723574781753e-06,0.00302000746944703,0.00283031460640351,"ENSG00000072041/ENSG00000092068/ENSG00000105143/ENSG00000106688/ENSG00000110436/ENSG00000115902/ENSG00000130234/ENSG00000156398/ENSG00000164893/ENSG00000186335/ENSG00000197106",11
"GO:0003002","GO:0003002","regionalization","36/746","464/21468",0.0775862068965517,2.23273550892114,5.09350983035812,6.70376092053406e-06,0.00302000746944703,0.00283031460640351,"ENSG00000007372/ENSG00000064218/ENSG00000075891/ENSG00000090539/ENSG00000090932/ENSG00000105877/ENSG00000107984/ENSG00000115507/ENSG00000116035/ENSG00000120094/ENSG00000128714/ENSG00000129295/ENSG00000129514/ENSG00000131668/ENSG00000135638/ENSG00000136099/ENSG00000136535/ENSG00000138083/ENSG00000138696/ENSG00000138795/ENSG00000140479/ENSG00000142700/ENSG00000160345/ENSG00000163064/ENSG00000164651/ENSG00000165556/ENSG00000165588/ENSG00000167646/ENSG00000170549/ENSG00000171243/ENSG00000173917/ENSG00000176165/ENSG00000183072/ENSG00000185008/ENSG00000187821/ENSG00000251493",36
"GO:0046942","GO:0046942","carboxylic acid transport","32/746","390/21468",0.0820512820512821,2.36122911940606,5.14740205474591,6.98752306674463e-06,0.00302000746944703,0.00283031460640351,"ENSG00000003989/ENSG00000069764/ENSG00000072041/ENSG00000091138/ENSG00000091262/ENSG00000092068/ENSG00000101188/ENSG00000105143/ENSG00000106688/ENSG00000108932/ENSG00000110436/ENSG00000115902/ENSG00000130234/ENSG00000132164/ENSG00000132326/ENSG00000136295/ENSG00000140284/ENSG00000144040/ENSG00000147872/ENSG00000156398/ENSG00000164893/ENSG00000166426/ENSG00000169344/ENSG00000170482/ENSG00000170893/ENSG00000174502/ENSG00000183044/ENSG00000186335/ENSG00000187980/ENSG00000197106/ENSG00000197696/ENSG00000198049",32
"GO:0045104","GO:0045104","intermediate filament cytoskeleton organization","15/746","112/21468",0.133928571428571,3.85412677135197,5.74594641595875,7.75819023527428e-06,0.0030482634724414,0.00285679579189813,"ENSG00000108417/ENSG00000131737/ENSG00000132688/ENSG00000135443/ENSG00000148798/ENSG00000170423/ENSG00000170442/ENSG00000170454/ENSG00000170484/ENSG00000182253/ENSG00000186081/ENSG00000186442/ENSG00000186832/ENSG00000205420/ENSG00000205426",15
"GO:0045103","GO:0045103","intermediate filament-based process","15/746","113/21468",0.132743362831858,3.82001945479134,5.70270354669148,8.66300457771636e-06,0.00312012548207418,0.0029241440013204,"ENSG00000108417/ENSG00000131737/ENSG00000132688/ENSG00000135443/ENSG00000148798/ENSG00000170423/ENSG00000170442/ENSG00000170454/ENSG00000170484/ENSG00000182253/ENSG00000186081/ENSG00000186442/ENSG00000186832/ENSG00000205420/ENSG00000205426",15
"GO:0045109","GO:0045109","intermediate filament organization","13/746","88/21468",0.147727272727273,4.25121862052157,5.79859686521647,1.05486616402769e-05,0.00350702427763667,0.00328674089002312,"ENSG00000108417/ENSG00000131737/ENSG00000135443/ENSG00000148798/ENSG00000170423/ENSG00000170442/ENSG00000170454/ENSG00000170484/ENSG00000186081/ENSG00000186442/ENSG00000186832/ENSG00000205420/ENSG00000205426",13
"GO:0006882","GO:0006882","intracellular zinc ion homeostasis","9/746","43/21468",0.209302325581395,6.0231934659268,6.25594576216494,1.37444006795795e-05,0.00424309283836733,0.00397657547481368,"ENSG00000106688/ENSG00000123191/ENSG00000141424/ENSG00000143546/ENSG00000163220/ENSG00000164756/ENSG00000187193/ENSG00000196660/ENSG00000205358",9
"GO:0042445","GO:0042445","hormone metabolic process","25/746","279/21468",0.0896057347670251,2.57862723053418,5.03576805199845,1.60033824734395e-05,0.00461110793668037,0.00432147479002071,"ENSG00000042445/ENSG00000062282/ENSG00000069482/ENSG00000086696/ENSG00000091831/ENSG00000100867/ENSG00000102109/ENSG00000105707/ENSG00000107485/ENSG00000115705/ENSG00000116745/ENSG00000124302/ENSG00000128510/ENSG00000129514/ENSG00000130234/ENSG00000135346/ENSG00000140479/ENSG00000148926/ENSG00000164756/ENSG00000170786/ENSG00000176928/ENSG00000196557/ENSG00000211452/ENSG00000227471/ENSG00000231852",25
"GO:1902692","GO:1902692","regulation of neuroblast proliferation","10/746","55/21468",0.181818181818182,5.23226907141116,5.96286688306374,1.71583317600406e-05,0.00463489436668098,0.00434376714556818,"ENSG00000006210/ENSG00000007372/ENSG00000089116/ENSG00000100146/ENSG00000130287/ENSG00000138083/ENSG00000142700/ENSG00000148704/ENSG00000157766/ENSG00000176165",10
"GO:0010466","GO:0010466","negative regulation of peptidase activity","21/746","216/21468",0.0972222222222222,2.79781054512958,5.03860313590445,2.25362584386024e-05,0.00571174887792704,0.00535298221638696,"ENSG00000011422/ENSG00000057149/ENSG00000075891/ENSG00000100985/ENSG00000101435/ENSG00000101441/ENSG00000102109/ENSG00000102313/ENSG00000122711/ENSG00000143369/ENSG00000160111/ENSG00000166396/ENSG00000166535/ENSG00000170054/ENSG00000170099/ENSG00000170367/ENSG00000170369/ENSG00000173335/ENSG00000181788/ENSG00000186910/ENSG00000206073",21
