"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005930","GO:0005930","axoneme","18/54","193/22654",0.0932642487046632,39.126079447323,26.0011036134013,1.84771438510778e-24,7.11758656009174e-23,4.28125507373939e-23,"ENSG00000007174/ENSG00000115423/ENSG00000122735/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000158486/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000167858/ENSG00000170788/ENSG00000179902/ENSG00000186471/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000215187",18
"GO:0097014","GO:0097014","ciliary plasm","18/54","194/22654",0.0927835051546392,38.9243986254296,25.9310566920634,2.03359616002621e-24,7.11758656009174e-23,4.28125507373939e-23,"ENSG00000007174/ENSG00000115423/ENSG00000122735/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000158486/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000167858/ENSG00000170788/ENSG00000179902/ENSG00000186471/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000215187",18
"GO:0031514","GO:0031514","motile cilium","20/54","332/22654",0.0602409638554217,25.2721999107541,21.7779578630272,2.40884193064962e-23,5.62063117151578e-22,3.38083077985911e-22,"ENSG00000007174/ENSG00000115423/ENSG00000118492/ENSG00000122735/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000158486/ENSG00000159625/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000165164/ENSG00000167858/ENSG00000170788/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000215187",20
"GO:0032838","GO:0032838","plasma membrane bounded cell projection cytoplasm","18/54","285/22654",0.0631578947368421,26.4959064327485,21.1726454356305,2.34519433796819e-21,4.10409009144433e-20,2.46862561891388e-20,"ENSG00000007174/ENSG00000115423/ENSG00000122735/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000158486/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000167858/ENSG00000170788/ENSG00000179902/ENSG00000186471/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000215187",18
"GO:0099568","GO:0099568","cytoplasmic region","18/54","321/22654",0.0560747663551402,23.5244029075805,19.8672516710298,2.0111117958216e-20,2.81555651415024e-19,1.69356782806029e-19,"ENSG00000007174/ENSG00000115423/ENSG00000122735/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000158486/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000167858/ENSG00000170788/ENSG00000179902/ENSG00000186471/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000215187",18
"GO:0097729","GO:0097729","9+2 motile cilium","15/54","242/22654",0.0619834710743802,26.0032139577594,19.1147550120844,1.03994030061946e-17,1.21326368405603e-16,7.29782667101373e-17,"ENSG00000007174/ENSG00000115423/ENSG00000118492/ENSG00000122735/ENSG00000151023/ENSG00000157330/ENSG00000158486/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085",15
"GO:0005879","GO:0005879","axonemal microtubule","10/54","57/22654",0.175438596491228,73.5997400909682,26.8257963804888,9.7125968198706e-17,9.7125968198706e-16,5.84216350067404e-16,"ENSG00000151023/ENSG00000157330/ENSG00000163060/ENSG00000163263/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000215187",10
"GO:0097649","GO:0097649","A axonemal microtubule","9/54","45/22654",0.2,83.9037037037037,27.2110334240359,1.02189933619326e-15,8.94161919169106e-15,5.37841755891192e-15,"ENSG00000151023/ENSG00000157330/ENSG00000163060/ENSG00000163263/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085",9
"GO:0160110","GO:0160110","axonemal microtubule doublet inner sheath","9/54","46/22654",0.195652173913043,82.0797101449275,26.9070170460379,1.26819544812468e-15,9.86374237430306e-15,5.93307811988154e-15,"ENSG00000151023/ENSG00000157330/ENSG00000163060/ENSG00000163263/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085",9
"GO:0097545","GO:0097545","axonemal doublet microtubule","9/54","49/22654",0.183673469387755,77.0544217687075,26.0510826034367,2.35222555924086e-15,1.6465578914686e-14,9.90410761785626e-15,"ENSG00000151023/ENSG00000157330/ENSG00000163060/ENSG00000163263/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085",9
