"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","52/343","468/22654",0.111111111111111,7.33851635892452,17.1799320646141,9.45705627101747e-30,2.89385921893135e-27,2.4687894265393e-27,"ENSG00000011465/ENSG00000038427/ENSG00000060718/ENSG00000077942/ENSG00000091986/ENSG00000101680/ENSG00000101825/ENSG00000101955/ENSG00000105664/ENSG00000106538/ENSG00000106624/ENSG00000106809/ENSG00000106819/ENSG00000106823/ENSG00000107562/ENSG00000107796/ENSG00000108821/ENSG00000111799/ENSG00000112769/ENSG00000115380/ENSG00000115414/ENSG00000117122/ENSG00000119681/ENSG00000123500/ENSG00000124491/ENSG00000129038/ENSG00000130635/ENSG00000132386/ENSG00000133110/ENSG00000136859/ENSG00000137573/ENSG00000140092/ENSG00000143196/ENSG00000144810/ENSG00000149294/ENSG00000154736/ENSG00000163520/ENSG00000164620/ENSG00000164692/ENSG00000164932/ENSG00000168542/ENSG00000170558/ENSG00000171502/ENSG00000172061/ENSG00000174348/ENSG00000182492/ENSG00000182534/ENSG00000186340/ENSG00000196569/ENSG00000197614/ENSG00000204262/ENSG00000206384",52
"GO:0005581","GO:0005581","collagen trimer","15/343","94/22654",0.159574468085106,10.5393586005831,11.4911622970797,1.17136671940562e-11,1.7921910806906e-09,1.52894182322418e-09,"ENSG00000060718/ENSG00000108821/ENSG00000111799/ENSG00000123500/ENSG00000130635/ENSG00000133466/ENSG00000144810/ENSG00000163145/ENSG00000164692/ENSG00000164932/ENSG00000168542/ENSG00000171502/ENSG00000183287/ENSG00000204262/ENSG00000206384",15
"GO:0005604","GO:0005604","basement membrane","13/343","93/22654",0.139784946236559,9.23232703219537,9.86359701547836,1.53061847405946e-09,1.56123084354065e-07,1.33190660198858e-07,"ENSG00000077942/ENSG00000091986/ENSG00000101680/ENSG00000107796/ENSG00000112769/ENSG00000115414/ENSG00000129038/ENSG00000130635/ENSG00000132386/ENSG00000144810/ENSG00000164620/ENSG00000186340/ENSG00000196569",13
"GO:0098644","GO:0098644","complex of collagen trimers","8/343","28/22654",0.285714285714286,18.8704706372345,11.7317154016676,6.07692792183774e-09,4.64884986020587e-07,3.96599506477832e-07,"ENSG00000060718/ENSG00000108821/ENSG00000123500/ENSG00000130635/ENSG00000144810/ENSG00000164692/ENSG00000168542/ENSG00000204262",8
"GO:0005583","GO:0005583","fibrillar collagen trimer","6/343","19/22654",0.315789473684211,20.8568359674697,10.7361112645321,2.64972497107102e-07,1.35135973524622e-05,1.1528627944309e-05,"ENSG00000060718/ENSG00000108821/ENSG00000130635/ENSG00000164692/ENSG00000168542/ENSG00000204262",6
"GO:0098643","GO:0098643","banded collagen fibril","6/343","19/22654",0.315789473684211,20.8568359674697,10.7361112645321,2.64972497107102e-07,1.35135973524622e-05,1.1528627944309e-05,"ENSG00000060718/ENSG00000108821/ENSG00000130635/ENSG00000164692/ENSG00000168542/ENSG00000204262",6
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","19/343","338/22654",0.0562130177514793,3.71268135318371,6.23016229698255,1.11860978101482e-06,4.88992275700764e-05,4.17165752919812e-05,"ENSG00000038427/ENSG00000060718/ENSG00000108821/ENSG00000111799/ENSG00000115414/ENSG00000123500/ENSG00000130635/ENSG00000144810/ENSG00000149380/ENSG00000154736/ENSG00000163430/ENSG00000164692/ENSG00000166035/ENSG00000168542/ENSG00000170558/ENSG00000171502/ENSG00000178031/ENSG00000183876/ENSG00000204262",19
"GO:0097060","GO:0097060","synaptic membrane","22/343","494/22654",0.0445344129554656,2.94134866207906,5.40919380031899,7.36415551394052e-06,0.000281678948408225,0.000240304022033849,"ENSG00000099250/ENSG00000101463/ENSG00000118946/ENSG00000121871/ENSG00000121904/ENSG00000123096/ENSG00000134115/ENSG00000134569/ENSG00000138435/ENSG00000145934/ENSG00000153956/ENSG00000157680/ENSG00000162383/ENSG00000165379/ENSG00000166250/ENSG00000166342/ENSG00000168959/ENSG00000170558/ENSG00000177707/ENSG00000178695/ENSG00000182771/ENSG00000185070",22
"GO:0045211","GO:0045211","postsynaptic membrane","17/343","356/22654",0.047752808988764,3.15391292953779,5.07891086590131,3.40516715069356e-05,0.00115775683123581,0.000987697606283044,"ENSG00000099250/ENSG00000101463/ENSG00000118946/ENSG00000121871/ENSG00000121904/ENSG00000123096/ENSG00000138435/ENSG00000145934/ENSG00000165379/ENSG00000166250/ENSG00000166342/ENSG00000168959/ENSG00000170558/ENSG00000177707/ENSG00000178695/ENSG00000182771/ENSG00000185070",17
"GO:0005925","GO:0005925","focal adhesion","20/343","498/22654",0.0401606425702811,2.65247579238236,4.62332585259559,8.11410710193629e-05,0.0024829167731925,0.00211820901187389,"ENSG00000073712/ENSG00000078098/ENSG00000099250/ENSG00000111859/ENSG00000122861/ENSG00000123384/ENSG00000124614/ENSG00000128591/ENSG00000131016/ENSG00000153071/ENSG00000157227/ENSG00000162614/ENSG00000162733/ENSG00000164741/ENSG00000170558/ENSG00000185070/ENSG00000196549/ENSG00000197635/ENSG00000197702/ENSG00000213949",20
