"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004745","GO:0004745","all-trans-retinol dehydrogenase (NAD+) activity","7/474","20/21348",0.35,15.7632911392405,9.95354702167902,1.536343610993e-07,8.15150609339024e-05,6.58926986008005e-05,"ENSG00000135437/ENSG00000170509/ENSG00000187758/ENSG00000196139/ENSG00000196616/ENSG00000198099/ENSG00000248144",7
"GO:0042562","GO:0042562","hormone binding","13/474","101/21348",0.128712871287129,5.796967038476,7.28170982802335,3.73644061442506e-07,8.15150609339024e-05,6.58926986008005e-05,"ENSG00000018625/ENSG00000064989/ENSG00000065325/ENSG00000078549/ENSG00000080293/ENSG00000106113/ENSG00000136160/ENSG00000138039/ENSG00000145708/ENSG00000165092/ENSG00000166148/ENSG00000169418/ENSG00000188778",13
"GO:0017046","GO:0017046","peptide hormone binding","10/474","57/21348",0.175438596491228,7.90139906728847,7.86196841985438,4.49407068331107e-07,8.15150609339024e-05,6.58926986008005e-05,"ENSG00000064989/ENSG00000065325/ENSG00000078549/ENSG00000080293/ENSG00000106113/ENSG00000136160/ENSG00000138039/ENSG00000145708/ENSG00000166148/ENSG00000169418",10
"GO:0004022","GO:0004022","alcohol dehydrogenase (NAD+) activity","7/474","23/21348",0.304347826086957,13.7072096862961,9.18807117620835,4.58593873045864e-07,8.15150609339024e-05,6.58926986008005e-05,"ENSG00000135437/ENSG00000170509/ENSG00000187758/ENSG00000196139/ENSG00000196616/ENSG00000198099/ENSG00000248144",7
"GO:0008528","GO:0008528","G protein-coupled peptide receptor activity","15/474","143/21348",0.104895104895105,4.72426307869346,6.73354843250817,7.16260203100599e-07,0.000101852200880905,8.23322254511426e-05,"ENSG00000064989/ENSG00000065325/ENSG00000078549/ENSG00000080293/ENSG00000106113/ENSG00000115353/ENSG00000126895/ENSG00000136160/ENSG00000138039/ENSG00000139874/ENSG00000164220/ENSG00000166148/ENSG00000169418/ENSG00000185149/ENSG00000204687",15
"GO:0001653","GO:0001653","peptide receptor activity","15/474","149/21348",0.100671140939597,4.5340242970011,6.52318558078402,1.21294295777478e-06,0.00012924056679432,0.000104471610733139,"ENSG00000064989/ENSG00000065325/ENSG00000078549/ENSG00000080293/ENSG00000106113/ENSG00000115353/ENSG00000126895/ENSG00000136160/ENSG00000138039/ENSG00000139874/ENSG00000164220/ENSG00000166148/ENSG00000169418/ENSG00000185149/ENSG00000204687",15
"GO:0005539","GO:0005539","glycosaminoglycan binding","21/474","279/21348",0.0752688172043011,3.38995508370764,6.05514622559065,1.27241064354464e-06,0.00012924056679432,0.000104471610733139,"ENSG00000069702/ENSG00000084674/ENSG00000100448/ENSG00000109610/ENSG00000133800/ENSG00000136011/ENSG00000136999/ENSG00000138685/ENSG00000145681/ENSG00000154734/ENSG00000163513/ENSG00000163710/ENSG00000164318/ENSG00000168477/ENSG00000168546/ENSG00000173432/ENSG00000174175/ENSG00000175445/ENSG00000188783/ENSG00000196104/ENSG00000205221",21
"GO:0019838","GO:0019838","growth factor binding","14/474","147/21348",0.0952380952380952,4.28933092224231,6.03035415473988,5.2778276581741e-06,0.000469066933120223,0.00037917025017935,"ENSG00000037280/ENSG00000064300/ENSG00000069702/ENSG00000101938/ENSG00000120156/ENSG00000123612/ENSG00000128052/ENSG00000133116/ENSG00000134962/ENSG00000135218/ENSG00000139567/ENSG00000140538/ENSG00000163513/ENSG00000175899",14
"GO:0005248","GO:0005248","voltage-gated sodium channel activity","6/474","22/21348",0.272727272727273,12.283084004603,7.97883007198605,6.40270754590345e-06,0.000505813896126373,0.000408874657317343,"ENSG00000007314/ENSG00000136546/ENSG00000153253/ENSG00000166257/ENSG00000168356/ENSG00000177098",6
"GO:0018455","GO:0018455","alcohol dehydrogenase [NAD(P)+] activity","9/474","66/21348",0.136363636363636,6.1415420023015,6.30396644275368,1.46479323289031e-05,0.00104146798858501,0.000841870637008537,"ENSG00000135437/ENSG00000151632/ENSG00000170509/ENSG00000187134/ENSG00000187758/ENSG00000196139/ENSG00000196616/ENSG00000198099/ENSG00000248144",9
