"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","36/324","195/21348",0.184615384615385,12.1641025641026,19.4418861167726,1.30520799838617e-28,6.3041546322052e-26,5.68795906665131e-26,"ENSG00000011465/ENSG00000038427/ENSG00000060718/ENSG00000077942/ENSG00000101680/ENSG00000101825/ENSG00000101955/ENSG00000105664/ENSG00000106624/ENSG00000106809/ENSG00000106819/ENSG00000108821/ENSG00000111799/ENSG00000112769/ENSG00000115380/ENSG00000115414/ENSG00000117122/ENSG00000119681/ENSG00000123500/ENSG00000130635/ENSG00000133110/ENSG00000140092/ENSG00000143196/ENSG00000144810/ENSG00000163520/ENSG00000164692/ENSG00000164932/ENSG00000168542/ENSG00000171502/ENSG00000174348/ENSG00000182492/ENSG00000186340/ENSG00000196569/ENSG00000197614/ENSG00000204262/ENSG00000206384",36
"GO:0005539","GO:0005539","glycosaminoglycan binding","31/324","279/21348",0.111111111111111,7.32098765432099,13.1931450841804,4.78652758391584e-18,1.15594641151567e-15,1.04295916828482e-15,"ENSG00000000971/ENSG00000011465/ENSG00000038427/ENSG00000060718/ENSG00000064205/ENSG00000083782/ENSG00000091986/ENSG00000099250/ENSG00000103888/ENSG00000104415/ENSG00000105664/ENSG00000106823/ENSG00000112902/ENSG00000113578/ENSG00000115414/ENSG00000119681/ENSG00000130635/ENSG00000133110/ENSG00000137573/ENSG00000140285/ENSG00000145147/ENSG00000154736/ENSG00000163430/ENSG00000166035/ENSG00000169218/ENSG00000173376/ENSG00000180875/ENSG00000182492/ENSG00000184347/ENSG00000186340/ENSG00000196562",31
"GO:0008201","GO:0008201","heparin binding","23/324","208/21348",0.110576923076923,7.2857905982906,11.3089514925267,1.21222726212611e-13,1.95168589202303e-11,1.76091960182529e-11,"ENSG00000000971/ENSG00000060718/ENSG00000064205/ENSG00000091986/ENSG00000099250/ENSG00000104415/ENSG00000105664/ENSG00000106823/ENSG00000113578/ENSG00000115414/ENSG00000119681/ENSG00000130635/ENSG00000133110/ENSG00000140285/ENSG00000145147/ENSG00000154736/ENSG00000163430/ENSG00000166035/ENSG00000169218/ENSG00000173376/ENSG00000180875/ENSG00000184347/ENSG00000186340",23
"GO:0005178","GO:0005178","integrin binding","21/324","177/21348",0.11864406779661,7.81732580037665,11.3061112042348,3.61553681590478e-13,4.36576070520502e-11,3.93903221522257e-11,"ENSG00000064205/ENSG00000073712/ENSG00000077942/ENSG00000078098/ENSG00000104415/ENSG00000105664/ENSG00000106823/ENSG00000107562/ENSG00000113578/ENSG00000115414/ENSG00000130635/ENSG00000140092/ENSG00000154736/ENSG00000157168/ENSG00000157227/ENSG00000165124/ENSG00000166086/ENSG00000167244/ENSG00000168542/ENSG00000204936/ENSG00000213949",21
"GO:1901681","GO:1901681","sulfur compound binding","26/324","310/21348",0.0838709677419355,5.52616487455197,9.96534291472621,1.96934561086694e-12,1.90238786009747e-10,1.71644017452403e-10,"ENSG00000000971/ENSG00000060718/ENSG00000064205/ENSG00000091986/ENSG00000099250/ENSG00000104415/ENSG00000105664/ENSG00000106823/ENSG00000112902/ENSG00000113578/ENSG00000115414/ENSG00000119681/ENSG00000123384/ENSG00000130635/ENSG00000133110/ENSG00000140285/ENSG00000145147/ENSG00000154736/ENSG00000163430/ENSG00000166035/ENSG00000169218/ENSG00000173376/ENSG00000173599/ENSG00000180875/ENSG00000184347/ENSG00000186340",26
"GO:0030020","GO:0030020","extracellular matrix structural constituent conferring tensile strength","11/324","53/21348",0.207547169811321,13.6750524109015,11.4691737647018,3.58988955762815e-10,2.88986109389066e-08,2.60739346817203e-08,"ENSG00000060718/ENSG00000108821/ENSG00000111799/ENSG00000123500/ENSG00000130635/ENSG00000144810/ENSG00000164692/ENSG00000168542/ENSG00000171502/ENSG00000204262/ENSG00000206384",11
"GO:0004222","GO:0004222","metalloendopeptidase activity","13/324","122/21348",0.10655737704918,7.02094717668488,8.27930551189467,4.44433160388926e-08,3.06658880668359e-06,2.76684704362429e-06,"ENSG00000038295/ENSG00000049192/ENSG00000095587/ENSG00000099953/ENSG00000123342/ENSG00000137675/ENSG00000137745/ENSG00000138316/ENSG00000148848/ENSG00000149968/ENSG00000154736/ENSG00000157227/ENSG00000196549",13
"GO:0050840","GO:0050840","extracellular matrix binding","10/324","74/21348",0.135135135135135,8.9039039039039,8.45505019194634,1.7171058595863e-07,1.03670266272523e-05,9.35370823511483e-06,"ENSG00000011465/ENSG00000060718/ENSG00000119681/ENSG00000145147/ENSG00000154736/ENSG00000162745/ENSG00000163520/ENSG00000172061/ENSG00000174807/ENSG00000182492",10
"GO:0005518","GO:0005518","collagen binding","11/324","95/21348",0.115789473684211,7.62923976608187,8.03893772961224,2.08697746573466e-07,1.12001123994427e-05,1.01053645709257e-05,"ENSG00000105664/ENSG00000106624/ENSG00000106823/ENSG00000115414/ENSG00000137745/ENSG00000162733/ENSG00000164620/ENSG00000172061/ENSG00000174348/ENSG00000183287/ENSG00000213949",11
"GO:0048407","GO:0048407","platelet-derived growth factor binding","5/324","12/21348",0.416666666666667,27.4537037037037,11.3789938522614,5.66676839841803e-07,2.73704913643591e-05,2.46951801783691e-05,"ENSG00000108821/ENSG00000130635/ENSG00000134853/ENSG00000164692/ENSG00000168542",5
"GO:0004252","GO:0004252","serine-type endopeptidase activity","15/324","206/21348",0.0728155339805825,4.79773462783171,6.79936642915629,6.44805787637007e-07,2.83128359480613e-05,2.55454158929876e-05,"ENSG00000038295/ENSG00000078098/ENSG00000095587/ENSG00000099139/ENSG00000099953/ENSG00000122861/ENSG00000123342/ENSG00000130032/ENSG00000137745/ENSG00000145244/ENSG00000149968/ENSG00000157227/ENSG00000167749/ENSG00000167751/ENSG00000197635",15
"GO:0030021","GO:0030021","extracellular matrix structural constituent conferring compression resistance","6/324","25/21348",0.24,15.8133333333333,9.19987449311155,1.62027353884867e-06,6.52160099386588e-05,5.88415127266095e-05,"ENSG00000011465/ENSG00000038427/ENSG00000106809/ENSG00000106819/ENSG00000174348/ENSG00000182492",6
"GO:0008236","GO:0008236","serine-type peptidase activity","15/324","224/21348",0.0669642857142857,4.41220238095238,6.37314746687974,1.85062578515401e-06,6.87578657099527e-05,6.20371720691302e-05,"ENSG00000038295/ENSG00000078098/ENSG00000095587/ENSG00000099139/ENSG00000099953/ENSG00000122861/ENSG00000123342/ENSG00000130032/ENSG00000137745/ENSG00000145244/ENSG00000149968/ENSG00000157227/ENSG00000167749/ENSG00000167751/ENSG00000197635",15
"GO:0043394","GO:0043394","proteoglycan binding","7/324","40/21348",0.175,11.5305555555556,8.27547996289367,2.10843127299034e-06,7.27408789181669e-05,6.56308681968423e-05,"ENSG00000000971/ENSG00000105664/ENSG00000112902/ENSG00000115414/ENSG00000123384/ENSG00000130635/ENSG00000145147",7
"GO:0017171","GO:0017171","serine hydrolase activity","15/324","228/21348",0.0657894736842105,4.33479532163743,6.28453148467444,2.30518030506322e-06,7.42268058230356e-05,6.69715541260472e-05,"ENSG00000038295/ENSG00000078098/ENSG00000095587/ENSG00000099139/ENSG00000099953/ENSG00000122861/ENSG00000123342/ENSG00000130032/ENSG00000137745/ENSG00000145244/ENSG00000149968/ENSG00000157227/ENSG00000167749/ENSG00000167751/ENSG00000197635",15
"GO:0008237","GO:0008237","metallopeptidase activity","14/324","202/21348",0.0693069306930693,4.56655665566557,6.3225744835672,2.73415569611146e-06,8.25373250763648e-05,7.44697669861938e-05,"ENSG00000038295/ENSG00000049192/ENSG00000095587/ENSG00000099953/ENSG00000106624/ENSG00000123342/ENSG00000137675/ENSG00000137745/ENSG00000138316/ENSG00000148848/ENSG00000149968/ENSG00000154736/ENSG00000157227/ENSG00000196549",14
"GO:0045499","GO:0045499","chemorepellent activity","6/324","29/21348",0.206896551724138,13.632183908046,8.45040026042219,4.12915094681523e-06,0.000117316465135986,0.000105849442227957,"ENSG00000075213/ENSG00000112902/ENSG00000153993/ENSG00000157168/ENSG00000185070/ENSG00000197635",6
"GO:0004175","GO:0004175","endopeptidase activity","21/324","455/21348",0.0461538461538462,3.04102564102564,5.46307311731411,7.05677327917398e-06,0.000189356749657835,0.000170848195180002,"ENSG00000038295/ENSG00000049192/ENSG00000078098/ENSG00000095587/ENSG00000099139/ENSG00000099953/ENSG00000122861/ENSG00000123342/ENSG00000130032/ENSG00000137675/ENSG00000137745/ENSG00000138316/ENSG00000145244/ENSG00000148848/ENSG00000149968/ENSG00000154736/ENSG00000157227/ENSG00000167749/ENSG00000167751/ENSG00000196549/ENSG00000197635",21
"GO:0008083","GO:0008083","growth factor activity","11/324","167/21348",0.0658682634730539,4.33998669328011,5.37914186593646,5.12307421446724e-05,0.00130233939241457,0.00117504306082517,"ENSG00000019991/ENSG00000106809/ENSG00000107562/ENSG00000113578/ENSG00000115380/ENSG00000122641/ENSG00000140285/ENSG00000157168/ENSG00000167244/ENSG00000183682/ENSG00000196468",11
"GO:0002020","GO:0002020","protease binding","11/324","181/21348",0.0607734806629834,4.00429711479435,5.03890034624191,0.000105746318951924,0.00255377360268898,0.00230415663400509,"ENSG00000078098/ENSG00000105664/ENSG00000108821/ENSG00000115414/ENSG00000115594/ENSG00000134121/ENSG00000164692/ENSG00000168542/ENSG00000183287/ENSG00000197635/ENSG00000204936",11
"GO:0043395","GO:0043395","heparan sulfate proteoglycan binding","4/324","21/21348",0.19047619047619,12.5502645502646,6.57385242749023,0.000254166666290035,0.00584583332467081,0.00527443608240975,"ENSG00000000971/ENSG00000105664/ENSG00000112902/ENSG00000123384",4
"GO:0005104","GO:0005104","fibroblast growth factor receptor binding","4/324","26/21348",0.153846153846154,10.1367521367521,5.78692433793294,0.000598044935975133,0.0131298047307268,0.0118464403585505,"ENSG00000113578/ENSG00000140285/ENSG00000185070/ENSG00000196468",4
"GO:0004065","GO:0004065","arylsulfatase activity","3/324","14/21348",0.214285714285714,14.1190476190476,6.09555756675866,0.00111353627431263,0.0233842617605652,0.0210985820396077,"ENSG00000137573/ENSG00000183876/ENSG00000196562",3
"GO:0046332","GO:0046332","SMAD binding","6/324","82/21348",0.0731707317073171,4.82113821138211,4.30368051747364,0.00155299519557231,0.0312540283108928,0.0281991232880236,"ENSG00000073712/ENSG00000149948/ENSG00000153071/ENSG00000164692/ENSG00000168542/ENSG00000204262",6
"GO:0001968","GO:0001968","fibronectin binding","4/324","35/21348",0.114285714285714,7.53015873015873,4.7997511773876,0.00188159737814359,0.0359788733132081,0.0324621413352253,"ENSG00000077942/ENSG00000091986/ENSG00000117122/ENSG00000172061",4
"GO:0070888","GO:0070888","E-box binding","5/324","59/21348",0.0847457627118644,5.58380414312618,4.37680989743356,0.00199946038677766,0.0359788733132081,0.0324621413352253,"ENSG00000122691/ENSG00000123095/ENSG00000148516/ENSG00000164107/ENSG00000187098",5
"GO:0008484","GO:0008484","sulfuric ester hydrolase activity","3/324","17/21348",0.176470588235294,11.6274509803922,5.44165769846827,0.00201124136533461,0.0359788733132081,0.0324621413352253,"ENSG00000137573/ENSG00000183876/ENSG00000196562",3
"GO:0003779","GO:0003779","actin binding","16/324","480/21348",0.0333333333333333,2.1962962962963,3.29080553455771,0.00289724703231162,0.0499775113073754,0.0450924914051508,"ENSG00000006788/ENSG00000007237/ENSG00000065534/ENSG00000073712/ENSG00000102271/ENSG00000109061/ENSG00000125414/ENSG00000128591/ENSG00000133816/ENSG00000134775/ENSG00000136541/ENSG00000149591/ENSG00000154553/ENSG00000162614/ENSG00000197702/ENSG00000204991",16
