"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022836","GO:0022836","gated channel activity","35/760","334/21348",0.104790419161677,2.94350772139931,6.87817594923269,1.27983428960414e-08,1.01362875736648e-05,8.86453644799497e-06,"ENSG00000007402/ENSG00000075429/ENSG00000075461/ENSG00000102287/ENSG00000103534/ENSG00000108878/ENSG00000116396/ENSG00000117971/ENSG00000120251/ENSG00000124249/ENSG00000136295/ENSG00000140015/ENSG00000143473/ENSG00000144191/ENSG00000144481/ENSG00000146950/ENSG00000148408/ENSG00000149403/ENSG00000152049/ENSG00000157388/ENSG00000162989/ENSG00000164626/ENSG00000165548/ENSG00000166006/ENSG00000166736/ENSG00000168135/ENSG00000169427/ENSG00000169684/ENSG00000170745/ENSG00000186297/ENSG00000187486/ENSG00000188869/ENSG00000196557/ENSG00000198515/ENSG00000268089",35
"GO:0046873","GO:0046873","metal ion transmembrane transporter activity","42/760","478/21348",0.0878661087866109,2.46811275049549,6.23706508005472,7.79185172226639e-08,3.08557328201749e-05,2.69844128065857e-05,"ENSG00000007402/ENSG00000050438/ENSG00000067842/ENSG00000072041/ENSG00000074370/ENSG00000075429/ENSG00000075461/ENSG00000103546/ENSG00000105143/ENSG00000106688/ENSG00000108576/ENSG00000108878/ENSG00000110436/ENSG00000116396/ENSG00000123191/ENSG00000124249/ENSG00000132164/ENSG00000132681/ENSG00000133195/ENSG00000140015/ENSG00000141424/ENSG00000143473/ENSG00000144191/ENSG00000144481/ENSG00000146950/ENSG00000148408/ENSG00000149403/ENSG00000152049/ENSG00000157388/ENSG00000162989/ENSG00000164626/ENSG00000164756/ENSG00000166006/ENSG00000168135/ENSG00000169427/ENSG00000170482/ENSG00000170745/ENSG00000172548/ENSG00000187486/ENSG00000196557/ENSG00000196660/ENSG00000198515",42
"GO:0005216","GO:0005216","monoatomic ion channel activity","41/760","481/21348",0.0852390852390852,2.39432104168946,5.94255832470179,2.51681728760464e-07,6.64439763927625e-05,5.81075710611878e-05,"ENSG00000007402/ENSG00000075429/ENSG00000075461/ENSG00000102287/ENSG00000103534/ENSG00000106688/ENSG00000108576/ENSG00000108878/ENSG00000115902/ENSG00000116396/ENSG00000117971/ENSG00000120251/ENSG00000124249/ENSG00000136295/ENSG00000140015/ENSG00000143473/ENSG00000144191/ENSG00000144481/ENSG00000146950/ENSG00000148408/ENSG00000149403/ENSG00000152049/ENSG00000157388/ENSG00000159212/ENSG00000162989/ENSG00000163982/ENSG00000164626/ENSG00000165548/ENSG00000166006/ENSG00000166736/ENSG00000168135/ENSG00000169427/ENSG00000169684/ENSG00000170745/ENSG00000174502/ENSG00000186297/ENSG00000187486/ENSG00000188869/ENSG00000196557/ENSG00000198515/ENSG00000268089",41
"GO:0030280","GO:0030280","structural constituent of skin epidermis","10/760","38/21348",0.263157894736842,7.39196675900277,7.57709483012903,5.89784524937172e-07,0.000113924022896741,9.96305250745022e-05,"ENSG00000135443/ENSG00000170423/ENSG00000170442/ENSG00000170454/ENSG00000170484/ENSG00000180316/ENSG00000186081/ENSG00000186442/ENSG00000205420/ENSG00000205426",10
"GO:0022843","GO:0022843","voltage-gated monoatomic cation channel activity","19/760","142/21348",0.133802816901408,3.75845070422535,6.33648136832674,7.19217316267303e-07,0.000113924022896741,9.96305250745022e-05,"ENSG00000007402/ENSG00000075429/ENSG00000075461/ENSG00000108878/ENSG00000116396/ENSG00000124249/ENSG00000140015/ENSG00000143473/ENSG00000148408/ENSG00000152049/ENSG00000157388/ENSG00000162989/ENSG00000164626/ENSG00000166006/ENSG00000168135/ENSG00000169427/ENSG00000170745/ENSG00000187486/ENSG00000196557",19
"GO:0005261","GO:0005261","monoatomic cation channel activity","31/760","353/21348",0.0878186968838527,2.46678097510064,5.33903567644703,3.97139875134607e-06,0.000524224635177681,0.000458452697962406,"ENSG00000007402/ENSG00000075429/ENSG00000075461/ENSG00000108576/ENSG00000108878/ENSG00000116396/ENSG00000117971/ENSG00000120251/ENSG00000124249/ENSG00000140015/ENSG00000143473/ENSG00000144191/ENSG00000144481/ENSG00000146950/ENSG00000148408/ENSG00000149403/ENSG00000152049/ENSG00000157388/ENSG00000162989/ENSG00000163982/ENSG00000164626/ENSG00000165548/ENSG00000166006/ENSG00000166736/ENSG00000168135/ENSG00000169427/ENSG00000169684/ENSG00000170745/ENSG00000187486/ENSG00000196557/ENSG00000198515",31
"GO:0005326","GO:0005326","neurotransmitter transmembrane transporter activity","7/760","21/21348",0.333333333333333,9.36315789473684,7.36687329806689,5.29684177138631e-06,0.000599299811848279,0.000524108554221382,"ENSG00000072041/ENSG00000103546/ENSG00000108576/ENSG00000164638/ENSG00000187714/ENSG00000198246/ENSG00000268089",7
"GO:0008188","GO:0008188","neuropeptide receptor activity","10/760","50/21348",0.2,5.61789473684211,6.2809850735994,8.70903634984268e-06,0.000862194598634425,0.000754019199762695,"ENSG00000069482/ENSG00000101188/ENSG00000101292/ENSG00000126010/ENSG00000164128/ENSG00000171596/ENSG00000180269/ENSG00000204174/ENSG00000264717/ENSG00000288611",10
"GO:0005244","GO:0005244","voltage-gated monoatomic ion channel activity","19/760","180/21348",0.105555555555556,2.965,5.08659353839926,2.42462423574487e-05,0.00213366932745549,0.0018659681252867,"ENSG00000007402/ENSG00000075429/ENSG00000075461/ENSG00000108878/ENSG00000116396/ENSG00000124249/ENSG00000140015/ENSG00000143473/ENSG00000148408/ENSG00000152049/ENSG00000157388/ENSG00000162989/ENSG00000164626/ENSG00000166006/ENSG00000168135/ENSG00000169427/ENSG00000170745/ENSG00000187486/ENSG00000196557",19
"GO:0022832","GO:0022832","voltage-gated channel activity","19/760","182/21348",0.104395604395604,2.93241758241758,5.03020193359177,2.83053413569329e-05,0.00224178303546908,0.00196051732766967,"ENSG00000007402/ENSG00000075429/ENSG00000075461/ENSG00000108878/ENSG00000116396/ENSG00000124249/ENSG00000140015/ENSG00000143473/ENSG00000148408/ENSG00000152049/ENSG00000157388/ENSG00000162989/ENSG00000164626/ENSG00000166006/ENSG00000168135/ENSG00000169427/ENSG00000170745/ENSG00000187486/ENSG00000196557",19
