Module,GeneSymbol,EnsemblID,kME,Full_Name,Aliases,EntrezID,BRCA_Mutation_pct,BRCA_CNA_pct,BRCA_Altered_pct,Functional_Summary
turquoise,CAVIN2,ENSG00000168497.5,0.8538,caveolae associated protein 2,PS-p68; SDPR; SDR; cavin-2,8436,0.3,0.6,0.8,"This gene encodes a calcium-independent phospholipid-binding protein whose expression increases in serum-starved cells. This protein is a substrate for protein kinase C (PKC) phosphorylation and recruits polymerase I and transcript release factor (PTRF) to caveolae. Removal of this protein causes caveolae loss and its over-expression results in caveolae deformation and membrane tubulation.[provided by RefSeq, Sep 2009]."
turquoise,ABCA8,ENSG00000141338.14,0.8497,ATP binding cassette subfamily A member 8,,10351,2.0,5.0,6.7,"The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intracellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the ABC1 subfamily. Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes. The encoded protein may regulate lipid metabolism and be involved in the formation and maintenance of myelin. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2014]."
turquoise,S1PR1,ENSG00000170989.10,0.8234,sphingosine-1-phosphate receptor 1,CD363; CHEDG1; D1S3362; ECGF1; EDG-1; EDG1; S1P1,1901,0.1,0.5,0.6,"The protein encoded by this gene is structurally similar to G protein-coupled receptors and is highly expressed in endothelial cells. It binds the ligand sphingosine-1-phosphate with high affinity and high specificity, and suggested to be involved in the processes that regulate the differentiation of endothelial cells. Activation of this receptor induces cell-cell adhesion. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2016]."
turquoise,C7,ENSG00000112936.19,0.8129,complement C7,,730,0.9,1.1,2.0,"This gene encodes a serum glycoprotein that forms a membrane attack complex together with complement components C5b, C6, C8, and C9 as part of the terminal complement pathway of the innate immune system. The protein encoded by this gene contains a cholesterol-dependent cytolysin/membrane attack complex/perforin-like (CDC/MACPF) domain and belongs to a large family of structurally related molecules that form pores involved in host immunity and bacterial pathogenesis. This protein initiates membrane attack complex formation by binding the C5b-C6 subcomplex and inserts into the phospholipid bilayer, serving as a membrane anchor. Mutations in this gene are associated with a rare disorder called C7 deficiency. [provided by RefSeq, Nov 2016]."
turquoise,BMX,ENSG00000102010.15,0.8126,BMX non-receptor tyrosine kinase,ETK; PSCTK2; PSCTK3,660,0.8,1.0,1.8,"This gene encodes a non-receptor tyrosine kinase belonging to the Tec kinase family. The protein contains a PH-like domain, which mediates membrane targeting by binding to phosphatidylinositol 3,4,5-triphosphate (PIP3), and a SH2 domain that binds to tyrosine-phosphorylated proteins and functions in signal transduction. The protein is implicated in several signal transduction pathways including the Stat pathway, and regulates differentiation and tumorigenicity of several types of cancer cells. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Mar 2016]."
turquoise,CD300LG,ENSG00000161649.13,0.8108,CD300 molecule like family member g,CLM-9; CLM9; NEPMUCIN; TREM-4; TREM4,146894,0.3,0.8,1.1,"Members of the CD300 (see MIM 606786)-like (CD300L) family, such as CD300LG, are widely expressed on hematopoietic cells. All CD300L proteins are type I cell surface glycoproteins that contain a single immunoglobulin (Ig) V-like domain (Takatsu et al., 2006 [PubMed 16876123]).[supplied by OMIM, Mar 2008]."
turquoise,TNXB,ENSG00000168477.19,0.8105,tenascin XB,EDS3; EDSCLL; EDSCLL1; HXBL; TENX; TN-X; TNX; TNXB1; TNXB2; TNXBS; VUR8; XB; XBS,7148,1.3,1.2,2.5,"This gene encodes a member of the tenascin family of extracellular matrix glycoproteins. The tenascins have anti-adhesive effects, as opposed to fibronectin which is adhesive. This protein is thought to function in matrix maturation during wound healing, and its deficiency has been associated with the connective tissue disorder Ehlers-Danlos syndrome. This gene localizes to the major histocompatibility complex (MHC) class III region on chromosome 6. It is one of four genes in this cluster which have been duplicated. The duplicated copy of this gene is incomplete and is a pseudogene which is transcribed but does not encode a protein. The structure of this gene is unusual in that it overlaps the CREBL1 and CYP21A2 genes at its 5' and 3' ends, respectively. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]."
turquoise,TMEM132C,ENSG00000181234.9,0.8098,transmembrane protein 132C,PPP1R152,92293,1.2,0.6,1.8,"Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]"
turquoise,CCL14,ENSG00000276409.5,0.8087,C-C motif chemokine ligand 14,CC-1; CC-3; CKB1; HCC-1; HCC-1(1-74); HCC-1/HCC-3; HCC-3; MCIF; NCC-2; NCC2; SCYA14; SCYL2; SY14,6358,0.2,2.2,2.4,"This gene, chemokine (C-C motif) ligand 14, is one of several CC cytokine genes clustered on 17q11.2. The CC cytokines are secreted proteins characterized by two adjacent cysteines. The cytokine encoded by this gene induces changes in intracellular calcium concentration and enzyme release in monocytes. Multiple transcript variants encoding different isoforms have been found for this gene. Read-through transcripts are also expressed that include exons from the upstream cytokine gene, chemokine (C-C motif) ligand 15, and are represented as GeneID: 348249. [provided by RefSeq, Dec 2009]."
turquoise,EMCN,ENSG00000164035.10,0.8035,endomucin,EMCN2; MUC14,51705,0.1,0.5,0.6,"EMCN is a mucin-like sialoglycoprotein that interferes with the assembly of focal adhesion complexes and inhibits interaction between cells and the extracellular matrix (Kinoshita et al., 2001 [PubMed 11418125]).[supplied by OMIM, Mar 2008]."
