gene1	gene2	weight	gene1.name	gene2.name
ENSG00000000005.6	ENSG00000161649.13	0.102100993216476	TNMD	CD300LG
ENSG00000000005.6	ENSG00000165269.13	0.108230789628662	TNMD	AQP7
ENSG00000000005.6	ENSG00000166819.12	0.107848252783264	TNMD	PLIN1
ENSG00000000005.6	ENSG00000167588.13	0.105054253410979	TNMD	GPD1
ENSG00000000005.6	ENSG00000170323.9	0.105528542243516	TNMD	FABP4
ENSG00000000005.6	ENSG00000176194.18	0.108860506675051	TNMD	CIDEA
ENSG00000000005.6	ENSG00000181092.10	0.11009413279976	TNMD	ADIPOQ
ENSG00000000005.6	ENSG00000181234.9	0.104040975577082	TNMD	TMEM132C
ENSG00000000005.6	ENSG00000184811.4	0.116140527715396	TNMD	TRARG1
ENSG00000000005.6	ENSG00000187288.12	0.116296269250783	TNMD	CIDEC
ENSG00000000005.6	ENSG00000196616.14	0.111681808848717	TNMD	ADH1B
ENSG00000000460.17	ENSG00000006634.8	0.126558691502811	FIRRM	DBF4
ENSG00000000460.17	ENSG00000007968.7	0.126315947667433	FIRRM	E2F2
ENSG00000000460.17	ENSG00000011426.11	0.167301091460528	FIRRM	ANLN
ENSG00000000460.17	ENSG00000024526.17	0.178170263428285	FIRRM	DEPDC1
ENSG00000000460.17	ENSG00000035499.13	0.176768102081309	FIRRM	DEPDC1B
ENSG00000000460.17	ENSG00000051180.17	0.14499081267127	FIRRM	RAD51
ENSG00000000460.17	ENSG00000051341.14	0.183494546893276	FIRRM	POLQ
ENSG00000000460.17	ENSG00000065328.17	0.194622901892684	FIRRM	MCM10
ENSG00000000460.17	ENSG00000066279.18	0.193946376057961	FIRRM	ASPM
ENSG00000000460.17	ENSG00000068489.13	0.141402128077411	FIRRM	PRR11
ENSG00000000460.17	ENSG00000071539.14	0.145767660069736	FIRRM	TRIP13
ENSG00000000460.17	ENSG00000072571.20	0.146917646284163	FIRRM	HMMR
ENSG00000000460.17	ENSG00000075218.19	0.157227332750859	FIRRM	GTSE1
ENSG00000000460.17	ENSG00000076003.5	0.128940353634288	FIRRM	MCM6
ENSG00000000460.17	ENSG00000076382.17	0.126169740640356	FIRRM	SPAG5
ENSG00000000460.17	ENSG00000077152.11	0.12703333074573	FIRRM	UBE2T
ENSG00000000460.17	ENSG00000080986.13	0.168093351272342	FIRRM	NDC80
ENSG00000000460.17	ENSG00000085840.13	0.163226201965752	FIRRM	ORC1
ENSG00000000460.17	ENSG00000085999.13	0.157167667550288	FIRRM	RAD54L
ENSG00000000460.17	ENSG00000087586.18	0.153790772214956	FIRRM	AURKA
ENSG00000000460.17	ENSG00000088325.16	0.203824533996474	FIRRM	TPX2
ENSG00000000460.17	ENSG00000089685.15	0.139772780593996	FIRRM	BIRC5
ENSG00000000460.17	ENSG00000090889.12	0.195536552838486	FIRRM	KIF4A
ENSG00000000460.17	ENSG00000091651.9	0.12793474333068	FIRRM	ORC6
ENSG00000000460.17	ENSG00000092853.14	0.180475109526944	FIRRM	CLSPN
ENSG00000000460.17	ENSG00000093009.11	0.138063126598809	FIRRM	CDC45
ENSG00000000460.17	ENSG00000094804.12	0.102237897579731	FIRRM	CDC6
ENSG00000000460.17	ENSG00000097046.13	0.101985413747134	FIRRM	CDC7
ENSG00000000460.17	ENSG00000100526.20	0.123741123329588	FIRRM	CDKN3
ENSG00000000460.17	ENSG00000101003.10	0.147765836737125	FIRRM	GINS1
ENSG00000000460.17	ENSG00000101057.16	0.126347946425009	FIRRM	MYBL2
ENSG00000000460.17	ENSG00000101447.15	0.170607870731807	FIRRM	FAM83D
ENSG00000000460.17	ENSG00000102384.13	0.186821313059173	FIRRM	CENPI
ENSG00000000460.17	ENSG00000104147.9	0.122228764172486	FIRRM	OIP5
ENSG00000000460.17	ENSG00000104738.18	0.101968583054045	FIRRM	MCM4
ENSG00000000460.17	ENSG00000105011.9	0.111891372844086	FIRRM	ASF1B
ENSG00000000460.17	ENSG00000106462.11	0.117347338706203	FIRRM	EZH2
ENSG00000000460.17	ENSG00000109674.4	0.170936770734882	FIRRM	NEIL3
ENSG00000000460.17	ENSG00000109805.10	0.205258266966713	FIRRM	NCAPG
ENSG00000000460.17	ENSG00000111206.13	0.178531458146476	FIRRM	FOXM1
ENSG00000000460.17	ENSG00000111247.15	0.168142348019752	FIRRM	RAD51AP1
