gene1	gene2	weight	gene1.name	gene2.name
ENSG00000000005.6	ENSG00000039537.14	0.129588717783508	TNMD	C6
ENSG00000000005.6	ENSG00000101938.15	0.112866178946036	TNMD	CHRDL1
ENSG00000000005.6	ENSG00000112936.19	0.108799391339619	TNMD	C7
ENSG00000000005.6	ENSG00000120049.20	0.119990919317405	TNMD	KCNIP2
ENSG00000000005.6	ENSG00000123243.15	0.112479783853563	TNMD	ITIH5
ENSG00000000005.6	ENSG00000123689.6	0.115707736191748	TNMD	G0S2
ENSG00000000005.6	ENSG00000124253.11	0.121472664449359	TNMD	PCK1
ENSG00000000005.6	ENSG00000130876.11	0.115868276468418	TNMD	SLC7A10
ENSG00000000005.6	ENSG00000131471.7	0.118124958432395	TNMD	AOC3
ENSG00000000005.6	ENSG00000133317.16	0.112866258949419	TNMD	LGALS12
ENSG00000000005.6	ENSG00000134962.7	0.116779197194929	TNMD	KLB
ENSG00000000005.6	ENSG00000135218.19	0.100120759485118	TNMD	CD36
ENSG00000000005.6	ENSG00000135917.16	0.122704173563359	TNMD	SLC19A3
ENSG00000000005.6	ENSG00000138207.14	0.127033731053998	TNMD	RBP4
ENSG00000000005.6	ENSG00000141338.14	0.120456485971091	TNMD	ABCA8
ENSG00000000005.6	ENSG00000149124.11	0.124174480864441	TNMD	GLYAT
ENSG00000000005.6	ENSG00000161649.13	0.150999896483896	TNMD	CD300LG
ENSG00000000005.6	ENSG00000165269.13	0.168744296322587	TNMD	AQP7
ENSG00000000005.6	ENSG00000165478.7	0.119288196581004	TNMD	HEPACAM
ENSG00000000005.6	ENSG00000166819.12	0.168069403235531	TNMD	PLIN1
ENSG00000000005.6	ENSG00000167588.13	0.164547508847706	TNMD	GPD1
ENSG00000000005.6	ENSG00000167676.4	0.138579422268291	TNMD	PLIN4
ENSG00000000005.6	ENSG00000168497.5	0.101959239540906	TNMD	CAVIN2
ENSG00000000005.6	ENSG00000170323.9	0.162766209068776	TNMD	FABP4
ENSG00000000005.6	ENSG00000174697.5	0.14976042291913	TNMD	LEP
ENSG00000000005.6	ENSG00000176194.18	0.170184074576058	TNMD	CIDEA
ENSG00000000005.6	ENSG00000181092.10	0.171448128157698	TNMD	ADIPOQ
ENSG00000000005.6	ENSG00000181234.9	0.155185524433579	TNMD	TMEM132C
ENSG00000000005.6	ENSG00000184601.11	0.154629253502468	TNMD	C14orf180
ENSG00000000005.6	ENSG00000184811.4	0.182169095893147	TNMD	TRARG1
ENSG00000000005.6	ENSG00000187288.12	0.182711836844645	TNMD	CIDEC
ENSG00000000005.6	ENSG00000196616.14	0.171245049956042	TNMD	ADH1B
ENSG00000000005.6	ENSG00000211445.12	0.100801098329205	TNMD	GPX3
ENSG00000000005.6	ENSG00000257017.9	0.110854054817558	TNMD	HP
ENSG00000000460.17	ENSG00000006634.8	0.154227675549861	FIRRM	DBF4
ENSG00000000460.17	ENSG00000007968.7	0.146583440736673	FIRRM	E2F2
ENSG00000000460.17	ENSG00000011426.11	0.206974465973863	FIRRM	ANLN
ENSG00000000460.17	ENSG00000024526.17	0.218569132990664	FIRRM	DEPDC1
ENSG00000000460.17	ENSG00000035499.13	0.214777634502049	FIRRM	DEPDC1B
ENSG00000000460.17	ENSG00000051180.17	0.169651207450366	FIRRM	RAD51
ENSG00000000460.17	ENSG00000051341.14	0.2286669404893	FIRRM	POLQ
ENSG00000000460.17	ENSG00000065328.17	0.237671837545756	FIRRM	MCM10
ENSG00000000460.17	ENSG00000066279.18	0.24358301068043	FIRRM	ASPM
ENSG00000000460.17	ENSG00000068489.13	0.166859516553433	FIRRM	PRR11
ENSG00000000460.17	ENSG00000071539.14	0.172966506567669	FIRRM	TRIP13
ENSG00000000460.17	ENSG00000072571.20	0.17888954478258	FIRRM	HMMR
ENSG00000000460.17	ENSG00000075218.19	0.18579808257715	FIRRM	GTSE1
ENSG00000000460.17	ENSG00000076003.5	0.154061144132648	FIRRM	MCM6
ENSG00000000460.17	ENSG00000076382.17	0.148331161742838	FIRRM	SPAG5
ENSG00000000460.17	ENSG00000077152.11	0.147668505416156	FIRRM	UBE2T
