GeneID	ModuleColor	GeneSymbol
ENSG00000000005.6	blue	TNMD
ENSG00000000460.17	turquoise	FIRRM
ENSG00000000971.16	blue	CFH
ENSG00000001617.12	brown	SEMA3F
ENSG00000002726.21	grey	AOC1
ENSG00000003096.14	turquoise	KLHL13
ENSG00000003137.8	blue	CYP26B1
ENSG00000003249.15	turquoise	DBNDD1
ENSG00000003402.20	yellow	CFLAR
ENSG00000003436.16	blue	TFPI
ENSG00000003989.18	turquoise	SLC7A2
ENSG00000004478.8	turquoise	FKBP4
ENSG00000004776.13	blue	HSPB6
ENSG00000004799.8	blue	PDK4
ENSG00000004838.14	turquoise	ZMYND10
ENSG00000004846.16	blue	ABCB5
ENSG00000004848.8	turquoise	ARX
ENSG00000004939.15	blue	SLC4A1
ENSG00000004948.16	grey	CALCR
ENSG00000005001.10	turquoise	PRSS22
ENSG00000005020.13	yellow	SKAP2
ENSG00000005073.6	blue	HOXA11
ENSG00000005102.14	blue	MEOX1
ENSG00000005108.16	blue	THSD7A
ENSG00000005187.12	turquoise	ACSM3
ENSG00000005249.13	blue	PRKAR2B
ENSG00000005381.8	turquoise	MPO
ENSG00000005448.17	turquoise	WDR54
ENSG00000005810.18	yellow	MYCBP2
ENSG00000005981.13	grey	ASB4
ENSG00000006118.15	turquoise	TMEM132A
ENSG00000006128.12	turquoise	TAC1
ENSG00000006210.7	turquoise	CX3CL1
ENSG00000006283.18	turquoise	CACNA1G
ENSG00000006327.14	turquoise	TNFRSF12A
ENSG00000006377.11	grey	DLX6
ENSG00000006453.14	turquoise	BAIAP2L1
ENSG00000006468.14	turquoise	ETV1
ENSG00000006625.18	brown	GGCT
ENSG00000006634.8	turquoise	DBF4
ENSG00000006704.11	brown	GTF2IRD1
ENSG00000006788.14	turquoise	MYH13
ENSG00000007174.18	blue	DNAH9
ENSG00000007216.15	turquoise	SLC13A2
ENSG00000007237.19	blue	GAS7
ENSG00000007306.15	turquoise	CEACAM7
ENSG00000007314.12	blue	SCN4A
ENSG00000007350.17	blue	TKTL1
ENSG00000007372.24	grey	PAX6
ENSG00000007376.8	brown	RPUSD1
ENSG00000007402.12	turquoise	CACNA2D2
ENSG00000007516.14	turquoise	BAIAP3
ENSG00000007541.17	brown	PIGQ
ENSG00000007908.16	grey	SELE
ENSG00000007952.18	turquoise	NOX1
ENSG00000007968.7	green	E2F2
ENSG00000008056.14	red	SYN1
ENSG00000008283.16	turquoise	CYB561
ENSG00000008300.17	turquoise	CELSR3
ENSG00000008311.15	yellow	AASS
ENSG00000008394.13	blue	MGST1
ENSG00000008516.17	turquoise	MMP25
ENSG00000008735.14	turquoise	MAPK8IP2
ENSG00000009413.16	yellow	REV3L
ENSG00000009694.13	yellow	TENM1
ENSG00000009709.12	red	PAX7
ENSG00000009724.17	turquoise	MASP2
ENSG00000009765.15	turquoise	IYD
ENSG00000009950.16	blue	MLXIPL
ENSG00000010030.14	turquoise	ETV7
ENSG00000010282.15	red	HHATL
ENSG00000010319.7	blue	SEMA3G
ENSG00000011021.23	yellow	CLCN6
ENSG00000011332.19	turquoise	DPF1
ENSG00000011347.10	turquoise	SYT7
ENSG00000011422.12	grey	PLAUR
ENSG00000011426.11	green	ANLN
ENSG00000011465.18	blue	DCN
ENSG00000011523.14	yellow	CEP68
ENSG00000011590.14	turquoise	ZBTB32
ENSG00000011677.13	grey	GABRA3
ENSG00000012048.23	grey	BRCA1
ENSG00000012822.16	blue	CALCOCO1
ENSG00000013293.6	turquoise	SLC7A14
ENSG00000013297.12	turquoise	CLDN11
ENSG00000013306.16	brown	SLC25A39
ENSG00000013588.9	grey	GPRC5A
ENSG00000013725.14	turquoise	CD6
ENSG00000013810.20	green	TACC3
ENSG00000014138.9	brown	POLA2
ENSG00000014164.7	brown	ZC3H3
ENSG00000015413.9	grey	DPEP1
ENSG00000016490.16	green	CLCA1
ENSG00000016602.9	turquoise	CLCA4
ENSG00000017427.17	blue	IGF1
ENSG00000017483.15	turquoise	SLC38A5
ENSG00000018280.17	blue	SLC11A1
ENSG00000018625.15	blue	ATP1A2
