GeneID	ModuleColor	GeneSymbol
ENSG00000000005.6	turquoise	TNMD
ENSG00000000460.17	red	FIRRM
ENSG00000000971.16	yellow	CFH
ENSG00000001617.12	blue	SEMA3F
ENSG00000002726.21	black	AOC1
ENSG00000003096.14	turquoise	KLHL13
ENSG00000003137.8	brown	CYP26B1
ENSG00000003249.15	green	DBNDD1
ENSG00000003402.20	black	CFLAR
ENSG00000003436.16	turquoise	TFPI
ENSG00000003989.18	blue	SLC7A2
ENSG00000004478.8	blue	FKBP4
ENSG00000004776.13	turquoise	HSPB6
ENSG00000004799.8	turquoise	PDK4
ENSG00000004838.14	blue	ZMYND10
ENSG00000004846.16	turquoise	ABCB5
ENSG00000004848.8	grey	ARX
ENSG00000004939.15	grey	SLC4A1
ENSG00000004948.16	grey	CALCR
ENSG00000005001.10	grey	PRSS22
ENSG00000005020.13	yellow	SKAP2
ENSG00000005073.6	yellow	HOXA11
ENSG00000005102.14	turquoise	MEOX1
ENSG00000005108.16	turquoise	THSD7A
ENSG00000005187.12	brown	ACSM3
ENSG00000005249.13	grey	PRKAR2B
ENSG00000005381.8	black	MPO
ENSG00000005448.17	blue	WDR54
ENSG00000005810.18	yellow	MYCBP2
ENSG00000005981.13	grey	ASB4
ENSG00000006118.15	green	TMEM132A
ENSG00000006128.12	turquoise	TAC1
ENSG00000006210.7	brown	CX3CL1
ENSG00000006283.18	yellow	CACNA1G
ENSG00000006327.14	grey	TNFRSF12A
ENSG00000006377.11	brown	DLX6
ENSG00000006453.14	red	BAIAP2L1
ENSG00000006468.14	yellow	ETV1
ENSG00000006625.18	green	GGCT
ENSG00000006634.8	red	DBF4
ENSG00000006704.11	grey	GTF2IRD1
ENSG00000006788.14	yellow	MYH13
ENSG00000007174.18	blue	DNAH9
ENSG00000007216.15	grey	SLC13A2
ENSG00000007237.19	yellow	GAS7
ENSG00000007306.15	grey	CEACAM7
ENSG00000007314.12	turquoise	SCN4A
ENSG00000007350.17	black	TKTL1
ENSG00000007372.24	brown	PAX6
ENSG00000007376.8	green	RPUSD1
ENSG00000007402.12	blue	CACNA2D2
ENSG00000007516.14	blue	BAIAP3
ENSG00000007541.17	blue	PIGQ
ENSG00000007908.16	black	SELE
ENSG00000007952.18	green	NOX1
ENSG00000007968.7	red	E2F2
ENSG00000008056.14	grey	SYN1
ENSG00000008283.16	green	CYB561
ENSG00000008300.17	grey	CELSR3
ENSG00000008311.15	turquoise	AASS
ENSG00000008394.13	grey	MGST1
ENSG00000008516.17	grey	MMP25
ENSG00000008735.14	blue	MAPK8IP2
ENSG00000009413.16	yellow	REV3L
ENSG00000009694.13	yellow	TENM1
ENSG00000009709.12	grey	PAX7
ENSG00000009724.17	grey	MASP2
ENSG00000009765.15	grey	IYD
ENSG00000009950.16	grey	MLXIPL
ENSG00000010030.14	black	ETV7
ENSG00000010282.15	grey	HHATL
ENSG00000010319.7	turquoise	SEMA3G
ENSG00000011021.23	grey	CLCN6
ENSG00000011332.19	red	DPF1
ENSG00000011347.10	blue	SYT7
ENSG00000011422.12	brown	PLAUR
ENSG00000011426.11	red	ANLN
ENSG00000011465.18	yellow	DCN
ENSG00000011523.14	grey	CEP68
ENSG00000011590.14	black	ZBTB32
ENSG00000011677.13	brown	GABRA3
ENSG00000012048.23	red	BRCA1
ENSG00000012822.16	blue	CALCOCO1
ENSG00000013293.6	turquoise	SLC7A14
ENSG00000013297.12	turquoise	CLDN11
ENSG00000013306.16	green	SLC25A39
ENSG00000013588.9	blue	GPRC5A
ENSG00000013725.14	black	CD6
ENSG00000013810.20	red	TACC3
ENSG00000014138.9	green	POLA2
ENSG00000014164.7	green	ZC3H3
ENSG00000015413.9	turquoise	DPEP1
ENSG00000016490.16	grey	CLCA1
ENSG00000016602.9	turquoise	CLCA4
ENSG00000017427.17	turquoise	IGF1
ENSG00000017483.15	yellow	SLC38A5
ENSG00000018280.17	grey	SLC11A1
ENSG00000018625.15	turquoise	ATP1A2
ENSG00000019144.19	yellow	PHLDB1
ENSG00000019169.10	brown	MARCO
ENSG00000019485.13	grey	PRDM11
ENSG00000019505.8	blue	SYT13
ENSG00000019991.18	yellow	HGF
ENSG00000020181.18	yellow	ADGRA2
ENSG00000020577.14	yellow	SAMD4A
ENSG00000021826.17	yellow	CPS1
ENSG00000022267.19	turquoise	FHL1
ENSG00000022355.18	grey	GABRA1
ENSG00000022556.16	grey	NLRP2
ENSG00000024422.12	yellow	EHD2
ENSG00000024526.17	red	DEPDC1
ENSG00000025039.15	brown	RRAGD
ENSG00000025423.11	yellow	HSD17B6
ENSG00000025708.14	black	TYMP
ENSG00000026025.16	brown	VIM
ENSG00000026559.14	brown	KCNG1
ENSG00000027869.12	black	SH2D2A
ENSG00000029559.7	grey	IBSP
ENSG00000029993.15	red	HMGB3
ENSG00000030110.13	red	BAK1
ENSG00000031081.11	yellow	ARHGAP31
ENSG00000033170.17	blue	FUT8
ENSG00000034053.14	brown	APBA2
ENSG00000034239.11	turquoise	CLXN
ENSG00000034971.17	turquoise	MYOC
ENSG00000035499.13	red	DEPDC1B
ENSG00000035720.8	black	STAP1
ENSG00000036448.10	grey	MYOM2
ENSG00000036473.8	turquoise	OTC
ENSG00000036530.9	grey	CYP46A1
ENSG00000036565.15	grey	SLC18A1
ENSG00000037241.7	green	RPL26L1
ENSG00000037280.16	turquoise	FLT4
ENSG00000038295.8	yellow	TLL1
ENSG00000038427.16	yellow	VCAN
ENSG00000039537.14	turquoise	C6
ENSG00000040608.14	green	RTN4R
ENSG00000041515.16	grey	MYO16
ENSG00000042286.15	green	AIFM2
ENSG00000042304.12	grey	ENSG00000042304.12
