"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030098","GO:0030098","lymphocyte differentiation","40/270","484/21468",0.0826446280991736,6.57116620752984,13.9908716845913,2.4705998069509e-21,7.48344681525428e-18,5.96324774456676e-18,"ENSG00000049249/ENSG00000049768/ENSG00000089692/ENSG00000100060/ENSG00000102524/ENSG00000104951/ENSG00000105369/ENSG00000107738/ENSG00000111537/ENSG00000113302/ENSG00000117215/ENSG00000117322/ENSG00000121594/ENSG00000125245/ENSG00000126353/ENSG00000127951/ENSG00000134321/ENSG00000138684/ENSG00000147168/ENSG00000150782/ENSG00000151651/ENSG00000154822/ENSG00000156738/ENSG00000158714/ENSG00000160856/ENSG00000161405/ENSG00000163508/ENSG00000163599/ENSG00000167286/ENSG00000169884/ENSG00000171522/ENSG00000171855/ENSG00000172724/ENSG00000177455/ENSG00000180549/ENSG00000182393/ENSG00000182885/ENSG00000196092/ENSG00000197272/ENSG00000203710",40
"GO:0046651","GO:0046651","lymphocyte proliferation","32/270","389/21468",0.0822622107969152,6.54075978291917,12.4462705439054,3.67906437181224e-17,5.57194299110964e-14,4.44004979187657e-14,"ENSG00000013725/ENSG00000027869/ENSG00000049249/ENSG00000049768/ENSG00000090659/ENSG00000102524/ENSG00000102879/ENSG00000104951/ENSG00000105369/ENSG00000107738/ENSG00000113302/ENSG00000117215/ENSG00000117322/ENSG00000121594/ENSG00000131203/ENSG00000138684/ENSG00000150782/ENSG00000154822/ENSG00000155659/ENSG00000156738/ENSG00000160856/ENSG00000161405/ENSG00000163554/ENSG00000163599/ENSG00000169194/ENSG00000170476/ENSG00000171855/ENSG00000172724/ENSG00000177455/ENSG00000197272/ENSG00000203710/ENSG00000203747",32
"GO:0032943","GO:0032943","mononuclear cell proliferation","32/270","397/21468",0.0806045340050378,6.40895605933389,12.2768302097042,6.64299669032055e-17,6.70721232499364e-14,5.34469874066843e-14,"ENSG00000013725/ENSG00000027869/ENSG00000049249/ENSG00000049768/ENSG00000090659/ENSG00000102524/ENSG00000102879/ENSG00000104951/ENSG00000105369/ENSG00000107738/ENSG00000113302/ENSG00000117215/ENSG00000117322/ENSG00000121594/ENSG00000131203/ENSG00000138684/ENSG00000150782/ENSG00000154822/ENSG00000155659/ENSG00000156738/ENSG00000160856/ENSG00000161405/ENSG00000163554/ENSG00000163599/ENSG00000169194/ENSG00000170476/ENSG00000171855/ENSG00000172724/ENSG00000177455/ENSG00000197272/ENSG00000203710/ENSG00000203747",32
"GO:0070098","GO:0070098","chemokine-mediated signaling pathway","19/270","108/21468",0.175925925925926,13.9880658436214,15.2712944687666,1.0015781252753e-16,7.58445035364721e-14,6.04373326646385e-14,"ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000121966/ENSG00000126353/ENSG00000131142/ENSG00000138755/ENSG00000156234/ENSG00000160683/ENSG00000169245/ENSG00000169248/ENSG00000172156/ENSG00000172724/ENSG00000179934/ENSG00000181374/ENSG00000183813/ENSG00000186810/ENSG00000274736",19
"GO:0006959","GO:0006959","humoral immune response","32/270","418/21468",0.076555023923445,6.0869750132908,11.8533691958314,2.93403243373738e-16,1.77743684835811e-13,1.4163655516968e-13,"ENSG00000090382/ENSG00000102794/ENSG00000102970/ENSG00000104921/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000111537/ENSG00000117322/ENSG00000125730/ENSG00000126353/ENSG00000126759/ENSG00000131142/ENSG00000132465/ENSG00000138755/ENSG00000149131/ENSG00000155659/ENSG00000156234/ENSG00000156738/ENSG00000162894/ENSG00000167207/ENSG00000169245/ENSG00000169248/ENSG00000171855/ENSG00000172156/ENSG00000172724/ENSG00000181374/ENSG00000188389/ENSG00000197721/ENSG00000203710/ENSG00000226979/ENSG00000274736",32
"GO:1990868","GO:1990868","response to chemokine","19/270","117/21468",0.162393162393162,12.9120607787274,14.5811184360134,4.75268007504276e-16,2.05655256390065e-13,1.63878126497339e-13,"ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000121966/ENSG00000126353/ENSG00000131142/ENSG00000138755/ENSG00000156234/ENSG00000160683/ENSG00000169245/ENSG00000169248/ENSG00000172156/ENSG00000172724/ENSG00000179934/ENSG00000181374/ENSG00000183813/ENSG00000186810/ENSG00000274736",19
"GO:1990869","GO:1990869","cellular response to chemokine","19/270","117/21468",0.162393162393162,12.9120607787274,14.5811184360134,4.75268007504276e-16,2.05655256390065e-13,1.63878126497339e-13,"ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000121966/ENSG00000126353/ENSG00000131142/ENSG00000138755/ENSG00000156234/ENSG00000160683/ENSG00000169245/ENSG00000169248/ENSG00000172156/ENSG00000172724/ENSG00000179934/ENSG00000181374/ENSG00000183813/ENSG00000186810/ENSG00000274736",19
"GO:0070661","GO:0070661","leukocyte proliferation","32/270","438/21468",0.0730593607305936,5.80903094875698,11.4761206985369,1.11288890683772e-15,4.21367562351431e-13,3.35770297813011e-13,"ENSG00000013725/ENSG00000027869/ENSG00000049249/ENSG00000049768/ENSG00000090659/ENSG00000102524/ENSG00000102879/ENSG00000104951/ENSG00000105369/ENSG00000107738/ENSG00000113302/ENSG00000117215/ENSG00000117322/ENSG00000121594/ENSG00000131203/ENSG00000138684/ENSG00000150782/ENSG00000154822/ENSG00000155659/ENSG00000156738/ENSG00000160856/ENSG00000161405/ENSG00000163554/ENSG00000163599/ENSG00000169194/ENSG00000170476/ENSG00000171855/ENSG00000172724/ENSG00000177455/ENSG00000197272/ENSG00000203710/ENSG00000203747",32
"GO:0030217","GO:0030217","T cell differentiation","29/270","369/21468",0.0785907859078591,6.24884071062933,11.477987740074,4.00824096520366e-15,1.34899576484466e-12,1.0749586588552e-12,"ENSG00000049249/ENSG00000049768/ENSG00000089692/ENSG00000104951/ENSG00000107738/ENSG00000111537/ENSG00000113302/ENSG00000117215/ENSG00000121594/ENSG00000125245/ENSG00000126353/ENSG00000127951/ENSG00000134321/ENSG00000138684/ENSG00000147168/ENSG00000150782/ENSG00000151651/ENSG00000161405/ENSG00000163508/ENSG00000163599/ENSG00000167286/ENSG00000169884/ENSG00000171522/ENSG00000171855/ENSG00000172724/ENSG00000180549/ENSG00000182393/ENSG00000197272/ENSG00000203710",29
"GO:0001906","GO:0001906","cell killing","32/270","471/21468",0.0679405520169851,5.40202878037273,10.9019660035266,8.60424824278094e-15,2.60622679273835e-12,2.07679381270492e-12,"ENSG00000035720/ENSG00000089692/ENSG00000090382/ENSG00000092929/ENSG00000100453/ENSG00000102879/ENSG00000102970/ENSG00000104921/ENSG00000108702/ENSG00000111537/ENSG00000113302/ENSG00000125730/ENSG00000131142/ENSG00000138684/ENSG00000138755/ENSG00000150337/ENSG00000150782/ENSG00000154451/ENSG00000156234/ENSG00000158477/ENSG00000158485/ENSG00000169194/ENSG00000169245/ENSG00000169248/ENSG00000172156/ENSG00000172243/ENSG00000172724/ENSG00000181374/ENSG00000189013/ENSG00000197721/ENSG00000203710/ENSG00000203747",32
