"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003341","GO:0003341","cilium movement","30/532","268/21468",0.111940298507463,4.51716979014701,9.23607477435766,6.08591362283235e-12,2.38202659197658e-08,2.25691302034088e-08,"ENSG00000004838/ENSG00000007174/ENSG00000080572/ENSG00000089101/ENSG00000101222/ENSG00000105479/ENSG00000107954/ENSG00000109062/ENSG00000115423/ENSG00000122735/ENSG00000129295/ENSG00000131044/ENSG00000132681/ENSG00000140263/ENSG00000145491/ENSG00000153060/ENSG00000158423/ENSG00000160345/ENSG00000160401/ENSG00000163060/ENSG00000163263/ENSG00000165309/ENSG00000179902/ENSG00000181378/ENSG00000186973/ENSG00000188523/ENSG00000198003/ENSG00000213085/ENSG00000215217/ENSG00000243710",30
"GO:0060294","GO:0060294","cilium movement involved in cell motility","26/532","225/21468",0.115555555555556,4.66305764411028,8.80484524219413,7.83987648576183e-11,1.03127014859262e-07,9.7710371231256e-08,"ENSG00000007174/ENSG00000080572/ENSG00000089101/ENSG00000107954/ENSG00000115423/ENSG00000122735/ENSG00000129295/ENSG00000131044/ENSG00000132681/ENSG00000140263/ENSG00000145491/ENSG00000153060/ENSG00000158423/ENSG00000160345/ENSG00000160401/ENSG00000163060/ENSG00000163263/ENSG00000165309/ENSG00000179902/ENSG00000181378/ENSG00000186973/ENSG00000188523/ENSG00000198003/ENSG00000213085/ENSG00000215217/ENSG00000243710",26
"GO:0001539","GO:0001539","cilium or flagellum-dependent cell motility","26/532","228/21468",0.114035087719298,4.60170162247725,8.71550463679657,1.05392963576149e-10,1.03127014859262e-07,9.7710371231256e-08,"ENSG00000007174/ENSG00000080572/ENSG00000089101/ENSG00000107954/ENSG00000115423/ENSG00000122735/ENSG00000129295/ENSG00000131044/ENSG00000132681/ENSG00000140263/ENSG00000145491/ENSG00000153060/ENSG00000158423/ENSG00000160345/ENSG00000160401/ENSG00000163060/ENSG00000163263/ENSG00000165309/ENSG00000179902/ENSG00000181378/ENSG00000186973/ENSG00000188523/ENSG00000198003/ENSG00000213085/ENSG00000215217/ENSG00000243710",26
"GO:0060285","GO:0060285","cilium-dependent cell motility","26/532","228/21468",0.114035087719298,4.60170162247725,8.71550463679657,1.05392963576149e-10,1.03127014859262e-07,9.7710371231256e-08,"ENSG00000007174/ENSG00000080572/ENSG00000089101/ENSG00000107954/ENSG00000115423/ENSG00000122735/ENSG00000129295/ENSG00000131044/ENSG00000132681/ENSG00000140263/ENSG00000145491/ENSG00000153060/ENSG00000158423/ENSG00000160345/ENSG00000160401/ENSG00000163060/ENSG00000163263/ENSG00000165309/ENSG00000179902/ENSG00000181378/ENSG00000186973/ENSG00000188523/ENSG00000198003/ENSG00000213085/ENSG00000215217/ENSG00000243710",26
"GO:0001578","GO:0001578","microtubule bundle formation","20/532","140/21468",0.142857142857143,5.76476906552094,9.01623967320546,2.813437143355e-10,1.80063655962796e-07,1.70605991974001e-07,"ENSG00000004838/ENSG00000080572/ENSG00000101222/ENSG00000104237/ENSG00000105479/ENSG00000107954/ENSG00000122735/ENSG00000129295/ENSG00000129654/ENSG00000159713/ENSG00000160188/ENSG00000160345/ENSG00000160401/ENSG00000166246/ENSG00000167646/ENSG00000168502/ENSG00000171368/ENSG00000181378/ENSG00000198003/ENSG00000243710",20
"GO:0030317","GO:0030317","flagellated sperm motility","24/532","205/21468",0.117073170731707,4.72429855125619,8.54090297911614,3.22035153740309e-10,1.80063655962796e-07,1.70605991974001e-07,"ENSG00000080572/ENSG00000089101/ENSG00000107954/ENSG00000122735/ENSG00000129295/ENSG00000131044/ENSG00000132681/ENSG00000140263/ENSG00000145491/ENSG00000153060/ENSG00000158423/ENSG00000160345/ENSG00000160401/ENSG00000163060/ENSG00000163263/ENSG00000165309/ENSG00000179902/ENSG00000181378/ENSG00000186973/ENSG00000188523/ENSG00000198003/ENSG00000213085/ENSG00000215217/ENSG00000243710",24
"GO:0097722","GO:0097722","sperm motility","24/532","205/21468",0.117073170731707,4.72429855125619,8.54090297911614,3.22035153740309e-10,1.80063655962796e-07,1.70605991974001e-07,"ENSG00000080572/ENSG00000089101/ENSG00000107954/ENSG00000122735/ENSG00000129295/ENSG00000131044/ENSG00000132681/ENSG00000140263/ENSG00000145491/ENSG00000153060/ENSG00000158423/ENSG00000160345/ENSG00000160401/ENSG00000163060/ENSG00000163263/ENSG00000165309/ENSG00000179902/ENSG00000181378/ENSG00000186973/ENSG00000188523/ENSG00000198003/ENSG00000213085/ENSG00000215217/ENSG00000243710",24
"GO:0035082","GO:0035082","axoneme assembly","17/532","108/21468",0.157407407407407,6.35192147034252,8.88823698073412,1.3353612803984e-09,6.53325506434916e-07,6.1901023563731e-07,"ENSG00000004838/ENSG00000080572/ENSG00000101222/ENSG00000104237/ENSG00000105479/ENSG00000107954/ENSG00000122735/ENSG00000129295/ENSG00000129654/ENSG00000160188/ENSG00000160345/ENSG00000160401/ENSG00000166246/ENSG00000167646/ENSG00000181378/ENSG00000198003/ENSG00000243710",17
"GO:0044782","GO:0044782","cilium organization","33/532","443/21468",0.0744920993227991,3.0060082486125,6.80081897409176,2.24675071747606e-08,9.77086923133476e-06,9.25766406744812e-06,"ENSG00000004838/ENSG00000005448/ENSG00000080572/ENSG00000089101/ENSG00000101222/ENSG00000104237/ENSG00000105479/ENSG00000107954/ENSG00000109062/ENSG00000111490/ENSG00000115459/ENSG00000122735/ENSG00000124839/ENSG00000129295/ENSG00000129654/ENSG00000130202/ENSG00000146038/ENSG00000152669/ENSG00000153060/ENSG00000158428/ENSG00000160188/ENSG00000160345/ENSG00000160401/ENSG00000161996/ENSG00000162975/ENSG00000163060/ENSG00000166246/ENSG00000167646/ENSG00000173210/ENSG00000181378/ENSG00000198003/ENSG00000234602/ENSG00000243710",33
"GO:0060271","GO:0060271","cilium assembly","30/532","414/21468",0.072463768115942,2.92415822164106,6.30185319036423,1.80033661766972e-07,7.04651752155928e-05,6.67640621478992e-05,"ENSG00000004838/ENSG00000005448/ENSG00000080572/ENSG00000089101/ENSG00000101222/ENSG00000104237/ENSG00000105479/ENSG00000107954/ENSG00000111490/ENSG00000115459/ENSG00000122735/ENSG00000124839/ENSG00000129295/ENSG00000129654/ENSG00000146038/ENSG00000152669/ENSG00000153060/ENSG00000160188/ENSG00000160345/ENSG00000160401/ENSG00000161996/ENSG00000162975/ENSG00000163060/ENSG00000166246/ENSG00000167646/ENSG00000173210/ENSG00000181378/ENSG00000198003/ENSG00000234602/ENSG00000243710",30
