"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008544","GO:0008544","epidermis development","35/527","437/21468",0.080091533180778,3.26262814862418,7.58082061220124,9.92199339189787e-10,3.21890182527981e-06,2.94926105146443e-06,"ENSG00000003137/ENSG00000007372/ENSG00000058085/ENSG00000069482/ENSG00000105976/ENSG00000107984/ENSG00000116285/ENSG00000131737/ENSG00000135046/ENSG00000135443/ENSG00000135960/ENSG00000142627/ENSG00000143556/ENSG00000146648/ENSG00000158055/ENSG00000163207/ENSG00000169035/ENSG00000169469/ENSG00000170423/ENSG00000170442/ENSG00000170454/ENSG00000170484/ENSG00000170486/ENSG00000171243/ENSG00000171346/ENSG00000178372/ENSG00000185920/ENSG00000186081/ENSG00000186442/ENSG00000186832/ENSG00000186951/ENSG00000205420/ENSG00000205426/ENSG00000214336/ENSG00000244094",35
"GO:0045104","GO:0045104","intermediate filament cytoskeleton organization","17/527","112/21468",0.151785714285714,6.1831797235023,8.72444081032968,2.06336794043711e-09,3.21890182527981e-06,2.94926105146443e-06,"ENSG00000026025/ENSG00000131737/ENSG00000132688/ENSG00000135443/ENSG00000148798/ENSG00000170423/ENSG00000170442/ENSG00000170454/ENSG00000170484/ENSG00000170486/ENSG00000171346/ENSG00000182253/ENSG00000186081/ENSG00000186442/ENSG00000186832/ENSG00000205420/ENSG00000205426",17
"GO:0045103","GO:0045103","intermediate filament-based process","17/527","113/21468",0.150442477876106,6.12846131886954,8.67099219769156,2.37440508380611e-09,3.21890182527981e-06,2.94926105146443e-06,"ENSG00000026025/ENSG00000131737/ENSG00000132688/ENSG00000135443/ENSG00000148798/ENSG00000170423/ENSG00000170442/ENSG00000170454/ENSG00000170484/ENSG00000170486/ENSG00000171346/ENSG00000182253/ENSG00000186081/ENSG00000186442/ENSG00000186832/ENSG00000205420/ENSG00000205426",17
"GO:0045109","GO:0045109","intermediate filament organization","15/527","88/21468",0.170454545454545,6.94367776436088,8.86308713906163,3.55227943776071e-09,3.3976761733903e-06,3.11305984077275e-06,"ENSG00000026025/ENSG00000131737/ENSG00000135443/ENSG00000148798/ENSG00000170423/ENSG00000170442/ENSG00000170454/ENSG00000170484/ENSG00000170486/ENSG00000171346/ENSG00000186081/ENSG00000186442/ENSG00000186832/ENSG00000205420/ENSG00000205426",15
"GO:0031424","GO:0031424","keratinization","15/527","89/21468",0.168539325842697,6.86565891307592,8.79650982850286,4.17712831742107e-09,3.3976761733903e-06,3.11305984077275e-06,"ENSG00000003137/ENSG00000135443/ENSG00000163207/ENSG00000169469/ENSG00000170423/ENSG00000170442/ENSG00000170454/ENSG00000170484/ENSG00000170486/ENSG00000186081/ENSG00000186442/ENSG00000186832/ENSG00000205420/ENSG00000205426/ENSG00000244094",15
"GO:0045664","GO:0045664","regulation of neuron differentiation","22/527","201/21468",0.109452736318408,4.45869325101249,7.81536448462241,5.29001426399362e-09,3.58574800194368e-06,3.28537727974341e-06,"ENSG00000007372/ENSG00000104332/ENSG00000107984/ENSG00000109132/ENSG00000117707/ENSG00000125845/ENSG00000128482/ENSG00000138083/ENSG00000158555/ENSG00000159556/ENSG00000160307/ENSG00000164438/ENSG00000167191/ENSG00000171094/ENSG00000172201/ENSG00000176165/ENSG00000176887/ENSG00000183072/ENSG00000198947/ENSG00000205927/ENSG00000244405/ENSG00000274286",22
"GO:1902692","GO:1902692","regulation of neuroblast proliferation","12/527","55/21468",0.218181818181818,8.88790753838192,9.29173199506847,7.10269398999194e-09,4.12666520818532e-06,3.78098296610097e-06,"ENSG00000006210/ENSG00000007372/ENSG00000089116/ENSG00000100146/ENSG00000117707/ENSG00000130287/ENSG00000138083/ENSG00000142700/ENSG00000148704/ENSG00000157766/ENSG00000172201/ENSG00000176165",12
"GO:0045666","GO:0045666","positive regulation of neuron differentiation","15/527","99/21468",0.151515151515152,6.17215801276522,8.18256680123855,1.88154578137061e-08,9.19304884770185e-06,8.4229660866964e-06,"ENSG00000007372/ENSG00000107984/ENSG00000109132/ENSG00000117707/ENSG00000125845/ENSG00000128482/ENSG00000158555/ENSG00000160307/ENSG00000167191/ENSG00000176165/ENSG00000176887/ENSG00000183072/ENSG00000198947/ENSG00000244405/ENSG00000274286",15
"GO:0043588","GO:0043588","skin development","29/527","357/21468",0.0812324929971989,3.30910656482707,6.97936576008536,2.03436045314277e-08,9.19304884770185e-06,8.4229660866964e-06,"ENSG00000003137/ENSG00000007372/ENSG00000069482/ENSG00000105976/ENSG00000107984/ENSG00000116285/ENSG00000135046/ENSG00000135443/ENSG00000135960/ENSG00000142627/ENSG00000143556/ENSG00000146648/ENSG00000158055/ENSG00000163207/ENSG00000169469/ENSG00000170423/ENSG00000170442/ENSG00000170454/ENSG00000170484/ENSG00000170486/ENSG00000171243/ENSG00000186081/ENSG00000186442/ENSG00000186832/ENSG00000188910/ENSG00000205420/ENSG00000205426/ENSG00000214336/ENSG00000244094",29
"GO:0030216","GO:0030216","keratinocyte differentiation","20/527","187/21468",0.106951871657754,4.35681742077545,7.31382871322328,3.88606273081604e-08,1.58046171262288e-05,1.4480696912725e-05,"ENSG00000003137/ENSG00000007372/ENSG00000116285/ENSG00000135046/ENSG00000135443/ENSG00000142627/ENSG00000143556/ENSG00000163207/ENSG00000169469/ENSG00000170423/ENSG00000170442/ENSG00000170454/ENSG00000170484/ENSG00000170486/ENSG00000186081/ENSG00000186442/ENSG00000186832/ENSG00000205420/ENSG00000205426/ENSG00000244094",20
