"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060294","GO:0060294","cilium movement involved in cell motility","19/40","225/21468",0.0844444444444444,45.3213333333333,28.8749344106929,1.21893776051528e-27,2.34361584528938e-25,1.80171531571626e-25,"ENSG00000007174/ENSG00000080572/ENSG00000115423/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000158486/ENSG00000159625/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000165164/ENSG00000165309/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000270765",19
"GO:0001539","GO:0001539","cilium or flagellum-dependent cell motility","19/40","228/21468",0.0833333333333333,44.725,28.677734546037,1.57996573839733e-27,2.34361584528938e-25,1.80171531571626e-25,"ENSG00000007174/ENSG00000080572/ENSG00000115423/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000158486/ENSG00000159625/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000165164/ENSG00000165309/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000270765",19
"GO:0060285","GO:0060285","cilium-dependent cell motility","19/40","228/21468",0.0833333333333333,44.725,28.677734546037,1.57996573839733e-27,2.34361584528938e-25,1.80171531571626e-25,"ENSG00000007174/ENSG00000080572/ENSG00000115423/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000158486/ENSG00000159625/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000165164/ENSG00000165309/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000270765",19
"GO:0003341","GO:0003341","cilium movement","19/40","268/21468",0.0708955223880597,38.0496268656716,26.3698803947369,3.69248926051043e-26,4.10789430231785e-24,3.15805002543655e-24,"ENSG00000007174/ENSG00000080572/ENSG00000115423/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000158486/ENSG00000159625/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000165164/ENSG00000165309/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000270765",19
"GO:0030317","GO:0030317","flagellated sperm motility","15/40","205/21468",0.0731707317073171,39.2707317073171,23.7879097191404,9.71940680225774e-21,7.20856004500782e-19,5.54176703637503e-19,"ENSG00000080572/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000159625/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000165164/ENSG00000165309/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085",15
"GO:0097722","GO:0097722","sperm motility","15/40","205/21468",0.0731707317073171,39.2707317073171,23.7879097191404,9.71940680225774e-21,7.20856004500782e-19,5.54176703637503e-19,"ENSG00000080572/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000159625/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000165164/ENSG00000165309/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085",15
"GO:0060271","GO:0060271","cilium assembly","10/40","414/21468",0.0241545893719807,12.963768115942,10.6200290100537,3.22899417401315e-09,2.05271772490836e-07,1.57807985948011e-07,"ENSG00000080572/ENSG00000129654/ENSG00000152669/ENSG00000153789/ENSG00000159625/ENSG00000163060/ENSG00000163075/ENSG00000165164/ENSG00000167858/ENSG00000234602",10
"GO:0044782","GO:0044782","cilium organization","10/40","443/21468",0.0225733634311512,12.1151241534989,10.2134633278383,6.16604028702364e-09,3.4298599096569e-07,2.63679354379301e-07,"ENSG00000080572/ENSG00000129654/ENSG00000152669/ENSG00000153789/ENSG00000159625/ENSG00000163060/ENSG00000163075/ENSG00000165164/ENSG00000167858/ENSG00000234602",10
"GO:0044458","GO:0044458","motile cilium assembly","5/40","81/21468",0.0617283950617284,33.1296296296296,12.5169393815391,4.00293070570941e-07,1.9792268489341e-05,1.52158184719948e-05,"ENSG00000129654/ENSG00000159625/ENSG00000163075/ENSG00000165164/ENSG00000234602",5
"GO:0003351","GO:0003351","epithelial cilium movement involved in extracellular fluid movement","4/40","47/21468",0.0851063829787234,45.6765957446809,13.2475017870642,1.73904040964681e-06,7.73872982292829e-05,5.94934876984434e-05,"ENSG00000007174/ENSG00000145491/ENSG00000163075/ENSG00000213085",4
