"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","GO:0007059","chromosome segregation","98/336","493/21468",0.198782961460446,12.7008113590264,33.1415997775445,6.776354940462e-81,1.77404972341295e-77,1.5371626207048e-77,"ENSG00000000460/ENSG00000011332/ENSG00000012048/ENSG00000013810/ENSG00000066279/ENSG00000071539/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000087586/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000094804/ENSG00000100162/ENSG00000101057/ENSG00000101447/ENSG00000102384/ENSG00000104147/ENSG00000105173/ENSG00000109805/ENSG00000112742/ENSG00000113810/ENSG00000114346/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000118193/ENSG00000120334/ENSG00000121152/ENSG00000121211/ENSG00000121621/ENSG00000121957/ENSG00000122952/ENSG00000123219/ENSG00000123473/ENSG00000123485/ENSG00000126787/ENSG00000128944/ENSG00000129810/ENSG00000130695/ENSG00000131747/ENSG00000134057/ENSG00000134222/ENSG00000134690/ENSG00000135476/ENSG00000136492/ENSG00000137807/ENSG00000137812/ENSG00000138092/ENSG00000138160/ENSG00000138778/ENSG00000139734/ENSG00000142945/ENSG00000143228/ENSG00000144554/ENSG00000146670/ENSG00000146918/ENSG00000148773/ENSG00000149636/ENSG00000151725/ENSG00000152253/ENSG00000153044/ENSG00000154839/ENSG00000156970/ENSG00000157456/ENSG00000159055/ENSG00000161800/ENSG00000161888/ENSG00000163535/ENSG00000163808/ENSG00000164109/ENSG00000164611/ENSG00000164754/ENSG00000164934/ENSG00000165480/ENSG00000166451/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000170312/ENSG00000171320/ENSG00000174442/ENSG00000175063/ENSG00000175305/ENSG00000175643/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000180198/ENSG00000184445/ENSG00000184661/ENSG00000186185/ENSG00000198901/ENSG00000203760/ENSG00000226650/ENSG00000237649/ENSG00000276043",98
"GO:0098813","GO:0098813","nuclear chromosome segregation","78/336","373/21468",0.20911528150134,13.3609728073535,30.3670299586458,1.74731704774443e-65,2.28723801549746e-62,1.98182538836276e-62,"ENSG00000011332/ENSG00000013810/ENSG00000066279/ENSG00000071539/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000087586/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000094804/ENSG00000101057/ENSG00000101447/ENSG00000102384/ENSG00000105173/ENSG00000109805/ENSG00000112742/ENSG00000113810/ENSG00000114346/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000118193/ENSG00000121152/ENSG00000121211/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000126787/ENSG00000128944/ENSG00000129810/ENSG00000131747/ENSG00000134057/ENSG00000134222/ENSG00000134690/ENSG00000135476/ENSG00000136492/ENSG00000137807/ENSG00000137812/ENSG00000138160/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000144554/ENSG00000146670/ENSG00000146918/ENSG00000149636/ENSG00000152253/ENSG00000154839/ENSG00000156970/ENSG00000157456/ENSG00000161800/ENSG00000161888/ENSG00000163808/ENSG00000164109/ENSG00000164611/ENSG00000164754/ENSG00000164934/ENSG00000165480/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000170312/ENSG00000174442/ENSG00000175063/ENSG00000175305/ENSG00000175643/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000180198/ENSG00000184445/ENSG00000186185/ENSG00000198901/ENSG00000226650/ENSG00000237649/ENSG00000276043",78
"GO:0140014","GO:0140014","mitotic nuclear division","69/336","313/21468",0.220447284345048,14.085006846189,29.4052329308225,2.12440233633145e-59,1.85389510550524e-56,1.60634632799799e-56,"ENSG00000011426/ENSG00000071539/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000087586/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000101057/ENSG00000102384/ENSG00000109805/ENSG00000112742/ENSG00000113810/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000118193/ENSG00000121152/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000126787/ENSG00000127564/ENSG00000128944/ENSG00000130695/ENSG00000134057/ENSG00000134222/ENSG00000134690/ENSG00000135476/ENSG00000137807/ENSG00000137812/ENSG00000138160/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000146670/ENSG00000146918/ENSG00000148773/ENSG00000149554/ENSG00000152253/ENSG00000154839/ENSG00000156509/ENSG00000156970/ENSG00000158402/ENSG00000161800/ENSG00000161888/ENSG00000163808/ENSG00000164109/ENSG00000164754/ENSG00000165480/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000170312/ENSG00000172167/ENSG00000174442/ENSG00000175063/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000180198/ENSG00000184445/ENSG00000184661/ENSG00000186185/ENSG00000198901/ENSG00000226650/ENSG00000237649/ENSG00000276043",69
"GO:0000819","GO:0000819","sister chromatid segregation","64/336","257/21468",0.249027237354086,15.911061700945,30.3235171626415,1.1188429098473e-58,7.32282684495059e-56,6.34501702821298e-56,"ENSG00000011332/ENSG00000013810/ENSG00000071539/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000094804/ENSG00000101057/ENSG00000102384/ENSG00000109805/ENSG00000112742/ENSG00000113810/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000118193/ENSG00000121152/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000126787/ENSG00000128944/ENSG00000131747/ENSG00000134057/ENSG00000134222/ENSG00000134690/ENSG00000135476/ENSG00000137807/ENSG00000137812/ENSG00000138160/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000146670/ENSG00000146918/ENSG00000152253/ENSG00000154839/ENSG00000156970/ENSG00000161800/ENSG00000161888/ENSG00000163808/ENSG00000164109/ENSG00000164754/ENSG00000165480/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000170312/ENSG00000174442/ENSG00000175063/ENSG00000175643/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000180198/ENSG00000184445/ENSG00000186185/ENSG00000198901/ENSG00000226650/ENSG00000237649/ENSG00000276043",64
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","59/336","214/21468",0.275700934579439,17.6153204272363,30.8020970915823,6.41964909993746e-57,3.36132826872725e-54,2.9124934337611e-54,"ENSG00000071539/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000101057/ENSG00000102384/ENSG00000109805/ENSG00000112742/ENSG00000113810/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000118193/ENSG00000121152/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000126787/ENSG00000128944/ENSG00000134057/ENSG00000134222/ENSG00000134690/ENSG00000135476/ENSG00000137807/ENSG00000137812/ENSG00000138160/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000146670/ENSG00000146918/ENSG00000152253/ENSG00000154839/ENSG00000156970/ENSG00000161800/ENSG00000161888/ENSG00000163808/ENSG00000164109/ENSG00000164754/ENSG00000165480/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000170312/ENSG00000174442/ENSG00000175063/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000180198/ENSG00000184445/ENSG00000186185/ENSG00000198901/ENSG00000226650/ENSG00000237649/ENSG00000276043",59
"GO:0006260","GO:0006260","DNA replication","59/336","298/21468",0.197986577181208,12.6499280920422,25.5361819197034,9.69578661531265e-48,4.23059489314809e-45,3.66568774666645e-45,"ENSG00000006634/ENSG00000012048/ENSG00000049541/ENSG00000051180/ENSG00000051341/ENSG00000065328/ENSG00000073111/ENSG00000076003/ENSG00000085840/ENSG00000091651/ENSG00000093009/ENSG00000094804/ENSG00000097046/ENSG00000100479/ENSG00000101003/ENSG00000104738/ENSG00000104889/ENSG00000105173/ENSG00000105486/ENSG00000111602/ENSG00000129173/ENSG00000131153/ENSG00000132646/ENSG00000136982/ENSG00000137309/ENSG00000138346/ENSG00000138376/ENSG00000139618/ENSG00000140451/ENSG00000140534/ENSG00000143476/ENSG00000143799/ENSG00000145386/ENSG00000147536/ENSG00000149554/ENSG00000154920/ENSG00000159147/ENSG00000159259/ENSG00000160949/ENSG00000163918/ENSG00000164045/ENSG00000165891/ENSG00000166803/ENSG00000167513/ENSG00000167670/ENSG00000167900/ENSG00000168496/ENSG00000170312/ENSG00000171320/ENSG00000174371/ENSG00000175305/ENSG00000175643/ENSG00000175792/ENSG00000178295/ENSG00000178966/ENSG00000183763/ENSG00000189057/ENSG00000197299/ENSG00000198554",59
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","61/336","406/21468",0.150246305418719,9.59966572836031,22.0586941347548,6.52686449657569e-42,2.44104732171931e-39,2.1150966902437e-39,"ENSG00000011332/ENSG00000011426/ENSG00000012048/ENSG00000071539/ENSG00000075218/ENSG00000080986/ENSG00000085840/ENSG00000087586/ENSG00000089685/ENSG00000092853/ENSG00000094804/ENSG00000097046/ENSG00000101224/ENSG00000101412/ENSG00000105173/ENSG00000106462/ENSG00000112742/ENSG00000117399/ENSG00000117724/ENSG00000118193/ENSG00000122952/ENSG00000123080/ENSG00000123473/ENSG00000126787/ENSG00000127564/ENSG00000134057/ENSG00000134690/ENSG00000135476/ENSG00000137812/ENSG00000138376/ENSG00000138778/ENSG00000140534/ENSG00000143228/ENSG00000143476/ENSG00000146670/ENSG00000149554/ENSG00000152253/ENSG00000154839/ENSG00000156970/ENSG00000158402/ENSG00000159147/ENSG00000161888/ENSG00000164045/ENSG00000164109/ENSG00000164362/ENSG00000164754/ENSG00000165480/ENSG00000165891/ENSG00000166851/ENSG00000169679/ENSG00000170312/ENSG00000171848/ENSG00000172167/ENSG00000174442/ENSG00000175063/ENSG00000175305/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000184445/ENSG00000197299",61
"GO:0010948","GO:0010948","negative regulation of cell cycle process","59/336","373/21468",0.158176943699732,10.1063768671007,22.3715093826157,7.69501927309249e-42,2.51819505711952e-39,2.18194296493609e-39,"ENSG00000012048/ENSG00000051180/ENSG00000071539/ENSG00000075218/ENSG00000080986/ENSG00000085840/ENSG00000089685/ENSG00000092470/ENSG00000092853/ENSG00000093009/ENSG00000094804/ENSG00000101412/ENSG00000106462/ENSG00000111602/ENSG00000112742/ENSG00000113648/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000122952/ENSG00000127564/ENSG00000129173/ENSG00000134057/ENSG00000134690/ENSG00000135476/ENSG00000136492/ENSG00000137812/ENSG00000138346/ENSG00000138376/ENSG00000139618/ENSG00000140534/ENSG00000143228/ENSG00000143476/ENSG00000143493/ENSG00000144554/ENSG00000149554/ENSG00000152253/ENSG00000154839/ENSG00000154920/ENSG00000156509/ENSG00000156970/ENSG00000159147/ENSG00000161888/ENSG00000162063/ENSG00000164109/ENSG00000164754/ENSG00000165480/ENSG00000165891/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000170312/ENSG00000172167/ENSG00000174442/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000184445/ENSG00000197299",59
"GO:0006261","GO:0006261","DNA-templated DNA replication","44/336","166/21468",0.265060240963855,16.9354561101549,25.9892273447905,1.32672033534196e-41,3.85928204213918e-39,3.34395593293793e-39,"ENSG00000006634/ENSG00000012048/ENSG00000049541/ENSG00000051180/ENSG00000051341/ENSG00000065328/ENSG00000073111/ENSG00000076003/ENSG00000085840/ENSG00000091651/ENSG00000093009/ENSG00000094804/ENSG00000097046/ENSG00000100479/ENSG00000101003/ENSG00000104738/ENSG00000105173/ENSG00000105486/ENSG00000111602/ENSG00000129173/ENSG00000131153/ENSG00000132646/ENSG00000136982/ENSG00000137309/ENSG00000138346/ENSG00000138376/ENSG00000139618/ENSG00000140534/ENSG00000143799/ENSG00000147536/ENSG00000154920/ENSG00000159147/ENSG00000160949/ENSG00000163918/ENSG00000165891/ENSG00000167513/ENSG00000167900/ENSG00000168496/ENSG00000174371/ENSG00000175305/ENSG00000178295/ENSG00000183763/ENSG00000197299/ENSG00000198554",44
"GO:0000075","GO:0000075","cell cycle checkpoint signaling","49/336","233/21468",0.210300429184549,13.43669527897,24.0681016567258,5.64450589291575e-41,1.47773164276534e-38,1.28041159991931e-38,"ENSG00000012048/ENSG00000051180/ENSG00000071539/ENSG00000075218/ENSG00000080986/ENSG00000085840/ENSG00000089685/ENSG00000092470/ENSG00000092853/ENSG00000093009/ENSG00000094804/ENSG00000101412/ENSG00000111602/ENSG00000112742/ENSG00000117399/ENSG00000117724/ENSG00000122952/ENSG00000134057/ENSG00000134690/ENSG00000136492/ENSG00000137812/ENSG00000138346/ENSG00000138376/ENSG00000139618/ENSG00000140534/ENSG00000143228/ENSG00000143476/ENSG00000143493/ENSG00000144554/ENSG00000149554/ENSG00000152253/ENSG00000154839/ENSG00000154920/ENSG00000156970/ENSG00000159147/ENSG00000161888/ENSG00000164109/ENSG00000165480/ENSG00000165891/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000170312/ENSG00000174442/ENSG00000177602/ENSG00000178295/ENSG00000178999/ENSG00000184445/ENSG00000197299",49
