"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003012","GO:0003012","muscle system process","46/591","489/21468",0.0940695296523517,3.41706372686411,9.09694380581283,4.01044451577753e-13,1.77783005384418e-09,1.38212582575322e-09,"ENSG00000007314/ENSG00000017427/ENSG00000018625/ENSG00000034971/ENSG00000076555/ENSG00000077157/ENSG00000100678/ENSG00000102468/ENSG00000105974/ENSG00000108823/ENSG00000109063/ENSG00000111262/ENSG00000115353/ENSG00000118729/ENSG00000119508/ENSG00000120049/ENSG00000120907/ENSG00000123358/ENSG00000124205/ENSG00000130037/ENSG00000130176/ENSG00000130595/ENSG00000131730/ENSG00000132170/ENSG00000133392/ENSG00000136160/ENSG00000136546/ENSG00000141052/ENSG00000145362/ENSG00000148180/ENSG00000149575/ENSG00000153253/ENSG00000163884/ENSG00000164530/ENSG00000166257/ENSG00000168356/ENSG00000169252/ENSG00000174697/ENSG00000175084/ENSG00000177098/ENSG00000180509/ENSG00000180914/ENSG00000182132/ENSG00000186439/ENSG00000187955/ENSG00000266964",46
"GO:0003018","GO:0003018","vascular process in circulatory system","35/591","303/21468",0.115511551155116,4.19594243688328,9.42663082885429,8.43010522448593e-13,1.86853282300731e-09,1.45264023710352e-09,"ENSG00000018625/ENSG00000085563/ENSG00000102468/ENSG00000105974/ENSG00000109610/ENSG00000115353/ENSG00000116678/ENSG00000118777/ENSG00000120156/ENSG00000120907/ENSG00000124205/ENSG00000126895/ENSG00000127528/ENSG00000129244/ENSG00000130037/ENSG00000135218/ENSG00000136160/ENSG00000139155/ENSG00000144668/ENSG00000145936/ENSG00000146477/ENSG00000152779/ENSG00000153162/ENSG00000165349/ENSG00000169252/ENSG00000169418/ENSG00000174697/ENSG00000179776/ENSG00000180914/ENSG00000181856/ENSG00000184113/ENSG00000186642/ENSG00000188778/ENSG00000205502/ENSG00000244734",35
"GO:0006936","GO:0006936","muscle contraction","37/591","378/21468",0.0978835978835979,3.55560927134531,8.43426880359525,2.70659935959331e-11,3.99945165369238e-08,3.10926536958193e-08,"ENSG00000007314/ENSG00000018625/ENSG00000077157/ENSG00000100678/ENSG00000102468/ENSG00000105974/ENSG00000108823/ENSG00000109063/ENSG00000111262/ENSG00000115353/ENSG00000118729/ENSG00000120049/ENSG00000120907/ENSG00000123358/ENSG00000124205/ENSG00000130037/ENSG00000130176/ENSG00000130595/ENSG00000131730/ENSG00000133392/ENSG00000136160/ENSG00000136546/ENSG00000141052/ENSG00000145362/ENSG00000148180/ENSG00000149575/ENSG00000153253/ENSG00000166257/ENSG00000168356/ENSG00000169252/ENSG00000175084/ENSG00000177098/ENSG00000180509/ENSG00000180914/ENSG00000182132/ENSG00000186439/ENSG00000266964",37
"GO:0097305","GO:0097305","response to alcohol","31/591","312/21468",0.0993589743589744,3.60920213458285,7.81112550655755,7.84809678299621e-10,8.69765325975555e-07,6.76175496513937e-07,"ENSG00000069702/ENSG00000078549/ENSG00000108342/ENSG00000115353/ENSG00000118432/ENSG00000119138/ENSG00000122420/ENSG00000124253/ENSG00000125740/ENSG00000126545/ENSG00000127528/ENSG00000129596/ENSG00000136826/ENSG00000137077/ENSG00000138685/ENSG00000145708/ENSG00000145936/ENSG00000151632/ENSG00000167910/ENSG00000168356/ENSG00000170345/ENSG00000173175/ENSG00000174576/ENSG00000174697/ENSG00000175899/ENSG00000181092/ENSG00000181195/ENSG00000181856/ENSG00000184113/ENSG00000196139/ENSG00000198848",31
"GO:0007188","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","29/591","291/21468",0.0996563573883162,3.62000453538472,7.57114724103428,2.59345299708428e-09,2.29935542721492e-06,1.78757160262188e-06,"ENSG00000064989/ENSG00000065325/ENSG00000078549/ENSG00000080293/ENSG00000106113/ENSG00000111452/ENSG00000118432/ENSG00000120907/ENSG00000122420/ENSG00000126895/ENSG00000129467/ENSG00000135298/ENSG00000138039/ENSG00000141404/ENSG00000146469/ENSG00000150471/ENSG00000156920/ENSG00000162618/ENSG00000164849/ENSG00000169252/ENSG00000169313/ENSG00000170262/ENSG00000170989/ENSG00000173175/ENSG00000180264/ENSG00000183134/ENSG00000185149/ENSG00000186642/ENSG00000188778",29
"GO:0060047","GO:0060047","heart contraction","27/591","269/21468",0.100371747211896,3.64599097994075,7.34771300667833,7.89811767959582e-09,5.83539261227471e-06,4.53656794438539e-06,"ENSG00000007314/ENSG00000018625/ENSG00000100678/ENSG00000102683/ENSG00000105974/ENSG00000116016/ENSG00000118729/ENSG00000120049/ENSG00000120907/ENSG00000124205/ENSG00000129244/ENSG00000130037/ENSG00000136160/ENSG00000136546/ENSG00000145362/ENSG00000148180/ENSG00000149575/ENSG00000153253/ENSG00000166257/ENSG00000168356/ENSG00000173641/ENSG00000175084/ENSG00000177098/ENSG00000180509/ENSG00000182132/ENSG00000186439/ENSG00000266964",27
"GO:0003015","GO:0003015","heart process","27/591","278/21468",0.0971223021582734,3.52795530073403,7.13792011321029,1.59427075444726e-08,1.00962889349496e-05,7.84908639106819e-06,"ENSG00000007314/ENSG00000018625/ENSG00000100678/ENSG00000102683/ENSG00000105974/ENSG00000116016/ENSG00000118729/ENSG00000120049/ENSG00000120907/ENSG00000124205/ENSG00000129244/ENSG00000130037/ENSG00000136160/ENSG00000136546/ENSG00000145362/ENSG00000148180/ENSG00000149575/ENSG00000153253/ENSG00000166257/ENSG00000168356/ENSG00000173641/ENSG00000175084/ENSG00000177098/ENSG00000180509/ENSG00000182132/ENSG00000186439/ENSG00000266964",27
"GO:1903522","GO:1903522","regulation of blood circulation","27/591","290/21468",0.0931034482758621,3.38197094346228,6.87129128504082,3.87563347370341e-08,2.06789492767293e-05,1.60762890598055e-05,"ENSG00000018625/ENSG00000100678/ENSG00000102468/ENSG00000105974/ENSG00000115353/ENSG00000116016/ENSG00000118729/ENSG00000120049/ENSG00000120907/ENSG00000124205/ENSG00000126895/ENSG00000129244/ENSG00000130037/ENSG00000136160/ENSG00000144668/ENSG00000145362/ENSG00000149575/ENSG00000166257/ENSG00000173641/ENSG00000174697/ENSG00000175084/ENSG00000177098/ENSG00000180509/ENSG00000180914/ENSG00000182132/ENSG00000186439/ENSG00000266964",27
"GO:0034308","GO:0034308","primary alcohol metabolic process","17/591","123/21468",0.138211382113821,5.02051091576906,7.52369349545083,4.75223524528798e-08,2.06789492767293e-05,1.60762890598055e-05,"ENSG00000017427/ENSG00000079435/ENSG00000128918/ENSG00000135437/ENSG00000136160/ENSG00000138207/ENSG00000140459/ENSG00000151632/ENSG00000153162/ENSG00000165092/ENSG00000187134/ENSG00000187758/ENSG00000196139/ENSG00000196616/ENSG00000198075/ENSG00000198099/ENSG00000248144",17
"GO:0030198","GO:0030198","extracellular matrix organization","32/591","394/21468",0.0812182741116751,2.95024350021902,6.57368417676881,5.59537974366589e-08,2.06789492767293e-05,1.60762890598055e-05,"ENSG00000065618/ENSG00000066056/ENSG00000069702/ENSG00000090006/ENSG00000092009/ENSG00000100448/ENSG00000105509/ENSG00000105971/ENSG00000105974/ENSG00000116147/ENSG00000131095/ENSG00000132170/ENSG00000132561/ENSG00000133392/ENSG00000134917/ENSG00000136244/ENSG00000137675/ENSG00000140092/ENSG00000140873/ENSG00000143196/ENSG00000154175/ENSG00000154734/ENSG00000163638/ENSG00000164318/ENSG00000166482/ENSG00000168477/ENSG00000171819/ENSG00000172987/ENSG00000187955/ENSG00000197565/ENSG00000205221/ENSG00000271447",32
