"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045229","GO:0045229","external encapsulating structure organization","52/432","397/21468",0.130982367758186,6.50909599776098,15.8773855355003,3.11070509333503e-27,1.19886574297132e-23,9.71522317044742e-24,"ENSG00000019144/ENSG00000038295/ENSG00000049192/ENSG00000060718/ENSG00000077942/ENSG00000078098/ENSG00000091986/ENSG00000095587/ENSG00000099953/ENSG00000101680/ENSG00000105664/ENSG00000106624/ENSG00000106823/ENSG00000108821/ENSG00000111799/ENSG00000122176/ENSG00000122707/ENSG00000123342/ENSG00000123384/ENSG00000123500/ENSG00000129038/ENSG00000130635/ENSG00000133110/ENSG00000134853/ENSG00000137573/ENSG00000137745/ENSG00000138316/ENSG00000138738/ENSG00000142871/ENSG00000144810/ENSG00000144824/ENSG00000149380/ENSG00000149968/ENSG00000154736/ENSG00000157227/ENSG00000162733/ENSG00000162745/ENSG00000164692/ENSG00000167749/ENSG00000168542/ENSG00000171502/ENSG00000173376/ENSG00000178031/ENSG00000185070/ENSG00000185585/ENSG00000196562/ENSG00000196569/ENSG00000197635/ENSG00000197859/ENSG00000197915/ENSG00000204262/ENSG00000225614",52
"GO:0030198","GO:0030198","extracellular matrix organization","51/432","394/21468",0.129441624365482,6.4325296108291,15.5963400535698,1.7771062020621e-26,2.5751093118941e-23,2.08678593078682e-23,"ENSG00000019144/ENSG00000038295/ENSG00000049192/ENSG00000060718/ENSG00000077942/ENSG00000078098/ENSG00000091986/ENSG00000095587/ENSG00000099953/ENSG00000101680/ENSG00000105664/ENSG00000106624/ENSG00000106823/ENSG00000108821/ENSG00000111799/ENSG00000122176/ENSG00000122707/ENSG00000123342/ENSG00000123384/ENSG00000123500/ENSG00000129038/ENSG00000130635/ENSG00000133110/ENSG00000134853/ENSG00000137573/ENSG00000137745/ENSG00000138316/ENSG00000138738/ENSG00000142871/ENSG00000144810/ENSG00000144824/ENSG00000149380/ENSG00000149968/ENSG00000154736/ENSG00000157227/ENSG00000162733/ENSG00000162745/ENSG00000164692/ENSG00000167749/ENSG00000168542/ENSG00000171502/ENSG00000173376/ENSG00000178031/ENSG00000185070/ENSG00000185585/ENSG00000196562/ENSG00000196569/ENSG00000197635/ENSG00000197859/ENSG00000204262/ENSG00000225614",51
"GO:0043062","GO:0043062","extracellular structure organization","51/432","395/21468",0.129113924050633,6.4162447257384,15.5696773880735,2.00449609125124e-26,2.5751093118941e-23,2.08678593078682e-23,"ENSG00000019144/ENSG00000038295/ENSG00000049192/ENSG00000060718/ENSG00000077942/ENSG00000078098/ENSG00000091986/ENSG00000095587/ENSG00000099953/ENSG00000101680/ENSG00000105664/ENSG00000106624/ENSG00000106823/ENSG00000108821/ENSG00000111799/ENSG00000122176/ENSG00000122707/ENSG00000123342/ENSG00000123384/ENSG00000123500/ENSG00000129038/ENSG00000130635/ENSG00000133110/ENSG00000134853/ENSG00000137573/ENSG00000137745/ENSG00000138316/ENSG00000138738/ENSG00000142871/ENSG00000144810/ENSG00000144824/ENSG00000149380/ENSG00000149968/ENSG00000154736/ENSG00000157227/ENSG00000162733/ENSG00000162745/ENSG00000164692/ENSG00000167749/ENSG00000168542/ENSG00000171502/ENSG00000173376/ENSG00000178031/ENSG00000185070/ENSG00000185585/ENSG00000196562/ENSG00000196569/ENSG00000197635/ENSG00000197859/ENSG00000204262/ENSG00000225614",51
"GO:0051216","GO:0051216","cartilage development","26/432","222/21468",0.117117117117117,5.82007007007007,10.3451602119684,5.47184165690917e-13,5.27211943643199e-10,4.27235636738145e-10,"ENSG00000005073/ENSG00000060718/ENSG00000081189/ENSG00000083782/ENSG00000104415/ENSG00000105664/ENSG00000105997/ENSG00000106809/ENSG00000108821/ENSG00000109705/ENSG00000115380/ENSG00000124813/ENSG00000137573/ENSG00000137745/ENSG00000142871/ENSG00000148516/ENSG00000149948/ENSG00000159899/ENSG00000160801/ENSG00000163513/ENSG00000164107/ENSG00000168542/ENSG00000178573/ENSG00000182492/ENSG00000183682/ENSG00000196562",26
"GO:0031589","GO:0031589","cell-substrate adhesion","34/432","410/21468",0.0829268292682927,4.1210027100271,9.14373190323272,3.33308501987361e-12,2.41871491419372e-09,1.96004893082041e-09,"ENSG00000047648/ENSG00000073712/ENSG00000077942/ENSG00000086289/ENSG00000091986/ENSG00000099250/ENSG00000106823/ENSG00000108821/ENSG00000109743/ENSG00000111859/ENSG00000112276/ENSG00000115414/ENSG00000122861/ENSG00000128052/ENSG00000133110/ENSG00000140937/ENSG00000140945/ENSG00000142871/ENSG00000144810/ENSG00000144824/ENSG00000145675/ENSG00000151422/ENSG00000152818/ENSG00000153071/ENSG00000157227/ENSG00000163520/ENSG00000164741/ENSG00000165124/ENSG00000166086/ENSG00000168542/ENSG00000173376/ENSG00000197702/ENSG00000213949/ENSG00000243244",34
"GO:0030199","GO:0030199","collagen fibril organization","17/432","92/21468",0.184782608695652,9.1826690821256,11.2712388185838,3.76551361836075e-12,2.41871491419372e-09,1.96004893082041e-09,"ENSG00000038295/ENSG00000060718/ENSG00000095587/ENSG00000099953/ENSG00000105664/ENSG00000106624/ENSG00000108821/ENSG00000111799/ENSG00000122176/ENSG00000129038/ENSG00000130635/ENSG00000138316/ENSG00000149380/ENSG00000162733/ENSG00000164692/ENSG00000168542/ENSG00000204262",17
"GO:0061448","GO:0061448","connective tissue development","29/432","305/21468",0.0950819672131148,4.72504553734062,9.38942204069541,4.94542879809262e-12,2.72281179826414e-09,2.20647928480313e-09,"ENSG00000005073/ENSG00000060718/ENSG00000081189/ENSG00000083782/ENSG00000104415/ENSG00000105664/ENSG00000105997/ENSG00000106809/ENSG00000107796/ENSG00000108821/ENSG00000109705/ENSG00000115380/ENSG00000124813/ENSG00000130635/ENSG00000137573/ENSG00000137745/ENSG00000142871/ENSG00000148516/ENSG00000149948/ENSG00000150347/ENSG00000159899/ENSG00000160801/ENSG00000163513/ENSG00000164107/ENSG00000168542/ENSG00000178573/ENSG00000182492/ENSG00000183682/ENSG00000196562",29
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","24/432","244/21468",0.0983606557377049,4.8879781420765,8.75288212475962,1.75739200378459e-10,8.46623597823226e-08,6.86076588845905e-08,"ENSG00000047648/ENSG00000073712/ENSG00000077942/ENSG00000091986/ENSG00000099250/ENSG00000106823/ENSG00000108821/ENSG00000109743/ENSG00000111859/ENSG00000115414/ENSG00000122861/ENSG00000128052/ENSG00000133110/ENSG00000140945/ENSG00000142871/ENSG00000144810/ENSG00000144824/ENSG00000145675/ENSG00000152818/ENSG00000153071/ENSG00000157227/ENSG00000163520/ENSG00000164741/ENSG00000173376",24
"GO:0048706","GO:0048706","embryonic skeletal system development","18/432","142/21468",0.126760563380282,6.29929577464789,9.07932579248858,5.84729288997952e-10,2.50394075533123e-07,2.02911321690868e-07,"ENSG00000005073/ENSG00000060718/ENSG00000078399/ENSG00000092607/ENSG00000099139/ENSG00000105997/ENSG00000106006/ENSG00000108821/ENSG00000109705/ENSG00000122691/ENSG00000124813/ENSG00000134853/ENSG00000137573/ENSG00000148516/ENSG00000157227/ENSG00000163513/ENSG00000164107/ENSG00000196562",18
"GO:0002062","GO:0002062","chondrocyte differentiation","16/432","121/21468",0.132231404958678,6.57116620752984,8.80676374304936,2.84524328540281e-09,1.09655676219424e-06,8.88614402925278e-07,"ENSG00000005073/ENSG00000060718/ENSG00000081189/ENSG00000104415/ENSG00000105664/ENSG00000109705/ENSG00000115380/ENSG00000124813/ENSG00000137573/ENSG00000149948/ENSG00000159899/ENSG00000160801/ENSG00000163513/ENSG00000168542/ENSG00000178573/ENSG00000196562",16
