"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031514","GO:0031514","motile cilium","32/558","332/22654",0.0963855421686747,3.91311482489096,8.49734447722792,5.62422737903088e-11,2.39029663608812e-08,2.01288137775842e-08,"ENSG00000007174/ENSG00000089101/ENSG00000101222/ENSG00000109062/ENSG00000115423/ENSG00000118492/ENSG00000122735/ENSG00000129295/ENSG00000131044/ENSG00000132681/ENSG00000140263/ENSG00000140623/ENSG00000145491/ENSG00000153060/ENSG00000158423/ENSG00000160188/ENSG00000160345/ENSG00000163060/ENSG00000163263/ENSG00000165695/ENSG00000165863/ENSG00000166578/ENSG00000179902/ENSG00000181378/ENSG00000186973/ENSG00000188523/ENSG00000196118/ENSG00000206113/ENSG00000213085/ENSG00000214530/ENSG00000215217/ENSG00000243710",32
"GO:0005930","GO:0005930","axoneme","23/558","193/22654",0.119170984455959,4.83817111445392,8.50964758171424,4.79196278313451e-10,7.52737753031149e-08,6.33884423605178e-08,"ENSG00000005448/ENSG00000007174/ENSG00000089101/ENSG00000101222/ENSG00000104237/ENSG00000105479/ENSG00000115423/ENSG00000122735/ENSG00000145491/ENSG00000146038/ENSG00000153060/ENSG00000158423/ENSG00000160188/ENSG00000160345/ENSG00000163060/ENSG00000163263/ENSG00000165695/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000198003/ENSG00000213085/ENSG00000215217",23
"GO:0097014","GO:0097014","ciliary plasm","23/558","194/22654",0.118556701030928,4.81323208809075,8.4764178871579,5.31344296257282e-10,7.52737753031149e-08,6.33884423605178e-08,"ENSG00000005448/ENSG00000007174/ENSG00000089101/ENSG00000101222/ENSG00000104237/ENSG00000105479/ENSG00000115423/ENSG00000122735/ENSG00000145491/ENSG00000146038/ENSG00000153060/ENSG00000158423/ENSG00000160188/ENSG00000160345/ENSG00000163060/ENSG00000163263/ENSG00000165695/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000198003/ENSG00000213085/ENSG00000215217",23
"GO:0097729","GO:0097729","9+2 motile cilium","23/558","242/22654",0.0950413223140496,3.85854142599011,7.1045241984745,3.77962252783193e-08,4.01584893582142e-06,3.38176752490225e-06,"ENSG00000007174/ENSG00000101222/ENSG00000109062/ENSG00000115423/ENSG00000118492/ENSG00000122735/ENSG00000132681/ENSG00000140623/ENSG00000153060/ENSG00000158423/ENSG00000160188/ENSG00000160345/ENSG00000163060/ENSG00000163263/ENSG00000165695/ENSG00000179902/ENSG00000181378/ENSG00000186973/ENSG00000188523/ENSG00000196118/ENSG00000213085/ENSG00000215217/ENSG00000243710",23
"GO:0097649","GO:0097649","A axonemal microtubule","10/558","45/22654",0.222222222222222,9.02190362405416,8.55984994122891,1.11453607423405e-07,9.4735566309894e-06,7.97773189978054e-06,"ENSG00000153060/ENSG00000158423/ENSG00000160345/ENSG00000163060/ENSG00000163263/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000215217",10
"GO:0160110","GO:0160110","axonemal microtubule doublet inner sheath","10/558","46/22654",0.217391304347826,8.82577528440081,8.44303030277454,1.39297109216271e-07,9.86687856948583e-06,8.30895037430386e-06,"ENSG00000153060/ENSG00000158423/ENSG00000160345/ENSG00000163060/ENSG00000163263/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000215217",10
"GO:0032838","GO:0032838","plasma membrane bounded cell projection cytoplasm","24/558","285/22654",0.0842105263157895,3.41882663648368,6.5302080667273,1.89376189860355e-07,1.14978400986644e-05,9.68239166203317e-06,"ENSG00000005448/ENSG00000007174/ENSG00000089101/ENSG00000101222/ENSG00000104237/ENSG00000105479/ENSG00000115423/ENSG00000122735/ENSG00000124839/ENSG00000145491/ENSG00000146038/ENSG00000153060/ENSG00000158423/ENSG00000160188/ENSG00000160345/ENSG00000163060/ENSG00000163263/ENSG00000165695/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000198003/ENSG00000213085/ENSG00000215217",24
"GO:0097545","GO:0097545","axonemal doublet microtubule","10/558","49/22654",0.204081632653061,8.28542169555995,8.11285306524264,2.62793906824364e-07,1.31023756822387e-05,1.10335795218852e-05,"ENSG00000153060/ENSG00000158423/ENSG00000160345/ENSG00000163060/ENSG00000163263/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000215217",10
"GO:0016324","GO:0016324","apical plasma membrane","31/558","448/22654",0.0691964285714286,2.80927579365079,6.14655459396375,2.77462073270937e-07,1.31023756822387e-05,1.10335795218852e-05,"ENSG00000004838/ENSG00000050438/ENSG00000065361/ENSG00000074410/ENSG00000086548/ENSG00000092068/ENSG00000092820/ENSG00000101222/ENSG00000105388/ENSG00000105707/ENSG00000105738/ENSG00000109062/ENSG00000110628/ENSG00000118298/ENSG00000124171/ENSG00000124839/ENSG00000141424/ENSG00000146950/ENSG00000152049/ENSG00000164403/ENSG00000164893/ENSG00000166006/ENSG00000168502/ENSG00000169344/ENSG00000169347/ENSG00000170482/ENSG00000185499/ENSG00000186115/ENSG00000198569/ENSG00000204385/ENSG00000232434",31
"GO:0099568","GO:0099568","cytoplasmic region","25/558","321/22654",0.0778816199376947,3.16188211123393,6.19917822643623,4.63431243027892e-07,1.96958278286854e-05,1.65859602767877e-05,"ENSG00000005448/ENSG00000007174/ENSG00000089101/ENSG00000101098/ENSG00000101222/ENSG00000104237/ENSG00000105479/ENSG00000115423/ENSG00000122735/ENSG00000124839/ENSG00000145491/ENSG00000146038/ENSG00000153060/ENSG00000158423/ENSG00000160188/ENSG00000160345/ENSG00000163060/ENSG00000163263/ENSG00000165695/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000198003/ENSG00000213085/ENSG00000215217",25
