"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016324","GO:0016324","apical plasma membrane","27/436","448/22654",0.0602678571428571,3.13144044888598,6.38308559790816,2.00471099523177e-07,6.99644137335889e-05,6.03523520669776e-05,"ENSG00000004838/ENSG00000050438/ENSG00000065361/ENSG00000071967/ENSG00000074410/ENSG00000086548/ENSG00000091138/ENSG00000092068/ENSG00000101222/ENSG00000105388/ENSG00000105707/ENSG00000105738/ENSG00000118298/ENSG00000124171/ENSG00000141424/ENSG00000146950/ENSG00000152049/ENSG00000164403/ENSG00000164893/ENSG00000166006/ENSG00000168502/ENSG00000169344/ENSG00000169347/ENSG00000170482/ENSG00000185499/ENSG00000186115/ENSG00000204385",27
"GO:0030673","GO:0030673","axolemma","6/436","24/22654",0.25,12.9896788990826,8.23236318838886,4.92542069485813e-06,0.00065218590116436,0.000562585334739879,"ENSG00000110436/ENSG00000129159/ENSG00000166006/ENSG00000174469/ENSG00000185008/ENSG00000187486",6
"GO:0034703","GO:0034703","cation channel complex","17/436","245/22654",0.0693877551020408,3.60529863321475,5.74358352937272,5.96248730547933e-06,0.00065218590116436,0.000562585334739879,"ENSG00000007402/ENSG00000075461/ENSG00000099337/ENSG00000108878/ENSG00000129159/ENSG00000143473/ENSG00000144191/ENSG00000149403/ENSG00000152049/ENSG00000157388/ENSG00000162975/ENSG00000162989/ENSG00000166006/ENSG00000170745/ENSG00000174469/ENSG00000187486/ENSG00000196557",17
"GO:0034705","GO:0034705","potassium channel complex","11/436","109/22654",0.100917431192661,5.24354010605168,6.22114130881581,8.36102988690749e-06,0.00065218590116436,0.000562585334739879,"ENSG00000099337/ENSG00000129159/ENSG00000143473/ENSG00000149403/ENSG00000152049/ENSG00000162975/ENSG00000162989/ENSG00000166006/ENSG00000170745/ENSG00000174469/ENSG00000187486",11
"GO:0042734","GO:0042734","presynaptic membrane","15/436","202/22654",0.0742574257425743,3.85832046507403,5.71626972039755,9.34363755249799e-06,0.00065218590116436,0.000562585334739879,"ENSG00000007402/ENSG00000011347/ENSG00000050438/ENSG00000067715/ENSG00000101098/ENSG00000108576/ENSG00000110436/ENSG00000129159/ENSG00000143473/ENSG00000149403/ENSG00000150594/ENSG00000162989/ENSG00000166006/ENSG00000174469/ENSG00000187486",15
"GO:0120293","GO:0120293","dynein axonemal particle","5/436","20/22654",0.25,12.9896788990826,7.51442095099614,3.15159603172234e-05,0.00183317835845183,0.00158132713170629,"ENSG00000004838/ENSG00000122735/ENSG00000129295/ENSG00000166246/ENSG00000167646",5
"GO:0032589","GO:0032589","neuron projection membrane","8/436","71/22654",0.112676056338028,5.85450316578369,5.73900722705215,6.50556209679527e-05,0.00311354867597833,0.00268579376060867,"ENSG00000110436/ENSG00000113763/ENSG00000129159/ENSG00000166006/ENSG00000174469/ENSG00000179841/ENSG00000185008/ENSG00000187486",8
"GO:0009925","GO:0009925","basal plasma membrane","18/436","327/22654",0.055045871559633,2.8601127851191,4.74626075061272,7.13707432889016e-05,0.00311354867597833,0.00268579376060867,"ENSG00000050438/ENSG00000064270/ENSG00000065361/ENSG00000074410/ENSG00000091262/ENSG00000092068/ENSG00000099864/ENSG00000101222/ENSG00000105388/ENSG00000108932/ENSG00000118298/ENSG00000123191/ENSG00000134830/ENSG00000150594/ENSG00000166006/ENSG00000169344/ENSG00000170324/ENSG00000170482",18
"GO:0034702","GO:0034702","monoatomic ion channel complex","20/436","395/22654",0.0506329113924051,2.63082104285217,4.58042372611972,9.12906282224637e-05,0.00354004769440442,0.00305369820720756,"ENSG00000007402/ENSG00000075461/ENSG00000099337/ENSG00000108878/ENSG00000120251/ENSG00000124249/ENSG00000129159/ENSG00000143473/ENSG00000144191/ENSG00000149403/ENSG00000152049/ENSG00000157388/ENSG00000159212/ENSG00000162975/ENSG00000162989/ENSG00000166006/ENSG00000170745/ENSG00000174469/ENSG00000187486/ENSG00000196557",20
"GO:0008076","GO:0008076","voltage-gated potassium channel complex","9/436","98/22654",0.0918367346938776,4.77171877925482,5.24173335668055,0.000115712772796507,0.00403837577059808,0.00348356347576852,"ENSG00000099337/ENSG00000129159/ENSG00000143473/ENSG00000152049/ENSG00000162975/ENSG00000162989/ENSG00000166006/ENSG00000170745/ENSG00000174469",9
"GO:0045178","GO:0045178","basal part of cell","18/436","346/22654",0.0520231213872832,2.70305456859522,4.47187773520508,0.000145265764032792,0.00460888651340404,0.00397569459458168,"ENSG00000050438/ENSG00000064270/ENSG00000065361/ENSG00000074410/ENSG00000091262/ENSG00000092068/ENSG00000099864/ENSG00000101222/ENSG00000105388/ENSG00000108932/ENSG00000118298/ENSG00000123191/ENSG00000134830/ENSG00000150594/ENSG00000166006/ENSG00000169344/ENSG00000170324/ENSG00000170482",18
"GO:0016323","GO:0016323","basolateral plasma membrane","16/436","292/22654",0.0547945205479452,2.84705290938796,4.45009278511796,0.000187398155273569,0.00545016301587296,0.00470139231651235,"ENSG00000050438/ENSG00000064270/ENSG00000065361/ENSG00000074410/ENSG00000091262/ENSG00000092068/ENSG00000099864/ENSG00000101222/ENSG00000105388/ENSG00000108932/ENSG00000118298/ENSG00000123191/ENSG00000150594/ENSG00000166006/ENSG00000169344/ENSG00000170324",16
"GO:0044304","GO:0044304","main axon","8/436","85/22654",0.0941176470588235,4.8902320561252,5.03364332171692,0.0002328925121437,0.00625226821062703,0.00539330028122254,"ENSG00000105695/ENSG00000110436/ENSG00000129159/ENSG00000144191/ENSG00000166006/ENSG00000174469/ENSG00000185008/ENSG00000187486",8
"GO:0031514","GO:0031514","motile cilium","17/436","332/22654",0.0512048192771084,2.66053664198077,4.26977096067968,0.000265457858354006,0.00661748518325343,0.00570834191648464,"ENSG00000089101/ENSG00000091138/ENSG00000101222/ENSG00000122735/ENSG00000129295/ENSG00000131044/ENSG00000132681/ENSG00000140263/ENSG00000158423/ENSG00000160188/ENSG00000160345/ENSG00000165695/ENSG00000165863/ENSG00000181378/ENSG00000206113/ENSG00000215217/ENSG00000243710",17
"GO:0032809","GO:0032809","neuronal cell body membrane","5/436","31/22654",0.161290322580645,8.38043799940811,5.76025237015618,0.000290147320641956,0.00675076099360284,0.00582330762832277,"ENSG00000050438/ENSG00000113763/ENSG00000129159/ENSG00000166006/ENSG00000175161",5
"GO:0044298","GO:0044298","cell body membrane","5/436","34/22654",0.147058823529412,7.64098758769563,5.4284951313872,0.000453175433636539,0.00988488914619701,0.00852685355395067,"ENSG00000050438/ENSG00000113763/ENSG00000129159/ENSG00000166006/ENSG00000175161",5
"GO:0030315","GO:0030315","T-tubule","6/436","55/22654",0.109090909090909,5.66822351959967,4.85558992862843,0.000641432929766215,0.0126317270154317,0.0108963170755949,"ENSG00000075461/ENSG00000108878/ENSG00000124942/ENSG00000157388/ENSG00000162989/ENSG00000187486",6
"GO:0097060","GO:0097060","synaptic membrane","21/436","494/22654",0.0425101214574899,2.20877131077517,3.80519017006513,0.000651493083890462,0.0126317270154317,0.0108963170755949,"ENSG00000007402/ENSG00000011347/ENSG00000050438/ENSG00000067715/ENSG00000075461/ENSG00000101098/ENSG00000108576/ENSG00000110436/ENSG00000120251/ENSG00000129159/ENSG00000143473/ENSG00000149403/ENSG00000150594/ENSG00000154654/ENSG00000156564/ENSG00000162989/ENSG00000164742/ENSG00000166006/ENSG00000174469/ENSG00000179841/ENSG00000187486",21
"GO:0098984","GO:0098984","neuron to neuron synapse","19/436","452/22654",0.0420353982300885,2.18410530161565,3.56219032496838,0.00132087505969205,0.0242623892543434,0.0209291006688047,"ENSG00000011347/ENSG00000050438/ENSG00000067715/ENSG00000075461/ENSG00000099864/ENSG00000107954/ENSG00000120251/ENSG00000143473/ENSG00000149403/ENSG00000150594/ENSG00000156564/ENSG00000164742/ENSG00000169862/ENSG00000170324/ENSG00000170743/ENSG00000179841/ENSG00000188916/ENSG00000205363/ENSG00000277363",19
"GO:0070160","GO:0070160","tight junction","9/436","142/22654",0.0633802816901408,3.29315803075333,3.83994269088648,0.00175327060761368,0.0291482605484306,0.0251437264872603,"ENSG00000105738/ENSG00000110092/ENSG00000124171/ENSG00000126562/ENSG00000143375/ENSG00000145103/ENSG00000146950/ENSG00000170324/ENSG00000228607",9
"GO:1990454","GO:1990454","L-type voltage-gated calcium channel complex","3/436","13/22654",0.230769230769231,11.9904728299224,5.55256788221569,0.00175390679517777,0.0291482605484306,0.0251437264872603,"ENSG00000075461/ENSG00000108878/ENSG00000157388",3
"GO:0005778","GO:0005778","peroxisomal membrane","6/436","69/22654",0.0869565217391304,4.51814918228959,4.0999860117505,0.0021172589319234,0.0321271029235333,0.0277133205734596,"ENSG00000011347/ENSG00000104381/ENSG00000114757/ENSG00000115425/ENSG00000140284/ENSG00000176485",6
