"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098687","GO:0098687","chromosomal region","77/349","451/22654",0.170731707317073,11.0823956950171,27.0533244773159,6.69500015954486e-58,2.52401506014841e-55,2.0789737337534e-55,"ENSG00000000460/ENSG00000051180/ENSG00000073111/ENSG00000076003/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000085840/ENSG00000087586/ENSG00000089685/ENSG00000100162/ENSG00000102384/ENSG00000104147/ENSG00000104738/ENSG00000106462/ENSG00000109805/ENSG00000111247/ENSG00000112742/ENSG00000113648/ENSG00000113810/ENSG00000115163/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000119969/ENSG00000120334/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000123485/ENSG00000124635/ENSG00000128944/ENSG00000129810/ENSG00000131747/ENSG00000132646/ENSG00000134057/ENSG00000134690/ENSG00000136982/ENSG00000137812/ENSG00000138092/ENSG00000138346/ENSG00000138778/ENSG00000139618/ENSG00000140451/ENSG00000142945/ENSG00000143228/ENSG00000143799/ENSG00000146670/ENSG00000149554/ENSG00000149636/ENSG00000151725/ENSG00000152253/ENSG00000153044/ENSG00000154839/ENSG00000156970/ENSG00000159055/ENSG00000161888/ENSG00000163535/ENSG00000164109/ENSG00000164362/ENSG00000164754/ENSG00000165480/ENSG00000166451/ENSG00000166851/ENSG00000167513/ENSG00000168496/ENSG00000169679/ENSG00000170312/ENSG00000171320/ENSG00000172167/ENSG00000174442/ENSG00000178999/ENSG00000184445/ENSG00000186871/ENSG00000197299/ENSG00000203760/ENSG00000276180",77
"GO:0000775","GO:0000775","chromosome, centromeric region","61/349","283/22654",0.215547703180212,13.9914546356577,27.5095041350142,4.57257898508901e-52,8.61931138689279e-50,7.09953052948031e-50,"ENSG00000000460/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000087586/ENSG00000089685/ENSG00000100162/ENSG00000102384/ENSG00000104147/ENSG00000106462/ENSG00000109805/ENSG00000112742/ENSG00000113648/ENSG00000113810/ENSG00000115163/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000119969/ENSG00000120334/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000123485/ENSG00000124635/ENSG00000128944/ENSG00000129810/ENSG00000131747/ENSG00000134057/ENSG00000134690/ENSG00000136982/ENSG00000137812/ENSG00000138092/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000146670/ENSG00000149636/ENSG00000151725/ENSG00000152253/ENSG00000153044/ENSG00000154839/ENSG00000156970/ENSG00000159055/ENSG00000161888/ENSG00000163535/ENSG00000164109/ENSG00000164754/ENSG00000165480/ENSG00000166451/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000171320/ENSG00000172167/ENSG00000174442/ENSG00000178999/ENSG00000184445/ENSG00000186871/ENSG00000203760/ENSG00000276180",61
"GO:0000793","GO:0000793","condensed chromosome","62/349","301/22654",0.205980066445183,13.3704080952698,27.0255056257079,1.23766915720881e-51,1.55533757422574e-49,1.28109614518105e-49,"ENSG00000000460/ENSG00000012048/ENSG00000051180/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000087586/ENSG00000089685/ENSG00000100162/ENSG00000102384/ENSG00000109805/ENSG00000112742/ENSG00000113648/ENSG00000113810/ENSG00000115163/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000120334/ENSG00000121152/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000123485/ENSG00000128944/ENSG00000129810/ENSG00000131747/ENSG00000134057/ENSG00000137812/ENSG00000138092/ENSG00000138778/ENSG00000139618/ENSG00000142945/ENSG00000143228/ENSG00000144554/ENSG00000146918/ENSG00000148773/ENSG00000149554/ENSG00000149636/ENSG00000151725/ENSG00000152253/ENSG00000153044/ENSG00000154839/ENSG00000156970/ENSG00000161888/ENSG00000163535/ENSG00000164104/ENSG00000164109/ENSG00000164754/ENSG00000165480/ENSG00000166451/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000172167/ENSG00000174442/ENSG00000178999/ENSG00000180198/ENSG00000184445/ENSG00000186871/ENSG00000197299/ENSG00000203760",62
"GO:0000779","GO:0000779","condensed chromosome, centromeric region","47/349","200/22654",0.235,15.2541260744986,25.3269677042579,5.45599256303037e-42,5.14227299065612e-40,4.23557317393147e-40,"ENSG00000000460/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000087586/ENSG00000089685/ENSG00000100162/ENSG00000102384/ENSG00000109805/ENSG00000112742/ENSG00000115163/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000120334/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000123485/ENSG00000128944/ENSG00000129810/ENSG00000134057/ENSG00000137812/ENSG00000138092/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000149636/ENSG00000151725/ENSG00000152253/ENSG00000153044/ENSG00000154839/ENSG00000156970/ENSG00000161888/ENSG00000163535/ENSG00000164109/ENSG00000165480/ENSG00000166451/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000172167/ENSG00000174442/ENSG00000178999/ENSG00000184445/ENSG00000186871/ENSG00000203760",47
"GO:0000776","GO:0000776","kinetochore","45/349","188/22654",0.23936170212766,15.5372492836676,25.036449909081,1.31555009519147e-40,9.91924771774368e-39,8.17025848592597e-39,"ENSG00000000460/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000087586/ENSG00000089685/ENSG00000100162/ENSG00000102384/ENSG00000112742/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000120334/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000123485/ENSG00000128944/ENSG00000129810/ENSG00000134057/ENSG00000137812/ENSG00000138092/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000149636/ENSG00000151725/ENSG00000152253/ENSG00000153044/ENSG00000154839/ENSG00000156970/ENSG00000161888/ENSG00000163535/ENSG00000164109/ENSG00000165480/ENSG00000166451/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000172167/ENSG00000174442/ENSG00000178999/ENSG00000184445/ENSG00000186871/ENSG00000203760",45
"GO:0005819","GO:0005819","spindle","60/349","476/22654",0.126050420168067,8.18208085526474,19.8092046640379,4.98801974563734e-37,3.13413907350879e-35,2.58151899116318e-35,"ENSG00000000460/ENSG00000013810/ENSG00000066279/ENSG00000072571/ENSG00000075702/ENSG00000076382/ENSG00000079616/ENSG00000087586/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000094804/ENSG00000097046/ENSG00000101224/ENSG00000101447/ENSG00000112742/ENSG00000112984/ENSG00000114346/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000118193/ENSG00000121621/ENSG00000121957/ENSG00000126787/ENSG00000127423/ENSG00000128944/ENSG00000129810/ENSG00000130695/ENSG00000134057/ENSG00000134222/ENSG00000134690/ENSG00000135476/ENSG00000136108/ENSG00000137807/ENSG00000138160/ENSG00000138778/ENSG00000139734/ENSG00000142945/ENSG00000149636/ENSG00000154839/ENSG00000156970/ENSG00000161800/ENSG00000163808/ENSG00000164087/ENSG00000164109/ENSG00000164754/ENSG00000165480/ENSG00000166851/ENSG00000169607/ENSG00000170312/ENSG00000171241/ENSG00000174442/ENSG00000177602/ENSG00000178999/ENSG00000184445/ENSG00000186185/ENSG00000198901/ENSG00000237649/ENSG00000276043",60
"GO:0000922","GO:0000922","spindle pole","33/349","191/22654",0.172774869109948,11.2150197272686,17.7335823871706,4.43047416155422e-25,2.38612679843706e-23,1.96539831226841e-23,"ENSG00000013810/ENSG00000066279/ENSG00000075702/ENSG00000076382/ENSG00000087586/ENSG00000088325/ENSG00000094804/ENSG00000101224/ENSG00000101447/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121957/ENSG00000126787/ENSG00000127423/ENSG00000128944/ENSG00000129810/ENSG00000130695/ENSG00000134057/ENSG00000134222/ENSG00000136108/ENSG00000138160/ENSG00000139734/ENSG00000149636/ENSG00000163808/ENSG00000164087/ENSG00000164109/ENSG00000164754/ENSG00000166851/ENSG00000169607/ENSG00000178999/ENSG00000184445/ENSG00000198901",33
"GO:0000228","GO:0000228","nuclear chromosome","35/349","254/22654",0.137795275590551,8.94445321841933,15.9269025693189,4.0303225254131e-23,1.89928949010092e-21,1.56440150657482e-21,"ENSG00000012048/ENSG00000051180/ENSG00000065328/ENSG00000073111/ENSG00000076003/ENSG00000085840/ENSG00000089685/ENSG00000091651/ENSG00000093009/ENSG00000100479/ENSG00000101003/ENSG00000104738/ENSG00000109805/ENSG00000111602/ENSG00000113648/ENSG00000113810/ENSG00000117650/ENSG00000121152/ENSG00000131153/ENSG00000131747/ENSG00000132646/ENSG00000139618/ENSG00000143799/ENSG00000146918/ENSG00000147536/ENSG00000149554/ENSG00000154920/ENSG00000160949/ENSG00000164105/ENSG00000164754/ENSG00000166851/ENSG00000175792/ENSG00000180198/ENSG00000197299/ENSG00000198554",35
"GO:0072686","GO:0072686","mitotic spindle","31/349","211/22654",0.146919431279621,9.536712883119,15.5835324640703,1.93652676284937e-21,8.11189543993568e-20,6.68158356772588e-20,"ENSG00000013810/ENSG00000066279/ENSG00000075702/ENSG00000076382/ENSG00000079616/ENSG00000087586/ENSG00000088325/ENSG00000094804/ENSG00000097046/ENSG00000101447/ENSG00000114346/ENSG00000121621/ENSG00000121957/ENSG00000126787/ENSG00000128944/ENSG00000135476/ENSG00000136108/ENSG00000137807/ENSG00000138160/ENSG00000138778/ENSG00000154839/ENSG00000161800/ENSG00000164109/ENSG00000165480/ENSG00000166851/ENSG00000169607/ENSG00000170312/ENSG00000178999/ENSG00000186185/ENSG00000198901/ENSG00000237649",31
"GO:0000940","GO:0000940","outer kinetochore","14/349","22/22654",0.636363636363636,41.307111226882,23.6595243399449,9.35552243503539e-21,3.52703195800834e-19,2.9051359140373e-19,"ENSG00000080986/ENSG00000117724/ENSG00000122952/ENSG00000134057/ENSG00000137812/ENSG00000143228/ENSG00000149636/ENSG00000152253/ENSG00000154839/ENSG00000156970/ENSG00000161888/ENSG00000165480/ENSG00000166851/ENSG00000169679",14
