"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","44/623","468/22654",0.094017094017094,3.41872110411436,8.89117169308202,1.3678887489494e-12,5.15694058353925e-10,4.11806507578452e-10,"ENSG00000034971/ENSG00000054803/ENSG00000065618/ENSG00000090006/ENSG00000092009/ENSG00000100448/ENSG00000101280/ENSG00000109610/ENSG00000110799/ENSG00000116147/ENSG00000116194/ENSG00000116690/ENSG00000117525/ENSG00000123243/ENSG00000132561/ENSG00000134917/ENSG00000136999/ENSG00000138722/ENSG00000140092/ENSG00000143196/ENSG00000147257/ENSG00000148357/ENSG00000152583/ENSG00000154175/ENSG00000154734/ENSG00000163638/ENSG00000163815/ENSG00000164318/ENSG00000164946/ENSG00000166482/ENSG00000168477/ENSG00000171819/ENSG00000173269/ENSG00000175899/ENSG00000176435/ENSG00000181092/ENSG00000187151/ENSG00000187955/ENSG00000188517/ENSG00000188783/ENSG00000197565/ENSG00000205221/ENSG00000266524/ENSG00000271447",44
"GO:0016324","GO:0016324","apical plasma membrane","37/623","448/22654",0.0825892857142857,3.00317444393488,7.20132465920983,3.2267979964575e-09,6.08251422332238e-07,4.85718014203602e-07,"ENSG00000004846/ENSG00000015413/ENSG00000016602/ENSG00000067113/ENSG00000085563/ENSG00000105974/ENSG00000111262/ENSG00000112782/ENSG00000116183/ENSG00000118777/ENSG00000119147/ENSG00000120156/ENSG00000129244/ENSG00000130037/ENSG00000132874/ENSG00000133116/ENSG00000135218/ENSG00000145362/ENSG00000146477/ENSG00000148204/ENSG00000153303/ENSG00000158445/ENSG00000161649/ENSG00000164220/ENSG00000167434/ENSG00000168060/ENSG00000168065/ENSG00000169252/ENSG00000174059/ENSG00000180509/ENSG00000180914/ENSG00000197891/ENSG00000240583/ENSG00000241186/ENSG00000266964/ENSG00000273777/ENSG00000277494",37
"GO:0001518","GO:0001518","voltage-gated sodium channel complex","7/623","15/22654",0.466666666666667,16.9692883895131,10.4038086103273,6.11050717677921e-08,7.67887068548587e-06,6.13194755283808e-06,"ENSG00000007314/ENSG00000136546/ENSG00000149575/ENSG00000153253/ENSG00000166257/ENSG00000168356/ENSG00000177098",7
"GO:0005901","GO:0005901","caveola","14/623","94/22654",0.148936170212766,5.41573033707865,7.21417550366305,2.81466233422387e-07,2.65281925000599e-05,2.11840375681059e-05,"ENSG00000003436/ENSG00000018625/ENSG00000067113/ENSG00000078549/ENSG00000079435/ENSG00000095637/ENSG00000102468/ENSG00000105971/ENSG00000105974/ENSG00000120907/ENSG00000130037/ENSG00000135218/ENSG00000168497/ENSG00000266964",14
"GO:0034706","GO:0034706","sodium channel complex","7/623","25/22654",0.28,10.1815730337079,7.72403435579107,3.59140869725675e-06,0.000270792215773159,0.000216240607876932,"ENSG00000007314/ENSG00000136546/ENSG00000149575/ENSG00000153253/ENSG00000166257/ENSG00000168356/ENSG00000177098",7
"GO:0042383","GO:0042383","sarcolemma","16/623","158/22654",0.10126582278481,3.68230489465022,5.68949623661388,7.84819199996656e-06,0.000493128063997899,0.000393786475787796,"ENSG00000018625/ENSG00000092529/ENSG00000100678/ENSG00000102683/ENSG00000105971/ENSG00000105974/ENSG00000108823/ENSG00000145362/ENSG00000149575/ENSG00000154330/ENSG00000158445/ENSG00000172554/ENSG00000175084/ENSG00000181856/ENSG00000240583/ENSG00000266964",16
"GO:0045121","GO:0045121","membrane raft","25/623","342/22654",0.0730994152046784,2.65809655224203,5.19569201193072,1.01636540899873e-05,0.000529261010924671,0.000422640371700281,"ENSG00000003436/ENSG00000018625/ENSG00000067113/ENSG00000078549/ENSG00000079435/ENSG00000095637/ENSG00000102468/ENSG00000105971/ENSG00000105974/ENSG00000108823/ENSG00000116147/ENSG00000118432/ENSG00000118777/ENSG00000120156/ENSG00000120907/ENSG00000130037/ENSG00000135218/ENSG00000162407/ENSG00000168497/ENSG00000170989/ENSG00000180509/ENSG00000181856/ENSG00000241186/ENSG00000261371/ENSG00000266964",25
"GO:0098857","GO:0098857","membrane microdomain","25/623","344/22654",0.0726744186046512,2.64264250251969,5.16252624491388,1.12310028843431e-05,0.000529261010924671,0.000422640371700281,"ENSG00000003436/ENSG00000018625/ENSG00000067113/ENSG00000078549/ENSG00000079435/ENSG00000095637/ENSG00000102468/ENSG00000105971/ENSG00000105974/ENSG00000108823/ENSG00000116147/ENSG00000118432/ENSG00000118777/ENSG00000120156/ENSG00000120907/ENSG00000130037/ENSG00000135218/ENSG00000162407/ENSG00000168497/ENSG00000170989/ENSG00000180509/ENSG00000181856/ENSG00000241186/ENSG00000261371/ENSG00000266964",25
"GO:0005811","GO:0005811","lipid droplet","13/623","114/22654",0.114035087719298,4.14663062149756,5.6638405058368,1.54760344517586e-05,0.000648273887590334,0.000517677877567599,"ENSG00000013297/ENSG00000079435/ENSG00000084674/ENSG00000105974/ENSG00000123689/ENSG00000165269/ENSG00000166819/ENSG00000167676/ENSG00000170323/ENSG00000170509/ENSG00000176194/ENSG00000187288/ENSG00000198848",13
"GO:0044853","GO:0044853","plasma membrane raft","14/623","133/22654",0.105263157894737,3.82765903522852,5.49982417871411,1.85063331899602e-05,0.000697688761261498,0.000557138030771432,"ENSG00000003436/ENSG00000018625/ENSG00000067113/ENSG00000078549/ENSG00000079435/ENSG00000095637/ENSG00000102468/ENSG00000105971/ENSG00000105974/ENSG00000120907/ENSG00000130037/ENSG00000135218/ENSG00000168497/ENSG00000266964",14
"GO:0045178","GO:0045178","basal part of cell","24/623","346/22654",0.069364161849711,2.52227242783845,4.79832757556219,3.56582930590083e-05,0.00120647482297952,0.000963428170800344,"ENSG00000013297/ENSG00000069702/ENSG00000105974/ENSG00000116678/ENSG00000120156/ENSG00000139155/ENSG00000141338/ENSG00000141469/ENSG00000144668/ENSG00000145362/ENSG00000146477/ENSG00000152779/ENSG00000153253/ENSG00000153822/ENSG00000161649/ENSG00000162407/ENSG00000164007/ENSG00000165269/ENSG00000168065/ENSG00000174059/ENSG00000186847/ENSG00000240583/ENSG00000259916/ENSG00000277494",24
"GO:0030018","GO:0030018","Z disc","14/623","142/22654",0.0985915492957746,3.58506092736192,5.19634163524133,3.86754963534426e-05,0.00120647482297952,0.000963428170800344,"ENSG00000077157/ENSG00000092529/ENSG00000112214/ENSG00000118729/ENSG00000130037/ENSG00000145362/ENSG00000154330/ENSG00000163395/ENSG00000166257/ENSG00000171992/ENSG00000172403/ENSG00000175084/ENSG00000180509/ENSG00000263155",14
"GO:0034702","GO:0034702","monoatomic ion channel complex","26/623","395/22654",0.0658227848101266,2.39349818152265,4.69831261066724,4.16025801027421e-05,0.00120647482297952,0.000963428170800344,"ENSG00000007314/ENSG00000100433/ENSG00000104888/ENSG00000109158/ENSG00000111262/ENSG00000112782/ENSG00000118729/ENSG00000120049/ENSG00000130037/ENSG00000136546/ENSG00000145936/ENSG00000149575/ENSG00000151834/ENSG00000152578/ENSG00000153253/ENSG00000153822/ENSG00000158445/ENSG00000158966/ENSG00000163285/ENSG00000166257/ENSG00000168356/ENSG00000169282/ENSG00000171227/ENSG00000177098/ENSG00000180509/ENSG00000182132",26
"GO:0071682","GO:0071682","endocytic vesicle lumen","6/623","26/22654",0.230769230769231,8.39140634646253,6.34133136919142,6.07748831679599e-05,0.00163658078245149,0.00130688846511553,"ENSG00000084674/ENSG00000108342/ENSG00000173432/ENSG00000188536/ENSG00000244734/ENSG00000257017",6
"GO:0098636","GO:0098636","protein complex involved in cell adhesion","9/623","66/22654",0.136363636363636,4.95855829563695,5.4157661538115,7.76921909056773e-05,0.00195266373142935,0.00155929590168587,"ENSG00000116147/ENSG00000123560/ENSG00000135424/ENSG00000138722/ENSG00000144668/ENSG00000154721/ENSG00000168477/ENSG00000169760/ENSG00000173269",9
"GO:0030017","GO:0030017","sarcomere","18/623","235/22654",0.0765957446808511,2.78523274478331,4.6260512233009,9.58220721568568e-05,0.00225780757519594,0.00180296793663559,"ENSG00000077157/ENSG00000092529/ENSG00000101605/ENSG00000109063/ENSG00000112214/ENSG00000118729/ENSG00000130037/ENSG00000130595/ENSG00000142661/ENSG00000145362/ENSG00000154330/ENSG00000163395/ENSG00000166257/ENSG00000171992/ENSG00000172403/ENSG00000175084/ENSG00000180509/ENSG00000263155",18
"GO:0031674","GO:0031674","I band","14/623","157/22654",0.089171974522293,3.24253918270951,4.74151733424114,0.000115601696827128,0.00243539469141745,0.00194477978987963,"ENSG00000077157/ENSG00000092529/ENSG00000112214/ENSG00000118729/ENSG00000130037/ENSG00000145362/ENSG00000154330/ENSG00000163395/ENSG00000166257/ENSG00000171992/ENSG00000172403/ENSG00000175084/ENSG00000180509/ENSG00000263155",14
"GO:0009925","GO:0009925","basal plasma membrane","22/623","327/22654",0.0672782874617737,2.44642427633872,4.43041259443163,0.000116278791632663,0.00243539469141745,0.00194477978987963,"ENSG00000069702/ENSG00000105974/ENSG00000116678/ENSG00000120156/ENSG00000139155/ENSG00000141338/ENSG00000141469/ENSG00000144668/ENSG00000145362/ENSG00000146477/ENSG00000152779/ENSG00000153253/ENSG00000153822/ENSG00000161649/ENSG00000162407/ENSG00000164007/ENSG00000165269/ENSG00000168065/ENSG00000174059/ENSG00000240583/ENSG00000259916/ENSG00000277494",22
"GO:0031091","GO:0031091","platelet alpha granule","11/623","103/22654",0.106796116504854,3.88340164253767,4.93208590071006,0.000125891547960199,0.00249795334636817,0.00199473588457712,"ENSG00000017427/ENSG00000110799/ENSG00000135218/ENSG00000138722/ENSG00000145335/ENSG00000165197/ENSG00000174175/ENSG00000175899/ENSG00000184500/ENSG00000197766/ENSG00000261371",11
"GO:0034703","GO:0034703","cation channel complex","18/623","245/22654",0.073469387755102,2.67154977560848,4.4236514245849,0.000161956106611426,0.00305287260962538,0.00243786560478252,"ENSG00000007314/ENSG00000111262/ENSG00000118729/ENSG00000120049/ENSG00000130037/ENSG00000136546/ENSG00000145936/ENSG00000149575/ENSG00000153253/ENSG00000153822/ENSG00000158445/ENSG00000158966/ENSG00000166257/ENSG00000168356/ENSG00000169282/ENSG00000177098/ENSG00000180509/ENSG00000182132",18
"GO:0043292","GO:0043292","contractile muscle fiber","19/623","268/22654",0.0708955223880597,2.57795692484607,4.36982526724486,0.000171071637969631,0.00307114321497861,0.0024524555618704,"ENSG00000077157/ENSG00000092529/ENSG00000101605/ENSG00000109063/ENSG00000112214/ENSG00000118729/ENSG00000130037/ENSG00000130595/ENSG00000133392/ENSG00000142661/ENSG00000145362/ENSG00000154330/ENSG00000163395/ENSG00000166257/ENSG00000171992/ENSG00000172403/ENSG00000175084/ENSG00000180509/ENSG00000263155",19
"GO:0030016","GO:0030016","myofibril","18/623","257/22654",0.0700389105058366,2.54680815184466,4.19370492310703,0.000291515702523165,0.00499551908414696,0.00398916224505383,"ENSG00000077157/ENSG00000092529/ENSG00000101605/ENSG00000109063/ENSG00000112214/ENSG00000118729/ENSG00000130037/ENSG00000130595/ENSG00000142661/ENSG00000145362/ENSG00000154330/ENSG00000163395/ENSG00000166257/ENSG00000171992/ENSG00000172403/ENSG00000175084/ENSG00000180509/ENSG00000263155",18
"GO:0014704","GO:0014704","intercalated disc","7/623","52/22654",0.134615384615385,4.89498703543647,4.72850697020772,0.00052562700521238,0.00855610434316725,0.00683246081850016,"ENSG00000018625/ENSG00000130037/ENSG00000145362/ENSG00000154330/ENSG00000175084/ENSG00000177098/ENSG00000266964",7
"GO:0044291","GO:0044291","cell-cell contact zone","9/623","85/22654",0.105882352941176,3.85017467661222,4.42705137893558,0.000544685687628684,0.00855610434316725,0.00683246081850016,"ENSG00000018625/ENSG00000130037/ENSG00000145362/ENSG00000154330/ENSG00000154721/ENSG00000175084/ENSG00000177098/ENSG00000184226/ENSG00000266964",9
