"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","55/453","468/22654",0.117521367521368,5.87710609233788,15.22899767102,1.85068905646742e-26,6.27383590142454e-24,4.92867717143428e-24,"ENSG00000011465/ENSG00000038427/ENSG00000060718/ENSG00000077942/ENSG00000091986/ENSG00000101680/ENSG00000101825/ENSG00000101955/ENSG00000105664/ENSG00000106538/ENSG00000106624/ENSG00000106809/ENSG00000106819/ENSG00000106823/ENSG00000107562/ENSG00000107796/ENSG00000108821/ENSG00000111799/ENSG00000112769/ENSG00000115380/ENSG00000115414/ENSG00000117122/ENSG00000119681/ENSG00000122176/ENSG00000123500/ENSG00000124491/ENSG00000129038/ENSG00000130635/ENSG00000132386/ENSG00000133110/ENSG00000135074/ENSG00000136859/ENSG00000137573/ENSG00000140945/ENSG00000142871/ENSG00000144810/ENSG00000149294/ENSG00000151914/ENSG00000154736/ENSG00000163520/ENSG00000164692/ENSG00000164932/ENSG00000168542/ENSG00000170558/ENSG00000171502/ENSG00000172061/ENSG00000174348/ENSG00000182492/ENSG00000182534/ENSG00000186340/ENSG00000196569/ENSG00000197614/ENSG00000197915/ENSG00000204262/ENSG00000206384",55
"GO:0005581","GO:0005581","collagen trimer","15/453","94/22654",0.159574468085106,7.98013245033113,9.68687594135152,5.69703985586756e-10,9.65648255569551e-08,7.58605833439207e-08,"ENSG00000060718/ENSG00000108821/ENSG00000111799/ENSG00000123500/ENSG00000130635/ENSG00000133466/ENSG00000144810/ENSG00000163145/ENSG00000164692/ENSG00000164932/ENSG00000168542/ENSG00000171502/ENSG00000183287/ENSG00000204262/ENSG00000206384",15
"GO:0097060","GO:0097060","synaptic membrane","32/453","494/22654",0.0647773279352227,3.23943838199676,7.18858494285605,6.50780353625152e-09,7.35381799596421e-07,5.77710278832152e-07,"ENSG00000058668/ENSG00000099250/ENSG00000101463/ENSG00000117600/ENSG00000118596/ENSG00000118946/ENSG00000121904/ENSG00000123096/ENSG00000131018/ENSG00000134115/ENSG00000134569/ENSG00000136531/ENSG00000138435/ENSG00000145934/ENSG00000146006/ENSG00000146938/ENSG00000150672/ENSG00000152818/ENSG00000153956/ENSG00000156395/ENSG00000157680/ENSG00000162383/ENSG00000166250/ENSG00000166342/ENSG00000168959/ENSG00000170558/ENSG00000177707/ENSG00000178695/ENSG00000182771/ENSG00000183775/ENSG00000185070/ENSG00000205726",32
"GO:0005925","GO:0005925","focal adhesion","31/453","498/22654",0.0622489959839357,3.11299945920547,6.81073643578374,2.82217537306996e-08,2.39179362867679e-06,1.87897465628079e-06,"ENSG00000031081/ENSG00000073712/ENSG00000078098/ENSG00000079308/ENSG00000079819/ENSG00000099250/ENSG00000111859/ENSG00000122861/ENSG00000123384/ENSG00000124942/ENSG00000128591/ENSG00000131016/ENSG00000138639/ENSG00000140945/ENSG00000144824/ENSG00000150764/ENSG00000151914/ENSG00000153071/ENSG00000157227/ENSG00000158352/ENSG00000162614/ENSG00000162733/ENSG00000164741/ENSG00000168807/ENSG00000170558/ENSG00000171914/ENSG00000185070/ENSG00000196549/ENSG00000197635/ENSG00000197702/ENSG00000213949",31
"GO:0005604","GO:0005604","basement membrane","13/453","93/22654",0.139784946236559,6.99048161598899,8.26893801304063,4.18259599663786e-08,2.83580008572047e-06,2.22778270978817e-06,"ENSG00000077942/ENSG00000091986/ENSG00000101680/ENSG00000107796/ENSG00000112769/ENSG00000115414/ENSG00000129038/ENSG00000130635/ENSG00000132386/ENSG00000144810/ENSG00000151914/ENSG00000186340/ENSG00000196569",13
"GO:0098644","GO:0098644","complex of collagen trimers","8/453","28/22654",0.285714285714286,14.2882371491643,10.0500492389856,5.25875972637904e-08,2.97119924540416e-06,2.33415124697175e-06,"ENSG00000060718/ENSG00000108821/ENSG00000123500/ENSG00000130635/ENSG00000144810/ENSG00000164692/ENSG00000168542/ENSG00000204262",8
"GO:0045211","GO:0045211","postsynaptic membrane","24/453","356/22654",0.0674157303370786,3.37138179924102,6.44197775443469,2.54266015498204e-07,1.2313739893413e-05,9.67357923624745e-06,"ENSG00000099250/ENSG00000101463/ENSG00000117600/ENSG00000118596/ENSG00000118946/ENSG00000121904/ENSG00000123096/ENSG00000131018/ENSG00000138435/ENSG00000145934/ENSG00000146006/ENSG00000146938/ENSG00000150672/ENSG00000152818/ENSG00000156395/ENSG00000166250/ENSG00000166342/ENSG00000168959/ENSG00000170558/ENSG00000177707/ENSG00000178695/ENSG00000182771/ENSG00000183775/ENSG00000185070",24
"GO:0005583","GO:0005583","fibrillar collagen trimer","6/453","19/22654",0.315789473684211,15.7922621122342,9.21397097556353,1.34558126104662e-06,5.06835608327558e-05,3.98166150929583e-05,"ENSG00000060718/ENSG00000108821/ENSG00000130635/ENSG00000164692/ENSG00000168542/ENSG00000204262",6
"GO:0098643","GO:0098643","banded collagen fibril","6/453","19/22654",0.315789473684211,15.7922621122342,9.21397097556353,1.34558126104662e-06,5.06835608327558e-05,3.98166150929583e-05,"ENSG00000060718/ENSG00000108821/ENSG00000130635/ENSG00000164692/ENSG00000168542/ENSG00000204262",6
"GO:0005938","GO:0005938","cell cortex","21/453","340/22654",0.0617647058823529,3.08878067783405,5.54331145781408,5.66007739731575e-06,0.000191876623769004,0.00015073679805483,"ENSG00000019144/ENSG00000073712/ENSG00000077063/ENSG00000079819/ENSG00000111859/ENSG00000113578/ENSG00000116117/ENSG00000118762/ENSG00000131016/ENSG00000135835/ENSG00000136541/ENSG00000144824/ENSG00000148700/ENSG00000151422/ENSG00000151914/ENSG00000152527/ENSG00000158352/ENSG00000164741/ENSG00000170558/ENSG00000184304/ENSG00000241399",21
