"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005126","GO:0005126","cytokine receptor binding","30/284","333/21348",0.0900900900900901,6.77198325085649,12.3264964164614,1.47687359528475e-16,7.45821165618799e-14,6.77807250046475e-14,"ENSG00000003402/ENSG00000035720/ENSG00000099985/ENSG00000102524/ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000111537/ENSG00000113302/ENSG00000115415/ENSG00000131142/ENSG00000138684/ENSG00000138755/ENSG00000150782/ENSG00000151651/ENSG00000156234/ENSG00000169194/ENSG00000169245/ENSG00000169248/ENSG00000171855/ENSG00000172156/ENSG00000172724/ENSG00000181374/ENSG00000182393/ENSG00000186074/ENSG00000197272/ENSG00000226979/ENSG00000227507/ENSG00000274736",30
"GO:0005125","GO:0005125","cytokine activity","27/284","293/21348",0.0921501706484642,6.92683747536413,11.8614116289613,2.99019485423161e-15,7.55024200693483e-13,6.86171029707886e-13,"ENSG00000099985/ENSG00000102524/ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000111537/ENSG00000113302/ENSG00000131142/ENSG00000138684/ENSG00000138755/ENSG00000150782/ENSG00000156234/ENSG00000169194/ENSG00000169245/ENSG00000169248/ENSG00000169884/ENSG00000171855/ENSG00000172156/ENSG00000172724/ENSG00000181374/ENSG00000182393/ENSG00000183709/ENSG00000197272/ENSG00000226979/ENSG00000227507/ENSG00000274736",27
"GO:0008009","GO:0008009","chemokine activity","13/284","63/21348",0.206349206349206,15.5110663983903,13.3933725336097,1.79627651196659e-12,3.02373212847709e-10,2.74798792707871e-10,"ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000131142/ENSG00000138755/ENSG00000156234/ENSG00000169245/ENSG00000169248/ENSG00000172156/ENSG00000172724/ENSG00000181374/ENSG00000274736",13
"GO:0042379","GO:0042379","chemokine receptor binding","14/284","103/21348",0.135922330097087,10.217147545467,10.8878958090726,9.4299604469411e-11,1.19053250642631e-08,1.08196388285956e-08,"ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000115415/ENSG00000131142/ENSG00000138755/ENSG00000156234/ENSG00000169245/ENSG00000169248/ENSG00000172156/ENSG00000172724/ENSG00000181374/ENSG00000274736",14
"GO:0140375","GO:0140375","immune receptor activity","22/284","347/21348",0.0634005763688761,4.76575881803791,8.21210367731899,1.72475218499895e-09,1.74199970684894e-07,1.58314095296746e-07,"ENSG00000100385/ENSG00000103522/ENSG00000104921/ENSG00000113302/ENSG00000117322/ENSG00000121966/ENSG00000124334/ENSG00000126353/ENSG00000147168/ENSG00000150045/ENSG00000150337/ENSG00000160683/ENSG00000162894/ENSG00000163606/ENSG00000179934/ENSG00000183813/ENSG00000186810/ENSG00000189013/ENSG00000203710/ENSG00000203747/ENSG00000232629/ENSG00000237541",22
"GO:0038187","GO:0038187","pattern recognition receptor activity","10/284","54/21348",0.185185185185185,13.9201877934272,11.0380981938715,2.11732635927686e-09,1.78208301905803e-07,1.61956893446441e-07,"ENSG00000090659/ENSG00000091592/ENSG00000104921/ENSG00000132514/ENSG00000163568/ENSG00000167207/ENSG00000172243/ENSG00000187912/ENSG00000198178/ENSG00000205846",10
"GO:0048020","GO:0048020","CCR chemokine receptor binding","11/284","78/21348",0.141025641025641,10.600758396533,9.86339144598677,6.72414145542710e-09,4.8509877642724e-07,4.40861003694167e-07,"ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000115415/ENSG00000131142/ENSG00000156234/ENSG00000172156/ENSG00000172724/ENSG00000181374/ENSG00000274736",11
"GO:0004896","GO:0004896","cytokine receptor activity","11/284","103/21348",0.106796116504854,8.02775878572405,8.30164701745389,1.28512619633141e-07,8.11235911434202e-06,7.37256607369072e-06,"ENSG00000100385/ENSG00000103522/ENSG00000113302/ENSG00000121966/ENSG00000124334/ENSG00000126353/ENSG00000147168/ENSG00000160683/ENSG00000179934/ENSG00000183813/ENSG00000186810",11
"GO:0001664","GO:0001664","G protein-coupled receptor binding","19/284","352/21348",0.0539772727272727,4.05741837387964,6.71606812664053,2.85589534633915e-07,1.60247461100141e-05,1.4563396152092e-05,"ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000115415/ENSG00000125730/ENSG00000131142/ENSG00000138755/ENSG00000146374/ENSG00000156234/ENSG00000168081/ENSG00000169245/ENSG00000169248/ENSG00000169884/ENSG00000172156/ENSG00000172724/ENSG00000181374/ENSG00000188958/ENSG00000274736",19
"GO:0016493","GO:0016493","C-C chemokine receptor activity","6/284","23/21348",0.260869565217391,19.6093080220453,10.3682818505054,4.38847445960946e-07,2.21617960210278e-05,2.01407880462076e-05,"ENSG00000121966/ENSG00000126353/ENSG00000160683/ENSG00000179934/ENSG00000183813/ENSG00000186810",6
