"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046873","GO:0046873","metal ion transmembrane transporter activity","32/553","478/21348",0.0669456066945607,2.58436674812926,5.7129440552844,1.0903910377098e-06,0.000758912162246021,0.000670303543181603,"ENSG00000007402/ENSG00000050438/ENSG00000064270/ENSG00000074370/ENSG00000075461/ENSG00000099337/ENSG00000108576/ENSG00000108878/ENSG00000110436/ENSG00000123191/ENSG00000124249/ENSG00000129159/ENSG00000132681/ENSG00000133195/ENSG00000141424/ENSG00000143473/ENSG00000144191/ENSG00000146950/ENSG00000149403/ENSG00000152049/ENSG00000157388/ENSG00000162975/ENSG00000162989/ENSG00000164756/ENSG00000166006/ENSG00000170482/ENSG00000170745/ENSG00000176884/ENSG00000184709/ENSG00000187486/ENSG00000196557/ENSG00000198569",32
"GO:0022843","GO:0022843","voltage-gated monoatomic cation channel activity","15/553","142/21348",0.105633802816901,4.07788503170924,6.00093213868288,4.3674647652215e-06,0.000961663500493972,0.000849382160145916,"ENSG00000007402/ENSG00000075461/ENSG00000099337/ENSG00000108878/ENSG00000124249/ENSG00000129159/ENSG00000143473/ENSG00000152049/ENSG00000157388/ENSG00000162989/ENSG00000166006/ENSG00000170745/ENSG00000184709/ENSG00000187486/ENSG00000196557",15
"GO:0005244","GO:0005244","voltage-gated monoatomic ion channel activity","17/553","180/21348",0.0944444444444444,3.64593128390597,5.81334943316456,4.76149613928421e-06,0.000961663500493972,0.000849382160145916,"ENSG00000007402/ENSG00000075461/ENSG00000099337/ENSG00000108878/ENSG00000124249/ENSG00000129159/ENSG00000143473/ENSG00000152049/ENSG00000157388/ENSG00000162989/ENSG00000166006/ENSG00000167608/ENSG00000170745/ENSG00000176884/ENSG00000184709/ENSG00000187486/ENSG00000196557",17
"GO:0022832","GO:0022832","voltage-gated channel activity","17/553","182/21348",0.0934065934065934,3.60586610496195,5.75731409511886,5.52680172697685e-06,0.000961663500493972,0.000849382160145916,"ENSG00000007402/ENSG00000075461/ENSG00000099337/ENSG00000108878/ENSG00000124249/ENSG00000129159/ENSG00000143473/ENSG00000152049/ENSG00000157388/ENSG00000162989/ENSG00000166006/ENSG00000167608/ENSG00000170745/ENSG00000176884/ENSG00000184709/ENSG00000187486/ENSG00000196557",17
"GO:0022836","GO:0022836","gated channel activity","24/553","334/21348",0.0718562874251497,2.77393856049204,5.32854910025927,7.46218201269582e-06,0.00103873573616726,0.000917455641139865,"ENSG00000007402/ENSG00000075461/ENSG00000099337/ENSG00000103534/ENSG00000108878/ENSG00000120251/ENSG00000124249/ENSG00000129159/ENSG00000143473/ENSG00000144191/ENSG00000146950/ENSG00000149403/ENSG00000152049/ENSG00000157388/ENSG00000162989/ENSG00000165548/ENSG00000166006/ENSG00000167608/ENSG00000170745/ENSG00000176884/ENSG00000184709/ENSG00000187486/ENSG00000187730/ENSG00000196557",24
"GO:0004623","GO:0004623","phospholipase A2 activity","7/553","36/21348",0.194444444444444,7.50632911392405,6.37128016365381,3.27503573348998e-05,0.00379904145084837,0.00335547520764587,"ENSG00000069764/ENSG00000133321/ENSG00000133328/ENSG00000168907/ENSG00000176485/ENSG00000177666/ENSG00000187980",7
"GO:0008392","GO:0008392","arachidonate epoxygenase activity","5/553","16/21348",0.3125,12.0637432188065,7.21934538642145,3.94852544646499e-05,0.00392596244391376,0.0034675772341888,"ENSG00000186115/ENSG00000186160/ENSG00000197408/ENSG00000198077/ENSG00000255974",5
"GO:0005261","GO:0005261","monoatomic cation channel activity","23/553","353/21348",0.0651558073654391,2.51527337366617,4.68135885167825,5.36805414479294e-05,0.00467020710596986,0.0041249258165251,"ENSG00000007402/ENSG00000075461/ENSG00000099337/ENSG00000108576/ENSG00000108878/ENSG00000120251/ENSG00000124249/ENSG00000129159/ENSG00000143473/ENSG00000144191/ENSG00000146950/ENSG00000149403/ENSG00000152049/ENSG00000157388/ENSG00000162975/ENSG00000162989/ENSG00000165548/ENSG00000166006/ENSG00000170745/ENSG00000176884/ENSG00000184709/ENSG00000187486/ENSG00000196557",23
"GO:0005216","GO:0005216","monoatomic ion channel activity","28/553","481/21348",0.0582120582120582,2.24721703202716,4.51165717242038,6.41099817690689e-05,0.00495783859014133,0.00437897419334927,"ENSG00000007402/ENSG00000075461/ENSG00000099337/ENSG00000103534/ENSG00000108576/ENSG00000108878/ENSG00000115902/ENSG00000120251/ENSG00000124249/ENSG00000129159/ENSG00000143473/ENSG00000144191/ENSG00000146950/ENSG00000149403/ENSG00000152049/ENSG00000157388/ENSG00000159212/ENSG00000162975/ENSG00000162989/ENSG00000165548/ENSG00000166006/ENSG00000167608/ENSG00000170745/ENSG00000176884/ENSG00000184709/ENSG00000187486/ENSG00000187730/ENSG00000196557",28
"GO:0008391","GO:0008391","arachidonate monooxygenase activity","5/553","18/21348",0.277777777777778,10.7233273056058,6.72987903808137,7.41952748765728e-05,0.00516399113140947,0.00456105689767564,"ENSG00000186115/ENSG00000186160/ENSG00000197408/ENSG00000198077/ENSG00000255974",5
"GO:0005267","GO:0005267","potassium channel activity","12/553","123/21348",0.0975609756097561,3.7662417853835,5.01730349172604,8.57351901431641e-05,0.00542469930360384,0.00479132545871845,"ENSG00000099337/ENSG00000124249/ENSG00000129159/ENSG00000143473/ENSG00000149403/ENSG00000152049/ENSG00000162975/ENSG00000162989/ENSG00000166006/ENSG00000170745/ENSG00000184709/ENSG00000187486",12
"GO:0005544","GO:0005544","calcium-dependent phospholipid binding","8/553","57/21348",0.140350877192982,5.41810221756924,5.44661509981205,0.000104243395181523,0.00604611692052832,0.00534018796368502,"ENSG00000011347/ENSG00000019505/ENSG00000067715/ENSG00000103528/ENSG00000143412/ENSG00000149927/ENSG00000168907/ENSG00000170743",8
"GO:0099508","GO:0099508","voltage-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential","4/553","11/21348",0.363636363636364,14.0378102909748,7.05319433116924,0.000127156556006862,0.00680776638313662,0.00601290920712612,"ENSG00000129159/ENSG00000162989/ENSG00000166006/ENSG00000187486",4
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","15/553","191/21348",0.0785340314136126,3.03172604451682,4.5994543918836,0.000143103223328479,0.00711427453118725,0.00628363025743096,"ENSG00000101435/ENSG00000101441/ENSG00000102313/ENSG00000117601/ENSG00000122711/ENSG00000127578/ENSG00000165953/ENSG00000170054/ENSG00000170099/ENSG00000170367/ENSG00000170369/ENSG00000173335/ENSG00000186910/ENSG00000224389/ENSG00000244731",15
"GO:0061135","GO:0061135","endopeptidase regulator activity","16/553","214/21348",0.0747663551401869,2.88627875141539,4.52244648011328,0.000153970315222429,0.00714422262632068,0.00631008169051918,"ENSG00000101435/ENSG00000101441/ENSG00000102313/ENSG00000103490/ENSG00000117601/ENSG00000122711/ENSG00000127578/ENSG00000165953/ENSG00000170054/ENSG00000170099/ENSG00000170367/ENSG00000170369/ENSG00000173335/ENSG00000186910/ENSG00000224389/ENSG00000244731",16
"GO:0005249","GO:0005249","voltage-gated potassium channel activity","10/553","95/21348",0.105263157894737,4.06357666317693,4.88013642002443,0.000176192584916566,0.00766437744387064,0.00676950457837334,"ENSG00000099337/ENSG00000124249/ENSG00000129159/ENSG00000143473/ENSG00000152049/ENSG00000162989/ENSG00000166006/ENSG00000170745/ENSG00000184709/ENSG00000187486",10
"GO:0061891","GO:0061891","calcium ion sensor activity","5/553","22/21348",0.227272727272727,8.77363143185928,5.94883758608969,0.000209302006017529,0.00856907036401175,0.00756856789561837,"ENSG00000011347/ENSG00000019505/ENSG00000067715/ENSG00000103528/ENSG00000170743",5
"GO:0030414","GO:0030414","peptidase inhibitor activity","15/553","199/21348",0.0753768844221105,2.90984761056639,4.41399527170944,0.000224449566168476,0.00867871655851442,0.0076654120843503,"ENSG00000101435/ENSG00000101441/ENSG00000102313/ENSG00000117601/ENSG00000122711/ENSG00000127578/ENSG00000165953/ENSG00000170054/ENSG00000170099/ENSG00000170367/ENSG00000170369/ENSG00000173335/ENSG00000186910/ENSG00000224389/ENSG00000244731",15
"GO:0015079","GO:0015079","potassium ion transmembrane transporter activity","13/553","162/21348",0.0802469135802469,3.09785011050834,4.37078059897223,0.000316917055530799,0.0112637071292957,0.00994858584922666,"ENSG00000099337/ENSG00000124249/ENSG00000129159/ENSG00000132681/ENSG00000143473/ENSG00000149403/ENSG00000152049/ENSG00000162975/ENSG00000162989/ENSG00000166006/ENSG00000170745/ENSG00000184709/ENSG00000187486",13
"GO:0140784","GO:0140784","metal ion sensor activity","5/553","24/21348",0.208333333333333,8.04249547920434,5.62923512830613,0.000323669745094703,0.0112637071292957,0.00994858584922666,"ENSG00000011347/ENSG00000019505/ENSG00000067715/ENSG00000103528/ENSG00000170743",5
"GO:0005251","GO:0005251","delayed rectifier potassium channel activity","5/553","26/21348",0.192307692307692,7.42384198080401,5.34464768427276,0.000479961194789504,0.0159072853130236,0.0140499918675223,"ENSG00000129159/ENSG00000143473/ENSG00000152049/ENSG00000166006/ENSG00000170745",5
"GO:0061134","GO:0061134","peptidase regulator activity","17/553","262/21348",0.0648854961832061,2.50483828665295,3.99663884433884,0.000515215041407519,0.0162995304008924,0.014396439434545,"ENSG00000074370/ENSG00000101435/ENSG00000101441/ENSG00000102313/ENSG00000103490/ENSG00000117601/ENSG00000122711/ENSG00000127578/ENSG00000165953/ENSG00000170054/ENSG00000170099/ENSG00000170367/ENSG00000170369/ENSG00000173335/ENSG00000186910/ENSG00000224389/ENSG00000244731",17
"GO:0004198","GO:0004198","calcium-dependent cysteine-type endopeptidase activity","4/553","18/21348",0.222222222222222,8.57866184448463,5.24547573899926,0.00102066752525571,0.0295993582324156,0.0261434138047954,"ENSG00000118492/ENSG00000135773/ENSG00000162949/ENSG00000203697",4
"GO:0008970","GO:0008970","phospholipase A1 activity","4/553","18/21348",0.222222222222222,8.57866184448463,5.24547573899926,0.00102066752525571,0.0295993582324156,0.0261434138047954,"ENSG00000133321/ENSG00000133328/ENSG00000168907/ENSG00000176485",4
"GO:0015171","GO:0015171","amino acid transmembrane transporter activity","9/553","102/21348",0.0882352941176471,3.40623337942772,3.97237987252618,0.00133297485227826,0.0371100198874268,0.0327771500518107,"ENSG00000003989/ENSG00000092068/ENSG00000109062/ENSG00000110436/ENSG00000115902/ENSG00000120251/ENSG00000149403/ENSG00000164893/ENSG00000176884",9
"GO:0008514","GO:0008514","organic anion transmembrane transporter activity","17/553","287/21348",0.0592334494773519,2.28664679826855,3.57859314990722,0.00140881227373991,0.0377128208662685,0.0333095695491542,"ENSG00000003989/ENSG00000050438/ENSG00000092068/ENSG00000108932/ENSG00000109062/ENSG00000110436/ENSG00000115902/ENSG00000120251/ENSG00000140284/ENSG00000141424/ENSG00000144040/ENSG00000149403/ENSG00000164893/ENSG00000170482/ENSG00000176884/ENSG00000197496/ENSG00000204385",17
"GO:0046943","GO:0046943","carboxylic acid transmembrane transporter activity","13/553","191/21348",0.0680628272251309,2.62749590524791,3.68435164247022,0.00147999395634955,0.0381509553192328,0.0336965485578221,"ENSG00000003989/ENSG00000092068/ENSG00000108932/ENSG00000109062/ENSG00000110436/ENSG00000115902/ENSG00000120251/ENSG00000140284/ENSG00000144040/ENSG00000149403/ENSG00000164893/ENSG00000170482/ENSG00000176884",13
