"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008017","GO:0008017","microtubule binding","36/335","296/21348",0.121621621621622,7.75038321903993,14.7663922794824,1.21220416837079e-21,5.5397730494545e-19,4.92537693674868e-19,"ENSG00000075218/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000089685/ENSG00000090889/ENSG00000101447/ENSG00000105613/ENSG00000111640/ENSG00000112984/ENSG00000117724/ENSG00000118193/ENSG00000121621/ENSG00000126787/ENSG00000128944/ENSG00000134222/ENSG00000137807/ENSG00000137812/ENSG00000138160/ENSG00000138778/ENSG00000139354/ENSG00000139734/ENSG00000142945/ENSG00000143228/ENSG00000154839/ENSG00000161800/ENSG00000161888/ENSG00000163808/ENSG00000165209/ENSG00000165480/ENSG00000166851/ENSG00000186185/ENSG00000186638/ENSG00000198901/ENSG00000226650/ENSG00000237649",36
"GO:0015631","GO:0015631","tubulin binding","41/335","411/21348",0.0997566909975669,6.35703235646585,13.846332368374,3.04407724050763e-21,6.95571649455992e-19,6.18428323597865e-19,"ENSG00000012048/ENSG00000075218/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000089685/ENSG00000090889/ENSG00000101447/ENSG00000105613/ENSG00000111640/ENSG00000112984/ENSG00000117632/ENSG00000117724/ENSG00000118193/ENSG00000121621/ENSG00000126787/ENSG00000128944/ENSG00000134222/ENSG00000137807/ENSG00000137812/ENSG00000138160/ENSG00000138778/ENSG00000139354/ENSG00000139618/ENSG00000139734/ENSG00000142945/ENSG00000143228/ENSG00000143321/ENSG00000154839/ENSG00000161800/ENSG00000161888/ENSG00000163808/ENSG00000165209/ENSG00000165480/ENSG00000166851/ENSG00000176749/ENSG00000186185/ENSG00000186638/ENSG00000198901/ENSG00000226650/ENSG00000237649",41
"GO:0140097","GO:0140097","catalytic activity, acting on DNA","30/335","256/21348",0.1171875,7.4678171641791,13.1451526615556,9.56366511158734e-18,1.45686498533181e-15,1.29528938002551e-15,"ENSG00000049541/ENSG00000051180/ENSG00000051341/ENSG00000073111/ENSG00000076003/ENSG00000085999/ENSG00000088305/ENSG00000100479/ENSG00000104738/ENSG00000105486/ENSG00000109674/ENSG00000119969/ENSG00000131747/ENSG00000132646/ENSG00000136492/ENSG00000136982/ENSG00000137309/ENSG00000138346/ENSG00000140451/ENSG00000154920/ENSG00000163918/ENSG00000164362/ENSG00000168496/ENSG00000174371/ENSG00000175792/ENSG00000178295/ENSG00000186871/ENSG00000196584/ENSG00000197275/ENSG00000197299",30
"GO:0008094","GO:0008094","ATP-dependent activity, acting on DNA","19/335","128/21348",0.1484375,9.45923507462687,12.120211184967,1.46535714150774e-13,1.67417053417259e-11,1.48849435953155e-11,"ENSG00000049541/ENSG00000051180/ENSG00000051341/ENSG00000073111/ENSG00000076003/ENSG00000085999/ENSG00000104738/ENSG00000119969/ENSG00000131747/ENSG00000136492/ENSG00000136982/ENSG00000138346/ENSG00000140451/ENSG00000163918/ENSG00000175792/ENSG00000186871/ENSG00000196584/ENSG00000197275/ENSG00000197299",19
"GO:0003678","GO:0003678","DNA helicase activity","14/335","58/21348",0.241379310344828,15.381986618631,13.8481527305296,2.27993021585501e-13,2.08385621729148e-11,1.85274329120008e-11,"ENSG00000049541/ENSG00000051180/ENSG00000051341/ENSG00000073111/ENSG00000076003/ENSG00000104738/ENSG00000136492/ENSG00000136982/ENSG00000138346/ENSG00000140451/ENSG00000163918/ENSG00000175792/ENSG00000197275/ENSG00000197299",14
"GO:0017116","GO:0017116","single-stranded DNA helicase activity","10/335","23/21348",0.434782608695652,27.7066839714471,16.1802848762792,7.56241250564273e-13,5.76003752513121e-11,5.12121267925981e-11,"ENSG00000049541/ENSG00000051180/ENSG00000051341/ENSG00000073111/ENSG00000076003/ENSG00000104738/ENSG00000136982/ENSG00000138346/ENSG00000140451/ENSG00000163918",10
"GO:0003777","GO:0003777","microtubule motor activity","14/335","75/21348",0.186666666666667,11.8954029850746,11.9345585095394,9.91204917762076e-12,6.47115210596098e-10,5.7534601241528e-10,"ENSG00000079616/ENSG00000090889/ENSG00000112984/ENSG00000118193/ENSG00000121621/ENSG00000137807/ENSG00000138160/ENSG00000138778/ENSG00000142945/ENSG00000163808/ENSG00000186185/ENSG00000186638/ENSG00000226650/ENSG00000237649",14
"GO:0016887","GO:0016887","ATP hydrolysis activity","30/335","494/21348",0.0607287449392713,3.86996193123452,8.1487637002129,2.93651115462412e-10,1.67748199707903e-08,1.49143856011173e-08,"ENSG00000049541/ENSG00000051180/ENSG00000051341/ENSG00000071539/ENSG00000073111/ENSG00000076003/ENSG00000079616/ENSG00000085840/ENSG00000085999/ENSG00000094804/ENSG00000104738/ENSG00000112984/ENSG00000113810/ENSG00000118193/ENSG00000121621/ENSG00000136492/ENSG00000137807/ENSG00000138346/ENSG00000140451/ENSG00000142945/ENSG00000156802/ENSG00000163468/ENSG00000163808/ENSG00000163918/ENSG00000175792/ENSG00000186185/ENSG00000186871/ENSG00000197299/ENSG00000237649/ENSG00000278259",30
"GO:0003774","GO:0003774","cytoskeletal motor activity","15/335","122/21348",0.122950819672131,7.83508686077808,9.55953288847092,8.53290863056665e-10,4.33282138240996e-08,3.85228389637278e-08,"ENSG00000079616/ENSG00000090889/ENSG00000112984/ENSG00000118193/ENSG00000121621/ENSG00000137807/ENSG00000138160/ENSG00000138778/ENSG00000142945/ENSG00000163808/ENSG00000186185/ENSG00000186638/ENSG00000226650/ENSG00000237649/ENSG00000278259",15
"GO:0004386","GO:0004386","helicase activity","17/335","176/21348",0.0965909090909091,6.15529172320217,8.671124769122,2.80129400931477e-09,1.28019136225685e-07,1.13820998694263e-07,"ENSG00000049541/ENSG00000051180/ENSG00000051341/ENSG00000073111/ENSG00000076003/ENSG00000085999/ENSG00000104738/ENSG00000119969/ENSG00000136492/ENSG00000136982/ENSG00000138346/ENSG00000140451/ENSG00000163918/ENSG00000175792/ENSG00000186871/ENSG00000197275/ENSG00000197299",17
