"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008017","GO:0008017","microtubule binding","36/339","296/21348",0.121621621621622,7.65893326955274,14.6544465505742,1.81364814278953e-21,8.46973682682709e-19,7.57914013355202e-19,"ENSG00000075218/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000089685/ENSG00000090889/ENSG00000101447/ENSG00000105613/ENSG00000111640/ENSG00000112984/ENSG00000117724/ENSG00000118193/ENSG00000121621/ENSG00000126787/ENSG00000128944/ENSG00000134222/ENSG00000137807/ENSG00000137812/ENSG00000138160/ENSG00000138778/ENSG00000139354/ENSG00000139734/ENSG00000142945/ENSG00000143228/ENSG00000154839/ENSG00000161800/ENSG00000161888/ENSG00000163808/ENSG00000165209/ENSG00000165480/ENSG00000166851/ENSG00000186185/ENSG00000186638/ENSG00000198901/ENSG00000226650/ENSG00000237649",36
"GO:0015631","GO:0015631","tubulin binding","41/339","411/21348",0.0997566909975669,6.28202312512112,13.7350285431725,4.76918985828711e-21,1.11360583191004e-18,9.96509670389465e-19,"ENSG00000012048/ENSG00000075218/ENSG00000076382/ENSG00000079616/ENSG00000080986/ENSG00000089685/ENSG00000090889/ENSG00000101447/ENSG00000105613/ENSG00000111640/ENSG00000112984/ENSG00000117632/ENSG00000117724/ENSG00000118193/ENSG00000121621/ENSG00000126787/ENSG00000128944/ENSG00000134222/ENSG00000137807/ENSG00000137812/ENSG00000138160/ENSG00000138778/ENSG00000139354/ENSG00000139618/ENSG00000139734/ENSG00000142945/ENSG00000143228/ENSG00000143321/ENSG00000154839/ENSG00000161800/ENSG00000161888/ENSG00000163808/ENSG00000165209/ENSG00000165480/ENSG00000166851/ENSG00000176749/ENSG00000186185/ENSG00000186638/ENSG00000198901/ENSG00000226650/ENSG00000237649",41
"GO:0140097","GO:0140097","catalytic activity, acting on DNA","30/339","256/21348",0.1171875,7.37970132743363,13.0444878374455,1.33119196976827e-17,2.0722221662726e-15,1.85432705964211e-15,"ENSG00000049541/ENSG00000051180/ENSG00000051341/ENSG00000073111/ENSG00000076003/ENSG00000085999/ENSG00000088305/ENSG00000100479/ENSG00000104738/ENSG00000105486/ENSG00000109674/ENSG00000119969/ENSG00000131747/ENSG00000132646/ENSG00000136492/ENSG00000136982/ENSG00000137309/ENSG00000138346/ENSG00000140451/ENSG00000154920/ENSG00000163918/ENSG00000164362/ENSG00000168496/ENSG00000174371/ENSG00000175792/ENSG00000178295/ENSG00000186871/ENSG00000196584/ENSG00000197275/ENSG00000197299",30
"GO:0008094","GO:0008094","ATP-dependent activity, acting on DNA","19/339","128/21348",0.1484375,9.34762168141593,12.0326320659326,1.81160094407418e-13,2.1150441022066e-11,1.89264624946697e-11,"ENSG00000049541/ENSG00000051180/ENSG00000051341/ENSG00000073111/ENSG00000076003/ENSG00000085999/ENSG00000104738/ENSG00000119969/ENSG00000131747/ENSG00000136492/ENSG00000136982/ENSG00000138346/ENSG00000140451/ENSG00000163918/ENSG00000175792/ENSG00000186871/ENSG00000196584/ENSG00000197275/ENSG00000197299",19
"GO:0003678","GO:0003678","DNA helicase activity","14/339","58/21348",0.241379310344828,15.2004882514495,13.7560905696561,2.68000155230908e-13,2.50312144985668e-11,2.23991708687727e-11,"ENSG00000049541/ENSG00000051180/ENSG00000051341/ENSG00000073111/ENSG00000076003/ENSG00000104738/ENSG00000136492/ENSG00000136982/ENSG00000138346/ENSG00000140451/ENSG00000163918/ENSG00000175792/ENSG00000197275/ENSG00000197299",14
"GO:0017116","GO:0017116","single-stranded DNA helicase activity","10/339","23/21348",0.434782608695652,27.3797614467103,16.0788819101382,8.510131386632e-13,6.6237189292619e-11,5.92723186051386e-11,"ENSG00000049541/ENSG00000051180/ENSG00000051341/ENSG00000073111/ENSG00000076003/ENSG00000104738/ENSG00000136982/ENSG00000138346/ENSG00000140451/ENSG00000163918",10
"GO:0003777","GO:0003777","microtubule motor activity","14/339","75/21348",0.186666666666667,11.7550442477876,11.8520656039726,1.16164349255302e-11,7.74982158603232e-10,6.93492430892557e-10,"ENSG00000079616/ENSG00000090889/ENSG00000112984/ENSG00000118193/ENSG00000121621/ENSG00000137807/ENSG00000138160/ENSG00000138778/ENSG00000142945/ENSG00000163808/ENSG00000186185/ENSG00000186638/ENSG00000226650/ENSG00000237649",14
"GO:0016887","GO:0016887","ATP hydrolysis activity","30/339","494/21348",0.0607287449392713,3.82429866360933,8.06761182755123,3.91173711415216e-10,2.28347654038633e-08,2.04336793989264e-08,"ENSG00000049541/ENSG00000051180/ENSG00000051341/ENSG00000071539/ENSG00000073111/ENSG00000076003/ENSG00000079616/ENSG00000085840/ENSG00000085999/ENSG00000094804/ENSG00000104738/ENSG00000112984/ENSG00000113810/ENSG00000118193/ENSG00000121621/ENSG00000136492/ENSG00000137807/ENSG00000138346/ENSG00000140451/ENSG00000142945/ENSG00000156802/ENSG00000163468/ENSG00000163808/ENSG00000163918/ENSG00000175792/ENSG00000186185/ENSG00000186871/ENSG00000197299/ENSG00000237649/ENSG00000278259",30
"GO:0003774","GO:0003774","cytoskeletal motor activity","15/339","122/21348",0.122950819672131,7.74263745829102,9.48726929014637,1.00420771413154e-09,5.21072224999365e-08,4.66281242702013e-08,"ENSG00000079616/ENSG00000090889/ENSG00000112984/ENSG00000118193/ENSG00000121621/ENSG00000137807/ENSG00000138160/ENSG00000138778/ENSG00000142945/ENSG00000163808/ENSG00000186185/ENSG00000186638/ENSG00000226650/ENSG00000237649/ENSG00000278259",15
"GO:0004386","GO:0004386","helicase activity","17/339","176/21348",0.0965909090909091,6.08266291230893,8.60066996320544,3.3480614247437e-09,1.56354468535531e-07,1.39913724802447e-07,"ENSG00000049541/ENSG00000051180/ENSG00000051341/ENSG00000073111/ENSG00000076003/ENSG00000085999/ENSG00000104738/ENSG00000119969/ENSG00000136492/ENSG00000136982/ENSG00000138346/ENSG00000140451/ENSG00000163918/ENSG00000175792/ENSG00000186871/ENSG00000197275/ENSG00000197299",17
