"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005539","GO:0005539","glycosaminoglycan binding","26/594","279/21348",0.0931899641577061,3.3491908330618,6.68204165870651,8.36663921858807e-08,6.44231219831281e-05,5.33703512259407e-05,"ENSG00000065618/ENSG00000069702/ENSG00000084674/ENSG00000090006/ENSG00000100448/ENSG00000105894/ENSG00000109610/ENSG00000133800/ENSG00000134917/ENSG00000136011/ENSG00000136999/ENSG00000138685/ENSG00000154734/ENSG00000163710/ENSG00000163815/ENSG00000164318/ENSG00000165799/ENSG00000168477/ENSG00000168546/ENSG00000173432/ENSG00000174175/ENSG00000175445/ENSG00000188517/ENSG00000188783/ENSG00000196104/ENSG00000205221",26
"GO:0004745","GO:0004745","all-trans-retinol dehydrogenase (NAD+) activity","7/594","20/21348",0.35,12.5787878787879,8.76423009483071,7.05001982488515e-07,0.000193231607113527,0.000160079772947091,"ENSG00000135437/ENSG00000170509/ENSG00000187758/ENSG00000196139/ENSG00000196616/ENSG00000198099/ENSG00000248144",7
"GO:0019838","GO:0019838","growth factor binding","17/594","147/21348",0.115646258503401,4.15625644197073,6.49626178296422,7.52850417325428e-07,0.000193231607113527,0.000160079772947091,"ENSG00000037280/ENSG00000064300/ENSG00000069702/ENSG00000090006/ENSG00000101938/ENSG00000113594/ENSG00000120156/ENSG00000123612/ENSG00000133116/ENSG00000134962/ENSG00000135218/ENSG00000137070/ENSG00000139567/ENSG00000140538/ENSG00000148053/ENSG00000167779/ENSG00000175899",17
"GO:0005248","GO:0005248","voltage-gated sodium channel activity","7/594","22/21348",0.318181818181818,11.435261707989,8.28458435969742,1.47760019921793e-06,0.000284438038349451,0.00023563834755949,"ENSG00000007314/ENSG00000136546/ENSG00000149575/ENSG00000153253/ENSG00000166257/ENSG00000168356/ENSG00000177098",7
"GO:0004022","GO:0004022","alcohol dehydrogenase (NAD+) activity","7/594","23/21348",0.304347826086957,10.9380764163373,8.06737920362845,2.07320748545405e-06,0.000316263867144874,0.000262003969227332,"ENSG00000135437/ENSG00000170509/ENSG00000187758/ENSG00000196139/ENSG00000196616/ENSG00000198099/ENSG00000248144",7
"GO:0008528","GO:0008528","G protein-coupled peptide receptor activity","16/594","143/21348",0.111888111888112,4.02119093028184,6.13250334731525,2.46439376996005e-06,0.000316263867144874,0.000262003969227332,"ENSG00000064989/ENSG00000065325/ENSG00000078549/ENSG00000080293/ENSG00000106113/ENSG00000115353/ENSG00000126895/ENSG00000136160/ENSG00000138039/ENSG00000139874/ENSG00000164220/ENSG00000168329/ENSG00000169418/ENSG00000180914/ENSG00000185149/ENSG00000204687",16
"GO:0017046","GO:0017046","peptide hormone binding","10/594","57/21348",0.175438596491228,6.30515683147262,6.78497678853054,3.4303378493008e-06,0.000377337163423088,0.00031259920852275,"ENSG00000064989/ENSG00000065325/ENSG00000078549/ENSG00000080293/ENSG00000106113/ENSG00000136160/ENSG00000138039/ENSG00000145708/ENSG00000169418/ENSG00000180914",10
"GO:0001653","GO:0001653","peptide receptor activity","16/594","149/21348",0.10738255033557,3.85926377872687,5.92516448105702,4.23045113530371e-06,0.000390216736112696,0.000323269093758433,"ENSG00000064989/ENSG00000065325/ENSG00000078549/ENSG00000080293/ENSG00000106113/ENSG00000115353/ENSG00000126895/ENSG00000136160/ENSG00000138039/ENSG00000139874/ENSG00000164220/ENSG00000168329/ENSG00000169418/ENSG00000180914/ENSG00000185149/ENSG00000204687",16
"GO:0042562","GO:0042562","hormone binding","13/594","101/21348",0.128712871287129,4.62586258625863,6.17922430543578,4.56097483768086e-06,0.000390216736112696,0.000323269093758433,"ENSG00000018625/ENSG00000064989/ENSG00000065325/ENSG00000078549/ENSG00000080293/ENSG00000106113/ENSG00000136160/ENSG00000138039/ENSG00000145708/ENSG00000165092/ENSG00000169418/ENSG00000180914/ENSG00000188778",13
"GO:1901681","GO:1901681","sulfur compound binding","24/594","310/21348",0.0774193548387097,2.78240469208211,5.34805271778865,6.99887763344519e-06,0.00053891357777528,0.000446454720617662,"ENSG00000065618/ENSG00000069702/ENSG00000076555/ENSG00000084674/ENSG00000100448/ENSG00000105894/ENSG00000109610/ENSG00000115361/ENSG00000124615/ENSG00000134917/ENSG00000136999/ENSG00000138685/ENSG00000154734/ENSG00000163710/ENSG00000163815/ENSG00000168477/ENSG00000168546/ENSG00000172987/ENSG00000173432/ENSG00000174059/ENSG00000174175/ENSG00000175445/ENSG00000188517/ENSG00000188783",24
"GO:0005201","GO:0005201","extracellular matrix structural constituent","18/594","195/21348",0.0923076923076923,3.31748251748252,5.49994731004167,9.28691110649828e-06,0.00065008377745488,0.000538551974214159,"ENSG00000065618/ENSG00000090006/ENSG00000110799/ENSG00000116690/ENSG00000132561/ENSG00000138722/ENSG00000140092/ENSG00000143196/ENSG00000148357/ENSG00000154175/ENSG00000166482/ENSG00000168477/ENSG00000173269/ENSG00000181092/ENSG00000187955/ENSG00000188517/ENSG00000188783/ENSG00000197565",18
"GO:0018455","GO:0018455","alcohol dehydrogenase [NAD(P)+] activity","10/594","66/21348",0.151515151515152,5.44536271808999,6.11904564128925,1.33893014143904e-05,0.000859146840756716,0.000711747075186015,"ENSG00000135437/ENSG00000151632/ENSG00000169282/ENSG00000170509/ENSG00000187134/ENSG00000187758/ENSG00000196139/ENSG00000196616/ENSG00000198099/ENSG00000248144",10
"GO:0008237","GO:0008237","metallopeptidase activity","18/594","202/21348",0.0891089108910891,3.2025202520252,5.32098730210013,1.50676541232357e-05,0.000892468744222421,0.000739352097059176,"ENSG00000015413/ENSG00000016602/ENSG00000072657/ENSG00000077616/ENSG00000091704/ENSG00000116183/ENSG00000121898/ENSG00000122121/ENSG00000134917/ENSG00000137675/ENSG00000140873/ENSG00000149451/ENSG00000154734/ENSG00000163638/ENSG00000168060/ENSG00000172901/ENSG00000269113/ENSG00000271447",18
"GO:0099106","GO:0099106","ion channel regulator activity","16/594","166/21348",0.0963855421686747,3.46403797006207,5.39173699396139,1.68511549861788e-05,0.000926813524239834,0.00076780450538529,"ENSG00000101049/ENSG00000105974/ENSG00000120049/ENSG00000145936/ENSG00000149575/ENSG00000157782/ENSG00000158445/ENSG00000164949/ENSG00000166257/ENSG00000169252/ENSG00000169282/ENSG00000177098/ENSG00000180509/ENSG00000182132/ENSG00000185149/ENSG00000266964",16
"GO:0008201","GO:0008201","heparin binding","18/594","208/21348",0.0865384615384615,3.11013986013986,5.17369900339814,2.23890574376002e-05,0.00114930494846348,0.00095212412682005,"ENSG00000065618/ENSG00000069702/ENSG00000084674/ENSG00000100448/ENSG00000105894/ENSG00000109610/ENSG00000134917/ENSG00000136999/ENSG00000138685/ENSG00000154734/ENSG00000163710/ENSG00000163815/ENSG00000168477/ENSG00000173432/ENSG00000174175/ENSG00000175445/ENSG00000188517/ENSG00000188783",18
"GO:0005319","GO:0005319","lipid transporter activity","17/594","195/21348",0.0871794871794872,3.13317793317793,5.06254789277423,3.42075505079179e-05,0.00164623836819355,0.00136380102682883,"ENSG00000084674/ENSG00000085563/ENSG00000118777/ENSG00000135218/ENSG00000138207/ENSG00000139155/ENSG00000141338/ENSG00000145283/ENSG00000154258/ENSG00000154262/ENSG00000154263/ENSG00000168065/ENSG00000170323/ENSG00000176194/ENSG00000187288/ENSG00000189058/ENSG00000206579",17
"GO:0016247","GO:0016247","channel regulator activity","16/594","178/21348",0.0898876404494382,3.23050732039496,5.05549827326792,3.99043074689916e-05,0.00180743039712491,0.00149733810069405,"ENSG00000101049/ENSG00000105974/ENSG00000120049/ENSG00000145936/ENSG00000149575/ENSG00000157782/ENSG00000158445/ENSG00000164949/ENSG00000166257/ENSG00000169252/ENSG00000169282/ENSG00000177098/ENSG00000180509/ENSG00000182132/ENSG00000185149/ENSG00000266964",16
"GO:0141108","GO:0141108","transporter regulator activity","16/594","180/21348",0.0888888888888889,3.19461279461279,5.00224532806722,4.57026415962002e-05,0.00191332059785422,0.00158506121982182,"ENSG00000101049/ENSG00000105974/ENSG00000120049/ENSG00000145936/ENSG00000149575/ENSG00000157782/ENSG00000158445/ENSG00000164949/ENSG00000166257/ENSG00000169252/ENSG00000169282/ENSG00000177098/ENSG00000180509/ENSG00000182132/ENSG00000185149/ENSG00000266964",16
"GO:0044325","GO:0044325","transmembrane transporter binding","14/594","143/21348",0.0979020979020979,3.51854206399661,5.11221170532663,4.72118069600392e-05,0.00191332059785422,0.00158506121982182,"ENSG00000022267/ENSG00000105974/ENSG00000120049/ENSG00000136546/ENSG00000145362/ENSG00000158445/ENSG00000166257/ENSG00000169282/ENSG00000177098/ENSG00000179776/ENSG00000180509/ENSG00000182132/ENSG00000186439/ENSG00000266964",14
"GO:0015459","GO:0015459","potassium channel regulator activity","9/594","63/21348",0.142857142857143,5.13419913419913,5.55949802772142,5.83519800093941e-05,0.00224655123036167,0.00186112104661541,"ENSG00000101049/ENSG00000105974/ENSG00000120049/ENSG00000145936/ENSG00000158445/ENSG00000169252/ENSG00000169282/ENSG00000180509/ENSG00000182132",9
"GO:0033218","GO:0033218","amide binding","20/594","272/21348",0.0735294117647059,2.64260249554367,4.61247023601732,8.22905346747831e-05,0.00301731960474205,0.00249965233147461,"ENSG00000064300/ENSG00000064989/ENSG00000065325/ENSG00000076555/ENSG00000078549/ENSG00000078596/ENSG00000080293/ENSG00000106113/ENSG00000115361/ENSG00000135218/ENSG00000136160/ENSG00000138039/ENSG00000145708/ENSG00000152578/ENSG00000169252/ENSG00000169418/ENSG00000169760/ENSG00000174804/ENSG00000180914/ENSG00000188517",20
"GO:0005216","GO:0005216","monoatomic ion channel activity","29/594","481/21348",0.0602910602910603,2.16682416682417,4.37883607124809,9.02590147766526e-05,0.00315906551718284,0.0026170795672082,"ENSG00000007314/ENSG00000016602/ENSG00000083067/ENSG00000100433/ENSG00000104888/ENSG00000109158/ENSG00000111262/ENSG00000112782/ENSG00000120049/ENSG00000130037/ENSG00000136546/ENSG00000145936/ENSG00000149575/ENSG00000151834/ENSG00000152578/ENSG00000153253/ENSG00000153822/ENSG00000158445/ENSG00000158966/ENSG00000163285/ENSG00000166257/ENSG00000168356/ENSG00000169282/ENSG00000171227/ENSG00000177098/ENSG00000180509/ENSG00000182132/ENSG00000240583/ENSG00000266964",29
"GO:0043121","GO:0043121","neurotrophin binding","4/594","10/21348",0.4,14.3757575757576,7.15735032654892,0.000109025088726956,0.00364997036172852,0.00302376218620299,"ENSG00000064300/ENSG00000140538/ENSG00000148053/ENSG00000175899",4
"GO:0005178","GO:0005178","integrin binding","15/594","177/21348",0.0847457627118644,3.0457113507961,4.62350193079986,0.000134070641884419,0.00430143309379177,0.00356345653429639,"ENSG00000017427/ENSG00000090006/ENSG00000105894/ENSG00000110799/ENSG00000131095/ENSG00000134917/ENSG00000135424/ENSG00000136999/ENSG00000138685/ENSG00000140092/ENSG00000144668/ENSG00000154721/ENSG00000162407/ENSG00000168477/ENSG00000174175",15
"GO:0019199","GO:0019199","transmembrane receptor protein kinase activity","10/594","88/21348",0.113636363636364,4.08402203856749,4.90442299712028,0.00016578161965112,0.0048397786577705,0.00400944069256175,"ENSG00000037280/ENSG00000066056/ENSG00000069702/ENSG00000090006/ENSG00000120156/ENSG00000123612/ENSG00000139567/ENSG00000140538/ENSG00000145242/ENSG00000148053",10
"GO:0005267","GO:0005267","potassium channel activity","12/594","123/21348",0.0975609756097561,3.50628233555063,4.71595270231975,0.000167273616432941,0.0048397786577705,0.00400944069256175,"ENSG00000100433/ENSG00000111262/ENSG00000120049/ENSG00000130037/ENSG00000145936/ENSG00000149575/ENSG00000153822/ENSG00000158445/ENSG00000169282/ENSG00000180509/ENSG00000182132/ENSG00000240583",12
"GO:0019955","GO:0019955","cytokine binding","14/594","161/21348",0.0869565217391304,3.12516469038208,4.57911486297218,0.000169706524363381,0.0048397786577705,0.00400944069256175,"ENSG00000069702/ENSG00000090006/ENSG00000101938/ENSG00000113594/ENSG00000116678/ENSG00000128016/ENSG00000135218/ENSG00000137070/ENSG00000138685/ENSG00000139567/ENSG00000168329/ENSG00000174804/ENSG00000175899/ENSG00000213088",14
