"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","36/433","195/21348",0.184615384615385,9.10200746136081,16.3533751076177,3.36647312975852e-24,2.02661682411463e-21,1.82143914599566e-21,"ENSG00000011465/ENSG00000038427/ENSG00000060718/ENSG00000077942/ENSG00000101680/ENSG00000101825/ENSG00000101955/ENSG00000105664/ENSG00000106624/ENSG00000106809/ENSG00000106819/ENSG00000108821/ENSG00000111799/ENSG00000112769/ENSG00000115380/ENSG00000115414/ENSG00000117122/ENSG00000119681/ENSG00000122176/ENSG00000123500/ENSG00000130635/ENSG00000133110/ENSG00000142871/ENSG00000144810/ENSG00000163520/ENSG00000164692/ENSG00000164932/ENSG00000168542/ENSG00000171502/ENSG00000174348/ENSG00000182492/ENSG00000186340/ENSG00000196569/ENSG00000197614/ENSG00000204262/ENSG00000206384",36
"GO:0005539","GO:0005539","glycosaminoglycan binding","34/433","279/21348",0.121863799283154,6.00819488936899,12.1155964569906,4.85548059738466e-17,1.46149965981278e-14,1.31353527739774e-14,"ENSG00000000971/ENSG00000009694/ENSG00000011465/ENSG00000038427/ENSG00000060718/ENSG00000064205/ENSG00000083782/ENSG00000091986/ENSG00000099250/ENSG00000103888/ENSG00000104415/ENSG00000105664/ENSG00000106823/ENSG00000112902/ENSG00000113578/ENSG00000115414/ENSG00000119681/ENSG00000130635/ENSG00000133110/ENSG00000137573/ENSG00000140285/ENSG00000142871/ENSG00000145147/ENSG00000154736/ENSG00000163430/ENSG00000163513/ENSG00000166035/ENSG00000169218/ENSG00000173376/ENSG00000180875/ENSG00000182492/ENSG00000184347/ENSG00000186340/ENSG00000196562",34
"GO:0005178","GO:0005178","integrin binding","24/433","177/21348",0.135593220338983,6.68509022585822,10.9279008879435,2.03237639798845e-13,4.07830197196349e-11,3.66540866163531e-11,"ENSG00000064205/ENSG00000073712/ENSG00000077942/ENSG00000078098/ENSG00000104415/ENSG00000105664/ENSG00000106823/ENSG00000107562/ENSG00000113578/ENSG00000115414/ENSG00000128052/ENSG00000130635/ENSG00000142871/ENSG00000151914/ENSG00000152818/ENSG00000154736/ENSG00000157168/ENSG00000157227/ENSG00000165124/ENSG00000166086/ENSG00000167244/ENSG00000168542/ENSG00000171914/ENSG00000213949",24
"GO:0008201","GO:0008201","heparin binding","25/433","208/21348",0.120192307692308,5.92578610765678,10.2716015536562,1.0190355675254e-12,1.53364852912573e-10,1.37837968870541e-10,"ENSG00000000971/ENSG00000009694/ENSG00000060718/ENSG00000064205/ENSG00000091986/ENSG00000099250/ENSG00000104415/ENSG00000105664/ENSG00000106823/ENSG00000113578/ENSG00000115414/ENSG00000119681/ENSG00000130635/ENSG00000133110/ENSG00000140285/ENSG00000142871/ENSG00000145147/ENSG00000154736/ENSG00000163430/ENSG00000166035/ENSG00000169218/ENSG00000173376/ENSG00000180875/ENSG00000184347/ENSG00000186340",25
"GO:1901681","GO:1901681","sulfur compound binding","27/433","310/21348",0.0870967741935484,4.2940922297549,8.40616315391143,2.39883426347257e-10,2.88819645322097e-08,2.59579118194716e-08,"ENSG00000000971/ENSG00000009694/ENSG00000060718/ENSG00000064205/ENSG00000091986/ENSG00000099250/ENSG00000104415/ENSG00000105664/ENSG00000106823/ENSG00000112902/ENSG00000113578/ENSG00000115414/ENSG00000119681/ENSG00000123384/ENSG00000130635/ENSG00000133110/ENSG00000140285/ENSG00000142871/ENSG00000145147/ENSG00000154736/ENSG00000163430/ENSG00000166035/ENSG00000169218/ENSG00000173376/ENSG00000180875/ENSG00000184347/ENSG00000186340",27
"GO:0030020","GO:0030020","extracellular matrix structural constituent conferring tensile strength","11/433","53/21348",0.207547169811321,10.2326027277877,9.68292794181967,7.46328180201021e-09,7.48815940801691e-07,6.73004709865482e-07,"ENSG00000060718/ENSG00000108821/ENSG00000111799/ENSG00000123500/ENSG00000130635/ENSG00000144810/ENSG00000164692/ENSG00000168542/ENSG00000171502/ENSG00000204262/ENSG00000206384",11
"GO:0003779","GO:0003779","actin binding","31/433","480/21348",0.0645833333333333,3.18412240184758,6.96370903575522,1.62878738750017e-08,1.40075715325015e-06,1.25894243184224e-06,"ENSG00000006788/ENSG00000007237/ENSG00000065534/ENSG00000073712/ENSG00000079308/ENSG00000079819/ENSG00000082438/ENSG00000102271/ENSG00000109061/ENSG00000125414/ENSG00000128591/ENSG00000131018/ENSG00000131711/ENSG00000133816/ENSG00000134775/ENSG00000136541/ENSG00000146122/ENSG00000148700/ENSG00000149591/ENSG00000150764/ENSG00000151914/ENSG00000152527/ENSG00000152818/ENSG00000154553/ENSG00000158352/ENSG00000160808/ENSG00000162614/ENSG00000163431/ENSG00000168807/ENSG00000171914/ENSG00000197702",31
"GO:0050840","GO:0050840","extracellular matrix binding","12/433","74/21348",0.162162162162162,7.99500655389801,8.67287020427907,2.93485467353785e-08,2.20847814183723e-06,1.98488855552428e-06,"ENSG00000011465/ENSG00000060718/ENSG00000119681/ENSG00000142871/ENSG00000145147/ENSG00000154736/ENSG00000162745/ENSG00000163520/ENSG00000172061/ENSG00000182492/ENSG00000185585/ENSG00000197859",12
"GO:0030021","GO:0030021","extracellular matrix structural constituent conferring compression resistance","7/433","25/21348",0.28,13.8047113163972,9.21720148951349,4.71618648125374e-07,3.15460473523861e-05,2.83522789633266e-05,"ENSG00000011465/ENSG00000038427/ENSG00000106809/ENSG00000106819/ENSG00000122176/ENSG00000174348/ENSG00000182492",7
"GO:0004222","GO:0004222","metalloendopeptidase activity","13/433","122/21348",0.10655737704918,5.25354938855866,6.77923601663438,1.2177637700605e-06,7.33093789576423e-05,6.58874292432735e-05,"ENSG00000038295/ENSG00000049192/ENSG00000095587/ENSG00000099953/ENSG00000123342/ENSG00000135074/ENSG00000137745/ENSG00000138316/ENSG00000148848/ENSG00000149968/ENSG00000154736/ENSG00000157227/ENSG00000196549",13
"GO:0048407","GO:0048407","platelet-derived growth factor binding","5/433","12/21348",0.416666666666667,20.5427251732102,9.74322395167447,2.3624060612215e-06,0.000129288040805031,0.000116198728752904,"ENSG00000108821/ENSG00000130635/ENSG00000134853/ENSG00000164692/ENSG00000168542",5
"GO:0043394","GO:0043394","proteoglycan binding","7/433","40/21348",0.175,8.62794457274827,6.94783696657992,1.40665436179983e-05,0.000705671604836249,0.000634228370144837,"ENSG00000000971/ENSG00000105664/ENSG00000112902/ENSG00000115414/ENSG00000123384/ENSG00000130635/ENSG00000145147",7
"GO:0045499","GO:0045499","chemorepellent activity","6/433","29/21348",0.206896551724138,10.2005256032492,7.13364775802198,2.15051123288161e-05,0.000992899924923195,0.000892377271219658,"ENSG00000075213/ENSG00000112902/ENSG00000153993/ENSG00000157168/ENSG00000185070/ENSG00000197635",6
"GO:0005518","GO:0005518","collagen binding","10/433","95/21348",0.105263157894737,5.18974109638994,5.8887390137795,2.30906959284464e-05,0.000992899924923195,0.000892377271219658,"ENSG00000105664/ENSG00000106624/ENSG00000106823/ENSG00000115414/ENSG00000137745/ENSG00000162733/ENSG00000172061/ENSG00000174348/ENSG00000183287/ENSG00000213949",10
