"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060294","GO:0060294","cilium movement involved in cell motility","21/43","225/21468",0.0933333333333333,46.5972093023256,30.8021540376141,8.89367320440912e-31,1.93005579749112e-28,1.54870741299978e-28,"ENSG00000007174/ENSG00000034239/ENSG00000080572/ENSG00000115423/ENSG00000122735/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000158486/ENSG00000159625/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000165164/ENSG00000165309/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000270765",21
"GO:0001539","GO:0001539","cilium or flagellum-dependent cell motility","21/43","228/21468",0.0921052631578947,45.984088127295,30.5920499182309,1.18650971157241e-30,1.93005579749112e-28,1.54870741299978e-28,"ENSG00000007174/ENSG00000034239/ENSG00000080572/ENSG00000115423/ENSG00000122735/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000158486/ENSG00000159625/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000165164/ENSG00000165309/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000270765",21
"GO:0060285","GO:0060285","cilium-dependent cell motility","21/43","228/21468",0.0921052631578947,45.984088127295,30.5920499182309,1.18650971157241e-30,1.93005579749112e-28,1.54870741299978e-28,"ENSG00000007174/ENSG00000034239/ENSG00000080572/ENSG00000115423/ENSG00000122735/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000158486/ENSG00000159625/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000165164/ENSG00000165309/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000270765",21
"GO:0003341","GO:0003341","cilium movement","21/43","268/21468",0.0783582089552239,39.1207913918778,28.1333121727239,3.93117751779733e-29,4.79603657171275e-27,3.84841588584371e-27,"ENSG00000007174/ENSG00000034239/ENSG00000080572/ENSG00000115423/ENSG00000122735/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000158486/ENSG00000159625/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000165164/ENSG00000165309/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085/ENSG00000270765",21
"GO:0030317","GO:0030317","flagellated sperm motility","17/43","205/21468",0.0829268292682927,41.4017016449234,26.0389704500587,7.87991468097154e-24,6.40899727385685e-22,5.14268116021301e-22,"ENSG00000034239/ENSG00000080572/ENSG00000122735/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000159625/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000165164/ENSG00000165309/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085",17
"GO:0097722","GO:0097722","sperm motility","17/43","205/21468",0.0829268292682927,41.4017016449234,26.0389704500587,7.87991468097154e-24,6.40899727385685e-22,5.14268116021301e-22,"ENSG00000034239/ENSG00000080572/ENSG00000122735/ENSG00000145491/ENSG00000151023/ENSG00000157330/ENSG00000159625/ENSG00000163060/ENSG00000163075/ENSG00000163263/ENSG00000165164/ENSG00000165309/ENSG00000167858/ENSG00000179902/ENSG00000186973/ENSG00000188523/ENSG00000213085",17
"GO:0060271","GO:0060271","cilium assembly","12/43","414/21468",0.0289855072463768,14.4711830131446,12.3993262763854,2.01879114221939e-11,1.40738582486152e-09,1.12930872918137e-09,"ENSG00000034239/ENSG00000080572/ENSG00000122735/ENSG00000129654/ENSG00000152669/ENSG00000153789/ENSG00000159625/ENSG00000163060/ENSG00000163075/ENSG00000165164/ENSG00000167858/ENSG00000234602",12
"GO:0044782","GO:0044782","cilium organization","12/43","443/21468",0.0270880361173815,13.5238595201848,11.9325026370505,4.42070115644569e-11,2.69662770543187e-09,2.16381688183921e-09,"ENSG00000034239/ENSG00000080572/ENSG00000122735/ENSG00000129654/ENSG00000152669/ENSG00000153789/ENSG00000159625/ENSG00000163060/ENSG00000163075/ENSG00000165164/ENSG00000167858/ENSG00000234602",12
"GO:0001578","GO:0001578","microtubule bundle formation","7/43","140/21468",0.05,24.9627906976744,12.7434153044841,1.14246370122846e-08,6.19469206888323e-07,4.97071926148525e-07,"ENSG00000034239/ENSG00000080572/ENSG00000122735/ENSG00000129654/ENSG00000159625/ENSG00000165164/ENSG00000270765",7
"GO:0003351","GO:0003351","epithelial cilium movement involved in extracellular fluid movement","5/43","47/21468",0.106382978723404,53.1123206333498,16.0224513775863,3.65382905311415e-08,1.78306857791971e-06,1.4307625344826e-06,"ENSG00000007174/ENSG00000122735/ENSG00000145491/ENSG00000163075/ENSG00000213085",5
"GO:0006858","GO:0006858","extracellular transport","5/43","50/21468",0.1,49.9255813953488,15.5164022886772,5.02456442026172e-08,2.22907948826156e-06,1.78864876970082e-06,"ENSG00000007174/ENSG00000122735/ENSG00000145491/ENSG00000163075/ENSG00000213085",5
"GO:0035082","GO:0035082","axoneme assembly","6/43","108/21468",0.0555555555555556,27.7364341085271,12.4788403423909,7.38355590930399e-08,3.00264606978362e-06,2.40937087566762e-06,"ENSG00000034239/ENSG00000080572/ENSG00000122735/ENSG00000129654/ENSG00000159625/ENSG00000165164",6
"GO:0007368","GO:0007368","determination of left/right symmetry","6/43","143/21468",0.041958041958042,20.9477963896569,10.722052171897,3.91250611853756e-07,1.46869460449718e-05,1.17850386728419e-05,"ENSG00000122735/ENSG00000129654/ENSG00000139445/ENSG00000151023/ENSG00000163501/ENSG00000213085",6
"GO:0060972","GO:0060972","left/right pattern formation","6/43","151/21468",0.0397350993377483,19.8379793623903,10.4068486484069,5.3905315762193e-07,1.73698909589923e-05,1.3937876265628e-05,"ENSG00000122735/ENSG00000129654/ENSG00000139445/ENSG00000151023/ENSG00000163501/ENSG00000213085",6
"GO:0044458","GO:0044458","motile cilium assembly","5/43","81/21468",0.0617283950617284,30.8182601205857,12.0450710018097,5.80427469481137e-07,1.73698909589923e-05,1.3937876265628e-05,"ENSG00000129654/ENSG00000159625/ENSG00000163075/ENSG00000165164/ENSG00000234602",5
"GO:0009799","GO:0009799","specification of symmetry","6/43","154/21468",0.038961038961039,19.4515252189671,10.2948409521458,6.05098660456697e-07,1.73698909589923e-05,1.3937876265628e-05,"ENSG00000122735/ENSG00000129654/ENSG00000139445/ENSG00000151023/ENSG00000163501/ENSG00000213085",6
"GO:0009855","GO:0009855","determination of bilateral symmetry","6/43","154/21468",0.038961038961039,19.4515252189671,10.2948409521458,6.05098660456697e-07,1.73698909589923e-05,1.3937876265628e-05,"ENSG00000122735/ENSG00000129654/ENSG00000139445/ENSG00000151023/ENSG00000163501/ENSG00000213085",6
"GO:0090660","GO:0090660","cerebrospinal fluid circulation","3/43","16/21468",0.1875,93.6104651162791,16.6014359111049,4.11606251438678e-06,0.000111591028167819,8.95424125936772e-05,"ENSG00000007174/ENSG00000163075/ENSG00000213085",3
"GO:0007286","GO:0007286","spermatid development","6/43","250/21468",0.024,11.9821395348837,7.82463755668538,9.98035511592182e-06,0.000256337541924729,0.000205689313192405,"ENSG00000118492/ENSG00000145491/ENSG00000159625/ENSG00000163075/ENSG00000165164/ENSG00000165309",6
"GO:0048515","GO:0048515","spermatid differentiation","6/43","258/21468",0.0232558139534884,11.6106003244997,7.68137496054219,1.19370080965745e-05,0.000291262997556418,0.000233714053259249,"ENSG00000118492/ENSG00000145491/ENSG00000159625/ENSG00000163075/ENSG00000165164/ENSG00000165309",6
"GO:0036158","GO:0036158","outer dynein arm assembly","3/43","24/21468",0.125,62.406976744186,13.4843472649718,1.47112551669968e-05,0.000341861548642592,0.000274315133940992,"ENSG00000034239/ENSG00000080572/ENSG00000122735",3
"GO:0007281","GO:0007281","germ cell development","7/43","426/21468",0.0164319248826291,8.20373403209958,6.72788333532223,2.00529749247936e-05,0.000444811443786332,0.000356923764211638,"ENSG00000118492/ENSG00000145491/ENSG00000159625/ENSG00000163075/ENSG00000163501/ENSG00000165164/ENSG00000165309",7
"GO:0022412","GO:0022412","cellular process involved in reproduction in multicellular organism","7/43","468/21468",0.014957264957265,7.4675014907573,6.33737355550815,3.65585373190841e-05,0.00077567679181361,0.000622415372205917,"ENSG00000118492/ENSG00000145491/ENSG00000159625/ENSG00000163075/ENSG00000163501/ENSG00000165164/ENSG00000165309",7
"GO:0060295","GO:0060295","regulation of cilium movement involved in cell motility","3/43","35/21468",0.0857142857142857,42.7933554817276,11.0856017309345,4.68465115579754e-05,0.000914443905611681,0.000733764307350184,"ENSG00000034239/ENSG00000213085/ENSG00000270765",3
"GO:1902019","GO:1902019","regulation of cilium-dependent cell motility","3/43","35/21468",0.0857142857142857,42.7933554817276,11.0856017309345,4.68465115579754e-05,0.000914443905611681,0.000733764307350184,"ENSG00000034239/ENSG00000213085/ENSG00000270765",3
"GO:0070286","GO:0070286","axonemal dynein complex assembly","3/43","42/21468",0.0714285714285714,35.6611295681063,10.0729411660938,8.13703374018272e-05,0.00152725864046506,0.00122549657949311,"ENSG00000034239/ENSG00000080572/ENSG00000122735",3
"GO:0099111","GO:0099111","microtubule-based transport","5/43","234/21468",0.0213675213675214,10.6678592725104,6.6616503313781,0.000101229756101379,0.00182963411027677,0.00146812745690889,"ENSG00000007174/ENSG00000122735/ENSG00000145491/ENSG00000163075/ENSG00000213085",5
"GO:0003352","GO:0003352","regulation of cilium movement","3/43","47/21468",0.0638297872340425,31.8673923800099,9.49048684746308,0.000114133004517884,0.0019891752215974,0.00159614577746815,"ENSG00000034239/ENSG00000213085/ENSG00000270765",3
"GO:0120316","GO:0120316","sperm flagellum assembly","3/43","54/21468",0.0555555555555556,27.7364341085271,8.81273995971637,0.000172892277448721,0.00283949422626575,0.00227845524627019,"ENSG00000159625/ENSG00000163075/ENSG00000165164",3
"GO:0120197","GO:0120197","mucociliary clearance","2/43","10/21468",0.2,99.8511627906977,14.007049146638,0.000174559071286829,0.00283949422626575,0.00227845524627019,"ENSG00000007174/ENSG00000163075",2
"GO:0033085","GO:0033085","negative regulation of T cell differentiation in thymus","2/43","11/21468",0.181818181818182,90.7737843551797,13.3419978270341,0.000213078581742983,0.00335426928679276,0.00269151892727978,"ENSG00000129654/ENSG00000163501",2
"GO:0060632","GO:0060632","regulation of microtubule-based movement","3/43","64/21468",0.046875,23.4026162790698,8.04082752523372,0.00028639148206695,0.00436747010152099,0.00350452734634557,"ENSG00000034239/ENSG00000213085/ENSG00000270765",3
"GO:0003002","GO:0003002","regionalization","6/43","464/21468",0.0129310344827586,6.45589414595028,5.32271743729769,0.0003054661158835,0.00451719589548933,0.00362466970043579,"ENSG00000122735/ENSG00000129654/ENSG00000139445/ENSG00000151023/ENSG00000163501/ENSG00000213085",6
"GO:0003356","GO:0003356","regulation of cilium beat frequency","2/43","18/21468",0.111111111111111,55.4728682170543,10.3576763935794,0.000587490531778373,0.00843221704434841,0.00676614482419674,"ENSG00000213085/ENSG00000270765",2
"GO:0033081","GO:0033081","regulation of T cell differentiation in thymus","2/43","28/21468",0.0714285714285714,35.6611295681063,8.22183633843913,0.00143311785920853,0.0199817575798217,0.016033679507536,"ENSG00000129654/ENSG00000163501",2
"GO:0007288","GO:0007288","sperm axoneme assembly","2/43","33/21468",0.0606060606060606,30.2579281183932,7.53526075027484,0.00198914746160574,0.0269639989239889,0.0216363408104484,"ENSG00000159625/ENSG00000165164",2
