"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","49/325","394/21468",0.124365482233503,8.21500976181179,17.9207260043565,2.07458451839354e-30,3.25518530901749e-27,2.72393040663132e-27,"ENSG00000007952/ENSG00000019144/ENSG00000038295/ENSG00000049192/ENSG00000060718/ENSG00000077942/ENSG00000078098/ENSG00000091986/ENSG00000095587/ENSG00000099953/ENSG00000101680/ENSG00000105664/ENSG00000106624/ENSG00000106823/ENSG00000108821/ENSG00000111799/ENSG00000122707/ENSG00000123342/ENSG00000123384/ENSG00000123500/ENSG00000129038/ENSG00000130635/ENSG00000133110/ENSG00000134853/ENSG00000137573/ENSG00000137675/ENSG00000137745/ENSG00000138316/ENSG00000140092/ENSG00000143196/ENSG00000144810/ENSG00000149380/ENSG00000149968/ENSG00000154736/ENSG00000157227/ENSG00000162733/ENSG00000162745/ENSG00000164692/ENSG00000167749/ENSG00000168542/ENSG00000171502/ENSG00000173376/ENSG00000178031/ENSG00000185070/ENSG00000196562/ENSG00000196569/ENSG00000197635/ENSG00000204262/ENSG00000225614",49
"GO:0043062","GO:0043062","extracellular structure organization","49/325","395/21468",0.124050632911392,8.19421226874391,17.8921555726466,2.33805668044137e-30,3.25518530901749e-27,2.72393040663132e-27,"ENSG00000007952/ENSG00000019144/ENSG00000038295/ENSG00000049192/ENSG00000060718/ENSG00000077942/ENSG00000078098/ENSG00000091986/ENSG00000095587/ENSG00000099953/ENSG00000101680/ENSG00000105664/ENSG00000106624/ENSG00000106823/ENSG00000108821/ENSG00000111799/ENSG00000122707/ENSG00000123342/ENSG00000123384/ENSG00000123500/ENSG00000129038/ENSG00000130635/ENSG00000133110/ENSG00000134853/ENSG00000137573/ENSG00000137675/ENSG00000137745/ENSG00000138316/ENSG00000140092/ENSG00000143196/ENSG00000144810/ENSG00000149380/ENSG00000149968/ENSG00000154736/ENSG00000157227/ENSG00000162733/ENSG00000162745/ENSG00000164692/ENSG00000167749/ENSG00000168542/ENSG00000171502/ENSG00000173376/ENSG00000178031/ENSG00000185070/ENSG00000196562/ENSG00000196569/ENSG00000197635/ENSG00000204262/ENSG00000225614",49
"GO:0045229","GO:0045229","external encapsulating structure organization","49/325","397/21468",0.123425692695214,8.15293160240264,17.8353158936222,2.96645076763441e-30,3.25518530901749e-27,2.72393040663132e-27,"ENSG00000007952/ENSG00000019144/ENSG00000038295/ENSG00000049192/ENSG00000060718/ENSG00000077942/ENSG00000078098/ENSG00000091986/ENSG00000095587/ENSG00000099953/ENSG00000101680/ENSG00000105664/ENSG00000106624/ENSG00000106823/ENSG00000108821/ENSG00000111799/ENSG00000122707/ENSG00000123342/ENSG00000123384/ENSG00000123500/ENSG00000129038/ENSG00000130635/ENSG00000133110/ENSG00000134853/ENSG00000137573/ENSG00000137675/ENSG00000137745/ENSG00000138316/ENSG00000140092/ENSG00000143196/ENSG00000144810/ENSG00000149380/ENSG00000149968/ENSG00000154736/ENSG00000157227/ENSG00000162733/ENSG00000162745/ENSG00000164692/ENSG00000167749/ENSG00000168542/ENSG00000171502/ENSG00000173376/ENSG00000178031/ENSG00000185070/ENSG00000196562/ENSG00000196569/ENSG00000197635/ENSG00000204262/ENSG00000225614",49
"GO:0030199","GO:0030199","collagen fibril organization","17/325","92/21468",0.184782608695652,12.2058862876254,13.3542947679286,3.83517624863286e-14,3.15635005262484e-11,2.641225327019e-11,"ENSG00000038295/ENSG00000060718/ENSG00000095587/ENSG00000099953/ENSG00000105664/ENSG00000106624/ENSG00000108821/ENSG00000111799/ENSG00000129038/ENSG00000130635/ENSG00000138316/ENSG00000143196/ENSG00000149380/ENSG00000162733/ENSG00000164692/ENSG00000168542/ENSG00000204262",17
"GO:0051216","GO:0051216","cartilage development","24/325","222/21468",0.108108108108108,7.14112266112266,11.4032783215104,5.5002316681501e-14,3.62135253031002e-11,3.03033816327343e-11,"ENSG00000005073/ENSG00000060718/ENSG00000083782/ENSG00000104415/ENSG00000105664/ENSG00000105997/ENSG00000106809/ENSG00000108821/ENSG00000109705/ENSG00000115380/ENSG00000124813/ENSG00000137573/ENSG00000137745/ENSG00000148516/ENSG00000149948/ENSG00000159899/ENSG00000160801/ENSG00000164107/ENSG00000168542/ENSG00000178573/ENSG00000182492/ENSG00000183682/ENSG00000186792/ENSG00000196562",24
"GO:0061448","GO:0061448","connective tissue development","26/325","305/21468",0.0852459016393443,5.63095081967213,10.0989338219082,1.28559361941106e-12,7.053623658502e-10,5.90245351227849e-10,"ENSG00000005073/ENSG00000060718/ENSG00000083782/ENSG00000104415/ENSG00000105664/ENSG00000105997/ENSG00000106809/ENSG00000107796/ENSG00000108821/ENSG00000109705/ENSG00000115380/ENSG00000124813/ENSG00000130635/ENSG00000137573/ENSG00000137745/ENSG00000148516/ENSG00000149948/ENSG00000159899/ENSG00000160801/ENSG00000164107/ENSG00000168542/ENSG00000178573/ENSG00000182492/ENSG00000183682/ENSG00000186792/ENSG00000196562",26
"GO:0048706","GO:0048706","embryonic skeletal system development","18/325","142/21468",0.126760563380282,8.37321776814735,10.9292556417203,5.59211674342357e-12,2.62989261705005e-09,2.20068714549466e-09,"ENSG00000005073/ENSG00000060718/ENSG00000078399/ENSG00000092607/ENSG00000099139/ENSG00000105997/ENSG00000106006/ENSG00000108821/ENSG00000109705/ENSG00000122592/ENSG00000122691/ENSG00000124813/ENSG00000134853/ENSG00000137573/ENSG00000148516/ENSG00000157227/ENSG00000164107/ENSG00000196562",18
"GO:0031589","GO:0031589","cell-substrate adhesion","27/325","410/21468",0.0658536585365854,4.34998874296435,8.49123321467585,1.82012204006916e-10,7.48980219488459e-08,6.26744655113288e-08,"ENSG00000073712/ENSG00000077942/ENSG00000086289/ENSG00000091986/ENSG00000099250/ENSG00000106823/ENSG00000108821/ENSG00000109743/ENSG00000111859/ENSG00000115414/ENSG00000122592/ENSG00000122861/ENSG00000133110/ENSG00000140092/ENSG00000140937/ENSG00000144810/ENSG00000153071/ENSG00000157227/ENSG00000163520/ENSG00000164620/ENSG00000164741/ENSG00000165124/ENSG00000166086/ENSG00000168542/ENSG00000173376/ENSG00000197702/ENSG00000213949",27
"GO:0002062","GO:0002062","chondrocyte differentiation","14/325","121/21468",0.115702479338843,7.64277177368086,9.0848475816043,4.43211852429001e-09,1.62117046466252e-06,1.35659113193766e-06,"ENSG00000005073/ENSG00000060718/ENSG00000104415/ENSG00000105664/ENSG00000109705/ENSG00000115380/ENSG00000124813/ENSG00000137573/ENSG00000149948/ENSG00000159899/ENSG00000160801/ENSG00000168542/ENSG00000178573/ENSG00000196562",14
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","19/325","244/21468",0.0778688524590164,5.14365699873897,8.0706617670705,6.6198627941192e-09,2.17925883182404e-06,1.82359799286421e-06,"ENSG00000073712/ENSG00000077942/ENSG00000091986/ENSG00000099250/ENSG00000106823/ENSG00000108821/ENSG00000109743/ENSG00000111859/ENSG00000115414/ENSG00000122592/ENSG00000122861/ENSG00000133110/ENSG00000144810/ENSG00000153071/ENSG00000157227/ENSG00000163520/ENSG00000164620/ENSG00000164741/ENSG00000173376",19
"GO:0060348","GO:0060348","bone development","18/325","233/21468",0.0772532188841202,5.10299108616705,7.80722067415867,1.88370110919382e-08,5.63000263308641e-06,4.71117122555066e-06,"ENSG00000005073/ENSG00000083782/ENSG00000104415/ENSG00000105664/ENSG00000106809/ENSG00000108821/ENSG00000119714/ENSG00000122691/ENSG00000124813/ENSG00000137573/ENSG00000137745/ENSG00000157227/ENSG00000159899/ENSG00000162733/ENSG00000168542/ENSG00000181652/ENSG00000182492/ENSG00000196562",18
"GO:0048562","GO:0048562","embryonic organ morphogenesis","21/325","319/21468",0.0658307210031348,4.34847359537015,7.47035697471354,2.05224883344583e-08,5.63000263308641e-06,4.71117122555066e-06,"ENSG00000005073/ENSG00000060718/ENSG00000078399/ENSG00000092607/ENSG00000105997/ENSG00000107736/ENSG00000109705/ENSG00000112320/ENSG00000112837/ENSG00000115380/ENSG00000117122/ENSG00000122592/ENSG00000122691/ENSG00000124813/ENSG00000133816/ENSG00000134853/ENSG00000148516/ENSG00000157227/ENSG00000164107/ENSG00000164932/ENSG00000197614",21
"GO:0048705","GO:0048705","skeletal system morphogenesis","18/325","240/21468",0.075,4.95415384615385,7.63745558625064,2.97620606784848e-08,7.53666951950554e-06,6.30666500369188e-06,"ENSG00000005073/ENSG00000060718/ENSG00000078399/ENSG00000092607/ENSG00000105664/ENSG00000105997/ENSG00000108821/ENSG00000109705/ENSG00000122592/ENSG00000122691/ENSG00000124813/ENSG00000134853/ENSG00000137745/ENSG00000148516/ENSG00000157227/ENSG00000159899/ENSG00000168542/ENSG00000181652",18
"GO:0022617","GO:0022617","extracellular matrix disassembly","11/325","83/21468",0.132530120481928,8.754328081557,8.77551563779138,4.94689733357417e-08,1.16322757300901e-05,9.73385738493505e-06,"ENSG00000078098/ENSG00000099953/ENSG00000123342/ENSG00000123384/ENSG00000137745/ENSG00000149968/ENSG00000154736/ENSG00000157227/ENSG00000162733/ENSG00000167749/ENSG00000197635",11
"GO:0032963","GO:0032963","collagen metabolic process","13/325","125/21468",0.104,6.86976,8.16002844072326,5.78217443201282e-08,1.26899454867908e-05,1.06189126235632e-05,"ENSG00000078098/ENSG00000099953/ENSG00000108821/ENSG00000122641/ENSG00000123342/ENSG00000130635/ENSG00000137675/ENSG00000137745/ENSG00000138316/ENSG00000149968/ENSG00000157227/ENSG00000162733/ENSG00000164692",13
"GO:0035987","GO:0035987","endodermal cell differentiation","9/325","58/21468",0.155172413793103,10.2499734748011,8.74561196609108,2.07530070582353e-07,4.26993120223192e-05,3.57306707048697e-05,"ENSG00000060718/ENSG00000111799/ENSG00000115414/ENSG00000122641/ENSG00000130635/ENSG00000144810/ENSG00000149948/ENSG00000157227/ENSG00000204262",9
"GO:0048704","GO:0048704","embryonic skeletal system morphogenesis","11/325","99/21468",0.111111111111111,7.33948717948718,7.83833244960885,3.11552290778052e-07,6.03311847789027e-05,5.04849749205054e-05,"ENSG00000005073/ENSG00000060718/ENSG00000078399/ENSG00000092607/ENSG00000105997/ENSG00000122592/ENSG00000122691/ENSG00000124813/ENSG00000134853/ENSG00000148516/ENSG00000157227",11
