"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","31/498","468/22654",0.0662393162393162,3.01322383551299,6.59792449714104,5.91054582797038e-08,2.15734922720919e-05,1.72339073089242e-05,"ENSG00000034971/ENSG00000092009/ENSG00000100448/ENSG00000101280/ENSG00000109610/ENSG00000110799/ENSG00000116147/ENSG00000116194/ENSG00000116690/ENSG00000123243/ENSG00000132561/ENSG00000136999/ENSG00000138722/ENSG00000145681/ENSG00000147257/ENSG00000152583/ENSG00000154175/ENSG00000154734/ENSG00000164318/ENSG00000164946/ENSG00000168477/ENSG00000171819/ENSG00000173269/ENSG00000175899/ENSG00000176435/ENSG00000181092/ENSG00000187151/ENSG00000187955/ENSG00000188783/ENSG00000205221/ENSG00000266524",31
"GO:0005901","GO:0005901","caveola","13/498","94/22654",0.138297872340426,6.29116465863454,7.70686074082052,1.42594471706862e-07,2.60234910865023e-05,2.07887729804215e-05,"ENSG00000003436/ENSG00000018625/ENSG00000067113/ENSG00000078549/ENSG00000079435/ENSG00000105974/ENSG00000120907/ENSG00000124212/ENSG00000130037/ENSG00000135218/ENSG00000163513/ENSG00000168497/ENSG00000266964",13
"GO:0001518","GO:0001518","voltage-gated sodium channel complex","6/498","15/22654",0.4,18.195983935743,9.9879393419409,4.63136429044241e-07,5.08319014126211e-05,4.0606883031856e-05,"ENSG00000007314/ENSG00000136546/ENSG00000153253/ENSG00000166257/ENSG00000168356/ENSG00000177098",6
"GO:0045121","GO:0045121","membrane raft","24/498","342/22654",0.0701754385964912,3.19227788346368,6.12450876605025,6.74971212395474e-07,5.08319014126211e-05,4.0606883031856e-05,"ENSG00000003436/ENSG00000018625/ENSG00000067113/ENSG00000078549/ENSG00000079435/ENSG00000105974/ENSG00000116147/ENSG00000118432/ENSG00000118777/ENSG00000120156/ENSG00000120907/ENSG00000124212/ENSG00000128052/ENSG00000130037/ENSG00000135218/ENSG00000162407/ENSG00000163513/ENSG00000168497/ENSG00000170989/ENSG00000180509/ENSG00000181856/ENSG00000241186/ENSG00000261371/ENSG00000266964",24
"GO:0098857","GO:0098857","membrane microdomain","24/498","344/22654",0.0697674418604651,3.17371812832726,6.09066228047019,7.49136562295242e-07,5.08319014126211e-05,4.0606883031856e-05,"ENSG00000003436/ENSG00000018625/ENSG00000067113/ENSG00000078549/ENSG00000079435/ENSG00000105974/ENSG00000116147/ENSG00000118432/ENSG00000118777/ENSG00000120156/ENSG00000120907/ENSG00000124212/ENSG00000128052/ENSG00000130037/ENSG00000135218/ENSG00000162407/ENSG00000163513/ENSG00000168497/ENSG00000170989/ENSG00000180509/ENSG00000181856/ENSG00000241186/ENSG00000261371/ENSG00000266964",24
"GO:0016324","GO:0016324","apical plasma membrane","28/498","448/22654",0.0625,2.84312248995984,5.90731178555971,8.35592899933498e-07,5.08319014126211e-05,4.0606883031856e-05,"ENSG00000004846/ENSG00000067113/ENSG00000085563/ENSG00000091513/ENSG00000105974/ENSG00000111262/ENSG00000112782/ENSG00000118777/ENSG00000119147/ENSG00000120156/ENSG00000129244/ENSG00000130037/ENSG00000133116/ENSG00000135218/ENSG00000145362/ENSG00000146477/ENSG00000148204/ENSG00000153303/ENSG00000158352/ENSG00000161649/ENSG00000164220/ENSG00000167434/ENSG00000174059/ENSG00000180509/ENSG00000197891/ENSG00000240583/ENSG00000241186/ENSG00000266964",28
"GO:0005811","GO:0005811","lipid droplet","13/498","114/22654",0.114035087719298,5.18745156062848,6.71981198045805,1.37643102526579e-06,7.17710463174302e-05,5.73340442103192e-05,"ENSG00000013297/ENSG00000079435/ENSG00000084674/ENSG00000105974/ENSG00000123689/ENSG00000165269/ENSG00000166819/ENSG00000167676/ENSG00000170323/ENSG00000170509/ENSG00000176194/ENSG00000187288/ENSG00000198848",13
"GO:0044853","GO:0044853","plasma membrane raft","13/498","133/22654",0.0977443609022556,4.44638705196727,5.97623808458453,7.76789435736249e-06,0.000354410180054663,0.000283119307498606,"ENSG00000003436/ENSG00000018625/ENSG00000067113/ENSG00000078549/ENSG00000079435/ENSG00000105974/ENSG00000120907/ENSG00000124212/ENSG00000130037/ENSG00000135218/ENSG00000163513/ENSG00000168497/ENSG00000266964",13
"GO:0045178","GO:0045178","basal part of cell","22/498","346/22654",0.0635838150289017,2.89242519209787,5.31812214554063,9.58333281452222e-06,0.000388657386366735,0.000310477566037738,"ENSG00000013297/ENSG00000069702/ENSG00000091513/ENSG00000105974/ENSG00000114859/ENSG00000120156/ENSG00000139155/ENSG00000141338/ENSG00000145362/ENSG00000146477/ENSG00000152779/ENSG00000153253/ENSG00000153822/ENSG00000158352/ENSG00000161649/ENSG00000162407/ENSG00000164007/ENSG00000165269/ENSG00000174059/ENSG00000186847/ENSG00000240583/ENSG00000259916",22
"GO:0034706","GO:0034706","sodium channel complex","6/498","25/22654",0.24,10.9175903614458,7.43832833930833,1.35925666833015e-05,0.000496128683940505,0.000396330628555212,"ENSG00000007314/ENSG00000136546/ENSG00000153253/ENSG00000166257/ENSG00000168356/ENSG00000177098",6
"GO:0031091","GO:0031091","platelet alpha granule","11/498","103/22654",0.106796116504854,4.85815105080516,5.88364948856181,1.67510462388194e-05,0.000555830170651735,0.00044402294814861,"ENSG00000017427/ENSG00000110799/ENSG00000135218/ENSG00000138722/ENSG00000145335/ENSG00000149925/ENSG00000165197/ENSG00000174175/ENSG00000175899/ENSG00000184500/ENSG00000261371",11
"GO:0043292","GO:0043292","contractile muscle fiber","18/498","268/22654",0.0671641791044776,3.0552958101061,5.07440749477969,2.9920321863575e-05,0.000910076456683739,0.000727011329492129,"ENSG00000101605/ENSG00000112214/ENSG00000118729/ENSG00000121361/ENSG00000130037/ENSG00000130595/ENSG00000133392/ENSG00000142661/ENSG00000145362/ENSG00000149925/ENSG00000154330/ENSG00000163395/ENSG00000166257/ENSG00000171992/ENSG00000172403/ENSG00000175084/ENSG00000180509/ENSG00000263155",18
"GO:0009925","GO:0009925","basal plasma membrane","20/498","327/22654",0.0611620795107034,2.78226054063348,4.86700438661035,4.19013930938779e-05,0.00117646219071273,0.000939812622429488,"ENSG00000069702/ENSG00000091513/ENSG00000105974/ENSG00000114859/ENSG00000120156/ENSG00000139155/ENSG00000141338/ENSG00000145362/ENSG00000146477/ENSG00000152779/ENSG00000153253/ENSG00000153822/ENSG00000158352/ENSG00000161649/ENSG00000162407/ENSG00000164007/ENSG00000165269/ENSG00000174059/ENSG00000240583/ENSG00000259916",20
"GO:0031674","GO:0031674","I band","13/498","157/22654",0.0828025477707006,3.76668457268565,5.21529676581169,4.58311475283076e-05,0.00119488348913088,0.00095452841092791,"ENSG00000112214/ENSG00000118729/ENSG00000130037/ENSG00000145362/ENSG00000149925/ENSG00000154330/ENSG00000163395/ENSG00000166257/ENSG00000171992/ENSG00000172403/ENSG00000175084/ENSG00000180509/ENSG00000263155",13
"GO:0030016","GO:0030016","myofibril","17/498","257/22654",0.066147859922179,3.00906349131936,4.85620659071796,5.98094856190138e-05,0.00140767996749819,0.00112452011823215,"ENSG00000101605/ENSG00000112214/ENSG00000118729/ENSG00000121361/ENSG00000130037/ENSG00000130595/ENSG00000142661/ENSG00000145362/ENSG00000149925/ENSG00000154330/ENSG00000163395/ENSG00000166257/ENSG00000171992/ENSG00000172403/ENSG00000175084/ENSG00000180509/ENSG00000263155",17
"GO:0097450","GO:0097450","astrocyte end-foot","4/498","11/22654",0.363636363636364,16.5418035779482,7.72969986034117,6.73480631291301e-05,0.00140767996749819,0.00112452011823215,"ENSG00000087250/ENSG00000114859/ENSG00000129244/ENSG00000165478",4
"GO:0030017","GO:0030017","sarcomere","16/498","235/22654",0.0680851063829787,3.09718875502008,4.84501569977346,6.97127685704959e-05,0.00140767996749819,0.00112452011823215,"ENSG00000101605/ENSG00000112214/ENSG00000118729/ENSG00000130037/ENSG00000130595/ENSG00000142661/ENSG00000145362/ENSG00000149925/ENSG00000154330/ENSG00000163395/ENSG00000166257/ENSG00000171992/ENSG00000172403/ENSG00000175084/ENSG00000180509/ENSG00000263155",16
"GO:0034702","GO:0034702","monoatomic ion channel complex","22/498","395/22654",0.0556962025316456,2.53361801636927,4.60993477339419,7.14196338125588e-05,0.00140767996749819,0.00112452011823215,"ENSG00000007314/ENSG00000104888/ENSG00000111262/ENSG00000112782/ENSG00000114859/ENSG00000118729/ENSG00000120049/ENSG00000121361/ENSG00000130037/ENSG00000136546/ENSG00000137672/ENSG00000151834/ENSG00000152578/ENSG00000153253/ENSG00000153822/ENSG00000163285/ENSG00000166257/ENSG00000168356/ENSG00000171227/ENSG00000177098/ENSG00000180509/ENSG00000182132",22
