"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032279","GO:0032279","asymmetric synapse","23/472","413/22654",0.0556900726392252,2.67288751179874,5.00493130831736,2.15052422678035e-05,0.00347916741645724,0.00314119534699652,"ENSG00000051128/ENSG00000102383/ENSG00000107186/ENSG00000111642/ENSG00000115306/ENSG00000117600/ENSG00000118596/ENSG00000128011/ENSG00000131188/ENSG00000131711/ENSG00000143761/ENSG00000148700/ENSG00000150672/ENSG00000151491/ENSG00000156011/ENSG00000160753/ENSG00000164885/ENSG00000169760/ENSG00000173621/ENSG00000180900/ENSG00000186479/ENSG00000187961/ENSG00000204767",23
"GO:0005912","GO:0005912","adherens junction","15/472","204/22654",0.0735294117647059,3.52910019940179,5.29305562695413,2.65374526172493e-05,0.00347916741645724,0.00314119534699652,"ENSG00000055813/ENSG00000095637/ENSG00000100092/ENSG00000116117/ENSG00000130669/ENSG00000138639/ENSG00000140945/ENSG00000147027/ENSG00000150672/ENSG00000151422/ENSG00000163191/ENSG00000172531/ENSG00000173482/ENSG00000180900/ENSG00000184363",15
"GO:0098984","GO:0098984","neuron to neuron synapse","24/472","452/22654",0.0530973451327434,2.54844757762112,4.85068627104031,3.09104718708259e-05,0.00347916741645724,0.00314119534699652,"ENSG00000051128/ENSG00000102383/ENSG00000107186/ENSG00000111642/ENSG00000115306/ENSG00000117600/ENSG00000118596/ENSG00000128011/ENSG00000131188/ENSG00000131711/ENSG00000143761/ENSG00000148700/ENSG00000150672/ENSG00000151491/ENSG00000156011/ENSG00000160753/ENSG00000162729/ENSG00000164885/ENSG00000169760/ENSG00000173621/ENSG00000180900/ENSG00000186479/ENSG00000187961/ENSG00000204767",24
"GO:0005938","GO:0005938","cell cortex","20/472","340/22654",0.0588235294117647,2.82328015952144,4.94125949174708,3.42660720612087e-05,0.00347916741645724,0.00314119534699652,"ENSG00000100092/ENSG00000105254/ENSG00000114993/ENSG00000115306/ENSG00000116117/ENSG00000118762/ENSG00000123159/ENSG00000125898/ENSG00000127191/ENSG00000135835/ENSG00000144824/ENSG00000148700/ENSG00000151422/ENSG00000151491/ENSG00000151914/ENSG00000152527/ENSG00000163554/ENSG00000177380/ENSG00000186522/ENSG00000241399",20
"GO:0014069","GO:0014069","postsynaptic density","22/472","397/22654",0.0554156171284635,2.65971481022926,4.86663663629695,3.48613969584894e-05,0.00347916741645724,0.00314119534699652,"ENSG00000051128/ENSG00000102383/ENSG00000107186/ENSG00000115306/ENSG00000117600/ENSG00000118596/ENSG00000128011/ENSG00000131188/ENSG00000131711/ENSG00000143761/ENSG00000148700/ENSG00000150672/ENSG00000151491/ENSG00000156011/ENSG00000160753/ENSG00000164885/ENSG00000169760/ENSG00000173621/ENSG00000180900/ENSG00000186479/ENSG00000187961/ENSG00000204767",22
"GO:0031252","GO:0031252","cell leading edge","24/472","469/22654",0.0511727078891258,2.45607314517003,4.64807800940148,5.53879500333038e-05,0.00460643117776976,0.00415895484460597,"ENSG00000042493/ENSG00000100092/ENSG00000115306/ENSG00000118762/ENSG00000119185/ENSG00000136869/ENSG00000139132/ENSG00000143761/ENSG00000144824/ENSG00000151422/ENSG00000151491/ENSG00000151914/ENSG00000152527/ENSG00000156011/ENSG00000160999/ENSG00000163191/ENSG00000164885/ENSG00000169750/ENSG00000171914/ENSG00000172757/ENSG00000173482/ENSG00000180900/ENSG00000205726/ENSG00000239672",24
"GO:0099572","GO:0099572","postsynaptic specialization","22/472","437/22654",0.0503432494279176,2.41626265368654,4.36089194145787,0.000141702512198491,0.0101013647981496,0.0091201015369856,"ENSG00000051128/ENSG00000102383/ENSG00000107186/ENSG00000115306/ENSG00000117600/ENSG00000118596/ENSG00000128011/ENSG00000131188/ENSG00000131711/ENSG00000143761/ENSG00000148700/ENSG00000150672/ENSG00000151491/ENSG00000156011/ENSG00000160753/ENSG00000164885/ENSG00000169760/ENSG00000173621/ENSG00000180900/ENSG00000186479/ENSG00000187961/ENSG00000204767",22
"GO:0032580","GO:0032580","Golgi cisterna membrane","9/472","108/22654",0.0833333333333333,3.99964689265537,4.55806770583252,0.00043351796681271,0.0270406831799428,0.0244139065520842,"ENSG00000123989/ENSG00000158850/ENSG00000166557/ENSG00000178115/ENSG00000182272/ENSG00000186399/ENSG00000205155/ENSG00000206127/ENSG00000249931",9
"GO:0005923","GO:0005923","bicellular tight junction","10/472","136/22654",0.0735294117647059,3.52910019940179,4.31523144626772,0.000575429758693653,0.0315681773858428,0.02850159249265,"ENSG00000076604/ENSG00000100092/ENSG00000105699/ENSG00000107186/ENSG00000116117/ENSG00000145390/ENSG00000165215/ENSG00000181085/ENSG00000181885/ENSG00000213937",10
"GO:0043296","GO:0043296","apical junction complex","11/472","163/22654",0.0674846625766871,3.23897785172091,4.18478093290926,0.000641171285390375,0.0315681773858428,0.02850159249265,"ENSG00000076604/ENSG00000095637/ENSG00000100092/ENSG00000105699/ENSG00000107186/ENSG00000116117/ENSG00000145390/ENSG00000165215/ENSG00000181085/ENSG00000181885/ENSG00000213937",11
"GO:0031985","GO:0031985","Golgi cisterna","10/472","142/22654",0.0704225352112676,3.37998328956792,4.14996612076637,0.000805400821586938,0.0315681773858428,0.02850159249265,"ENSG00000123989/ENSG00000158850/ENSG00000166557/ENSG00000174567/ENSG00000178115/ENSG00000182272/ENSG00000186399/ENSG00000205155/ENSG00000206127/ENSG00000249931",10
"GO:0070160","GO:0070160","tight junction","10/472","142/22654",0.0704225352112676,3.37998328956792,4.14996612076637,0.000805400821586938,0.0315681773858428,0.02850159249265,"ENSG00000076604/ENSG00000100092/ENSG00000105699/ENSG00000107186/ENSG00000116117/ENSG00000145390/ENSG00000165215/ENSG00000181085/ENSG00000181885/ENSG00000213937",10
"GO:0030027","GO:0030027","lamellipodium","13/472","222/22654",0.0585585585585586,2.81056268132539,3.95448165359385,0.000822417446925764,0.0315681773858428,0.02850159249265,"ENSG00000042493/ENSG00000100092/ENSG00000118762/ENSG00000119185/ENSG00000139132/ENSG00000151422/ENSG00000152527/ENSG00000164885/ENSG00000169750/ENSG00000172757/ENSG00000173482/ENSG00000180900/ENSG00000205726",13
