"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042383","GO:0042383","sarcolemma","15/419","158/22654",0.0949367088607595,5.13292649768889,7.15623972576672,2.61835399941574e-07,0.000100021122777681,8.7645954927811e-05,"ENSG00000105971/ENSG00000112276/ENSG00000118804/ENSG00000123700/ENSG00000127990/ENSG00000135046/ENSG00000136531/ENSG00000162004/ENSG00000167535/ENSG00000170421/ENSG00000171345/ENSG00000183873/ENSG00000185043/ENSG00000198838/ENSG00000198947",15
"GO:0031253","GO:0031253","cell projection membrane","19/419","404/22654",0.047029702970297,2.54274675677592,4.29508362640872,0.000210303016313901,0.0300369381127602,0.0263206015978444,"ENSG00000059915/ENSG00000092820/ENSG00000099864/ENSG00000107104/ENSG00000107611/ENSG00000109062/ENSG00000112276/ENSG00000119121/ENSG00000127990/ENSG00000131037/ENSG00000141736/ENSG00000146648/ENSG00000167114/ENSG00000168907/ENSG00000185043/ENSG00000185920/ENSG00000197506/ENSG00000198569/ENSG00000198947",19
"GO:0043296","GO:0043296","apical junction complex","11/419","163/22654",0.0674846625766871,3.6486814940627,4.65876134872859,0.000235892184131625,0.0300369381127602,0.0263206015978444,"ENSG00000076826/ENSG00000105289/ENSG00000112276/ENSG00000130202/ENSG00000130545/ENSG00000134873/ENSG00000137693/ENSG00000143375/ENSG00000164877/ENSG00000166025/ENSG00000232434",11
"GO:0098858","GO:0098858","actin-based cell projection","14/419","263/22654",0.0532319391634981,2.87808198045319,4.20539682182156,0.000418750247702581,0.0387964016072829,0.0339962957043703,"ENSG00000092820/ENSG00000099864/ENSG00000101222/ENSG00000107611/ENSG00000109062/ENSG00000115459/ENSG00000154188/ENSG00000154928/ENSG00000167114/ENSG00000176058/ENSG00000185043/ENSG00000198947/ENSG00000213892/ENSG00000214530",14
"GO:0045121","GO:0045121","membrane raft","16/419","342/22654",0.0467836257309941,2.52944214155117,3.91226407666238,0.000690088370436459,0.0387964016072829,0.0339962957043703,"ENSG00000046653/ENSG00000073756/ENSG00000092820/ENSG00000102468/ENSG00000105971/ENSG00000112276/ENSG00000119729/ENSG00000146648/ENSG00000154188/ENSG00000154928/ENSG00000171867/ENSG00000175344/ENSG00000183873/ENSG00000185920/ENSG00000196415/ENSG00000198947",16
"GO:0098857","GO:0098857","membrane microdomain","16/419","344/22654",0.0465116279069767,2.51473608258867,3.8861334849045,0.000734275762524355,0.0387964016072829,0.0339962957043703,"ENSG00000046653/ENSG00000073756/ENSG00000092820/ENSG00000102468/ENSG00000105971/ENSG00000112276/ENSG00000119729/ENSG00000146648/ENSG00000154188/ENSG00000154928/ENSG00000171867/ENSG00000175344/ENSG00000183873/ENSG00000185920/ENSG00000196415/ENSG00000198947",16
"GO:0044853","GO:0044853","plasma membrane raft","9/419","133/22654",0.0676691729323308,3.65865738331509,4.22129464101185,0.000841041366880033,0.0387964016072829,0.0339962957043703,"ENSG00000073756/ENSG00000092820/ENSG00000102468/ENSG00000105971/ENSG00000112276/ENSG00000175344/ENSG00000183873/ENSG00000185920/ENSG00000196415",9
"GO:0031526","GO:0031526","brush border membrane","6/419","62/22654",0.0967741935483871,5.23227346216029,4.58082323350952,0.00099071061131897,0.0387964016072829,0.0339962957043703,"ENSG00000107611/ENSG00000109062/ENSG00000119121/ENSG00000167114/ENSG00000197506/ENSG00000198569",6
"GO:0005902","GO:0005902","microvillus","8/419","110/22654",0.0727272727272727,3.9321327836841,4.23170900390876,0.0010156126075205,0.0387964016072829,0.0339962957043703,"ENSG00000092820/ENSG00000101222/ENSG00000107611/ENSG00000109062/ENSG00000154188/ENSG00000167114/ENSG00000176058/ENSG00000214530",8
"GO:0032587","GO:0032587","ruffle membrane","8/419","110/22654",0.0727272727272727,3.9321327836841,4.23170900390876,0.0010156126075205,0.0387964016072829,0.0339962957043703,"ENSG00000059915/ENSG00000092820/ENSG00000107104/ENSG00000131037/ENSG00000141736/ENSG00000146648/ENSG00000168907/ENSG00000185043",8
"GO:0030018","GO:0030018","Z disc","9/419","142/22654",0.0633802816901408,3.42677064775287,3.98214594367989,0.00133544156269539,0.0463762433590581,0.0406383174102521,"ENSG00000106211/ENSG00000156804/ENSG00000162616/ENSG00000165410/ENSG00000170421/ENSG00000171345/ENSG00000183873/ENSG00000198838/ENSG00000198947",9
"GO:0030017","GO:0030017","sarcomere","12/419","235/22654",0.051063829787234,2.76085918854415,3.72478961386719,0.00151150847425709,0.048116353097184,0.0421631311240135,"ENSG00000105048/ENSG00000106211/ENSG00000128872/ENSG00000129991/ENSG00000156804/ENSG00000162616/ENSG00000165410/ENSG00000170421/ENSG00000171345/ENSG00000183873/ENSG00000198838/ENSG00000198947",12
