"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034702","GO:0034702","monoatomic ion channel complex","35/786","395/22654",0.0886075949367089,2.55383772989339,5.90637461204711,4.37210264271252e-07,0.000131106672115986,0.000121200547377036,"ENSG00000007402/ENSG00000026559/ENSG00000075429/ENSG00000075461/ENSG00000102287/ENSG00000108878/ENSG00000116396/ENSG00000117971/ENSG00000120251/ENSG00000124134/ENSG00000124249/ENSG00000136295/ENSG00000140015/ENSG00000143473/ENSG00000144191/ENSG00000148408/ENSG00000149403/ENSG00000152049/ENSG00000157388/ENSG00000159212/ENSG00000162989/ENSG00000164626/ENSG00000164794/ENSG00000166006/ENSG00000166736/ENSG00000168135/ENSG00000169684/ENSG00000170745/ENSG00000174469/ENSG00000186297/ENSG00000187486/ENSG00000196557/ENSG00000198515/ENSG00000261587/ENSG00000268089",35
"GO:0042734","GO:0042734","presynaptic membrane","23/786","202/22654",0.113861386138614,3.2816995440002,6.17555830647476,6.14082773376982e-07,0.000131106672115986,0.000121200547377036,"ENSG00000007402/ENSG00000050438/ENSG00000067715/ENSG00000067842/ENSG00000082556/ENSG00000101098/ENSG00000103546/ENSG00000105143/ENSG00000108576/ENSG00000110436/ENSG00000116396/ENSG00000117016/ENSG00000132164/ENSG00000136099/ENSG00000143473/ENSG00000149403/ENSG00000150594/ENSG00000162989/ENSG00000166006/ENSG00000174469/ENSG00000178750/ENSG00000186297/ENSG00000187486",23
"GO:0097060","GO:0097060","synaptic membrane","38/786","494/22654",0.0769230769230769,2.217067919358,5.18517017559537,4.47668925683182e-06,0.000552486684353416,0.000510742035332259,"ENSG00000007402/ENSG00000050438/ENSG00000067715/ENSG00000067842/ENSG00000075429/ENSG00000075461/ENSG00000082556/ENSG00000101098/ENSG00000102287/ENSG00000103546/ENSG00000105143/ENSG00000108576/ENSG00000109846/ENSG00000110436/ENSG00000116396/ENSG00000117016/ENSG00000117971/ENSG00000120251/ENSG00000132164/ENSG00000136099/ENSG00000136928/ENSG00000143473/ENSG00000149403/ENSG00000150594/ENSG00000154654/ENSG00000162989/ENSG00000164742/ENSG00000166006/ENSG00000166736/ENSG00000168135/ENSG00000169684/ENSG00000174469/ENSG00000178750/ENSG00000179841/ENSG00000181418/ENSG00000186297/ENSG00000187486/ENSG00000268089",38
"GO:0034703","GO:0034703","cation channel complex","24/786","245/22654",0.0979591836734694,2.8233681258763,5.44021126559387,5.17551929136689e-06,0.000552486684353416,0.000510742035332259,"ENSG00000007402/ENSG00000026559/ENSG00000075461/ENSG00000108878/ENSG00000116396/ENSG00000124134/ENSG00000140015/ENSG00000143473/ENSG00000144191/ENSG00000148408/ENSG00000149403/ENSG00000152049/ENSG00000157388/ENSG00000162989/ENSG00000164794/ENSG00000166006/ENSG00000166736/ENSG00000168135/ENSG00000170745/ENSG00000174469/ENSG00000187486/ENSG00000196557/ENSG00000198515/ENSG00000261587",24
"GO:0034705","GO:0034705","potassium channel complex","14/786","109/22654",0.128440366972477,3.70189322314821,5.36075444143735,2.4752574710794e-05,0.0021138698803018,0.00195415063506268,"ENSG00000026559/ENSG00000116396/ENSG00000124134/ENSG00000140015/ENSG00000143473/ENSG00000149403/ENSG00000152049/ENSG00000162989/ENSG00000164794/ENSG00000166006/ENSG00000168135/ENSG00000170745/ENSG00000174469/ENSG00000187486",14
"GO:0032589","GO:0032589","neuron projection membrane","11/786","71/22654",0.154929577464789,4.46536214743934,5.54442594637705,3.13625553444869e-05,0.00223196852201599,0.00206332600950572,"ENSG00000102287/ENSG00000110436/ENSG00000113763/ENSG00000116396/ENSG00000166006/ENSG00000174469/ENSG00000179841/ENSG00000181418/ENSG00000185008/ENSG00000186297/ENSG00000187486",11
"GO:0032809","GO:0032809","neuronal cell body membrane","7/786","31/22654",0.225806451612903,6.50816711811541,5.81811713242945,7.47876163212301e-05,0.00456204459559504,0.00421734678503177,"ENSG00000050438/ENSG00000103546/ENSG00000113763/ENSG00000116396/ENSG00000166006/ENSG00000175161/ENSG00000186297",7
"GO:0044298","GO:0044298","cell body membrane","7/786","34/22654",0.205882352941176,5.93391707828169,5.45826487994934,0.000139756456365907,0.00700730467166369,0.0064778485193489,"ENSG00000050438/ENSG00000103546/ENSG00000113763/ENSG00000116396/ENSG00000166006/ENSG00000175161/ENSG00000186297",7
"GO:0008076","GO:0008076","voltage-gated potassium channel complex","12/786","98/22654",0.122448979591837,3.52921015734538,4.75703684353438,0.000147694946241155,0.00700730467166369,0.0064778485193489,"ENSG00000026559/ENSG00000116396/ENSG00000124134/ENSG00000140015/ENSG00000143473/ENSG00000152049/ENSG00000162989/ENSG00000164794/ENSG00000166006/ENSG00000168135/ENSG00000170745/ENSG00000174469",12
"GO:0016324","GO:0016324","apical plasma membrane","31/786","448/22654",0.0691964285714286,1.9943713649582,4.03015780331449,0.000230395749164406,0.00983789848932015,0.00909456904596341,"ENSG00000004838/ENSG00000007306/ENSG00000050438/ENSG00000065361/ENSG00000074410/ENSG00000086548/ENSG00000088386/ENSG00000091138/ENSG00000092068/ENSG00000105388/ENSG00000105707/ENSG00000106688/ENSG00000110375/ENSG00000115850/ENSG00000118298/ENSG00000121742/ENSG00000124171/ENSG00000130234/ENSG00000141424/ENSG00000146950/ENSG00000152049/ENSG00000164638/ENSG00000164893/ENSG00000166006/ENSG00000169344/ENSG00000169347/ENSG00000170482/ENSG00000174502/ENSG00000185499/ENSG00000188162/ENSG00000204385",31
