"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098687","GO:0098687","chromosomal region","73/459","451/22654",0.161862527716186,7.98874445072437,21.5587329288328,2.63628655051677e-44,1.07296862606033e-41,8.96337427175702e-42,"ENSG00000000460/ENSG00000051180/ENSG00000073111/ENSG00000076003/ENSG00000076382/ENSG00000080986/ENSG00000085840/ENSG00000087586/ENSG00000089685/ENSG00000100162/ENSG00000102384/ENSG00000104147/ENSG00000104738/ENSG00000106462/ENSG00000109805/ENSG00000111247/ENSG00000112742/ENSG00000113810/ENSG00000115163/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000119969/ENSG00000120334/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000123485/ENSG00000128944/ENSG00000129810/ENSG00000131747/ENSG00000132646/ENSG00000134057/ENSG00000134690/ENSG00000136982/ENSG00000137812/ENSG00000138092/ENSG00000138346/ENSG00000138778/ENSG00000139618/ENSG00000140451/ENSG00000142945/ENSG00000143228/ENSG00000143799/ENSG00000146670/ENSG00000149554/ENSG00000149636/ENSG00000151725/ENSG00000152253/ENSG00000153044/ENSG00000154839/ENSG00000156970/ENSG00000159055/ENSG00000161888/ENSG00000163535/ENSG00000164109/ENSG00000164362/ENSG00000164754/ENSG00000165480/ENSG00000166451/ENSG00000166851/ENSG00000167513/ENSG00000168496/ENSG00000169679/ENSG00000170312/ENSG00000171320/ENSG00000172167/ENSG00000174442/ENSG00000178999/ENSG00000184445/ENSG00000186871/ENSG00000197299/ENSG00000203760",73
"GO:0000793","GO:0000793","condensed chromosome","60/459","301/22654",0.199335548172757,9.83822986558965,22.198430108511,7.79895022031708e-42,1.58708636983452e-39,1.3258215374539e-39,"ENSG00000000460/ENSG00000012048/ENSG00000051180/ENSG00000076382/ENSG00000080986/ENSG00000087586/ENSG00000089685/ENSG00000100162/ENSG00000102384/ENSG00000109805/ENSG00000112742/ENSG00000113810/ENSG00000115163/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000120334/ENSG00000121152/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000123485/ENSG00000128944/ENSG00000129810/ENSG00000131747/ENSG00000134057/ENSG00000137812/ENSG00000138092/ENSG00000138778/ENSG00000139618/ENSG00000142945/ENSG00000143228/ENSG00000144554/ENSG00000146918/ENSG00000148773/ENSG00000149554/ENSG00000149636/ENSG00000151725/ENSG00000152253/ENSG00000153044/ENSG00000154839/ENSG00000156970/ENSG00000161888/ENSG00000163535/ENSG00000164104/ENSG00000164109/ENSG00000164754/ENSG00000165480/ENSG00000166451/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000172167/ENSG00000174442/ENSG00000178999/ENSG00000180198/ENSG00000184445/ENSG00000186871/ENSG00000197299/ENSG00000203760",60
"GO:0000775","GO:0000775","chromosome, centromeric region","57/459","283/22654",0.201413427561837,9.94078385182106,21.7654547378444,5.11893452407456e-40,6.94468783766115e-38,5.8014591272845e-38,"ENSG00000000460/ENSG00000076382/ENSG00000080986/ENSG00000087586/ENSG00000089685/ENSG00000100162/ENSG00000102384/ENSG00000104147/ENSG00000106462/ENSG00000109805/ENSG00000112742/ENSG00000113810/ENSG00000115163/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000119969/ENSG00000120334/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000123485/ENSG00000128944/ENSG00000129810/ENSG00000131747/ENSG00000134057/ENSG00000134690/ENSG00000136982/ENSG00000137812/ENSG00000138092/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000146670/ENSG00000149636/ENSG00000151725/ENSG00000152253/ENSG00000153044/ENSG00000154839/ENSG00000156970/ENSG00000159055/ENSG00000161888/ENSG00000163535/ENSG00000164109/ENSG00000164754/ENSG00000165480/ENSG00000166451/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000171320/ENSG00000172167/ENSG00000174442/ENSG00000178999/ENSG00000184445/ENSG00000186871/ENSG00000203760",57
"GO:0000779","GO:0000779","condensed chromosome, centromeric region","46/459","200/22654",0.23,11.3516775599129,21.1456239798212,3.71333758305885e-35,3.77832099076238e-33,3.15633694560003e-33,"ENSG00000000460/ENSG00000076382/ENSG00000080986/ENSG00000087586/ENSG00000089685/ENSG00000100162/ENSG00000102384/ENSG00000109805/ENSG00000112742/ENSG00000115163/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000120334/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000123485/ENSG00000128944/ENSG00000129810/ENSG00000134057/ENSG00000137812/ENSG00000138092/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000149636/ENSG00000151725/ENSG00000152253/ENSG00000153044/ENSG00000154839/ENSG00000156970/ENSG00000161888/ENSG00000163535/ENSG00000164109/ENSG00000165480/ENSG00000166451/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000172167/ENSG00000174442/ENSG00000178999/ENSG00000184445/ENSG00000186871/ENSG00000203760",46
"GO:0000776","GO:0000776","kinetochore","44/459","188/22654",0.234042553191489,11.5511982570806,20.8910111781913,5.16626386426977e-34,4.20533878551559e-32,3.51305942770344e-32,"ENSG00000000460/ENSG00000076382/ENSG00000080986/ENSG00000087586/ENSG00000089685/ENSG00000100162/ENSG00000102384/ENSG00000112742/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000120334/ENSG00000121621/ENSG00000122952/ENSG00000123219/ENSG00000123485/ENSG00000128944/ENSG00000129810/ENSG00000134057/ENSG00000137812/ENSG00000138092/ENSG00000138778/ENSG00000142945/ENSG00000143228/ENSG00000149636/ENSG00000151725/ENSG00000152253/ENSG00000153044/ENSG00000154839/ENSG00000156970/ENSG00000161888/ENSG00000163535/ENSG00000164109/ENSG00000165480/ENSG00000166451/ENSG00000166851/ENSG00000167513/ENSG00000169679/ENSG00000172167/ENSG00000174442/ENSG00000178999/ENSG00000184445/ENSG00000186871/ENSG00000203760",44
"GO:0005819","GO:0005819","spindle","59/459","476/22654",0.123949579831933,6.11754636495121,16.227279009832,2.72418242944363e-29,1.8479037479726e-27,1.54370337668473e-27,"ENSG00000000460/ENSG00000013810/ENSG00000066279/ENSG00000072571/ENSG00000075702/ENSG00000076382/ENSG00000087586/ENSG00000088325/ENSG00000089685/ENSG00000090889/ENSG00000094804/ENSG00000097046/ENSG00000101224/ENSG00000101447/ENSG00000112742/ENSG00000112984/ENSG00000114346/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000118193/ENSG00000121621/ENSG00000121957/ENSG00000126787/ENSG00000127423/ENSG00000128944/ENSG00000129810/ENSG00000130695/ENSG00000134057/ENSG00000134222/ENSG00000134690/ENSG00000135476/ENSG00000136108/ENSG00000137807/ENSG00000138160/ENSG00000138778/ENSG00000139734/ENSG00000142945/ENSG00000149636/ENSG00000154839/ENSG00000156970/ENSG00000161800/ENSG00000163808/ENSG00000164087/ENSG00000164109/ENSG00000164754/ENSG00000165480/ENSG00000166851/ENSG00000169607/ENSG00000170312/ENSG00000171241/ENSG00000174442/ENSG00000177602/ENSG00000178999/ENSG00000184445/ENSG00000186185/ENSG00000198901/ENSG00000237649/ENSG00000276043",59
"GO:0000922","GO:0000922","spindle pole","33/459","191/22654",0.172774869109948,8.52732436779249,15.0232905554004,2.57178372224082e-21,1.49530853564573e-19,1.24915209365983e-19,"ENSG00000013810/ENSG00000066279/ENSG00000075702/ENSG00000076382/ENSG00000087586/ENSG00000088325/ENSG00000094804/ENSG00000101224/ENSG00000101447/ENSG00000117399/ENSG00000117650/ENSG00000117724/ENSG00000121957/ENSG00000126787/ENSG00000127423/ENSG00000128944/ENSG00000129810/ENSG00000130695/ENSG00000134057/ENSG00000134222/ENSG00000136108/ENSG00000138160/ENSG00000139734/ENSG00000149636/ENSG00000163808/ENSG00000164087/ENSG00000164109/ENSG00000164754/ENSG00000166851/ENSG00000169607/ENSG00000178999/ENSG00000184445/ENSG00000198901",33
"GO:0000940","GO:0000940","outer kinetochore","14/459","22/22654",0.636363636363636,31.4078035254506,20.5199620976594,4.45300574623952e-19,2.26546667339935e-17,1.89252744215179e-17,"ENSG00000080986/ENSG00000117724/ENSG00000122952/ENSG00000134057/ENSG00000137812/ENSG00000143228/ENSG00000149636/ENSG00000152253/ENSG00000154839/ENSG00000156970/ENSG00000161888/ENSG00000165480/ENSG00000166851/ENSG00000169679",14
"GO:0000228","GO:0000228","nuclear chromosome","34/459","254/22654",0.133858267716535,6.60659084281132,12.9221073046641,2.61750464517867e-18,1.18369376731969e-16,9.88835088178607e-17,"ENSG00000012048/ENSG00000051180/ENSG00000065328/ENSG00000073111/ENSG00000076003/ENSG00000085840/ENSG00000089685/ENSG00000091651/ENSG00000093009/ENSG00000100479/ENSG00000101003/ENSG00000104738/ENSG00000109805/ENSG00000111602/ENSG00000113810/ENSG00000117650/ENSG00000121152/ENSG00000131153/ENSG00000131747/ENSG00000132646/ENSG00000139618/ENSG00000143799/ENSG00000146918/ENSG00000147536/ENSG00000149554/ENSG00000154920/ENSG00000160949/ENSG00000164105/ENSG00000164754/ENSG00000166851/ENSG00000177606/ENSG00000180198/ENSG00000197299/ENSG00000198554",34
"GO:0072686","GO:0072686","mitotic spindle","30/459","211/22654",0.14218009478673,7.01731561502958,12.6283088486941,4.93698874936532e-17,2.00935442099168e-15,1.67857617478421e-15,"ENSG00000013810/ENSG00000066279/ENSG00000075702/ENSG00000076382/ENSG00000087586/ENSG00000088325/ENSG00000094804/ENSG00000097046/ENSG00000101447/ENSG00000114346/ENSG00000121621/ENSG00000121957/ENSG00000126787/ENSG00000128944/ENSG00000135476/ENSG00000136108/ENSG00000137807/ENSG00000138160/ENSG00000138778/ENSG00000154839/ENSG00000161800/ENSG00000164109/ENSG00000165480/ENSG00000166851/ENSG00000169607/ENSG00000170312/ENSG00000178999/ENSG00000186185/ENSG00000198901/ENSG00000237649",30
"GO:0051233","GO:0051233","spindle midzone","13/459","41/22654",0.317073170731707,15.6491843349806,13.5010613725459,8.61757075232061e-13,3.18850117835863e-11,2.66361277799001e-11,"ENSG00000000460/ENSG00000087586/ENSG00000089685/ENSG00000094804/ENSG00000118193/ENSG00000121621/ENSG00000134690/ENSG00000138778/ENSG00000161800/ENSG00000166851/ENSG00000178999/ENSG00000186185/ENSG00000198901",13
"GO:0005657","GO:0005657","replication fork","16/459","75/22654",0.213333333333333,10.5290922294844,11.8869775058957,1.77890114046613e-12,6.03343970141429e-11,5.04021989798737e-11,"ENSG00000049541/ENSG00000065328/ENSG00000111602/ENSG00000132646/ENSG00000136492/ENSG00000140451/ENSG00000143799/ENSG00000149554/ENSG00000154920/ENSG00000159147/ENSG00000160949/ENSG00000163918/ENSG00000196584/ENSG00000197299/ENSG00000198554/ENSG00000276043",16
"GO:0030496","GO:0030496","midbody","25/459","214/22654",0.116822429906542,5.76578502636776,10.0732946934654,1.95010650810849e-12,6.10533345230888e-11,5.10027855966835e-11,"ENSG00000000460/ENSG00000011426/ENSG00000066279/ENSG00000076382/ENSG00000087586/ENSG00000089685/ENSG00000090889/ENSG00000112984/ENSG00000114346/ENSG00000117394/ENSG00000117650/ENSG00000117724/ENSG00000118193/ENSG00000134222/ENSG00000134690/ENSG00000137807/ENSG00000138180/ENSG00000138778/ENSG00000161800/ENSG00000164754/ENSG00000166851/ENSG00000170312/ENSG00000171241/ENSG00000178999/ENSG00000198901",25
"GO:0005876","GO:0005876","spindle microtubule","16/459","85/22654",0.188235294117647,9.29037549660387,11.0120743943626,1.35978650967827e-11,3.9530936388504e-10,3.30233866636152e-10,"ENSG00000087586/ENSG00000089685/ENSG00000090889/ENSG00000121621/ENSG00000134222/ENSG00000138160/ENSG00000138778/ENSG00000154839/ENSG00000165480/ENSG00000166851/ENSG00000170312/ENSG00000174442/ENSG00000178999/ENSG00000184445/ENSG00000186185/ENSG00000198901",16
"GO:0000939","GO:0000939","inner kinetochore","9/459","21/22654",0.428571428571429,21.1521942110177,13.2862541629068,1.26094239254987e-10,3.42135702511864e-09,2.8581360897797e-09,"ENSG00000100162/ENSG00000102384/ENSG00000120334/ENSG00000123219/ENSG00000138092/ENSG00000151725/ENSG00000153044/ENSG00000166451/ENSG00000203760",9
"GO:0071162","GO:0071162","CMG complex","7/459","11/22654",0.636363636363636,31.4078035254506,14.5062794795166,4.12128530695609e-10,1.04835194995696e-08,8.75773127728169e-09,"ENSG00000073111/ENSG00000076003/ENSG00000093009/ENSG00000101003/ENSG00000104738/ENSG00000131153/ENSG00000147536",7
"GO:0031261","GO:0031261","DNA replication preinitiation complex","7/459","14/22654",0.5,24.677559912854,12.7439594634266,4.06574569265822e-09,9.73387351124645e-08,8.13149138531645e-08,"ENSG00000073111/ENSG00000076003/ENSG00000093009/ENSG00000101003/ENSG00000104738/ENSG00000131153/ENSG00000147536",7
"GO:0005875","GO:0005875","microtubule associated complex","18/459","167/22654",0.107784431137725,5.31971351414817,8.05729104193853,9.16657806679985e-09,2.07266515177085e-07,1.73146474595108e-07,"ENSG00000086288/ENSG00000087586/ENSG00000089685/ENSG00000090889/ENSG00000112984/ENSG00000117245/ENSG00000118193/ENSG00000121621/ENSG00000134690/ENSG00000137807/ENSG00000138160/ENSG00000142945/ENSG00000157193/ENSG00000163808/ENSG00000178999/ENSG00000186185/ENSG00000226650/ENSG00000237649",18
