"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005126","GO:0005126","cytokine receptor binding","29/272","333/21348",0.0870870870870871,6.83505564387917,12.1916139892176,3.77023643190598e-16,1.83610514233821e-13,1.65096669018199e-13,"ENSG00000035720/ENSG00000099985/ENSG00000102524/ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000111537/ENSG00000113302/ENSG00000115415/ENSG00000131142/ENSG00000138684/ENSG00000138755/ENSG00000150782/ENSG00000151651/ENSG00000156234/ENSG00000169194/ENSG00000169245/ENSG00000169248/ENSG00000171855/ENSG00000172156/ENSG00000172724/ENSG00000181374/ENSG00000182393/ENSG00000186074/ENSG00000197272/ENSG00000226979/ENSG00000227507/ENSG00000274736",29
"GO:0005125","GO:0005125","cytokine activity","27/272","293/21348",0.0921501706484642,7.23243324633608,12.2031684160728,1.01785045912238e-15,2.47846586796299e-13,2.22855679471004e-13,"ENSG00000099985/ENSG00000102524/ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000111537/ENSG00000113302/ENSG00000131142/ENSG00000138684/ENSG00000138755/ENSG00000150782/ENSG00000156234/ENSG00000169194/ENSG00000169245/ENSG00000169248/ENSG00000169884/ENSG00000171855/ENSG00000172156/ENSG00000172724/ENSG00000181374/ENSG00000182393/ENSG00000183709/ENSG00000197272/ENSG00000226979/ENSG00000227507/ENSG00000274736",27
"GO:0008009","GO:0008009","chemokine activity","13/272","63/21348",0.206349206349206,16.1953781512605,13.7215679926528,1.03909575223363e-12,1.68679877112593e-10,1.51671520326032e-10,"ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000131142/ENSG00000138755/ENSG00000156234/ENSG00000169245/ENSG00000169248/ENSG00000172156/ENSG00000172724/ENSG00000181374/ENSG00000274736",13
"GO:0042379","GO:0042379","chemokine receptor binding","14/272","103/21348",0.135922330097087,10.6679040548258,11.1732973994653,5.32279219528561e-11,6.48049949776023e-09,5.82705671904951e-09,"ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000115415/ENSG00000131142/ENSG00000138755/ENSG00000156234/ENSG00000169245/ENSG00000169248/ENSG00000172156/ENSG00000172724/ENSG00000181374/ENSG00000274736",14
"GO:0140375","GO:0140375","immune receptor activity","22/272","347/21348",0.0634005763688761,4.97601288353958,8.4830360970912,7.66581032437965e-10,7.46649925594578e-08,6.71363598935144e-08,"ENSG00000100385/ENSG00000103522/ENSG00000104921/ENSG00000113302/ENSG00000117322/ENSG00000121966/ENSG00000124334/ENSG00000126353/ENSG00000147168/ENSG00000150045/ENSG00000150337/ENSG00000160683/ENSG00000162894/ENSG00000163606/ENSG00000179934/ENSG00000183813/ENSG00000186810/ENSG00000189013/ENSG00000203710/ENSG00000203747/ENSG00000232629/ENSG00000237541",22
"GO:0038187","GO:0038187","pattern recognition receptor activity","10/272","54/21348",0.185185185185185,14.5343137254902,11.3126220135353,1.39648125741601e-09,1.13347728726933e-07,1.01918632120186e-07,"ENSG00000090659/ENSG00000091592/ENSG00000104921/ENSG00000132514/ENSG00000163568/ENSG00000167207/ENSG00000172243/ENSG00000187912/ENSG00000198178/ENSG00000205846",10
"GO:0048020","GO:0048020","CCR chemokine receptor binding","11/272","78/21348",0.141025641025641,11.0684389140271,10.1200924054551,4.29236184227291e-09,2.98625745312415e-07,2.68514665621884e-07,"ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000115415/ENSG00000131142/ENSG00000156234/ENSG00000172156/ENSG00000172724/ENSG00000181374/ENSG00000274736",11
"GO:0004896","GO:0004896","cytokine receptor activity","11/272","103/21348",0.106796116504854,8.381924614506,8.53136715368397,8.31009507436581e-08,5.05877037652018e-06,4.54868361965286e-06,"ENSG00000100385/ENSG00000103522/ENSG00000113302/ENSG00000121966/ENSG00000124334/ENSG00000126353/ENSG00000147168/ENSG00000160683/ENSG00000179934/ENSG00000183813/ENSG00000186810",11
"GO:0001664","GO:0001664","G protein-coupled receptor binding","19/272","352/21348",0.0539772727272727,4.23642212566845,6.95547819310702,1.463091544231e-07,7.9169509115611e-06,7.1186676304105e-06,"ENSG00000102970/ENSG00000106178/ENSG00000108691/ENSG00000108702/ENSG00000115415/ENSG00000125730/ENSG00000131142/ENSG00000138755/ENSG00000146374/ENSG00000156234/ENSG00000168081/ENSG00000169245/ENSG00000169248/ENSG00000169884/ENSG00000172156/ENSG00000172724/ENSG00000181374/ENSG00000188958/ENSG00000274736",19
"GO:0016493","GO:0016493","C-C chemokine receptor activity","6/272","23/21348",0.260869565217391,20.4744245524297,10.6155576651785,3.40703445791089e-07,1.6592257810026e-05,1.49192245735887e-05,"ENSG00000121966/ENSG00000126353/ENSG00000160683/ENSG00000179934/ENSG00000183813/ENSG00000186810",6
"GO:0019957","GO:0019957","C-C chemokine binding","6/272","24/21348",0.25,19.6213235294118,10.3690892285037,4.49433722473087e-07,1.98976566222176e-05,1.78913328754836e-05,"ENSG00000121966/ENSG00000126353/ENSG00000160683/ENSG00000179934/ENSG00000183813/ENSG00000186810",6
"GO:0001637","GO:0001637","G protein-coupled chemoattractant receptor activity","6/272","26/21348",0.230769230769231,18.1119909502262,9.91818097417822,7.52486849312508e-07,2.81893150473224e-05,2.53469254505266e-05,"ENSG00000121966/ENSG00000126353/ENSG00000160683/ENSG00000179934/ENSG00000183813/ENSG00000186810",6
"GO:0004950","GO:0004950","chemokine receptor activity","6/272","26/21348",0.230769230769231,18.1119909502262,9.91818097417822,7.52486849312508e-07,2.81893150473224e-05,2.53469254505266e-05,"ENSG00000121966/ENSG00000126353/ENSG00000160683/ENSG00000179934/ENSG00000183813/ENSG00000186810",6
"GO:0019956","GO:0019956","chemokine binding","6/272","33/21348",0.181818181818182,14.2700534759358,8.66654021413723,3.35891006377723e-06,0.000116842085789965,0.000105060645603859,"ENSG00000121966/ENSG00000126353/ENSG00000160683/ENSG00000179934/ENSG00000183813/ENSG00000186810",6
"GO:0019955","GO:0019955","cytokine binding","11/272","161/21348",0.0683229813664596,5.3623492875411,6.3118609504675,7.23606282950787e-06,0.000234930839864689,0.000211242255233353,"ENSG00000100385/ENSG00000113302/ENSG00000121966/ENSG00000124334/ENSG00000126353/ENSG00000147168/ENSG00000160683/ENSG00000167634/ENSG00000179934/ENSG00000183813/ENSG00000186810",11
"GO:0019865","GO:0019865","immunoglobulin binding","6/272","40/21348",0.15,11.7727941176471,7.74721830132589,1.08022008050122e-05,0.000328791987002559,0.00029563917992665,"ENSG00000104921/ENSG00000132465/ENSG00000150337/ENSG00000156738/ENSG00000162894/ENSG00000203747",6
"GO:0019763","GO:0019763","immunoglobulin receptor activity","5/272","25/21348",0.2,15.6970588235294,8.35285736534949,1.3955692724826e-05,0.000399789550411192,0.000359477905481586,"ENSG00000104921/ENSG00000150337/ENSG00000162894/ENSG00000163606/ENSG00000203747",5
"GO:0005537","GO:0005537","D-mannose binding","5/272","26/21348",0.192307692307692,15.0933257918552,8.16855012010309,1.70993131713769e-05,0.000462631417470029,0.000415983291186712,"ENSG00000090659/ENSG00000132514/ENSG00000187912/ENSG00000205846/ENSG00000260314",5
"GO:0015026","GO:0015026","coreceptor activity","7/272","67/21348",0.104477611940299,8.19995610184372,6.705482233208,2.28540245288288e-05,0.00058578473397577,0.000526718792464975,"ENSG00000100385/ENSG00000121594/ENSG00000121966/ENSG00000147168/ENSG00000154165/ENSG00000163534/ENSG00000179934",7
"GO:0045236","GO:0045236","CXCR chemokine receptor binding","4/272","19/21348",0.210526315789474,16.5232198142415,7.69010275296461,8.59296143580072e-05,0.00209238610961748,0.00188140629331216,"ENSG00000138755/ENSG00000156234/ENSG00000169245/ENSG00000169248",4
"GO:0030246","GO:0030246","carbohydrate binding","13/272","314/21348",0.0414012738853503,3.24939115773698,4.56170981517714,0.000210341159036434,0.0048779116405116,0.00438606126111061,"ENSG00000007908/ENSG00000090659/ENSG00000104921/ENSG00000132514/ENSG00000150045/ENSG00000161640/ENSG00000172243/ENSG00000173391/ENSG00000187912/ENSG00000188404/ENSG00000198178/ENSG00000205846/ENSG00000260314",13
"GO:0001618","GO:0001618","virus receptor activity","7/272","96/21348",0.0729166666666667,5.72288602941176,5.26868168105523,0.000228970135231278,0.00506856617534693,0.00455749168690008,"ENSG00000090659/ENSG00000117322/ENSG00000121594/ENSG00000121966/ENSG00000154165/ENSG00000203710/ENSG00000260314",7
"GO:0140272","GO:0140272","exogenous protein binding","7/272","97/21348",0.0721649484536082,5.66388720436628,5.2300158147468,0.000244133364183725,0.00516925862423801,0.00464803109841783,"ENSG00000090659/ENSG00000117322/ENSG00000121594/ENSG00000121966/ENSG00000154165/ENSG00000203710/ENSG00000260314",7
"GO:0031406","GO:0031406","carboxylic acid binding","9/272","193/21348",0.0466321243523316,3.65993599512344,4.21698550575456,0.000857419289408471,0.0173984664142469,0.0156441414207861,"ENSG00000007908/ENSG00000107317/ENSG00000120436/ENSG00000130208/ENSG00000161640/ENSG00000165457/ENSG00000167207/ENSG00000186188/ENSG00000188404",9
"GO:0005539","GO:0005539","glycosaminoglycan binding","11/272","279/21348",0.039426523297491,3.09440227703985,4.0003595162275,0.000953978108922755,0.0185834935618153,0.0167096797183944,"ENSG00000002726/ENSG00000005381/ENSG00000117215/ENSG00000132465/ENSG00000146374/ENSG00000156234/ENSG00000167207/ENSG00000169245/ENSG00000169248/ENSG00000188404/ENSG00000274736",11
"GO:0043177","GO:0043177","organic acid binding","9/272","205/21348",0.0439024390243902,3.44569583931133,3.99719055425749,0.00130842498452736,0.0245078064409547,0.0220366313183555,"ENSG00000007908/ENSG00000107317/ENSG00000120436/ENSG00000130208/ENSG00000161640/ENSG00000165457/ENSG00000167207/ENSG00000186188/ENSG00000188404",9
"GO:0008201","GO:0008201","heparin binding","9/272","208/21348",0.0432692307692308,3.39599830316742,3.94479522890054,0.00144678737333382,0.0260957574375397,0.0234644657819442,"ENSG00000002726/ENSG00000005381/ENSG00000117215/ENSG00000146374/ENSG00000156234/ENSG00000169245/ENSG00000169248/ENSG00000188404/ENSG00000274736",9
"GO:0050997","GO:0050997","quaternary ammonium group binding","4/272","40/21348",0.1,7.84852941176471,4.92509666634014,0.00164248066542236,0.028567431573596,0.0256869156697631,"ENSG00000007350/ENSG00000087237/ENSG00000130208/ENSG00000132465",4
"GO:0061135","GO:0061135","endopeptidase regulator activity","9/272","214/21348",0.0420560747663551,3.30078339747114,3.84282451045033,0.00175881268576476,0.0295359233781876,0.0265577523512937,"ENSG00000091592/ENSG00000107738/ENSG00000125730/ENSG00000149131/ENSG00000154451/ENSG00000163568/ENSG00000167634/ENSG00000169031/ENSG00000221887",9
"GO:0032813","GO:0032813","tumor necrosis factor receptor superfamily binding","5/272","70/21348",0.0714285714285714,5.60609243697479,4.38505504280037,0.00199477103593129,0.0320712886989364,0.0288374713039177,"ENSG00000102524/ENSG00000115415/ENSG00000151651/ENSG00000226979/ENSG00000227507",5
"GO:0061134","GO:0061134","peptidase regulator activity","10/272","262/21348",0.0381679389312977,2.99562191288729,3.69224567747514,0.00204149886995283,0.0320712886989364,0.0288374713039177,"ENSG00000091592/ENSG00000107738/ENSG00000125730/ENSG00000149131/ENSG00000154451/ENSG00000163568/ENSG00000167634/ENSG00000169031/ENSG00000221887/ENSG00000255833",10
"GO:0001614","GO:0001614","purinergic nucleotide receptor activity","3/272","21/21348",0.142857142857143,11.2121848739496,5.31890475288541,0.00229555746466203,0.0338768631906184,0.030460985814973,"ENSG00000083454/ENSG00000171631/ENSG00000174944",3
"GO:0016502","GO:0016502","nucleotide receptor activity","3/272","21/21348",0.142857142857143,11.2121848739496,5.31890475288541,0.00229555746466203,0.0338768631906184,0.030460985814973,"ENSG00000083454/ENSG00000171631/ENSG00000174944",3
"GO:0033691","GO:0033691","sialic acid binding","3/272","22/21348",0.136363636363636,10.7025401069519,5.17250437563065,0.00263316711833117,0.0366386396179223,0.0329442863526547,"ENSG00000007908/ENSG00000161640/ENSG00000188404",3
"GO:0061133","GO:0061133","endopeptidase activator activity","3/272","22/21348",0.136363636363636,10.7025401069519,5.17250437563065,0.00263316711833117,0.0366386396179223,0.0329442863526547,"ENSG00000091592/ENSG00000107738/ENSG00000163568",3
"GO:0048029","GO:0048029","monosaccharide binding","5/272","77/21348",0.0649350649350649,5.09644766997708,4.0908881192448,0.00303040364042284,0.040994627024609,0.03686105012912,"ENSG00000090659/ENSG00000132514/ENSG00000187912/ENSG00000205846/ENSG00000260314",5
"GO:0043274","GO:0043274","phospholipase binding","3/272","24/21348",0.125,9.81066176470588,4.90612484424664,0.00339639611946349,0.0446280967283306,0.0401281492250849,"ENSG00000007908/ENSG00000153064/ENSG00000205846",3
"GO:0005504","GO:0005504","fatty acid binding","4/272","49/21348",0.0816326530612245,6.40696278511404,4.30457813916471,0.00348227448804223,0.0446280967283306,0.0401281492250849,"ENSG00000107317/ENSG00000120436/ENSG00000130208/ENSG00000186188",4
"GO:0005164","GO:0005164","tumor necrosis factor receptor binding","4/272","50/21348",0.08,6.27882352941177,4.24533060676069,0.00374775500450736,0.0467988894152586,0.0420800561909598,"ENSG00000102524/ENSG00000115415/ENSG00000226979/ENSG00000227507",4
"GO:0033293","GO:0033293","monocarboxylic acid binding","5/272","82/21348",0.0609756097560976,4.78568866571019,3.90182420307803,0.00397576758697666,0.0484049703714408,0.0435241925311129,"ENSG00000107317/ENSG00000120436/ENSG00000130208/ENSG00000167207/ENSG00000186188",5
