"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008017","GO:0008017","microtubule binding","37/447","296/21348",0.125,5.96979865771812,12.5914754565473,2.32586192432067e-18,1.01217339925638e-15,9.32042634584556e-16,"ENSG00000075218/ENSG00000076382/ENSG00000080986/ENSG00000086288/ENSG00000089685/ENSG00000090889/ENSG00000101447/ENSG00000105613/ENSG00000111640/ENSG00000112984/ENSG00000117245/ENSG00000117724/ENSG00000118193/ENSG00000121621/ENSG00000126787/ENSG00000128944/ENSG00000134222/ENSG00000137807/ENSG00000137812/ENSG00000138160/ENSG00000138778/ENSG00000139354/ENSG00000139734/ENSG00000142945/ENSG00000143228/ENSG00000154839/ENSG00000161800/ENSG00000161888/ENSG00000163808/ENSG00000165209/ENSG00000165480/ENSG00000166851/ENSG00000186185/ENSG00000186638/ENSG00000198901/ENSG00000226650/ENSG00000237649",37
"GO:0015631","GO:0015631","tubulin binding","43/447","411/21348",0.104622871046229,4.99661980110714,11.9645170834918,3.37954390402797e-18,1.01217339925638e-15,9.32042634584556e-16,"ENSG00000012048/ENSG00000075218/ENSG00000076382/ENSG00000080986/ENSG00000086288/ENSG00000089685/ENSG00000090889/ENSG00000101447/ENSG00000105613/ENSG00000111640/ENSG00000112984/ENSG00000117245/ENSG00000117632/ENSG00000117724/ENSG00000118193/ENSG00000121621/ENSG00000126787/ENSG00000128944/ENSG00000134222/ENSG00000137807/ENSG00000137812/ENSG00000138160/ENSG00000138778/ENSG00000139354/ENSG00000139618/ENSG00000139734/ENSG00000142945/ENSG00000143228/ENSG00000143321/ENSG00000154839/ENSG00000161800/ENSG00000161888/ENSG00000163808/ENSG00000165209/ENSG00000165480/ENSG00000166851/ENSG00000176749/ENSG00000185345/ENSG00000186185/ENSG00000186638/ENSG00000198901/ENSG00000226650/ENSG00000237649",43
"GO:0140097","GO:0140097","catalytic activity, acting on DNA","28/447","256/21348",0.109375,5.22357382550336,9.94213933025922,9.97814769210099e-13,1.9923034891895e-10,1.83457873356523e-10,"ENSG00000049541/ENSG00000051180/ENSG00000051341/ENSG00000073111/ENSG00000076003/ENSG00000085999/ENSG00000088305/ENSG00000100479/ENSG00000104738/ENSG00000109674/ENSG00000119969/ENSG00000131747/ENSG00000132646/ENSG00000136492/ENSG00000136982/ENSG00000137309/ENSG00000138346/ENSG00000140451/ENSG00000154920/ENSG00000163918/ENSG00000164362/ENSG00000168496/ENSG00000174371/ENSG00000178295/ENSG00000186871/ENSG00000196584/ENSG00000197275/ENSG00000197299",28
"GO:0017116","GO:0017116","single-stranded DNA helicase activity","10/447","23/21348",0.434782608695652,20.7645170703239,13.8689716132435,1.31463668199108e-11,1.96866843128164e-09,1.81281479306138e-09,"ENSG00000049541/ENSG00000051180/ENSG00000051341/ENSG00000073111/ENSG00000076003/ENSG00000104738/ENSG00000136982/ENSG00000138346/ENSG00000140451/ENSG00000163918",10
"GO:0003678","GO:0003678","DNA helicase activity","13/447","58/21348",0.224137931034483,10.704466558667,10.822721622447,1.67617756902947e-10,1.9472034265588e-08,1.79304910907093e-08,"ENSG00000049541/ENSG00000051180/ENSG00000051341/ENSG00000073111/ENSG00000076003/ENSG00000104738/ENSG00000136492/ENSG00000136982/ENSG00000138346/ENSG00000140451/ENSG00000163918/ENSG00000197275/ENSG00000197299",13
"GO:0008094","GO:0008094","ATP-dependent activity, acting on DNA","18/447","128/21348",0.140625,6.71602348993289,9.48560321103643,1.95045418353135e-10,1.9472034265588e-08,1.79304910907093e-08,"ENSG00000049541/ENSG00000051180/ENSG00000051341/ENSG00000073111/ENSG00000076003/ENSG00000085999/ENSG00000104738/ENSG00000119969/ENSG00000131747/ENSG00000136492/ENSG00000136982/ENSG00000138346/ENSG00000140451/ENSG00000163918/ENSG00000186871/ENSG00000196584/ENSG00000197275/ENSG00000197299",18
"GO:0003777","GO:0003777","microtubule motor activity","14/447","75/21348",0.186666666666667,8.91489932885906,10.0415397317383,4.45240213397754e-10,3.80998411178935e-08,3.50835897474321e-08,"ENSG00000090889/ENSG00000112984/ENSG00000117245/ENSG00000118193/ENSG00000121621/ENSG00000137807/ENSG00000138160/ENSG00000138778/ENSG00000142945/ENSG00000163808/ENSG00000186185/ENSG00000186638/ENSG00000226650/ENSG00000237649",14
"GO:0003774","GO:0003774","cytoskeletal motor activity","16/447","122/21348",0.131147540983607,6.26339531301573,8.52610111365797,5.64693927066664e-09,4.22814577891165e-07,3.89341602345963e-07,"ENSG00000090889/ENSG00000109063/ENSG00000112984/ENSG00000117245/ENSG00000118193/ENSG00000121621/ENSG00000137807/ENSG00000138160/ENSG00000138778/ENSG00000142945/ENSG00000163808/ENSG00000186185/ENSG00000186638/ENSG00000226650/ENSG00000237649/ENSG00000278259",16
"GO:0000217","GO:0000217","DNA secondary structure binding","9/447","41/21348",0.219512195121951,10.4835488623343,8.88874230282134,1.38060679176401e-07,9.18870520296271e-06,8.46126267700986e-06,"ENSG00000029993/ENSG00000092853/ENSG00000109674/ENSG00000111247/ENSG00000137309/ENSG00000164104/ENSG00000178295/ENSG00000196584/ENSG00000197299",9
"GO:0016538","GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity","9/447","48/21348",0.1875,8.95469798657718,8.06850674753531,5.80453463327369e-07,3.47691624533094e-05,3.20165910298464e-05,"ENSG00000123080/ENSG00000123975/ENSG00000129757/ENSG00000134057/ENSG00000145386/ENSG00000157456/ENSG00000162063/ENSG00000175305/ENSG00000176749",9
