"Module","EnsemblID","GeneSymbol","kME","Network"
"turquoise","ENSG00000168497.5","CAVIN2",0.8538,"Signed"
"turquoise","ENSG00000141338.14","ABCA8",0.8497,"Signed"
"turquoise","ENSG00000170989.10","S1PR1",0.8234,"Signed"
"turquoise","ENSG00000112936.19","C7",0.8129,"Signed"
"turquoise","ENSG00000102010.15","BMX",0.8126,"Signed"
"turquoise","ENSG00000161649.13","CD300LG",0.8108,"Signed"
"turquoise","ENSG00000168477.19","TNXB",0.8105,"Signed"
"turquoise","ENSG00000181234.9","TMEM132C",0.8098,"Signed"
"turquoise","ENSG00000276409.5","CCL14",0.8087,"Signed"
"turquoise","ENSG00000164035.10","EMCN",0.8035,"Signed"
"turquoise","ENSG00000017427.17","IGF1",0.7999,"Signed"
"turquoise","ENSG00000186642.16","PDE2A",0.7993,"Signed"
"turquoise","ENSG00000183722.9","LHFPL6",0.7982,"Signed"
"turquoise","ENSG00000147113.17","DIPK2B",0.7924,"Signed"
"turquoise","ENSG00000154721.15","JAM2",0.7892,"Signed"
"turquoise","ENSG00000157554.19","ERG",0.786,"Signed"
"turquoise","ENSG00000131471.7","AOC3",0.7848,"Signed"
"turquoise","ENSG00000137033.11","IL33",0.7842,"Signed"
"turquoise","ENSG00000123243.15","ITIH5",0.7808,"Signed"
"turquoise","ENSG00000164330.17","EBF1",0.7786,"Signed"
"yellow","ENSG00000038427.16","VCAN",0.8962,"Signed"
"yellow","ENSG00000174099.12","MSRB3",0.8938,"Signed"
"yellow","ENSG00000140937.14","CDH11",0.8908,"Signed"
"yellow","ENSG00000122707.12","RECK",0.8855,"Signed"
"yellow","ENSG00000163430.12","FSTL1",0.8849,"Signed"
"yellow","ENSG00000106823.12","ECM2",0.8818,"Signed"
"yellow","ENSG00000204262.14","COL5A2",0.8806,"Signed"
"yellow","ENSG00000078098.14","FAP",0.8765,"Signed"
"yellow","ENSG00000168542.16","COL3A1",0.8758,"Signed"
"yellow","ENSG00000148848.14","ADAM12",0.8736,"Signed"
"yellow","ENSG00000169946.14","ZFPM2",0.8705,"Signed"
"yellow","ENSG00000011465.18","DCN",0.8686,"Signed"
"yellow","ENSG00000183801.8","OLFML1",0.8628,"Signed"
"yellow","ENSG00000148516.22","ZEB1",0.8628,"Signed"
"yellow","ENSG00000091986.16","CCDC80",0.8579,"Signed"
"yellow","ENSG00000123384.14","LRP1",0.8517,"Signed"
"yellow","ENSG00000113319.13","RASGRF2",0.8512,"Signed"
"yellow","ENSG00000101825.8","MXRA5",0.8486,"Signed"
"yellow","ENSG00000164692.18","COL1A2",0.8443,"Signed"
"yellow","ENSG00000104415.14","CCN4",0.8396,"Signed"
"black","ENSG00000143851.15","PTPN7",0.9426,"Signed"
"black","ENSG00000167208.15","SNX20",0.9377,"Signed"
"black","ENSG00000089012.14","SIRPG",0.9239,"Signed"
"black","ENSG00000079263.19","SP140",0.9194,"Signed"
"black","ENSG00000181847.12","TIGIT",0.9191,"Signed"
"black","ENSG00000110448.11","CD5",0.9066,"Signed"
"black","ENSG00000163600.13","ICOS",0.9057,"Signed"
"black","ENSG00000167286.10","CD3D",0.9041,"Signed"
"black","ENSG00000186810.8","CXCR3",0.8947,"Signed"
"black","ENSG00000255833.2","TIFAB",0.8926,"Signed"
"black","ENSG00000163519.14","TRAT1",0.8897,"Signed"
"black","ENSG00000226979.9","LTA",0.8868,"Signed"
"black","ENSG00000163599.17","CTLA4",0.8862,"Signed"
"black","ENSG00000013725.14","CD6",0.8853,"Signed"
"black","ENSG00000160856.21","FCRL3",0.8759,"Signed"
"black","ENSG00000147168.13","IL2RG",0.8733,"Signed"
"black","ENSG00000154451.14","GBP5",0.8713,"Signed"
"black","ENSG00000117215.15","PLA2G2D",0.8667,"Signed"
"black","ENSG00000100453.13","GZMB",0.861,"Signed"
"black","ENSG00000188389.11","PDCD1",0.8604,"Signed"
"blue","ENSG00000129514.8","FOXA1",-0.8719,"Signed"
"blue","ENSG00000115648.14","MLPH",-0.8556,"Signed"
"blue","ENSG00000107485.18","GATA3",-0.836,"Signed"
"blue","ENSG00000176532.4","PRR15",-0.8266,"Signed"
"blue","ENSG00000100219.16","XBP1",-0.8214,"Signed"
"blue","ENSG00000165140.11","FBP1",-0.8172,"Signed"
"blue","ENSG00000091831.24","ESR1",-0.8095,"Signed"
"blue","ENSG00000186007.10","LEMD1",0.8008,"Signed"
"blue","ENSG00000124664.11","SPDEF",-0.7971,"Signed"
"blue","ENSG00000109436.8","TBC1D9",-0.7962,"Signed"
"blue","ENSG00000173467.9","AGR3",-0.7931,"Signed"
"blue","ENSG00000106541.12","AGR2",-0.7899,"Signed"
"blue","ENSG00000182175.14","RGMA",0.7873,"Signed"
"blue","ENSG00000073464.13","CLCN4",0.7815,"Signed"
"blue","ENSG00000074410.14","CA12",-0.7805,"Signed"
"blue","ENSG00000149231.15","CCDC82",0.78,"Signed"
"blue","ENSG00000156219.17","ART3",0.7755,"Signed"
"blue","ENSG00000134830.6","C5AR2",-0.7749,"Signed"
"blue","ENSG00000204385.13","SLC44A4",-0.7723,"Signed"
