"Network","Module","GeneSymbol","EnsemblID","kME"
"Signed","blue","MLPH","ENSG00000115648.14",0.8797
"Signed","blue","ESR1","ENSG00000091831.24",0.8567
"Signed","blue","CFAP99","ENSG00000206113.11",0.85
"Signed","blue","AGR3","ENSG00000173467.9",0.8483
"Signed","blue","GATA3","ENSG00000107485.18",0.8456
"Signed","blue","FOXA1","ENSG00000129514.8",0.8438
"Signed","blue","C5AR2","ENSG00000134830.6",0.8365
"Signed","blue","XBP1","ENSG00000100219.16",0.8293
"Signed","blue","ZMYND10","ENSG00000004838.14",0.8275
"Signed","blue","KCNJ11","ENSG00000187486.5",0.8262
"Signed","blue","TBC1D9","ENSG00000109436.8",0.8241
"Signed","blue","DEGS2","ENSG00000168350.8",0.8211
"Signed","blue","ANXA9","ENSG00000143412.10",0.8145
"Signed","blue","CA12","ENSG00000074410.14",0.813
"Signed","blue","PRR15","ENSG00000176532.4",0.8101
"Signed","blue","PIERCE1","ENSG00000160345.13",0.7948
"Signed","blue","ZNF552","ENSG00000178935.5",0.7928
"Signed","blue","FBP1","ENSG00000165140.11",0.7893
"Signed","blue","LRRC46","ENSG00000141294.10",0.7889
"Signed","blue","AGR2","ENSG00000106541.12",0.7853
"Signed","green","MRPL55","ENSG00000162910.19",0.847
"Signed","green","MRPS34","ENSG00000074071.15",0.8457
"Signed","green","METTL26","ENSG00000130731.16",0.8411
"Signed","green","RPUSD1","ENSG00000007376.8",0.8388
"Signed","green","NUBP2","ENSG00000095906.17",0.8382
"Signed","green","TIMM17B","ENSG00000126768.12",0.8293
"Signed","green","COPE","ENSG00000105669.14",0.8286
"Signed","green","HSPBP1","ENSG00000133265.11",0.8281
"Signed","green","PAXX","ENSG00000148362.11",0.8273
"Signed","green","ZNHIT2","ENSG00000174276.7",0.8234
"Signed","green","SAC3D1","ENSG00000168061.17",0.8221
"Signed","green","FAM174C","ENSG00000228300.14",0.8218
"Signed","green","C1orf35","ENSG00000143793.13",0.8211
"Signed","green","ELOB","ENSG00000103363.15",0.8211
"Signed","green","ANAPC11","ENSG00000141552.18",0.8174
"Signed","green","SCAND1","ENSG00000171222.10",0.8167
"Signed","green","ROMO1","ENSG00000125995.16",0.8142
"Signed","green","SLC25A10","ENSG00000183048.12",0.8138
"Signed","green","LSM4","ENSG00000130520.11",0.8104
"Signed","green","POP7","ENSG00000172336.5",0.8095
"Signed","turquoise","CAVIN2","ENSG00000168497.5",0.8588
"Signed","turquoise","ABCA8","ENSG00000141338.14",0.8498
"Signed","turquoise","S1PR1","ENSG00000170989.10",0.8261
"Signed","turquoise","CD300LG","ENSG00000161649.13",0.8192
