"Module","EnsemblID","GeneSymbol","kME"
"blue","ENSG00000168497.5","CAVIN2",0.8574
"blue","ENSG00000141338.14","ABCA8",0.8548
"blue","ENSG00000170989.10","S1PR1",0.8507
"blue","ENSG00000161649.13","CD300LG",0.8303
"blue","ENSG00000102010.15","BMX",0.8237
"blue","ENSG00000131471.7","AOC3",0.8231
"blue","ENSG00000112936.19","C7",0.822
"blue","ENSG00000168477.19","TNXB",0.8207
"blue","ENSG00000181234.9","TMEM132C",0.8179
"blue","ENSG00000164035.10","EMCN",0.8156
"blue","ENSG00000186642.16","PDE2A",0.8134
"blue","ENSG00000147113.17","DIPK2B",0.8127
"blue","ENSG00000017427.17","IGF1",0.8043
"blue","ENSG00000157554.19","ERG",0.8039
"blue","ENSG00000276409.5","CCL14",0.8016
"blue","ENSG00000183722.9","LHFPL6",0.7988
"blue","ENSG00000137033.11","IL33",0.7979
"blue","ENSG00000123243.15","ITIH5",0.7973
"blue","ENSG00000164330.17","EBF1",0.794
"blue","ENSG00000154721.15","JAM2",0.7916
"red","ENSG00000204262.14","COL5A2",0.9045
"red","ENSG00000168542.16","COL3A1",0.904
"red","ENSG00000140937.14","CDH11",0.9034
"red","ENSG00000038427.16","VCAN",0.8925
"red","ENSG00000011465.18","DCN",0.8919
"red","ENSG00000078098.14","FAP",0.8907
"red","ENSG00000148848.14","ADAM12",0.8891
"red","ENSG00000163430.12","FSTL1",0.8875
"red","ENSG00000174099.12","MSRB3",0.8846
"red","ENSG00000164692.18","COL1A2",0.8827
"red","ENSG00000183801.8","OLFML1",0.8795
"red","ENSG00000106823.12","ECM2",0.8769
"red","ENSG00000122707.12","RECK",0.8716
"red","ENSG00000169946.14","ZFPM2",0.8634
"red","ENSG00000091986.16","CCDC80",0.8613
"red","ENSG00000104415.14","CCN4",0.8597
"red","ENSG00000101825.8","MXRA5",0.8554
"red","ENSG00000133110.15","POSTN",0.8508
"red","ENSG00000123384.14","LRP1",0.8508
"red","ENSG00000113319.13","RASGRF2",0.8502
"black","ENSG00000143851.15","PTPN7",0.9443
"black","ENSG00000167208.15","SNX20",0.9373
"black","ENSG00000089012.14","SIRPG",0.9277
"black","ENSG00000181847.12","TIGIT",0.9209
"black","ENSG00000079263.19","SP140",0.9208
"black","ENSG00000110448.11","CD5",0.9103
"black","ENSG00000167286.10","CD3D",0.9097
"black","ENSG00000163600.13","ICOS",0.9058
"black","ENSG00000186810.8","CXCR3",0.8999
"black","ENSG00000163519.14","TRAT1",0.8944
"black","ENSG00000255833.2","TIFAB",0.8942
"black","ENSG00000226979.9","LTA",0.8887
"black","ENSG00000013725.14","CD6",0.8872
"black","ENSG00000163599.17","CTLA4",0.8855
"black","ENSG00000160856.21","FCRL3",0.8808
"black","ENSG00000147168.13","IL2RG",0.8764
"black","ENSG00000117215.15","PLA2G2D",0.8719
"black","ENSG00000154451.14","GBP5",0.8684
"black","ENSG00000188389.11","PDCD1",0.8638
"black","ENSG00000100453.13","GZMB",0.8604
"turquoise","ENSG00000129514.8","FOXA1",-0.9049
"turquoise","ENSG00000115648.14","MLPH",-0.8889
"turquoise","ENSG00000091831.24","ESR1",-0.8883
"turquoise","ENSG00000109436.8","TBC1D9",-0.8837
"turquoise","ENSG00000100219.16","XBP1",-0.8733
"turquoise","ENSG00000173467.9","AGR3",-0.8701
"turquoise","ENSG00000107485.18","GATA3",-0.8645
"turquoise","ENSG00000074410.14","CA12",-0.851
"turquoise","ENSG00000134830.6","C5AR2",-0.8449
"turquoise","ENSG00000176532.4","PRR15",-0.8367
"turquoise","ENSG00000106541.12","AGR2",-0.8276
"turquoise","ENSG00000204385.13","SLC44A4",-0.819
"turquoise","ENSG00000165140.11","FBP1",-0.8176
"turquoise","ENSG00000178935.5","ZNF552",-0.8176
"turquoise","ENSG00000187486.5","KCNJ11",-0.801
"turquoise","ENSG00000168350.8","DEGS2",-0.7987
"turquoise","ENSG00000206113.11","CFAP99",-0.797
"turquoise","ENSG00000092068.20","SLC7A8",-0.7926
"turquoise","ENSG00000124664.11","SPDEF",-0.789
"turquoise","ENSG00000160180.15","TFF3",-0.7877
"yellow","ENSG00000088325.16","TPX2",0.9396
"yellow","ENSG00000109805.10","NCAPG",0.9285
"yellow","ENSG00000169679.15","BUB1",0.926
"yellow","ENSG00000121152.10","NCAPH",0.923
"yellow","ENSG00000129810.15","SGO1",0.9227
"yellow","ENSG00000145386.11","CCNA2",0.9224
"yellow","ENSG00000138180.16","CEP55",0.9208
"yellow","ENSG00000090889.12","KIF4A",0.9192
"yellow","ENSG00000065328.17","MCM10",0.919
"yellow","ENSG00000169607.13","CKAP2L",0.917
"yellow","ENSG00000165304.8","MELK",0.9154
"yellow","ENSG00000157456.8","CCNB2",0.9107
"yellow","ENSG00000154839.10","SKA1",0.9098
"yellow","ENSG00000134690.11","CDCA8",0.9081
"yellow","ENSG00000137807.16","KIF23",0.9075
"yellow","ENSG00000123485.12","HJURP",0.9069
"yellow","ENSG00000112742.10","TTK",0.9032
"yellow","ENSG00000111206.13","FOXM1",0.9025
"yellow","ENSG00000126787.13","DLGAP5",0.9024
"yellow","ENSG00000142945.13","KIF2C",0.902
"pink","ENSG00000173627.8","APOBEC4",0.8812
"pink","ENSG00000157330.10","CFAP107",0.8536
"pink","ENSG00000167858.13","TEKT1",0.8474
"pink","ENSG00000169064.13","ZBBX",0.8404
"pink","ENSG00000136918.8","WDR38",0.8377
"pink","ENSG00000187492.9","CDHR4",0.831
"pink","ENSG00000164287.13","CDC20B",0.8219
"pink","ENSG00000186471.13","AKAP14",0.8208
"pink","ENSG00000176601.13","MAP3K19",0.8205
"pink","ENSG00000124237.6","CIMIP1",0.8161
"pink","ENSG00000139445.18","FOXN4",0.7987
"pink","ENSG00000118492.17","ADGB",0.7968
"pink","ENSG00000162456.10","KNCN",0.7944
"pink","ENSG00000080572.13","DNAAF6",0.7919
"pink","ENSG00000145491.12","ROPN1L",0.7813
"pink","ENSG00000243910.8","TUBA4B",0.7739
"pink","ENSG00000179902.13","CFAP276",0.7721
"pink","ENSG00000163263.7","CFAP141",0.7652
"pink","ENSG00000164746.14","C7orf57",0.7521
"pink","ENSG00000129654.8","FOXJ1",0.75
"brown","ENSG00000168061.17","SAC3D1",0.8446
"brown","ENSG00000162910.19","MRPL55",0.8373
"brown","ENSG00000148362.11","PAXX",0.8297
"brown","ENSG00000133265.11","HSPBP1",0.8265
"brown","ENSG00000126768.12","TIMM17B",0.8232
"brown","ENSG00000105669.14","COPE",0.8231
"brown","ENSG00000130520.11","LSM4",0.822
"brown","ENSG00000141552.18","ANAPC11",0.8216
"brown","ENSG00000172336.5","POP7",0.821
"brown","ENSG00000130731.16","METTL26",0.8206
"brown","ENSG00000178896.9","EXOSC4",0.8183
"brown","ENSG00000007376.8","RPUSD1",0.8179
"brown","ENSG00000125995.16","ROMO1",0.8166
"brown","ENSG00000143793.13","C1orf35",0.8158
"brown","ENSG00000196159.14","FAT4",-0.8135
"brown","ENSG00000183048.12","SLC25A10",0.8135
"brown","ENSG00000161179.14","YDJC",0.8128
"brown","ENSG00000074071.15","MRPS34",0.8109
"brown","ENSG00000157778.9","PSMG3",0.809
"brown","ENSG00000228300.14","FAM174C",0.8088
"green","ENSG00000184384.14","MAML2",-0.8699
"green","ENSG00000149231.15","CCDC82",-0.8451
"green","ENSG00000122591.12","HYCC1",-0.8413
"green","ENSG00000007541.17","PIGQ",0.8222
"green","ENSG00000068366.20","ACSL4",-0.8148
"green","ENSG00000185187.13","SIGIRR",0.8021
"green","ENSG00000067836.13","ROGDI",0.8019
"green","ENSG00000162076.13","FLYWCH2",0.7983
"green","ENSG00000103024.7","NME3",0.7913
"green","ENSG00000125967.17","NECAB3",0.7847
"green","ENSG00000112531.17","QKI",-0.7804
"green","ENSG00000168101.14","NUDT16L1",0.7768
"green","ENSG00000159214.13","CCDC24",0.7734
"green","ENSG00000197562.10","RAB40C",0.773
"green","ENSG00000146648.19","EGFR",-0.7723
"green","ENSG00000198947.16","DMD",-0.7713
"green","ENSG00000197872.11","CYRIA",-0.7683
"green","ENSG00000130005.13","GAMT",0.7667
"green","ENSG00000157827.20","FMNL2",-0.7642
"green","ENSG00000118495.20","PLAGL1",-0.7624
