Module,GeneSymbol,kME,Full_Name,Aliases,EntrezID,Functional_Summary
red,AL121832.2,0.8558,,,,No summary available.
red,KMT2E.AS1,0.8252,,,,No summary available.
red,YTHDF3.AS1,0.7931,,,,No summary available.
red,AC040169.1,0.7823,,,,No summary available.
red,AL163051.1,0.7688,,,,No summary available.
red,AL355353.1,0.7681,,,,No summary available.
red,AC069544.1,0.7591,,,,No summary available.
red,AC109322.1,0.7584,,,,No summary available.
red,AC083880.1,0.7546,,,,No summary available.
red,AL118516.1,0.7522,,,,No summary available.
red,AC133552.5,0.7472,,,,No summary available.
red,SNHG19,0.729,small nucleolar RNA host gene 19,SNORD60HG,100507303,No summary available.
red,URB1.AS1,0.7172,,,,No summary available.
red,AC015912.3,0.7151,,,,No summary available.
red,LINC01311,0.701,long intergenic non-protein coding RNA 1311,,,No summary available.
red,AC067852.5,0.699,,,,No summary available.
red,AC011445.1,0.6904,,,,No summary available.
red,AC002470.1,0.6898,,,,No summary available.
red,AC073195.1,0.6851,,,,No summary available.
red,AC010331.1,0.6765,,,,No summary available.
blue,LINC00504,0.8691,long independently transcribed non-coding RNA 504,,201853,No summary available.
blue,CT62,0.847,cancer/testis associated 62,,196993,No summary available.
blue,AL078582.2,0.8317,,,,No summary available.
blue,AC092667.1,0.8073,,,,No summary available.
blue,MIR3936HG,0.7971,MIR3936 host gene,SLC22A5-AS1,553103,No summary available.
blue,AC013726.1,0.7959,,,,No summary available.
blue,AC124067.4,0.7951,,,,No summary available.
blue,AC103760.1,0.7872,,,,No summary available.
blue,FAM198B.AS1,0.7869,,,,No summary available.
blue,AC007255.1,0.7863,,,,No summary available.
blue,AC106738.2,0.7814,,,,No summary available.
blue,AC008268.1,0.7808,,,,No summary available.
blue,AC096733.2,0.7665,,,,No summary available.
blue,LINC02568,0.7594,long intergenic non-protein coding RNA 2568,,,No summary available.
blue,GATA3.AS1,0.7593,,,,No summary available.
blue,AC008663.1,0.7581,,,,No summary available.
blue,AL356311.1,0.7566,,,,No summary available.
blue,AL133387.1,0.7552,,,,No summary available.
