"Module","GeneID","GeneSymbol","kME"
"red","AL121832.2","AL121832.2",0.8558
"red","KMT2E.AS1","KMT2E.AS1",0.8252
"red","YTHDF3.AS1","YTHDF3.AS1",0.7931
"red","AC040169.1","AC040169.1",0.7823
"red","AL163051.1","AL163051.1",0.7688
"red","AL355353.1","AL355353.1",0.7681
"red","AC069544.1","AC069544.1",0.7591
"red","AC109322.1","AC109322.1",0.7584
"red","AC083880.1","AC083880.1",0.7546
"red","AL118516.1","AL118516.1",0.7522
"red","AC133552.5","AC133552.5",0.7472
"red","SNHG19","SNHG19",0.729
"red","URB1.AS1","URB1.AS1",0.7172
"red","AC015912.3","AC015912.3",0.7151
"red","LINC01311","LINC01311",0.701
"red","AC067852.5","AC067852.5",0.699
"red","AC011445.1","AC011445.1",0.6904
"red","AC002470.1","AC002470.1",0.6898
"red","AC073195.1","AC073195.1",0.6851
"red","AC010331.1","AC010331.1",0.6765
"blue","LINC00504","LINC00504",0.8691
"blue","CT62","CT62",0.847
"blue","AL078582.2","AL078582.2",0.8317
"blue","AC092667.1","AC092667.1",0.8073
"blue","MIR3936HG","MIR3936HG",0.7971
"blue","AC013726.1","AC013726.1",0.7959
"blue","AC124067.4","AC124067.4",0.7951
"blue","AC103760.1","AC103760.1",0.7872
"blue","FAM198B.AS1","FAM198B.AS1",0.7869
"blue","AC007255.1","AC007255.1",0.7863
"blue","AC106738.2","AC106738.2",0.7814
"blue","AC008268.1","AC008268.1",0.7808
"blue","AC096733.2","AC096733.2",0.7665
"blue","LINC02568","LINC02568",0.7594
"blue","GATA3.AS1","GATA3.AS1",0.7593
"blue","AC008663.1","AC008663.1",0.7581
"blue","AL356311.1","AL356311.1",0.7566
"blue","AL133387.1","AL133387.1",0.7552
"blue","MIR29B2CHG","MIR29B2CHG",0.7508
"blue","LINC01843","LINC01843",0.749
"brown","RAD51.AS1","RAD51.AS1",0.8464
"brown","LINC00894","LINC00894",0.7841
"brown","AC087500.1","AC087500.1",0.7742
"brown","CCDC18.AS1","CCDC18.AS1",0.7717
"brown","SH3BP5.AS1","SH3BP5.AS1",0.7691
"brown","SEMA3F.AS1","SEMA3F.AS1",0.7672
"brown","LINC00893","LINC00893",0.7586
"brown","TMEM161B.AS1","TMEM161B.AS1",0.7554
"brown","AC007566.1","AC007566.1",0.7516
"brown","AC006435.2","AC006435.2",0.748
"brown","AC009120.2","AC009120.2",0.7468
"brown","AC010201.2","AC010201.2",0.7308
"brown","LINC01359","LINC01359",0.7241
"brown","RUFY1.AS1","RUFY1.AS1",0.7225
"brown","AL021368.2","AL021368.2",0.708
"brown","N4BP2L2.IT2","N4BP2L2.IT2",0.7005
"brown","SEMA6A.AS1","SEMA6A.AS1",0.6961
"brown","POLR2J4","POLR2J4",0.696
"brown","AC010210.1","AC010210.1",0.6903
