"Module","GeneID","GeneSymbol","kME"
"black","LINC02884","LINC02884",0.828
"black","CADM3.AS1","CADM3.AS1",0.7974
"black","AC096921.2","AC096921.2",0.7917
"black","LINC01197","LINC01197",0.7859
"black","LINC02202","LINC02202",0.7836
"black","LINCADL","LINCADL",0.7696
"black","LINC02587","LINC02587",0.765
"black","TRHDE.AS1","TRHDE.AS1",0.7581
"black","PGM5P3.AS1","PGM5P3.AS1",0.7502
"black","ADAMTS9.AS2","ADAMTS9.AS2",0.7428
"black","ADAMTS9.AS1","ADAMTS9.AS1",0.7394
"black","LINC01697","LINC01697",0.7182
"black","LINC02237","LINC02237",0.7079
"black","AC090004.2","AC090004.2",0.7047
"black","AC002546.1","AC002546.1",0.7039
"black","ALDH1L1.AS2","ALDH1L1.AS2",0.702
"black","LINC01537","LINC01537",0.6972
"black","LINC00924","LINC00924",0.6962
"black","AL356218.2","AL356218.2",0.6941
"black","AL109741.1","AL109741.1",0.6932
"green","MAGI2.AS3","MAGI2.AS3",0.8393
"green","TBX5.AS1","TBX5.AS1",0.8268
"green","MIR100HG","MIR100HG",0.8123
"green","MEG3","MEG3",0.7961
"green","ZFHX4.AS1","ZFHX4.AS1",0.7935
"green","AP000695.1","AP000695.1",0.7841
"green","LINC02544","LINC02544",0.7807
"green","AC134312.5","AC134312.5",0.7779
"green","AC009093.1","AC009093.1",0.7678
"green","AC000403.1","AC000403.1",0.7516
"green","LINC00922","LINC00922",0.7461
"green","LINC01638","LINC01638",0.7456
"green","HAND2.AS1","HAND2.AS1",0.7438
"green","AL049838.1","AL049838.1",0.7383
"green","EMX2OS","EMX2OS",0.7377
"green","LINC01711","LINC01711",0.7343
"green","LINC00702","LINC00702",0.7303
"green","AC007750.1","AC007750.1",0.7291
"green","LINC01561","LINC01561",0.7284
"green","MAP3K4.AS1","MAP3K4.AS1",0.7202
"brown","LINC00504","LINC00504",0.8933
"brown","CT62","CT62",0.8781
"brown","AL078582.2","AL078582.2",0.845
"brown","AC007255.1","AC007255.1",0.8106
"brown","AC092667.1","AC092667.1",0.7987
"brown","FAM198B.AS1","FAM198B.AS1",0.7943
"brown","AC096733.2","AC096733.2",0.7912
"brown","AC103760.1","AC103760.1",0.7909
"brown","AC008268.1","AC008268.1",0.7887
"brown","AC106738.2","AC106738.2",0.7878
"brown","AC124067.4","AC124067.4",0.7824
"brown","AC013726.1","AC013726.1",0.7726
"brown","LINC02568","LINC02568",0.7708
"brown","AC093838.1","AC093838.1",0.7637
"brown","DRAIC","DRAIC",0.7547
"brown","GATA3.AS1","GATA3.AS1",0.754
"brown","LINC01087","LINC01087",0.7464
"brown","LINC01843","LINC01843",0.7434
"brown","LINC01117","LINC01117",0.7424
"brown","LINC02747","LINC02747",0.7401
"turquoise","NPTN.IT1","NPTN.IT1",0.8496
"turquoise","AL049840.2","AL049840.2",0.8427
"turquoise","AL132989.1","AL132989.1",0.8398
"turquoise","AC053513.2","AC053513.2",0.8391
"turquoise","JPX","JPX",0.8376
"turquoise","AC022382.2","AC022382.2",0.829
"turquoise","AC006059.1","AC006059.1",0.8219
"turquoise","AC122129.1","AC122129.1",0.8188
"turquoise","AC007878.1","AC007878.1",0.8159
"turquoise","AC024896.1","AC024896.1",0.8158
"turquoise","AP003392.1","AP003392.1",0.8137
"turquoise","AC108010.1","AC108010.1",0.8131
"turquoise","AC015971.1","AC015971.1",0.812
"turquoise","AC000120.1","AC000120.1",0.8043
"turquoise","AC253536.3","AC253536.3",0.8037
"turquoise","ALG13.AS1","ALG13.AS1",0.8018
"turquoise","AC124944.3","AC124944.3",0.7962
"turquoise","AL442003.1","AL442003.1",0.7906
"turquoise","AL031846.2","AL031846.2",0.7904
"turquoise","NADK2.AS1","NADK2.AS1",0.789
"magenta","AC092119.2","AC092119.2",0.8149
"magenta","AC132192.2","AC132192.2",0.7915
"magenta","STPG3.AS1","STPG3.AS1",0.7754
"magenta","AC009065.4","AC009065.4",0.7524
"magenta","AL731569.1","AL731569.1",0.7502
"magenta","AC105137.2","AC105137.2",0.747
"magenta","AC132872.2","AC132872.2",0.7429
"magenta","AC092171.4","AC092171.4",0.7373
"magenta","AC120498.9","AC120498.9",0.7148
"magenta","AC084125.2","AC084125.2",0.7131
"magenta","AC008764.6","AC008764.6",0.7104
"magenta","AL451050.2","AL451050.2",0.7089
