"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001568","GO:0001568","blood vessel development","76/453","347/6528",0.219020172910663,3.15621123346757,11.2709217884671,1.0772197040298e-20,3.35661659775684e-17,3.35661659775684e-17,"ENSG00000106511/ENSG00000139567/ENSG00000146374/ENSG00000164736/ENSG00000150630/ENSG00000176435/ENSG00000164619/ENSG00000171951/ENSG00000134954/ENSG00000127528/ENSG00000134817/ENSG00000102755/ENSG00000179772/ENSG00000125968/ENSG00000005108/ENSG00000136011/ENSG00000126785/ENSG00000174804/ENSG00000092009/ENSG00000135298/ENSG00000170989/ENSG00000179776/ENSG00000101384/ENSG00000120738/ENSG00000261371/ENSG00000136999/ENSG00000198719/ENSG00000141052/ENSG00000105974/ENSG00000178878/ENSG00000249751/ENSG00000064989/ENSG00000240583/ENSG00000106991/ENSG00000123358/ENSG00000184113/ENSG00000116016/ENSG00000163513/ENSG00000122877/ENSG00000203883/ENSG00000189058/ENSG00000138639/ENSG00000140945/ENSG00000136826/ENSG00000113296/ENSG00000116678/ENSG00000173269/ENSG00000127329/ENSG00000081189/ENSG00000186642/ENSG00000204301/ENSG00000163638/ENSG00000120332/ENSG00000173482/ENSG00000020181/ENSG00000128052/ENSG00000066056/ENSG00000120156/ENSG00000101280/ENSG00000125810/ENSG00000164867/ENSG00000154133/ENSG00000117525/ENSG00000170962/ENSG00000145147/ENSG00000179388/ENSG00000142798/ENSG00000138722/ENSG00000037280/ENSG00000124212/ENSG00000128917/ENSG00000105538/ENSG00000174059/ENSG00000168356/ENSG00000197461/ENSG00000111961",76
"GO:0001944","GO:0001944","vasculature development","77/453","359/6528",0.214484679665738,3.09085207253408,11.1274567006176,2.22747769902984e-20,3.47041025508849e-17,3.47041025508849e-17,"ENSG00000106511/ENSG00000139567/ENSG00000146374/ENSG00000164736/ENSG00000150630/ENSG00000176435/ENSG00000164619/ENSG00000171951/ENSG00000134954/ENSG00000127528/ENSG00000134817/ENSG00000102755/ENSG00000179772/ENSG00000125968/ENSG00000005108/ENSG00000136011/ENSG00000126785/ENSG00000174804/ENSG00000092009/ENSG00000135298/ENSG00000170989/ENSG00000179776/ENSG00000101384/ENSG00000120738/ENSG00000261371/ENSG00000136999/ENSG00000198719/ENSG00000141052/ENSG00000105974/ENSG00000178878/ENSG00000249751/ENSG00000064989/ENSG00000240583/ENSG00000106991/ENSG00000165124/ENSG00000123358/ENSG00000184113/ENSG00000116016/ENSG00000163513/ENSG00000122877/ENSG00000203883/ENSG00000189058/ENSG00000138639/ENSG00000140945/ENSG00000136826/ENSG00000113296/ENSG00000116678/ENSG00000173269/ENSG00000127329/ENSG00000081189/ENSG00000186642/ENSG00000204301/ENSG00000163638/ENSG00000120332/ENSG00000173482/ENSG00000020181/ENSG00000128052/ENSG00000066056/ENSG00000120156/ENSG00000101280/ENSG00000125810/ENSG00000164867/ENSG00000154133/ENSG00000117525/ENSG00000170962/ENSG00000145147/ENSG00000179388/ENSG00000142798/ENSG00000138722/ENSG00000037280/ENSG00000124212/ENSG00000128917/ENSG00000105538/ENSG00000174059/ENSG00000168356/ENSG00000197461/ENSG00000111961",77
"GO:0072359","GO:0072359","circulatory system development","91/453","500/6528",0.182,2.62272847682119,10.3104353665664,6.46602089696357e-19,6.71604037164616e-16,6.71604037164616e-16,"ENSG00000106511/ENSG00000139567/ENSG00000146374/ENSG00000164056/ENSG00000145362/ENSG00000164736/ENSG00000150630/ENSG00000176435/ENSG00000164619/ENSG00000171951/ENSG00000134954/ENSG00000127528/ENSG00000134817/ENSG00000102755/ENSG00000179772/ENSG00000125968/ENSG00000005108/ENSG00000136011/ENSG00000126785/ENSG00000174804/ENSG00000092009/ENSG00000135298/ENSG00000170989/ENSG00000153162/ENSG00000179776/ENSG00000135914/ENSG00000101384/ENSG00000120738/ENSG00000261371/ENSG00000136999/ENSG00000198719/ENSG00000141052/ENSG00000105974/ENSG00000178878/ENSG00000249751/ENSG00000064989/ENSG00000163909/ENSG00000240583/ENSG00000106991/ENSG00000165124/ENSG00000123358/ENSG00000099139/ENSG00000184113/ENSG00000116016/ENSG00000163513/ENSG00000122877/ENSG00000203883/ENSG00000189058/ENSG00000138639/ENSG00000221866/ENSG00000101331/ENSG00000140945/ENSG00000136826/ENSG00000113296/ENSG00000116678/ENSG00000173269/ENSG00000127329/ENSG00000109472/ENSG00000081189/ENSG00000186642/ENSG00000164741/ENSG00000204301/ENSG00000163638/ENSG00000120332/ENSG00000173482/ENSG00000121577/ENSG00000020181/ENSG00000133392/ENSG00000128052/ENSG00000066056/ENSG00000120156/ENSG00000017427/ENSG00000101280/ENSG00000125810/ENSG00000164867/ENSG00000154133/ENSG00000117525/ENSG00000170962/ENSG00000145147/ENSG00000179388/ENSG00000142798/ENSG00000138722/ENSG00000037280/ENSG00000049540/ENSG00000124212/ENSG00000128917/ENSG00000105538/ENSG00000174059/ENSG00000168356/ENSG00000197461/ENSG00000111961",91
"GO:0001525","GO:0001525","angiogenesis","65/453","296/6528",0.219594594594595,3.16448899230356,10.40687362869,8.52488098679317e-18,6.64088228871188e-15,6.64088228871188e-15,"ENSG00000106511/ENSG00000139567/ENSG00000146374/ENSG00000164736/ENSG00000150630/ENSG00000176435/ENSG00000164619/ENSG00000171951/ENSG00000134954/ENSG00000127528/ENSG00000134817/ENSG00000102755/ENSG00000125968/ENSG00000005108/ENSG00000136011/ENSG00000126785/ENSG00000092009/ENSG00000135298/ENSG00000170989/ENSG00000179776/ENSG00000101384/ENSG00000136999/ENSG00000198719/ENSG00000178878/ENSG00000249751/ENSG00000064989/ENSG00000240583/ENSG00000106991/ENSG00000123358/ENSG00000184113/ENSG00000116016/ENSG00000163513/ENSG00000203883/ENSG00000189058/ENSG00000138639/ENSG00000140945/ENSG00000136826/ENSG00000113296/ENSG00000116678/ENSG00000173269/ENSG00000127329/ENSG00000204301/ENSG00000163638/ENSG00000120332/ENSG00000173482/ENSG00000020181/ENSG00000128052/ENSG00000066056/ENSG00000120156/ENSG00000101280/ENSG00000125810/ENSG00000164867/ENSG00000154133/ENSG00000117525/ENSG00000145147/ENSG00000179388/ENSG00000142798/ENSG00000138722/ENSG00000037280/ENSG00000124212/ENSG00000128917/ENSG00000105538/ENSG00000174059/ENSG00000197461/ENSG00000111961",65
"GO:0048514","GO:0048514","blood vessel morphogenesis","67/453","322/6528",0.208074534161491,2.99847805520135,10.0427858080498,4.96361202783951e-17,3.09332301574958e-14,3.09332301574958e-14,"ENSG00000106511/ENSG00000139567/ENSG00000146374/ENSG00000164736/ENSG00000150630/ENSG00000176435/ENSG00000164619/ENSG00000171951/ENSG00000134954/ENSG00000127528/ENSG00000134817/ENSG00000102755/ENSG00000125968/ENSG00000005108/ENSG00000136011/ENSG00000126785/ENSG00000174804/ENSG00000092009/ENSG00000135298/ENSG00000170989/ENSG00000179776/ENSG00000101384/ENSG00000136999/ENSG00000198719/ENSG00000105974/ENSG00000178878/ENSG00000249751/ENSG00000064989/ENSG00000240583/ENSG00000106991/ENSG00000123358/ENSG00000184113/ENSG00000116016/ENSG00000163513/ENSG00000203883/ENSG00000189058/ENSG00000138639/ENSG00000140945/ENSG00000136826/ENSG00000113296/ENSG00000116678/ENSG00000173269/ENSG00000127329/ENSG00000204301/ENSG00000163638/ENSG00000120332/ENSG00000173482/ENSG00000020181/ENSG00000128052/ENSG00000066056/ENSG00000120156/ENSG00000101280/ENSG00000125810/ENSG00000164867/ENSG00000154133/ENSG00000117525/ENSG00000145147/ENSG00000179388/ENSG00000142798/ENSG00000138722/ENSG00000037280/ENSG00000124212/ENSG00000128917/ENSG00000105538/ENSG00000174059/ENSG00000197461/ENSG00000111961",67
"GO:0008015","GO:0008015","blood circulation","51/453","221/6528",0.230769230769231,3.32552215995925,9.60368639394728,4.85488151521324e-15,2.52130180023407e-12,2.52130180023407e-12,"ENSG00000139567/ENSG00000166148/ENSG00000145362/ENSG00000150630/ENSG00000130037/ENSG00000148180/ENSG00000127528/ENSG00000163751/ENSG00000177098/ENSG00000092009/ENSG00000169252/ENSG00000018625/ENSG00000136546/ENSG00000153162/ENSG00000179776/ENSG00000135914/ENSG00000069431/ENSG00000149575/ENSG00000261371/ENSG00000198719/ENSG00000133116/ENSG00000105974/ENSG00000118515/ENSG00000092051/ENSG00000106991/ENSG00000165124/ENSG00000169554/ENSG00000136160/ENSG00000099139/ENSG00000184113/ENSG00000121361/ENSG00000100448/ENSG00000148700/ENSG00000166257/ENSG00000213949/ENSG00000186642/ENSG00000121577/ENSG00000013016/ENSG00000169432/ENSG00000120156/ENSG00000164867/ENSG00000153253/ENSG00000172572/ENSG00000145147/ENSG00000129244/ENSG00000130300/ENSG00000244734/ENSG00000049540/ENSG00000168356/ENSG00000164116/ENSG00000118729",51
"GO:0003013","GO:0003013","circulatory system process","57/453","280/6528",0.203571428571429,2.93358561967834,9.03035199317733,3.85140563459171e-14,1.71442570819825e-11,1.71442570819825e-11,"ENSG00000139567/ENSG00000166148/ENSG00000145362/ENSG00000150630/ENSG00000130037/ENSG00000152779/ENSG00000148180/ENSG00000127528/ENSG00000163751/ENSG00000177098/ENSG00000092009/ENSG00000169252/ENSG00000018625/ENSG00000136546/ENSG00000153162/ENSG00000179776/ENSG00000135914/ENSG00000069431/ENSG00000149575/ENSG00000261371/ENSG00000198719/ENSG00000133116/ENSG00000105974/ENSG00000118515/ENSG00000092051/ENSG00000106991/ENSG00000165124/ENSG00000118596/ENSG00000169554/ENSG00000136160/ENSG00000099139/ENSG00000184113/ENSG00000121361/ENSG00000116678/ENSG00000100448/ENSG00000148700/ENSG00000166257/ENSG00000213949/ENSG00000186642/ENSG00000118777/ENSG00000139155/ENSG00000121577/ENSG00000085563/ENSG00000013016/ENSG00000169432/ENSG00000120156/ENSG00000164867/ENSG00000153253/ENSG00000172572/ENSG00000145147/ENSG00000129244/ENSG00000130300/ENSG00000244734/ENSG00000049540/ENSG00000168356/ENSG00000164116/ENSG00000118729",57
"GO:0035239","GO:0035239","tube morphogenesis","69/453","386/6528",0.178756476683938,2.57598737261092,8.71614097551331,5.77660725191673e-14,2.24998852462157e-11,2.24998852462157e-11,"ENSG00000106511/ENSG00000139567/ENSG00000146374/ENSG00000164736/ENSG00000150630/ENSG00000176435/ENSG00000164619/ENSG00000171951/ENSG00000134954/ENSG00000127528/ENSG00000134817/ENSG00000102755/ENSG00000125968/ENSG00000005108/ENSG00000136011/ENSG00000126785/ENSG00000174804/ENSG00000092009/ENSG00000135298/ENSG00000170989/ENSG00000179776/ENSG00000101384/ENSG00000136999/ENSG00000198719/ENSG00000105974/ENSG00000178878/ENSG00000249751/ENSG00000064989/ENSG00000240583/ENSG00000106991/ENSG00000123358/ENSG00000184113/ENSG00000116016/ENSG00000163513/ENSG00000203883/ENSG00000189058/ENSG00000138639/ENSG00000140945/ENSG00000136826/ENSG00000113296/ENSG00000116678/ENSG00000173269/ENSG00000127329/ENSG00000081189/ENSG00000164741/ENSG00000204301/ENSG00000163638/ENSG00000120332/ENSG00000173482/ENSG00000020181/ENSG00000128052/ENSG00000066056/ENSG00000120156/ENSG00000101280/ENSG00000125810/ENSG00000164867/ENSG00000154133/ENSG00000117525/ENSG00000145147/ENSG00000179388/ENSG00000142798/ENSG00000138722/ENSG00000037280/ENSG00000124212/ENSG00000128917/ENSG00000105538/ENSG00000174059/ENSG00000197461/ENSG00000111961",69
"GO:0035295","GO:0035295","tube development","74/453","449/6528",0.164810690423163,2.37502028053511,8.2442085380235,4.84497582407036e-13,1.67743829642258e-10,1.67743829642258e-10,"ENSG00000106511/ENSG00000139567/ENSG00000146374/ENSG00000164736/ENSG00000150630/ENSG00000176435/ENSG00000164619/ENSG00000171951/ENSG00000134954/ENSG00000127528/ENSG00000134817/ENSG00000102755/ENSG00000125968/ENSG00000005108/ENSG00000136011/ENSG00000126785/ENSG00000174804/ENSG00000092009/ENSG00000135298/ENSG00000170989/ENSG00000179776/ENSG00000128918/ENSG00000101384/ENSG00000136999/ENSG00000198719/ENSG00000105974/ENSG00000178878/ENSG00000249751/ENSG00000064989/ENSG00000163909/ENSG00000240583/ENSG00000106991/ENSG00000136160/ENSG00000123358/ENSG00000099139/ENSG00000184113/ENSG00000116016/ENSG00000163513/ENSG00000203883/ENSG00000189058/ENSG00000138639/ENSG00000221866/ENSG00000140945/ENSG00000136826/ENSG00000113296/ENSG00000116678/ENSG00000173269/ENSG00000127329/ENSG00000081189/ENSG00000164741/ENSG00000204301/ENSG00000163638/ENSG00000120332/ENSG00000173482/ENSG00000020181/ENSG00000128052/ENSG00000066056/ENSG00000120156/ENSG00000101280/ENSG00000125810/ENSG00000164867/ENSG00000154133/ENSG00000117525/ENSG00000145147/ENSG00000179388/ENSG00000142798/ENSG00000138722/ENSG00000037280/ENSG00000124212/ENSG00000128917/ENSG00000105538/ENSG00000174059/ENSG00000197461/ENSG00000111961",74
"GO:0002040","GO:0002040","sprouting angiogenesis","26/453","78/6528",0.333333333333333,4.80353200883002,9.22756866695065,4.39460864728344e-12,1.36936005449352e-09,1.36936005449352e-09,"ENSG00000106511/ENSG00000139567/ENSG00000146374/ENSG00000150630/ENSG00000176435/ENSG00000164619/ENSG00000127528/ENSG00000134817/ENSG00000102755/ENSG00000126785/ENSG00000179776/ENSG00000198719/ENSG00000123358/ENSG00000140945/ENSG00000136826/ENSG00000173269/ENSG00000163638/ENSG00000120332/ENSG00000020181/ENSG00000128052/ENSG00000120156/ENSG00000145147/ENSG00000179388/ENSG00000138722/ENSG00000037280/ENSG00000128917",26
