"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006325","GO:0006325","chromatin organization","49/50","319/7721",0.153605015673981,23.7196865203762,33.4572927887728,1.7814970816433e-68,8.67376599568316e-67,4.47003291444198e-67,"ENSG00000184678/ENSG00000183598/ENSG00000158406/ENSG00000197837/ENSG00000184270/ENSG00000197238/ENSG00000187475/ENSG00000196787/ENSG00000273983/ENSG00000274997/ENSG00000196747/ENSG00000275714/ENSG00000158373/ENSG00000277775/ENSG00000124635/ENSG00000287080/ENSG00000273802/ENSG00000286522/ENSG00000185130/ENSG00000233822/ENSG00000187837/ENSG00000270882/ENSG00000274290/ENSG00000276966/ENSG00000203814/ENSG00000180596/ENSG00000276903/ENSG00000275713/ENSG00000168298/ENSG00000180573/ENSG00000277224/ENSG00000278828/ENSG00000197153/ENSG00000184357/ENSG00000124575/ENSG00000270276/ENSG00000277075/ENSG00000197903/ENSG00000278677/ENSG00000274750/ENSG00000184260/ENSG00000273703/ENSG00000274641/ENSG00000277157/ENSG00000197061/ENSG00000273542/ENSG00000278463/ENSG00000276180/ENSG00000278705",49
"GO:0006334","GO:0006334","nucleosome assembly","35/50","58/7721",0.603448275862069,93.1844827586207,56.8905415879706,1.80703458243399e-68,8.67376599568316e-67,4.47003291444198e-67,"ENSG00000184678/ENSG00000183598/ENSG00000158406/ENSG00000197837/ENSG00000197238/ENSG00000187475/ENSG00000273983/ENSG00000275714/ENSG00000277775/ENSG00000124635/ENSG00000287080/ENSG00000273802/ENSG00000286522/ENSG00000185130/ENSG00000233822/ENSG00000187837/ENSG00000270882/ENSG00000274290/ENSG00000276966/ENSG00000180596/ENSG00000275713/ENSG00000168298/ENSG00000277224/ENSG00000278828/ENSG00000197153/ENSG00000184357/ENSG00000124575/ENSG00000270276/ENSG00000274750/ENSG00000273703/ENSG00000277157/ENSG00000197061/ENSG00000273542/ENSG00000276180/ENSG00000278705",35
"GO:0034728","GO:0034728","nucleosome organization","35/50","63/7721",0.555555555555556,85.7888888888889,54.5530703841304,1.28011330712144e-66,4.09636258278862e-65,2.11106405034063e-65,"ENSG00000184678/ENSG00000183598/ENSG00000158406/ENSG00000197837/ENSG00000197238/ENSG00000187475/ENSG00000273983/ENSG00000275714/ENSG00000277775/ENSG00000124635/ENSG00000287080/ENSG00000273802/ENSG00000286522/ENSG00000185130/ENSG00000233822/ENSG00000187837/ENSG00000270882/ENSG00000274290/ENSG00000276966/ENSG00000180596/ENSG00000275713/ENSG00000168298/ENSG00000277224/ENSG00000278828/ENSG00000197153/ENSG00000184357/ENSG00000124575/ENSG00000270276/ENSG00000274750/ENSG00000273703/ENSG00000277157/ENSG00000197061/ENSG00000273542/ENSG00000276180/ENSG00000278705",35
"GO:0006338","GO:0006338","chromatin remodeling","45/50","253/7721",0.177865612648221,27.4660079051383,34.5552631640926,5.12597976901391e-63,1.23023514456334e-61,6.34002760904352e-62,"ENSG00000184678/ENSG00000183598/ENSG00000158406/ENSG00000197837/ENSG00000184270/ENSG00000197238/ENSG00000187475/ENSG00000196787/ENSG00000273983/ENSG00000274997/ENSG00000196747/ENSG00000275714/ENSG00000277775/ENSG00000124635/ENSG00000287080/ENSG00000273802/ENSG00000286522/ENSG00000185130/ENSG00000233822/ENSG00000187837/ENSG00000270882/ENSG00000274290/ENSG00000276966/ENSG00000180596/ENSG00000276903/ENSG00000275713/ENSG00000168298/ENSG00000180573/ENSG00000277224/ENSG00000278828/ENSG00000197153/ENSG00000184357/ENSG00000124575/ENSG00000270276/ENSG00000277075/ENSG00000278677/ENSG00000274750/ENSG00000184260/ENSG00000273703/ENSG00000277157/ENSG00000197061/ENSG00000273542/ENSG00000278463/ENSG00000276180/ENSG00000278705",45
"GO:0065004","GO:0065004","protein-DNA complex assembly","35/50","76/7721",0.460526315789474,71.1144736842105,49.5899180471316,1.08238145430955e-62,2.07817239227434e-61,1.07098796531682e-61,"ENSG00000184678/ENSG00000183598/ENSG00000158406/ENSG00000197837/ENSG00000197238/ENSG00000187475/ENSG00000273983/ENSG00000275714/ENSG00000277775/ENSG00000124635/ENSG00000287080/ENSG00000273802/ENSG00000286522/ENSG00000185130/ENSG00000233822/ENSG00000187837/ENSG00000270882/ENSG00000274290/ENSG00000276966/ENSG00000180596/ENSG00000275713/ENSG00000168298/ENSG00000277224/ENSG00000278828/ENSG00000197153/ENSG00000184357/ENSG00000124575/ENSG00000270276/ENSG00000274750/ENSG00000273703/ENSG00000277157/ENSG00000197061/ENSG00000273542/ENSG00000276180/ENSG00000278705",35
"GO:0071824","GO:0071824","protein-DNA complex organization","35/50","82/7721",0.426829268292683,65.9109756097561,47.706160916531,3.48953081536208e-61,5.58324930457933e-60,2.87733242670207e-60,"ENSG00000184678/ENSG00000183598/ENSG00000158406/ENSG00000197837/ENSG00000197238/ENSG00000187475/ENSG00000273983/ENSG00000275714/ENSG00000277775/ENSG00000124635/ENSG00000287080/ENSG00000273802/ENSG00000286522/ENSG00000185130/ENSG00000233822/ENSG00000187837/ENSG00000270882/ENSG00000274290/ENSG00000276966/ENSG00000180596/ENSG00000275713/ENSG00000168298/ENSG00000277224/ENSG00000278828/ENSG00000197153/ENSG00000184357/ENSG00000124575/ENSG00000270276/ENSG00000274750/ENSG00000273703/ENSG00000277157/ENSG00000197061/ENSG00000273542/ENSG00000276180/ENSG00000278705",35
"GO:0061644","GO:0061644","protein localization to CENP-A containing chromatin","14/50","15/7721",0.933333333333333,144.125333333333,44.7935310806726,4.61769584762868e-31,6.33284001960504e-30,3.26363465922628e-30,"ENSG00000158406/ENSG00000197837/ENSG00000197238/ENSG00000124635/ENSG00000270882/ENSG00000276966/ENSG00000270276/ENSG00000277075/ENSG00000277157/ENSG00000197061/ENSG00000273542/ENSG00000278463/ENSG00000276180/ENSG00000278705",14
"GO:0031507","GO:0031507","heterochromatin formation","20/50","75/7721",0.266666666666667,41.1786666666667,28.2277762537931,1.3563858693492e-28,1.62766304321904e-27,8.38817577097531e-28,"ENSG00000183598/ENSG00000184270/ENSG00000196787/ENSG00000273983/ENSG00000274997/ENSG00000196747/ENSG00000275714/ENSG00000277775/ENSG00000287080/ENSG00000286522/ENSG00000187837/ENSG00000276903/ENSG00000180573/ENSG00000278828/ENSG00000197153/ENSG00000277075/ENSG00000278677/ENSG00000274750/ENSG00000184260/ENSG00000278463",20
"GO:0070828","GO:0070828","heterochromatin organization","20/50","81/7721",0.246913580246914,38.1283950617284,27.1187500095195,7.75193102349108e-28,8.26872642505715e-27,4.261295416422e-27,"ENSG00000183598/ENSG00000184270/ENSG00000196787/ENSG00000273983/ENSG00000274997/ENSG00000196747/ENSG00000275714/ENSG00000277775/ENSG00000287080/ENSG00000286522/ENSG00000187837/ENSG00000276903/ENSG00000180573/ENSG00000278828/ENSG00000197153/ENSG00000277075/ENSG00000278677/ENSG00000274750/ENSG00000184260/ENSG00000278463",20
"GO:0045814","GO:0045814","negative regulation of gene expression, epigenetic","20/50","87/7721",0.229885057471264,35.4988505747126,26.1249720839077,3.83544933291776e-27,3.68203135960105e-26,1.89753809102247e-26,"ENSG00000183598/ENSG00000184270/ENSG00000196787/ENSG00000273983/ENSG00000274997/ENSG00000196747/ENSG00000275714/ENSG00000277775/ENSG00000287080/ENSG00000286522/ENSG00000187837/ENSG00000276903/ENSG00000180573/ENSG00000278828/ENSG00000197153/ENSG00000277075/ENSG00000278677/ENSG00000274750/ENSG00000184260/ENSG00000278463",20
"GO:0002227","GO:0002227","innate immune response in mucosa","14/50","22/7721",0.636363636363636,98.2672727272727,36.8831988854927,9.5473687654788e-27,8.33224910441786e-26,4.29403188495219e-26,"ENSG00000184678/ENSG00000158373/ENSG00000124635/ENSG00000273802/ENSG00000185130/ENSG00000233822/ENSG00000274290/ENSG00000203814/ENSG00000180596/ENSG00000275713/ENSG00000277224/ENSG00000197903/ENSG00000273703/ENSG00000274641",14
"GO:0032200","GO:0032200","telomere organization","19/50","76/7721",0.25,38.605,26.5969174433429,1.5824451242278e-26,1.26595609938224e-25,6.52411586304446e-26,"ENSG00000158406/ENSG00000197837/ENSG00000197238/ENSG00000273983/ENSG00000275714/ENSG00000277775/ENSG00000287080/ENSG00000286522/ENSG00000270882/ENSG00000276966/ENSG00000278828/ENSG00000197153/ENSG00000270276/ENSG00000274750/ENSG00000277157/ENSG00000197061/ENSG00000273542/ENSG00000276180/ENSG00000278705",19
"GO:0071459","GO:0071459","protein localization to chromosome, centromeric region","14/50","26/7721",0.538461538461538,83.1492307692308,33.8729892269235,2.83349354731405e-25,2.09242600417037e-24,1.07833357671061e-24,"ENSG00000158406/ENSG00000197837/ENSG00000197238/ENSG00000124635/ENSG00000270882/ENSG00000276966/ENSG00000270276/ENSG00000277075/ENSG00000277157/ENSG00000197061/ENSG00000273542/ENSG00000278463/ENSG00000276180/ENSG00000278705",14
"GO:0040029","GO:0040029","epigenetic regulation of gene expression","20/50","123/7721",0.16260162601626,25.1089430894309,21.7594915896328,7.11115094022315e-24,4.87160640815729e-23,2.51058663578281e-23,"ENSG00000183598/ENSG00000184270/ENSG00000196787/ENSG00000273983/ENSG00000274997/ENSG00000196747/ENSG00000275714/ENSG00000277775/ENSG00000287080/ENSG00000286522/ENSG00000187837/ENSG00000276903/ENSG00000180573/ENSG00000278828/ENSG00000197153/ENSG00000277075/ENSG00000278677/ENSG00000274750/ENSG00000184260/ENSG00000278463",20
"GO:0002385","GO:0002385","mucosal immune response","14/50","31/7721",0.451612903225806,69.738064516129,30.9586944118877,7.61188501274576e-24,4.87160640815729e-23,2.51058663578281e-23,"ENSG00000184678/ENSG00000158373/ENSG00000124635/ENSG00000273802/ENSG00000185130/ENSG00000233822/ENSG00000274290/ENSG00000203814/ENSG00000180596/ENSG00000275713/ENSG00000277224/ENSG00000197903/ENSG00000273703/ENSG00000274641",14
"GO:0002251","GO:0002251","organ or tissue specific immune response","14/50","34/7721",0.411764705882353,63.5847058823529,29.525475092718,3.94344602665174e-23,2.18520158408642e-22,1.12614555320243e-22,"ENSG00000184678/ENSG00000158373/ENSG00000124635/ENSG00000273802/ENSG00000185130/ENSG00000233822/ENSG00000274290/ENSG00000203814/ENSG00000180596/ENSG00000275713/ENSG00000277224/ENSG00000197903/ENSG00000273703/ENSG00000274641",14
"GO:0071168","GO:0071168","protein localization to chromatin","14/50","34/7721",0.411764705882353,63.5847058823529,29.525475092718,3.94344602665174e-23,2.18520158408642e-22,1.12614555320243e-22,"ENSG00000158406/ENSG00000197837/ENSG00000197238/ENSG00000124635/ENSG00000270882/ENSG00000276966/ENSG00000270276/ENSG00000277075/ENSG00000277157/ENSG00000197061/ENSG00000273542/ENSG00000278463/ENSG00000276180/ENSG00000278705",14
"GO:0051276","GO:0051276","chromosome organization","24/50","252/7721",0.0952380952380952,14.7066666666667,17.8594694382079,4.09725297016204e-23,2.18520158408642e-22,1.12614555320243e-22,"ENSG00000158406/ENSG00000197837/ENSG00000197238/ENSG00000187475/ENSG00000273983/ENSG00000275714/ENSG00000277775/ENSG00000287080/ENSG00000286522/ENSG00000187837/ENSG00000270882/ENSG00000276966/ENSG00000168298/ENSG00000278828/ENSG00000197153/ENSG00000184357/ENSG00000124575/ENSG00000270276/ENSG00000274750/ENSG00000277157/ENSG00000197061/ENSG00000273542/ENSG00000276180/ENSG00000278705",24
"GO:0045653","GO:0045653","negative regulation of megakaryocyte differentiation","11/50","14/7721",0.785714285714286,121.33,36.3800185364356,9.27302301300417e-23,4.68531689078105e-22,2.41458216959111e-22,"ENSG00000158406/ENSG00000197837/ENSG00000197238/ENSG00000270882/ENSG00000276966/ENSG00000270276/ENSG00000277157/ENSG00000197061/ENSG00000273542/ENSG00000276180/ENSG00000278705",11
"GO:0034502","GO:0034502","protein localization to chromosome","14/50","48/7721",0.291666666666667,45.0391666666667,24.7084085071354,1.28511716423182e-20,6.16856238831275e-20,3.17897403783662e-20,"ENSG00000158406/ENSG00000197837/ENSG00000197238/ENSG00000124635/ENSG00000270882/ENSG00000276966/ENSG00000270276/ENSG00000277075/ENSG00000277157/ENSG00000197061/ENSG00000273542/ENSG00000278463/ENSG00000276180/ENSG00000278705",14
"GO:0019731","GO:0019731","antibacterial humoral response","14/50","49/7721",0.285714285714286,44.12,24.4450064434008,1.79129301206808e-20,8.18876805516839e-20,4.2200888003609e-20,"ENSG00000184678/ENSG00000158373/ENSG00000124635/ENSG00000273802/ENSG00000185130/ENSG00000233822/ENSG00000274290/ENSG00000203814/ENSG00000180596/ENSG00000275713/ENSG00000277224/ENSG00000197903/ENSG00000273703/ENSG00000274641",14
"GO:0045652","GO:0045652","regulation of megakaryocyte differentiation","11/50","24/7721",0.458333333333333,70.7758333333333,27.6386973644855,6.07004662788209e-19,2.64874761943946e-18,1.36503440914095e-18,"ENSG00000158406/ENSG00000197837/ENSG00000197238/ENSG00000270882/ENSG00000276966/ENSG00000270276/ENSG00000277157/ENSG00000197061/ENSG00000273542/ENSG00000276180/ENSG00000278705",11
"GO:0030219","GO:0030219","megakaryocyte differentiation","11/50","35/7721",0.314285714285714,48.532,22.7529431407549,9.63953343981635e-17,4.02345743574943e-16,2.0734923188621e-16,"ENSG00000158406/ENSG00000197837/ENSG00000197238/ENSG00000270882/ENSG00000276966/ENSG00000270276/ENSG00000277157/ENSG00000197061/ENSG00000273542/ENSG00000276180/ENSG00000278705",11
