"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003341","GO:0003341","cilium movement","33/49","142/7721",0.232394366197183,36.6187122736418,34.2348812743891,2.72921562462838e-47,1.08076938735284e-44,6.96354887747218e-45,"ENSG00000080572/ENSG00000122735/ENSG00000163060/ENSG00000170788/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000157856/ENSG00000186710/ENSG00000270765/ENSG00000213085/ENSG00000163576/ENSG00000171595/ENSG00000188596/ENSG00000165164/ENSG00000165309/ENSG00000215217/ENSG00000145491/ENSG00000115423/ENSG00000167858/ENSG00000188523/ENSG00000183644/ENSG00000163075/ENSG00000111834/ENSG00000164675/ENSG00000179902/ENSG00000157330/ENSG00000158486/ENSG00000137098/ENSG00000105479/ENSG00000137473/ENSG00000162643/ENSG00000159625",33
"GO:0001539","GO:0001539","cilium or flagellum-dependent cell motility","29/49","123/7721",0.235772357723577,37.150987224158,32.2979877792743,4.74801701585567e-41,4.70053684569712e-39,3.02862187423196e-39,"ENSG00000080572/ENSG00000122735/ENSG00000163060/ENSG00000170788/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000157856/ENSG00000270765/ENSG00000213085/ENSG00000163576/ENSG00000188596/ENSG00000165164/ENSG00000165309/ENSG00000215217/ENSG00000145491/ENSG00000115423/ENSG00000167858/ENSG00000188523/ENSG00000183644/ENSG00000111834/ENSG00000164675/ENSG00000179902/ENSG00000157330/ENSG00000158486/ENSG00000137098/ENSG00000105479/ENSG00000162643/ENSG00000159625",29
"GO:0060285","GO:0060285","cilium-dependent cell motility","29/49","123/7721",0.235772357723577,37.150987224158,32.2979877792743,4.74801701585567e-41,4.70053684569712e-39,3.02862187423196e-39,"ENSG00000080572/ENSG00000122735/ENSG00000163060/ENSG00000170788/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000157856/ENSG00000270765/ENSG00000213085/ENSG00000163576/ENSG00000188596/ENSG00000165164/ENSG00000165309/ENSG00000215217/ENSG00000145491/ENSG00000115423/ENSG00000167858/ENSG00000188523/ENSG00000183644/ENSG00000111834/ENSG00000164675/ENSG00000179902/ENSG00000157330/ENSG00000158486/ENSG00000137098/ENSG00000105479/ENSG00000162643/ENSG00000159625",29
"GO:0060294","GO:0060294","cilium movement involved in cell motility","29/49","123/7721",0.235772357723577,37.150987224158,32.2979877792743,4.74801701585567e-41,4.70053684569712e-39,3.02862187423196e-39,"ENSG00000080572/ENSG00000122735/ENSG00000163060/ENSG00000170788/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000157856/ENSG00000270765/ENSG00000213085/ENSG00000163576/ENSG00000188596/ENSG00000165164/ENSG00000165309/ENSG00000215217/ENSG00000145491/ENSG00000115423/ENSG00000167858/ENSG00000188523/ENSG00000183644/ENSG00000111834/ENSG00000164675/ENSG00000179902/ENSG00000157330/ENSG00000158486/ENSG00000137098/ENSG00000105479/ENSG00000162643/ENSG00000159625",29
"GO:0007018","GO:0007018","microtubule-based movement","33/49","233/7721",0.141630901287554,22.3169834457388,26.4042103360496,1.48874068983344e-39,1.17908262634808e-37,7.59699487719911e-38,"ENSG00000080572/ENSG00000122735/ENSG00000163060/ENSG00000170788/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000157856/ENSG00000186710/ENSG00000270765/ENSG00000213085/ENSG00000163576/ENSG00000171595/ENSG00000188596/ENSG00000165164/ENSG00000165309/ENSG00000215217/ENSG00000145491/ENSG00000115423/ENSG00000167858/ENSG00000188523/ENSG00000183644/ENSG00000163075/ENSG00000111834/ENSG00000164675/ENSG00000179902/ENSG00000157330/ENSG00000158486/ENSG00000137098/ENSG00000105479/ENSG00000137473/ENSG00000162643/ENSG00000159625",33
"GO:0007017","GO:0007017","microtubule-based process","37/49","469/7721",0.0788912579957356,12.4310082241852,20.4124180394653,1.16177661074742e-35,7.66772563093295e-34,4.94042326095383e-34,"ENSG00000080572/ENSG00000164287/ENSG00000122735/ENSG00000163060/ENSG00000170788/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000157856/ENSG00000186710/ENSG00000270765/ENSG00000213085/ENSG00000163576/ENSG00000171595/ENSG00000188596/ENSG00000165164/ENSG00000165309/ENSG00000215217/ENSG00000145491/ENSG00000115423/ENSG00000167858/ENSG00000188523/ENSG00000183644/ENSG00000163075/ENSG00000111834/ENSG00000164675/ENSG00000179902/ENSG00000129654/ENSG00000157330/ENSG00000158486/ENSG00000137098/ENSG00000105479/ENSG00000137473/ENSG00000162643/ENSG00000243910/ENSG00000234602/ENSG00000159625",37
"GO:0030317","GO:0030317","flagellated sperm motility","25/49","111/7721",0.225225225225225,35.4890604890605,29.2484541875453,2.37139653464591e-34,1.17384128464973e-32,7.56322417687475e-33,"ENSG00000080572/ENSG00000122735/ENSG00000163060/ENSG00000170788/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000157856/ENSG00000213085/ENSG00000163576/ENSG00000188596/ENSG00000165164/ENSG00000165309/ENSG00000215217/ENSG00000145491/ENSG00000167858/ENSG00000188523/ENSG00000183644/ENSG00000164675/ENSG00000179902/ENSG00000157330/ENSG00000158486/ENSG00000137098/ENSG00000105479/ENSG00000159625",25
"GO:0097722","GO:0097722","sperm motility","25/49","111/7721",0.225225225225225,35.4890604890605,29.2484541875453,2.37139653464591e-34,1.17384128464973e-32,7.56322417687475e-33,"ENSG00000080572/ENSG00000122735/ENSG00000163060/ENSG00000170788/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000157856/ENSG00000213085/ENSG00000163576/ENSG00000188596/ENSG00000165164/ENSG00000165309/ENSG00000215217/ENSG00000145491/ENSG00000167858/ENSG00000188523/ENSG00000183644/ENSG00000164675/ENSG00000179902/ENSG00000157330/ENSG00000158486/ENSG00000137098/ENSG00000105479/ENSG00000159625",25
"GO:0044782","GO:0044782","cilium organization","23/49","176/7721",0.130681818181818,20.5917207792208,21.0112401963391,1.38164036046618e-25,6.07921758605121e-24,3.91692522869688e-24,"ENSG00000080572/ENSG00000153789/ENSG00000122735/ENSG00000163060/ENSG00000157856/ENSG00000186710/ENSG00000171595/ENSG00000188596/ENSG00000165164/ENSG00000167858/ENSG00000183644/ENSG00000163075/ENSG00000111834/ENSG00000164675/ENSG00000129654/ENSG00000158486/ENSG00000158428/ENSG00000105479/ENSG00000137473/ENSG00000162643/ENSG00000234602/ENSG00000152669/ENSG00000159625",23
"GO:0060271","GO:0060271","cilium assembly","21/49","158/7721",0.132911392405063,20.9430379746835,20.2406848356208,2.09702056811178e-23,8.30420144972265e-22,5.3505135656327e-22,"ENSG00000080572/ENSG00000153789/ENSG00000122735/ENSG00000163060/ENSG00000157856/ENSG00000186710/ENSG00000171595/ENSG00000188596/ENSG00000165164/ENSG00000167858/ENSG00000183644/ENSG00000163075/ENSG00000111834/ENSG00000164675/ENSG00000129654/ENSG00000158486/ENSG00000105479/ENSG00000162643/ENSG00000234602/ENSG00000152669/ENSG00000159625",21
