"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019915","GO:0019915","lipid storage","8/79","42/6528",0.19047619047619,15.7396021699819,10.6058650884141,2.7160206496776e-08,2.05172542377766e-05,4.21559861207496e-06,"ENSG00000135218/ENSG00000176194/ENSG00000174697/ENSG00000076555/ENSG00000136244/ENSG00000132170/ENSG00000187288/ENSG00000175445",8
"GO:0170062","GO:0170062","nutrient storage","8/79","43/6528",0.186046511627907,15.3735649102149,10.4656907021856,3.30451346599076e-08,2.05172542377766e-05,4.21559861207496e-06,"ENSG00000135218/ENSG00000176194/ENSG00000174697/ENSG00000076555/ENSG00000136244/ENSG00000132170/ENSG00000187288/ENSG00000175445",8
"GO:0016042","GO:0016042","lipid catabolic process","13/79","158/6528",0.0822784810126582,6.79891043102067,8.16637636788212,3.95968682195209e-08,2.05172542377766e-05,4.21559861207496e-06,"ENSG00000176194/ENSG00000174697/ENSG00000076555/ENSG00000166819/ENSG00000137869/ENSG00000152270/ENSG00000079435/ENSG00000188257/ENSG00000182782/ENSG00000187288/ENSG00000181092/ENSG00000170323/ENSG00000175445",13
"GO:0010876","GO:0010876","lipid localization","14/79","191/6528",0.0732984293193717,6.05686261515011,7.85018964320929,4.90843402817622e-08,2.05172542377766e-05,4.21559861207496e-06,"ENSG00000135218/ENSG00000176194/ENSG00000174697/ENSG00000076555/ENSG00000136244/ENSG00000137869/ENSG00000188257/ENSG00000132170/ENSG00000154263/ENSG00000187288/ENSG00000181092/ENSG00000170323/ENSG00000138207/ENSG00000175445",14
"GO:0050995","GO:0050995","negative regulation of lipid catabolic process","6/79","20/6528",0.3,24.7898734177215,11.7925444101566,8.77875775776749e-08,2.93561659419745e-05,6.03169463938176e-06,"ENSG00000176194/ENSG00000076555/ENSG00000166819/ENSG00000152270/ENSG00000182782/ENSG00000187288",6
"GO:0010883","GO:0010883","regulation of lipid storage","6/79","26/6528",0.230769230769231,19.0691333982473,10.2170302467708,4.92176477954234e-07,0.000137153178523246,2.81803180056964e-05,"ENSG00000135218/ENSG00000174697/ENSG00000076555/ENSG00000136244/ENSG00000132170/ENSG00000175445",6
"GO:0006641","GO:0006641","triglyceride metabolic process","7/79","46/6528",0.152173913043478,12.5745734727573,8.71873669263085,1.0635900537242e-06,0.000254046081403837,5.2197837769015e-05,"ENSG00000124253/ENSG00000166819/ENSG00000119927/ENSG00000079435/ENSG00000187288/ENSG00000170323/ENSG00000175445",7
"GO:0019216","GO:0019216","regulation of lipid metabolic process","11/79","148/6528",0.0743243243243243,6.14163530619227,7.00238444870451,1.34928918028231e-06,0.000282001438679002,5.79417138239435e-05,"ENSG00000176194/ENSG00000174697/ENSG00000124253/ENSG00000076555/ENSG00000166819/ENSG00000004799/ENSG00000152270/ENSG00000132170/ENSG00000182782/ENSG00000187288/ENSG00000181092",11
"GO:0050994","GO:0050994","regulation of lipid catabolic process","6/79","34/6528",0.176470588235294,14.5822784810127,8.7877989123313,2.66204033253086e-06,0.000470817416514764,9.67369816934843e-05,"ENSG00000176194/ENSG00000076555/ENSG00000166819/ENSG00000152270/ENSG00000182782/ENSG00000187288",6
"GO:1905952","GO:1905952","regulation of lipid localization","8/79","75/6528",0.106666666666667,8.81417721518987,7.53281356483748,2.81589363944237e-06,0.000470817416514764,9.67369816934843e-05,"ENSG00000135218/ENSG00000174697/ENSG00000076555/ENSG00000136244/ENSG00000137869/ENSG00000132170/ENSG00000181092/ENSG00000175445",8
