"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001568","GO:0001568","blood vessel development","79/484","370/7721",0.213513513513514,3.4060699128881,12.2655757168185,2.18482459529568e-23,7.3388258155982e-20,6.38408627400159e-20,"ENSG00000106511/ENSG00000139567/ENSG00000132170/ENSG00000146374/ENSG00000165197/ENSG00000164736/ENSG00000164619/ENSG00000127528/ENSG00000134817/ENSG00000168356/ENSG00000120738/ENSG00000037280/ENSG00000136011/ENSG00000126785/ENSG00000174804/ENSG00000092009/ENSG00000135298/ENSG00000170989/ENSG00000179776/ENSG00000064989/ENSG00000101384/ENSG00000198719/ENSG00000000005/ENSG00000178878/ENSG00000249751/ENSG00000004776/ENSG00000102760/ENSG00000135218/ENSG00000197461/ENSG00000106991/ENSG00000123358/ENSG00000203883/ENSG00000184113/ENSG00000152270/ENSG00000127329/ENSG00000163513/ENSG00000122877/ENSG00000166292/ENSG00000176435/ENSG00000128052/ENSG00000189058/ENSG00000136826/ENSG00000113296/ENSG00000117525/ENSG00000173269/ENSG00000116678/ENSG00000081189/ENSG00000204301/ENSG00000136244/ENSG00000240583/ENSG00000120332/ENSG00000066056/ENSG00000186642/ENSG00000156427/ENSG00000116016/ENSG00000120156/ENSG00000101280/ENSG00000241186/ENSG00000261371/ENSG00000125810/ENSG00000154133/ENSG00000171951/ENSG00000164867/ENSG00000169418/ENSG00000179388/ENSG00000136999/ENSG00000179772/ENSG00000125968/ENSG00000174697/ENSG00000138722/ENSG00000005108/ENSG00000170962/ENSG00000141052/ENSG00000105974/ENSG00000128917/ENSG00000039537/ENSG00000105538/ENSG00000124212/ENSG00000174059",79
"GO:0001944","GO:0001944","vasculature development","80/484","384/7721",0.208333333333333,3.32343319559229,12.0778209569024,5.93921634205225e-23,9.97491384647676e-20,8.67723422952639e-20,"ENSG00000106511/ENSG00000139567/ENSG00000132170/ENSG00000146374/ENSG00000165197/ENSG00000164736/ENSG00000164619/ENSG00000127528/ENSG00000134817/ENSG00000168356/ENSG00000120738/ENSG00000037280/ENSG00000136011/ENSG00000126785/ENSG00000174804/ENSG00000092009/ENSG00000135298/ENSG00000170989/ENSG00000179776/ENSG00000064989/ENSG00000101384/ENSG00000198719/ENSG00000000005/ENSG00000178878/ENSG00000249751/ENSG00000004776/ENSG00000102760/ENSG00000135218/ENSG00000197461/ENSG00000106991/ENSG00000165124/ENSG00000123358/ENSG00000203883/ENSG00000184113/ENSG00000152270/ENSG00000127329/ENSG00000163513/ENSG00000122877/ENSG00000166292/ENSG00000176435/ENSG00000128052/ENSG00000189058/ENSG00000136826/ENSG00000113296/ENSG00000117525/ENSG00000173269/ENSG00000116678/ENSG00000081189/ENSG00000204301/ENSG00000136244/ENSG00000240583/ENSG00000120332/ENSG00000066056/ENSG00000186642/ENSG00000156427/ENSG00000116016/ENSG00000120156/ENSG00000101280/ENSG00000241186/ENSG00000261371/ENSG00000125810/ENSG00000154133/ENSG00000171951/ENSG00000164867/ENSG00000169418/ENSG00000179388/ENSG00000136999/ENSG00000179772/ENSG00000125968/ENSG00000174697/ENSG00000138722/ENSG00000005108/ENSG00000170962/ENSG00000141052/ENSG00000105974/ENSG00000128917/ENSG00000039537/ENSG00000105538/ENSG00000124212/ENSG00000174059",80
"GO:0001525","GO:0001525","angiogenesis","67/484","313/7721",0.21405750798722,3.41474797349035,11.2783491949812,6.31740037071354e-20,7.0733826150756e-17,6.15317572569812e-17,"ENSG00000106511/ENSG00000139567/ENSG00000132170/ENSG00000146374/ENSG00000165197/ENSG00000164736/ENSG00000164619/ENSG00000127528/ENSG00000134817/ENSG00000037280/ENSG00000136011/ENSG00000126785/ENSG00000092009/ENSG00000135298/ENSG00000170989/ENSG00000179776/ENSG00000064989/ENSG00000101384/ENSG00000198719/ENSG00000000005/ENSG00000178878/ENSG00000249751/ENSG00000004776/ENSG00000102760/ENSG00000135218/ENSG00000197461/ENSG00000106991/ENSG00000123358/ENSG00000203883/ENSG00000184113/ENSG00000152270/ENSG00000127329/ENSG00000163513/ENSG00000176435/ENSG00000128052/ENSG00000189058/ENSG00000136826/ENSG00000113296/ENSG00000117525/ENSG00000173269/ENSG00000116678/ENSG00000204301/ENSG00000136244/ENSG00000240583/ENSG00000120332/ENSG00000066056/ENSG00000156427/ENSG00000116016/ENSG00000120156/ENSG00000101280/ENSG00000241186/ENSG00000125810/ENSG00000154133/ENSG00000171951/ENSG00000164867/ENSG00000169418/ENSG00000179388/ENSG00000136999/ENSG00000125968/ENSG00000174697/ENSG00000138722/ENSG00000005108/ENSG00000128917/ENSG00000039537/ENSG00000105538/ENSG00000124212/ENSG00000174059",67
"GO:0048514","GO:0048514","blood vessel morphogenesis","70/484","344/7721",0.203488372093023,3.24614405150874,11.0212024371668,1.69981619194582e-19,1.4274206471865e-16,1.24172133116461e-16,"ENSG00000106511/ENSG00000139567/ENSG00000132170/ENSG00000146374/ENSG00000165197/ENSG00000164736/ENSG00000164619/ENSG00000127528/ENSG00000134817/ENSG00000037280/ENSG00000136011/ENSG00000126785/ENSG00000174804/ENSG00000092009/ENSG00000135298/ENSG00000170989/ENSG00000179776/ENSG00000064989/ENSG00000101384/ENSG00000198719/ENSG00000000005/ENSG00000178878/ENSG00000249751/ENSG00000004776/ENSG00000102760/ENSG00000135218/ENSG00000197461/ENSG00000106991/ENSG00000123358/ENSG00000203883/ENSG00000184113/ENSG00000152270/ENSG00000127329/ENSG00000163513/ENSG00000166292/ENSG00000176435/ENSG00000128052/ENSG00000189058/ENSG00000136826/ENSG00000113296/ENSG00000117525/ENSG00000173269/ENSG00000116678/ENSG00000204301/ENSG00000136244/ENSG00000240583/ENSG00000120332/ENSG00000066056/ENSG00000156427/ENSG00000116016/ENSG00000120156/ENSG00000101280/ENSG00000241186/ENSG00000125810/ENSG00000154133/ENSG00000171951/ENSG00000164867/ENSG00000169418/ENSG00000179388/ENSG00000136999/ENSG00000125968/ENSG00000174697/ENSG00000138722/ENSG00000005108/ENSG00000105974/ENSG00000128917/ENSG00000039537/ENSG00000105538/ENSG00000124212/ENSG00000174059",70
"GO:0035239","GO:0035239","tube morphogenesis","73/484","419/7721",0.174224343675418,2.77931024280558,9.68478135964218,2.3614638698062e-16,1.58643142773581e-13,1.38004571261613e-13,"ENSG00000106511/ENSG00000139567/ENSG00000132170/ENSG00000146374/ENSG00000165197/ENSG00000164736/ENSG00000164619/ENSG00000127528/ENSG00000134817/ENSG00000037280/ENSG00000136011/ENSG00000126785/ENSG00000174804/ENSG00000092009/ENSG00000135298/ENSG00000170989/ENSG00000179776/ENSG00000064989/ENSG00000101384/ENSG00000198719/ENSG00000000005/ENSG00000178878/ENSG00000249751/ENSG00000004776/ENSG00000102760/ENSG00000135218/ENSG00000197461/ENSG00000106991/ENSG00000123358/ENSG00000203883/ENSG00000184113/ENSG00000152270/ENSG00000127329/ENSG00000163513/ENSG00000166292/ENSG00000168874/ENSG00000176435/ENSG00000128052/ENSG00000189058/ENSG00000136826/ENSG00000113296/ENSG00000117525/ENSG00000173269/ENSG00000116678/ENSG00000081189/ENSG00000204301/ENSG00000136244/ENSG00000240583/ENSG00000120332/ENSG00000066056/ENSG00000156427/ENSG00000116016/ENSG00000120156/ENSG00000101280/ENSG00000241186/ENSG00000125810/ENSG00000154133/ENSG00000171951/ENSG00000164867/ENSG00000169418/ENSG00000179388/ENSG00000136999/ENSG00000111087/ENSG00000125968/ENSG00000174697/ENSG00000138722/ENSG00000005108/ENSG00000105974/ENSG00000128917/ENSG00000039537/ENSG00000105538/ENSG00000124212/ENSG00000174059",73
"GO:0035295","GO:0035295","tube development","77/484","494/7721",0.15587044534413,2.48652005888848,8.83094674308517,1.89885854086146e-14,1.06304430645894e-11,9.24748282088349e-12,"ENSG00000106511/ENSG00000139567/ENSG00000132170/ENSG00000146374/ENSG00000165197/ENSG00000164736/ENSG00000164619/ENSG00000127528/ENSG00000134817/ENSG00000037280/ENSG00000136011/ENSG00000126785/ENSG00000174804/ENSG00000092009/ENSG00000135298/ENSG00000170989/ENSG00000179776/ENSG00000064989/ENSG00000128918/ENSG00000101384/ENSG00000198719/ENSG00000000005/ENSG00000178878/ENSG00000249751/ENSG00000004776/ENSG00000102760/ENSG00000135218/ENSG00000197461/ENSG00000106991/ENSG00000136160/ENSG00000123358/ENSG00000203883/ENSG00000184113/ENSG00000152270/ENSG00000127329/ENSG00000163513/ENSG00000166292/ENSG00000168874/ENSG00000221866/ENSG00000176435/ENSG00000128052/ENSG00000189058/ENSG00000136826/ENSG00000113296/ENSG00000117525/ENSG00000173269/ENSG00000138207/ENSG00000116678/ENSG00000081189/ENSG00000204301/ENSG00000136244/ENSG00000240583/ENSG00000120332/ENSG00000066056/ENSG00000156427/ENSG00000116016/ENSG00000120156/ENSG00000101280/ENSG00000241186/ENSG00000125810/ENSG00000154133/ENSG00000171951/ENSG00000164867/ENSG00000169418/ENSG00000179388/ENSG00000136999/ENSG00000111087/ENSG00000125968/ENSG00000174697/ENSG00000138722/ENSG00000005108/ENSG00000105974/ENSG00000128917/ENSG00000039537/ENSG00000105538/ENSG00000124212/ENSG00000174059",77
"GO:0003013","GO:0003013","circulatory system process","60/484","335/7721",0.17910447761194,2.85716047859874,8.98709287035986,4.17694667992159e-14,2.0043376996938e-11,1.74358475301081e-11,"ENSG00000139567/ENSG00000132170/ENSG00000006128/ENSG00000120907/ENSG00000120049/ENSG00000130037/ENSG00000152779/ENSG00000181856/ENSG00000148180/ENSG00000121577/ENSG00000127528/ENSG00000163751/ENSG00000168356/ENSG00000177098/ENSG00000092009/ENSG00000169252/ENSG00000018625/ENSG00000136546/ENSG00000169432/ENSG00000153162/ENSG00000179776/ENSG00000135914/ENSG00000182132/ENSG00000149575/ENSG00000198719/ENSG00000181408/ENSG00000007314/ENSG00000139155/ENSG00000133116/ENSG00000092051/ENSG00000135218/ENSG00000106991/ENSG00000126895/ENSG00000165124/ENSG00000136160/ENSG00000185897/ENSG00000184113/ENSG00000146477/ENSG00000100448/ENSG00000100678/ENSG00000181092/ENSG00000121361/ENSG00000173641/ENSG00000166257/ENSG00000116678/ENSG00000145362/ENSG00000085563/ENSG00000186642/ENSG00000120156/ENSG00000118777/ENSG00000261371/ENSG00000164867/ENSG00000153253/ENSG00000130300/ENSG00000169418/ENSG00000174697/ENSG00000105974/ENSG00000049540/ENSG00000118729/ENSG00000129244",60
"GO:0008015","GO:0008015","blood circulation","52/484","273/7721",0.19047619047619,3.03856749311295,8.86826432113495,1.94889140672616e-13,8.18290779399148e-11,7.11835798282718e-11,"ENSG00000139567/ENSG00000132170/ENSG00000006128/ENSG00000120907/ENSG00000120049/ENSG00000130037/ENSG00000148180/ENSG00000121577/ENSG00000127528/ENSG00000163751/ENSG00000168356/ENSG00000177098/ENSG00000092009/ENSG00000169252/ENSG00000018625/ENSG00000136546/ENSG00000169432/ENSG00000153162/ENSG00000179776/ENSG00000135914/ENSG00000182132/ENSG00000149575/ENSG00000198719/ENSG00000181408/ENSG00000007314/ENSG00000133116/ENSG00000092051/ENSG00000106991/ENSG00000126895/ENSG00000165124/ENSG00000136160/ENSG00000185897/ENSG00000184113/ENSG00000100448/ENSG00000100678/ENSG00000181092/ENSG00000121361/ENSG00000173641/ENSG00000166257/ENSG00000145362/ENSG00000186642/ENSG00000120156/ENSG00000261371/ENSG00000164867/ENSG00000153253/ENSG00000130300/ENSG00000169418/ENSG00000174697/ENSG00000105974/ENSG00000049540/ENSG00000118729/ENSG00000129244",52
"GO:0043534","GO:0043534","blood vessel endothelial cell migration","21/484","59/7721",0.35593220338983,5.67800112060513,9.32754382399913,2.00050166268394e-11,7.46631676106149e-09,6.49499137182551e-09,"ENSG00000106511/ENSG00000139567/ENSG00000132170/ENSG00000126785/ENSG00000179776/ENSG00000102760/ENSG00000123358/ENSG00000203883/ENSG00000176435/ENSG00000128052/ENSG00000136826/ENSG00000173269/ENSG00000081189/ENSG00000156427/ENSG00000101280/ENSG00000241186/ENSG00000164867/ENSG00000179388/ENSG00000125968/ENSG00000138722/ENSG00000128917",21
"GO:0001935","GO:0001935","endothelial cell proliferation","25/484","89/7721",0.280898876404494,4.4810335221469,8.54153790852708,8.976901839718e-11,3.01534132796128e-08,2.62306255346083e-08,"ENSG00000139567/ENSG00000132170/ENSG00000164619/ENSG00000134817/ENSG00000037280/ENSG00000153162/ENSG00000135914/ENSG00000000005/ENSG00000102760/ENSG00000106991/ENSG00000123358/ENSG00000168874/ENSG00000128052/ENSG00000113296/ENSG00000117525/ENSG00000173269/ENSG00000081189/ENSG00000066056/ENSG00000120156/ENSG00000171951/ENSG00000179388/ENSG00000174697/ENSG00000105974/ENSG00000128917/ENSG00000174059",25
"GO:0001936","GO:0001936","regulation of endothelial cell proliferation","23/484","78/7721",0.294871794871795,4.70393621529985,8.50219214197811,1.75522879669519e-10,5.35983048009013e-08,4.66254698758368e-08,"ENSG00000139567/ENSG00000132170/ENSG00000134817/ENSG00000037280/ENSG00000153162/ENSG00000135914/ENSG00000000005/ENSG00000102760/ENSG00000106991/ENSG00000123358/ENSG00000168874/ENSG00000128052/ENSG00000113296/ENSG00000117525/ENSG00000173269/ENSG00000081189/ENSG00000066056/ENSG00000120156/ENSG00000171951/ENSG00000179388/ENSG00000174697/ENSG00000105974/ENSG00000128917",23
"GO:0002040","GO:0002040","sprouting angiogenesis","22/484","81/7721",0.271604938271605,4.3327721661055,7.79746619148474,2.49062136664504e-09,6.97166430880059e-07,6.0646903931365e-07,"ENSG00000106511/ENSG00000139567/ENSG00000146374/ENSG00000165197/ENSG00000164619/ENSG00000127528/ENSG00000134817/ENSG00000037280/ENSG00000126785/ENSG00000179776/ENSG00000198719/ENSG00000123358/ENSG00000176435/ENSG00000128052/ENSG00000136826/ENSG00000173269/ENSG00000120332/ENSG00000120156/ENSG00000241186/ENSG00000179388/ENSG00000138722/ENSG00000128917",22
"GO:0043542","GO:0043542","endothelial cell migration","28/484","130/7721",0.215384615384615,3.43591862682772,7.24330881412241,5.29235956342377e-09,1.36746429027234e-06,1.1895649556309e-06,"ENSG00000106511/ENSG00000139567/ENSG00000132170/ENSG00000164619/ENSG00000037280/ENSG00000126785/ENSG00000179776/ENSG00000102760/ENSG00000123358/ENSG00000203883/ENSG00000168874/ENSG00000176435/ENSG00000128052/ENSG00000162407/ENSG00000136826/ENSG00000173269/ENSG00000081189/ENSG00000156427/ENSG00000120156/ENSG00000101280/ENSG00000241186/ENSG00000171951/ENSG00000164867/ENSG00000179388/ENSG00000136999/ENSG00000125968/ENSG00000138722/ENSG00000128917",28
"GO:0003158","GO:0003158","endothelium development","20/484","71/7721",0.28169014084507,4.49365615178675,7.64769678280133,6.70294763206704e-09,1.44006674488675e-06,1.2527222434054e-06,"ENSG00000139567/ENSG00000164736/ENSG00000170989/ENSG00000153162/ENSG00000179776/ENSG00000101384/ENSG00000198719/ENSG00000178878/ENSG00000203883/ENSG00000184113/ENSG00000166292/ENSG00000168874/ENSG00000128052/ENSG00000204301/ENSG00000066056/ENSG00000186642/ENSG00000261371/ENSG00000154133/ENSG00000128917/ENSG00000174059",20
