"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005930","GO:0005930","axoneme","34/665","92/6929",0.369565217391304,3.85070284406669,8.9681313484562,9.12607130129755e-13,1.8525924741634e-10,1.8525924741634e-10,"ENSG00000118997/ENSG00000150628/ENSG00000101222/ENSG00000173013/ENSG00000154479/ENSG00000106571/ENSG00000197748/ENSG00000136449/ENSG00000186976/ENSG00000155761/ENSG00000243710/ENSG00000166578/ENSG00000119636/ENSG00000112981/ENSG00000039139/ENSG00000215217/ENSG00000171962/ENSG00000137098/ENSG00000178965/ENSG00000165695/ENSG00000160345/ENSG00000154099/ENSG00000156042/ENSG00000089101/ENSG00000160188/ENSG00000163879/ENSG00000158423/ENSG00000183833/ENSG00000213085/ENSG00000104237/ENSG00000171811/ENSG00000105479/ENSG00000198003/ENSG00000118307",34
"GO:0097014","GO:0097014","ciliary plasm","34/665","92/6929",0.369565217391304,3.85070284406669,8.9681313484562,9.12607130129755e-13,1.8525924741634e-10,1.8525924741634e-10,"ENSG00000118997/ENSG00000150628/ENSG00000101222/ENSG00000173013/ENSG00000154479/ENSG00000106571/ENSG00000197748/ENSG00000136449/ENSG00000186976/ENSG00000155761/ENSG00000243710/ENSG00000166578/ENSG00000119636/ENSG00000112981/ENSG00000039139/ENSG00000215217/ENSG00000171962/ENSG00000137098/ENSG00000178965/ENSG00000165695/ENSG00000160345/ENSG00000154099/ENSG00000156042/ENSG00000089101/ENSG00000160188/ENSG00000163879/ENSG00000158423/ENSG00000183833/ENSG00000213085/ENSG00000104237/ENSG00000171811/ENSG00000105479/ENSG00000198003/ENSG00000118307",34
"GO:0005929","GO:0005929","cilium","70/665","325/6929",0.215384615384615,2.24421052631579,7.48550159233298,2.98066554404529e-11,4.03383403627463e-09,4.03383403627463e-09,"ENSG00000118997/ENSG00000150628/ENSG00000169344/ENSG00000110318/ENSG00000187391/ENSG00000101222/ENSG00000173013/ENSG00000154479/ENSG00000106571/ENSG00000177994/ENSG00000140057/ENSG00000197748/ENSG00000181751/ENSG00000136449/ENSG00000111490/ENSG00000186976/ENSG00000197168/ENSG00000155761/ENSG00000104953/ENSG00000172139/ENSG00000243710/ENSG00000135111/ENSG00000132681/ENSG00000166578/ENSG00000119636/ENSG00000168280/ENSG00000134202/ENSG00000206113/ENSG00000112981/ENSG00000102001/ENSG00000120262/ENSG00000214530/ENSG00000039139/ENSG00000075886/ENSG00000215217/ENSG00000171962/ENSG00000152582/ENSG00000136883/ENSG00000137098/ENSG00000178965/ENSG00000162543/ENSG00000165695/ENSG00000186952/ENSG00000105792/ENSG00000160345/ENSG00000170011/ENSG00000188452/ENSG00000154099/ENSG00000156042/ENSG00000203780/ENSG00000089101/ENSG00000129295/ENSG00000160188/ENSG00000141294/ENSG00000163879/ENSG00000115459/ENSG00000158423/ENSG00000183833/ENSG00000109062/ENSG00000213085/ENSG00000137486/ENSG00000104237/ENSG00000174233/ENSG00000168589/ENSG00000171811/ENSG00000222014/ENSG00000105479/ENSG00000198003/ENSG00000161328/ENSG00000118307",70
"GO:0031514","GO:0031514","motile cilium","37/665","131/6929",0.282442748091603,2.94292601733341,7.31459389542538,7.70974682495185e-10,7.82539302732613e-08,7.82539302732613e-08,"ENSG00000118997/ENSG00000101222/ENSG00000154479/ENSG00000140057/ENSG00000197748/ENSG00000136449/ENSG00000186976/ENSG00000197168/ENSG00000104953/ENSG00000172139/ENSG00000243710/ENSG00000132681/ENSG00000119636/ENSG00000134202/ENSG00000206113/ENSG00000112981/ENSG00000214530/ENSG00000039139/ENSG00000215217/ENSG00000171962/ENSG00000152582/ENSG00000137098/ENSG00000165695/ENSG00000186952/ENSG00000105792/ENSG00000160345/ENSG00000156042/ENSG00000089101/ENSG00000129295/ENSG00000160188/ENSG00000141294/ENSG00000163879/ENSG00000158423/ENSG00000183833/ENSG00000109062/ENSG00000213085/ENSG00000105479",37
"GO:0097729","GO:0097729","9+2 motile cilium","32/665","109/6929",0.293577981651376,3.05895012761261,7.05920471392353,3.86271339042433e-09,3.13652327302456e-07,3.13652327302456e-07,"ENSG00000118997/ENSG00000101222/ENSG00000154479/ENSG00000140057/ENSG00000197748/ENSG00000136449/ENSG00000186976/ENSG00000197168/ENSG00000104953/ENSG00000243710/ENSG00000132681/ENSG00000119636/ENSG00000134202/ENSG00000112981/ENSG00000039139/ENSG00000215217/ENSG00000171962/ENSG00000152582/ENSG00000137098/ENSG00000165695/ENSG00000186952/ENSG00000105792/ENSG00000160345/ENSG00000156042/ENSG00000089101/ENSG00000160188/ENSG00000141294/ENSG00000163879/ENSG00000158423/ENSG00000109062/ENSG00000213085/ENSG00000105479",32
"GO:0036126","GO:0036126","sperm flagellum","29/665","102/6929",0.284313725490196,2.9624207577768,6.50528235069945,4.623233594512e-08,3.12838806561978e-06,3.12838806561978e-06,"ENSG00000118997/ENSG00000154479/ENSG00000140057/ENSG00000136449/ENSG00000186976/ENSG00000197168/ENSG00000104953/ENSG00000243710/ENSG00000132681/ENSG00000119636/ENSG00000134202/ENSG00000112981/ENSG00000215217/ENSG00000171962/ENSG00000152582/ENSG00000137098/ENSG00000165695/ENSG00000186952/ENSG00000105792/ENSG00000160345/ENSG00000156042/ENSG00000089101/ENSG00000160188/ENSG00000141294/ENSG00000163879/ENSG00000158423/ENSG00000109062/ENSG00000213085/ENSG00000105479",29
"GO:0005777","GO:0005777","peroxisome","17/665","55/6929",0.309090909090909,3.22058783321941,5.38683191420938,8.42713948085537e-06,0.00042767732865341,0.00042767732865341,"ENSG00000242110/ENSG00000156968/ENSG00000176485/ENSG00000166575/ENSG00000168306/ENSG00000203797/ENSG00000114757/ENSG00000005469/ENSG00000166821/ENSG00000119471/ENSG00000177465/ENSG00000140284/ENSG00000101417/ENSG00000184227/ENSG00000120915/ENSG00000112874/ENSG00000198721",17
"GO:0042579","GO:0042579","microbody","17/665","55/6929",0.309090909090909,3.22058783321941,5.38683191420938,8.42713948085537e-06,0.00042767732865341,0.00042767732865341,"ENSG00000242110/ENSG00000156968/ENSG00000176485/ENSG00000166575/ENSG00000168306/ENSG00000203797/ENSG00000114757/ENSG00000005469/ENSG00000166821/ENSG00000119471/ENSG00000177465/ENSG00000140284/ENSG00000101417/ENSG00000184227/ENSG00000120915/ENSG00000112874/ENSG00000198721",17
"GO:0097545","GO:0097545","axonemal doublet microtubule","8/665","16/6929",0.5,5.20977443609023,5.49255515935341,4.4166505431803e-05,0.00199240013392356,0.00199240013392356,"ENSG00000154479/ENSG00000186976/ENSG00000215217/ENSG00000171962/ENSG00000137098/ENSG00000160345/ENSG00000158423/ENSG00000213085",8
"GO:0005782","GO:0005782","peroxisomal matrix","8/665","17/6929",0.470588235294118,4.90331711632021,5.24983095834821,7.64472875950987e-05,0.00282159988760092,0.00282159988760092,"ENSG00000242110/ENSG00000168306/ENSG00000203797/ENSG00000005469/ENSG00000177465/ENSG00000120915/ENSG00000112874/ENSG00000198721",8
"GO:0031907","GO:0031907","microbody lumen","8/665","17/6929",0.470588235294118,4.90331711632021,5.24983095834821,7.64472875950987e-05,0.00282159988760092,0.00282159988760092,"ENSG00000242110/ENSG00000168306/ENSG00000203797/ENSG00000005469/ENSG00000177465/ENSG00000120915/ENSG00000112874/ENSG00000198721",8
"GO:0097225","GO:0097225","sperm midpiece","11/665","33/6929",0.333333333333333,3.47318295739348,4.63984503912676,0.000157521720164999,0.00532948486558248,0.00532948486558248,"ENSG00000118997/ENSG00000136449/ENSG00000104953/ENSG00000132681/ENSG00000152582/ENSG00000105792/ENSG00000141294/ENSG00000163879/ENSG00000109062/ENSG00000213085/ENSG00000105479",11
"GO:0097649","GO:0097649","A axonemal microtubule","7/665","15/6929",0.466666666666667,4.86245614035088,4.87902889840645,0.000234935257697548,0.0068131224732289,0.0068131224732289,"ENSG00000154479/ENSG00000186976/ENSG00000215217/ENSG00000137098/ENSG00000160345/ENSG00000158423/ENSG00000213085",7
