"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005929","GO:0005929","cilium","68/622","394/8256",0.17258883248731,2.29082540356146,7.49422535292216,3.9715369408709e-11,1.64818783046142e-08,1.64818783046142e-08,"ENSG00000118997/ENSG00000150628/ENSG00000169344/ENSG00000110318/ENSG00000187391/ENSG00000101222/ENSG00000173013/ENSG00000197168/ENSG00000154479/ENSG00000140263/ENSG00000106571/ENSG00000177994/ENSG00000132681/ENSG00000075886/ENSG00000136449/ENSG00000197748/ENSG00000111490/ENSG00000186976/ENSG00000155761/ENSG00000104953/ENSG00000243710/ENSG00000152582/ENSG00000135111/ENSG00000166578/ENSG00000119636/ENSG00000168280/ENSG00000134202/ENSG00000206113/ENSG00000112981/ENSG00000102001/ENSG00000214530/ENSG00000130561/ENSG00000039139/ENSG00000105792/ENSG00000136883/ENSG00000171962/ENSG00000157796/ENSG00000178965/ENSG00000162543/ENSG00000165695/ENSG00000186952/ENSG00000160345/ENSG00000170011/ENSG00000188452/ENSG00000154099/ENSG00000181751/ENSG00000131044/ENSG00000120262/ENSG00000156042/ENSG00000203780/ENSG00000089101/ENSG00000129295/ENSG00000161328/ENSG00000160188/ENSG00000141294/ENSG00000163879/ENSG00000115459/ENSG00000158423/ENSG00000183833/ENSG00000109062/ENSG00000137486/ENSG00000104237/ENSG00000174233/ENSG00000168589/ENSG00000118307/ENSG00000171811/ENSG00000222014/ENSG00000198003",68
"GO:0005930","GO:0005930","axoneme","30/622","111/8256",0.27027027027027,3.58738159381246,7.83346816377917,3.48180762208601e-10,4.81650054388565e-08,4.81650054388565e-08,"ENSG00000118997/ENSG00000150628/ENSG00000101222/ENSG00000173013/ENSG00000154479/ENSG00000106571/ENSG00000136449/ENSG00000197748/ENSG00000186976/ENSG00000155761/ENSG00000243710/ENSG00000166578/ENSG00000119636/ENSG00000112981/ENSG00000039139/ENSG00000171962/ENSG00000178965/ENSG00000165695/ENSG00000160345/ENSG00000154099/ENSG00000156042/ENSG00000089101/ENSG00000160188/ENSG00000163879/ENSG00000158423/ENSG00000183833/ENSG00000104237/ENSG00000118307/ENSG00000171811/ENSG00000198003",30
"GO:0097014","GO:0097014","ciliary plasm","30/622","111/8256",0.27027027027027,3.58738159381246,7.83346816377917,3.48180762208601e-10,4.81650054388565e-08,4.81650054388565e-08,"ENSG00000118997/ENSG00000150628/ENSG00000101222/ENSG00000173013/ENSG00000154479/ENSG00000106571/ENSG00000136449/ENSG00000197748/ENSG00000186976/ENSG00000155761/ENSG00000243710/ENSG00000166578/ENSG00000119636/ENSG00000112981/ENSG00000039139/ENSG00000171962/ENSG00000178965/ENSG00000165695/ENSG00000160345/ENSG00000154099/ENSG00000156042/ENSG00000089101/ENSG00000160188/ENSG00000163879/ENSG00000158423/ENSG00000183833/ENSG00000104237/ENSG00000118307/ENSG00000171811/ENSG00000198003",30
"GO:0031514","GO:0031514","motile cilium","33/622","165/8256",0.2,2.65466237942122,6.12812926644086,1.58460848063382e-07,1.64403129865759e-05,1.64403129865759e-05,"ENSG00000118997/ENSG00000101222/ENSG00000197168/ENSG00000154479/ENSG00000140263/ENSG00000132681/ENSG00000136449/ENSG00000197748/ENSG00000186976/ENSG00000104953/ENSG00000243710/ENSG00000152582/ENSG00000119636/ENSG00000134202/ENSG00000206113/ENSG00000112981/ENSG00000214530/ENSG00000039139/ENSG00000105792/ENSG00000171962/ENSG00000157796/ENSG00000165695/ENSG00000186952/ENSG00000160345/ENSG00000156042/ENSG00000089101/ENSG00000129295/ENSG00000160188/ENSG00000141294/ENSG00000163879/ENSG00000158423/ENSG00000183833/ENSG00000109062",33
"GO:0097729","GO:0097729","9+2 motile cilium","28/622","140/8256",0.2,2.65466237942122,5.63611758147559,1.38739867678375e-06,0.000115154090173051,0.000115154090173051,"ENSG00000118997/ENSG00000101222/ENSG00000197168/ENSG00000154479/ENSG00000132681/ENSG00000136449/ENSG00000197748/ENSG00000186976/ENSG00000104953/ENSG00000243710/ENSG00000152582/ENSG00000119636/ENSG00000134202/ENSG00000112981/ENSG00000039139/ENSG00000105792/ENSG00000171962/ENSG00000157796/ENSG00000165695/ENSG00000186952/ENSG00000160345/ENSG00000156042/ENSG00000089101/ENSG00000160188/ENSG00000141294/ENSG00000163879/ENSG00000158423/ENSG00000109062",28
"GO:0036126","GO:0036126","sperm flagellum","25/622","133/8256",0.18796992481203,2.49498343930566,4.96114167108909,1.59227366440409e-05,0.0011013226178795,0.0011013226178795,"ENSG00000118997/ENSG00000197168/ENSG00000154479/ENSG00000132681/ENSG00000136449/ENSG00000186976/ENSG00000104953/ENSG00000243710/ENSG00000152582/ENSG00000119636/ENSG00000134202/ENSG00000112981/ENSG00000105792/ENSG00000171962/ENSG00000157796/ENSG00000165695/ENSG00000186952/ENSG00000160345/ENSG00000156042/ENSG00000089101/ENSG00000160188/ENSG00000141294/ENSG00000163879/ENSG00000158423/ENSG00000109062",25
"GO:0005777","GO:0005777","peroxisome","15/622","62/8256",0.241935483870968,3.21128513639664,4.98850331332285,4.00625374651278e-05,0.0020782441310035,0.0020782441310035,"ENSG00000242110/ENSG00000156968/ENSG00000176485/ENSG00000168306/ENSG00000203797/ENSG00000005469/ENSG00000166821/ENSG00000119471/ENSG00000177465/ENSG00000140284/ENSG00000101417/ENSG00000112874/ENSG00000198721/ENSG00000184227/ENSG00000166575",15
"GO:0042579","GO:0042579","microbody","15/622","62/8256",0.241935483870968,3.21128513639664,4.98850331332285,4.00625374651278e-05,0.0020782441310035,0.0020782441310035,"ENSG00000242110/ENSG00000156968/ENSG00000176485/ENSG00000168306/ENSG00000203797/ENSG00000005469/ENSG00000166821/ENSG00000119471/ENSG00000177465/ENSG00000140284/ENSG00000101417/ENSG00000112874/ENSG00000198721/ENSG00000184227/ENSG00000166575",15
"GO:0005782","GO:0005782","peroxisomal matrix","7/622","20/8256",0.35,4.64565916398714,4.65919133728826,0.000433080750805695,0.0179728511584363,0.0179728511584363,"ENSG00000242110/ENSG00000168306/ENSG00000203797/ENSG00000005469/ENSG00000177465/ENSG00000112874/ENSG00000198721",7
"GO:0031907","GO:0031907","microbody lumen","7/622","20/8256",0.35,4.64565916398714,4.65919133728826,0.000433080750805695,0.0179728511584363,0.0179728511584363,"ENSG00000242110/ENSG00000168306/ENSG00000203797/ENSG00000005469/ENSG00000177465/ENSG00000112874/ENSG00000198721",7
