"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005901","GO:0005901","caveola","16/486","49/6929",0.326530612244898,4.65541278239691,7.0520966465118,1.03170881860976e-07,3.39432201322613e-05,3.39432201322613e-05,"ENSG00000130037/ENSG00000078549/ENSG00000018625/ENSG00000067113/ENSG00000105974/ENSG00000003436/ENSG00000188906/ENSG00000095637/ENSG00000163513/ENSG00000105971/ENSG00000140945/ENSG00000164741/ENSG00000168497/ENSG00000164867/ENSG00000130300/ENSG00000124212",16
"GO:0044853","GO:0044853","plasma membrane raft","18/486","68/6929",0.264705882352941,3.7739651416122,6.31305763835304,5.84299889655405e-07,9.61173318483141e-05,9.61173318483141e-05,"ENSG00000130037/ENSG00000269113/ENSG00000078549/ENSG00000018625/ENSG00000067113/ENSG00000105974/ENSG00000003436/ENSG00000188906/ENSG00000134569/ENSG00000095637/ENSG00000163513/ENSG00000105971/ENSG00000140945/ENSG00000164741/ENSG00000168497/ENSG00000164867/ENSG00000130300/ENSG00000124212",18
"GO:0001518","GO:0001518","voltage-gated sodium channel complex","7/486","11/6929",0.636363636363636,9.0727646838758,7.35878925348203,2.06246944284003e-06,0.000226184148898123,0.000226184148898123,"ENSG00000177098/ENSG00000136546/ENSG00000149575/ENSG00000166257/ENSG00000169432/ENSG00000153253/ENSG00000168356",7
"GO:0031012","GO:0031012","extracellular matrix","45/486","319/6929",0.141065830721003,2.01120399396261,5.07821865484355,3.85339269255813e-06,0.000276094241160342,0.000276094241160342,"ENSG00000110799/ENSG00000176435/ENSG00000164619/ENSG00000163751/ENSG00000271447/ENSG00000092009/ENSG00000175899/ENSG00000163815/ENSG00000100767/ENSG00000172236/ENSG00000136999/ENSG00000189056/ENSG00000140873/ENSG00000152583/ENSG00000164946/ENSG00000106809/ENSG00000168477/ENSG00000166482/ENSG00000196569/ENSG00000164318/ENSG00000054803/ENSG00000188783/ENSG00000132561/ENSG00000140945/ENSG00000122176/ENSG00000113296/ENSG00000197253/ENSG00000173269/ENSG00000100448/ENSG00000124749/ENSG00000266524/ENSG00000116194/ENSG00000185585/ENSG00000163638/ENSG00000120332/ENSG00000148357/ENSG00000101280/ENSG00000115380/ENSG00000090006/ENSG00000187955/ENSG00000117525/ENSG00000142798/ENSG00000138722/ENSG00000154175/ENSG00000049540",45
"GO:0030312","GO:0030312","external encapsulating structure","45/486","320/6929",0.140625,2.00491898148148,5.0549419336062,4.1959611118593e-06,0.000276094241160342,0.000276094241160342,"ENSG00000110799/ENSG00000176435/ENSG00000164619/ENSG00000163751/ENSG00000271447/ENSG00000092009/ENSG00000175899/ENSG00000163815/ENSG00000100767/ENSG00000172236/ENSG00000136999/ENSG00000189056/ENSG00000140873/ENSG00000152583/ENSG00000164946/ENSG00000106809/ENSG00000168477/ENSG00000166482/ENSG00000196569/ENSG00000164318/ENSG00000054803/ENSG00000188783/ENSG00000132561/ENSG00000140945/ENSG00000122176/ENSG00000113296/ENSG00000197253/ENSG00000173269/ENSG00000100448/ENSG00000124749/ENSG00000266524/ENSG00000116194/ENSG00000185585/ENSG00000163638/ENSG00000120332/ENSG00000148357/ENSG00000101280/ENSG00000115380/ENSG00000090006/ENSG00000187955/ENSG00000117525/ENSG00000142798/ENSG00000138722/ENSG00000154175/ENSG00000049540",45
"GO:0070161","GO:0070161","anchoring junction","56/486","450/6929",0.124444444444444,1.77422953818016,4.66444537827263,1.27727717175321e-05,0.00070037364917801,0.00070037364917801,"ENSG00000077943/ENSG00000145362/ENSG00000130037/ENSG00000158352/ENSG00000148180/ENSG00000133401/ENSG00000079308/ENSG00000108823/ENSG00000078549/ENSG00000102755/ENSG00000177098/ENSG00000174804/ENSG00000018625/ENSG00000111262/ENSG00000179776/ENSG00000154721/ENSG00000101384/ENSG00000261371/ENSG00000136999/ENSG00000116106/ENSG00000198719/ENSG00000105974/ENSG00000178878/ENSG00000172403/ENSG00000187513/ENSG00000162706/ENSG00000137672/ENSG00000106991/ENSG00000136114/ENSG00000171992/ENSG00000184113/ENSG00000150471/ENSG00000144824/ENSG00000095637/ENSG00000138639/ENSG00000105971/ENSG00000140945/ENSG00000149564/ENSG00000101000/ENSG00000148700/ENSG00000213949/ENSG00000164741/ENSG00000130052/ENSG00000196159/ENSG00000173482/ENSG00000128052/ENSG00000013016/ENSG00000120156/ENSG00000111859/ENSG00000072163/ENSG00000147027/ENSG00000154330/ENSG00000103647/ENSG00000142798/ENSG00000162407/ENSG00000105538",56
"GO:0034706","GO:0034706","sodium channel complex","7/486","17/6929",0.411764705882353,5.87061244250787,5.52184457546403,8.37545624890365e-05,0.00393646443698472,0.00393646443698472,"ENSG00000177098/ENSG00000136546/ENSG00000149575/ENSG00000166257/ENSG00000169432/ENSG00000153253/ENSG00000168356",7
"GO:0045121","GO:0045121","membrane raft","26/486","169/6929",0.153846153846154,2.19341563786008,4.31359867481599,0.000108396093875699,0.00437791493958084,0.00437791493958084,"ENSG00000130037/ENSG00000269113/ENSG00000108823/ENSG00000078549/ENSG00000018625/ENSG00000067113/ENSG00000170989/ENSG00000261371/ENSG00000198719/ENSG00000105974/ENSG00000003436/ENSG00000188906/ENSG00000134569/ENSG00000095637/ENSG00000163513/ENSG00000105971/ENSG00000140945/ENSG00000164741/ENSG00000118777/ENSG00000128052/ENSG00000120156/ENSG00000168497/ENSG00000164867/ENSG00000130300/ENSG00000162407/ENSG00000124212",26
"GO:0098857","GO:0098857","membrane microdomain","26/486","170/6929",0.152941176470588,2.18051319293149,4.27988491268649,0.000119760591052363,0.00437791493958084,0.00437791493958084,"ENSG00000130037/ENSG00000269113/ENSG00000108823/ENSG00000078549/ENSG00000018625/ENSG00000067113/ENSG00000170989/ENSG00000261371/ENSG00000198719/ENSG00000105974/ENSG00000003436/ENSG00000188906/ENSG00000134569/ENSG00000095637/ENSG00000163513/ENSG00000105971/ENSG00000140945/ENSG00000164741/ENSG00000118777/ENSG00000128052/ENSG00000120156/ENSG00000168497/ENSG00000164867/ENSG00000130300/ENSG00000162407/ENSG00000124212",26
"GO:0031091","GO:0031091","platelet alpha granule","12/486","52/6929",0.230769230769231,3.29012345679012,4.55238583332795,0.000191900829538953,0.00631353729183156,0.00631353729183156,"ENSG00000110799/ENSG00000150630/ENSG00000145335/ENSG00000175899/ENSG00000261371/ENSG00000019991/ENSG00000174175/ENSG00000184500/ENSG00000017427/ENSG00000167244/ENSG00000138722/ENSG00000197461",12
"GO:0005911","GO:0005911","cell-cell junction","36/486","287/6929",0.125435540069686,1.78835978835979,3.74622610143856,0.000414559937869669,0.012399110869011,0.012399110869011,"ENSG00000145362/ENSG00000130037/ENSG00000158352/ENSG00000133401/ENSG00000108823/ENSG00000078549/ENSG00000177098/ENSG00000174804/ENSG00000018625/ENSG00000179776/ENSG00000154721/ENSG00000101384/ENSG00000261371/ENSG00000136999/ENSG00000116106/ENSG00000198719/ENSG00000178878/ENSG00000187513/ENSG00000162706/ENSG00000137672/ENSG00000171992/ENSG00000184113/ENSG00000150471/ENSG00000095637/ENSG00000138639/ENSG00000140945/ENSG00000149564/ENSG00000148700/ENSG00000196159/ENSG00000173482/ENSG00000120156/ENSG00000072163/ENSG00000147027/ENSG00000154330/ENSG00000162407/ENSG00000105538",36
"GO:0009897","GO:0009897","external side of plasma membrane","29/486","215/6929",0.134883720930233,1.92306440807733,3.77605729682046,0.000458638574685471,0.0125743409226267,0.0125743409226267,"ENSG00000178726/ENSG00000176435/ENSG00000107611/ENSG00000136011/ENSG00000112964/ENSG00000170989/ENSG00000179776/ENSG00000261371/ENSG00000168546/ENSG00000106991/ENSG00000185291/ENSG00000179639/ENSG00000127241/ENSG00000163513/ENSG00000174175/ENSG00000140945/ENSG00000116678/ENSG00000213949/ENSG00000118777/ENSG00000126218/ENSG00000149534/ENSG00000085563/ENSG00000128052/ENSG00000154133/ENSG00000117525/ENSG00000129244/ENSG00000115602/ENSG00000174059/ENSG00000277494",29
"GO:0031093","GO:0031093","platelet alpha granule lumen","9/486","38/6929",0.236842105263158,3.37670565302144,4.03463341424341,0.000991384708495945,0.0250896591611666,0.0250896591611666,"ENSG00000110799/ENSG00000150630/ENSG00000175899/ENSG00000019991/ENSG00000184500/ENSG00000017427/ENSG00000167244/ENSG00000138722/ENSG00000197461",9
"GO:0005925","GO:0005925","focal adhesion","24/486","179/6929",0.134078212290503,1.91158010897303,3.39349706317165,0.0015141516351331,0.0355825634256278,0.0355825634256278,"ENSG00000077943/ENSG00000148180/ENSG00000079308/ENSG00000102755/ENSG00000105974/ENSG00000172403/ENSG00000106991/ENSG00000136114/ENSG00000144824/ENSG00000095637/ENSG00000138639/ENSG00000105971/ENSG00000140945/ENSG00000101000/ENSG00000213949/ENSG00000164741/ENSG00000130052/ENSG00000013016/ENSG00000120156/ENSG00000111859/ENSG00000072163/ENSG00000154330/ENSG00000103647/ENSG00000142798",24
